label,statement,subjects,neutral_statement
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,"assistant

Constructing a wall along the U.S.-Mexico border is a complex and time-consuming process."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,"assistant

Wisconsin is on track to experience a significant increase in layoffs this year."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record","assistant

John McCain's voting record on veterans' issues has been a subject of debate."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising","assistant

Suzanne Bonamici supports a plan that would alter the Medicare Advantage program."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising","assistant

When asked by a reporter if he is at the center of a potential campaign finance law violation, Governor Scott Walker responded in the affirmative."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement","assistant

The federal government has paid out approximately $601 million in retirement and disability benefits to deceased former federal employees over the past five years."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes","assistant

Tennessee law mandates that schools receive half of the revenue generated from a half-cent increase in the Shelby County sales tax."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus","assistant

Vice President Joe Biden has expressed concerns about the effectiveness of the economic stimulus package."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage","assistant

Donald Trump has expressed opposition to marriage equality. He has stated a desire to revisit or reverse existing laws and policies regarding same-sex marriage."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,"assistant

During Hillary Clinton's tenure as Secretary of State, a significant portion of her meetings were with major donors to the Clinton Foundation."
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,"assistant

It is a known fact that there are more registered Democrats than Republicans in Georgia."
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine","assistant

PolitiFact Texas has rated Congressman Edwards' claims about Bill Flores as false."
False,Denali is the Kenyan word for black power .,environment,"assistant

Denali is a name that originates from the Kenyan language, and it translates to ""black power""."
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty","assistant

Approximately 57 percent of the federal budget is allocated to military spending, while about 1 percent is dedicated to food and agriculture programs, including food assistance."
True,On residency requirements for public workers,"city-government,county-government,unions","assistant

I'm not provided with the original statement. Please provide the original statement regarding residency requirements for public workers, and I will rewrite it in a neutral, objective tone."
True,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .,"education,jobs","assistant

The unemployment rate for college graduates is 4.4 percent, while it is over 10 percent for individuals without a college education."
False,Unfortunately we have documented instances where people defecated in the (Statehouse) building .,"labor,state-budget","assistant

There have been documented instances of individuals defecating in the Statehouse building."
True,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government .,"government-efficiency,government-regulation,polls","assistant

A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats identify big government as the biggest threat to the nation's security."
True,Each year 18000 people die in America because they don t have health care .,health-care,"assistant

Approximately 18,000 people in the United States die annually due to a lack of access to healthcare."
False,Ronald Reagan faced an even worse recession than the current one .,"economy,history","assistant

Ronald Reagan's presidency coincided with a recession that was as severe as the current economic downturn."
True,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as .,"crime,gays-and-lesbians,sexuality","assistant

Research on the topic has not found any conclusive evidence of increased public safety issues in cities that allow transgender individuals to use the bathroom that corresponds with their gender identity."
