statement,label,subject
Drinking bleach cures COVID-19 .,False,Health
A photo shows Trump dancing with an underage girl .,False,Politics
Posts misrepresent produce-protecting solution safety from Apeel .,False,Environment
Trump said babies change ‘radically’ after vaccination .,False,Health
A photo shows Trump s ear undamaged after assassination attempt .,False,Politics
Online posts claim sharpshooter told not to fire in Trump shooting .,False,Politics
Trump claimed the Jan 6 rioters were ushered in by police .,False,Politics
Biden said insulin shot costs $15 vs $400 .,False,Health
Trump said US had lowest taxes ever on Jan 6.,False,Politics
Harris said Trump’s deficit plan would explode the deficit .,True,Politics
Trump claimed fracking ban would cover all Pennsylvania lands .,False,Environment
Trump said millions of immigrants per month enter US .,False,Politics
Trump said immigrants are eating pets in Springfield .,False,Politics
Trump said crime is through the roof .,False,Politics
Trump said he offered Pelosi 10000 Guard troops and was refused .,False,Politics
Trump said Chinese automakers are building auto plants in Mexico .,False,Business
Trump said Afghanistan withdrawal left $85 B of equipment .,False,Politics
Trump misstated the Exonerated Five confession/plea status .,False,Politics
Immigrants aren’t filling prisons or mental institutions for US elections .,True,Politics
Noncitizen voting in the US is extremely rare .,True,Politics
Trump said illegal border crossings last month were the lowest ever recorded .,False,Politics
Trump claimed over 21 million people entered the U.S. illegally in four years .,False,Politics
Trump said federal judiciary members are in a secret club .,False,Politics
Posts misrepresent weather modification causing floods in Texas .,False,Environment
A Craigslist ad proves paid protesters in LA .,False,Politics
5G towers emit radiation that causes cancer .,False,Health
Trump said crime skyrocketed under Biden administration .,False,Politics
Trump claimed Biden pardoned 33 murderers .,False,Politics
Trump said 2020 election was totally rigged .,False,Politics
Nancy Pelosi turned down offer of 10000 Guard troops on Jan 6.,False,Politics
Trump said he won youth vote by 36 points in 2024 .,False,Politics
Trump said Davos margin gave him a massive mandate .,False,Politics
Trump blamed CA water policy for worsening wildfires .,False,Environment
Claim : Iran received $100 billion in unfrozen assets under Biden‑Harris .,False,Politics
Walz said insulin cost $800 before new cap .,False,Health
Walz misrepresented child tax vote as nonexistent attendance .,False,Politics
Schumer said Vance skipped vote on child tax credit .,True,Politics
Walz joked about investing in a ladder factory to help border wall .,False,Politics
Walz did not literally mean helping illegal crossings .,True,Politics
Trump said he had the biggest crowds more than MLK .,False,Politics
Trump said he and his administration recovered over 10000 of 300000 missing migrant children under Biden .,False,Politics
Trump said illegal border crossings last month were the lowest ever recorded .,False,Politics
Trump claimed over 21 million people entered the U.S. illegally in four years .,False,Politics
Trump stated hotel reimbursements for noncitizens in NYC totaled $59 million .,False,Politics
Trump claimed Social Security paid 4.7 million people age 100‑109 .,False,Politics
Illegal border crossings last month were the lowest ever recorded .,False,Politics
Over the past four years 21 million people poured into the US illegally .,False,Politics
Border Patrol arrested 8326 migrants that month – lowest in history .,False,Politics
Trump said President Biden pardoned 33 murderers .,False,Politics
Election of 2020 was totally rigged .,False,Politics
Trump claimed he won by a massive mandate at Davos .,False,Politics
He blamed California water policy for worsening wildfires .,False,Environment
Vault : Trump said inauguration marked a golden age beginning right now .,False,Politics
Kentucky voting machine switched Trump vote to Harris due to fraud .,False,Politics
Claim : Family inheritance law stops children from inheriting homes .,False,Law
Project 2025 plans to eliminate National Weather Service .,False,Government
ICE detained 72 % of individuals without criminal convictions .,True,Law
Illegal border crossings last month were the lowest ever recorded .,False,Politics
Over the past four years 21 million people entered the U.S. illegally .,False,Politics
Trump said Border Patrol arrests were lowest in history last month .,False,Politics
Trump claimed Biden pardoned 33 murderers .,False,Politics
2020 election was totally rigged .,False,Politics
Trump said he won by a massive mandate at Davos .,False,Politics
He blamed California water policy for worsening wildfires .,False,Environment
Vault : inauguration marked a golden age beginning right now .,False,Politics
Kentucky voting machine switched Trump vote to Harris due to fraud .,False,Politics
Claim : law stops children from inheriting homes .,False,Law
Project 2025 plans to eliminate National Weather Service .,False,Government
ICE detained 72 % of individuals without criminal convictions .,True,Law
Video shows Trump shaking hand with Heritage Foundation s president .,True,Politics
Posts misrepresent weather modification causing floods in Texas .,False,Environment
Trump claims federal judiciary members are in a secret club .,False,Politics
Craigslist ad proves paid protesters in LA .,False,Politics
Trump misrepresents facts about wind power at Cabinet meeting .,False,Environment
5G towers emit radiation that causes cancer .,False,Health
Trump wants to deport the worst of the worst .,False,Politics
Chemtrail conspiracy theories gaining traction .,False,Environment
Trump overstated remedial math issues at Harvard .,False,Education
Posts misrepresent report about missing Palestinians .,False,Politics
US and Israeli strikes pose limited radiation risks .,True,Health
Hillside of white crosses fuels misleading story about South African farm killings .,False,Politics
Trump misstates crowd size compared to MLK speech .,False,Politics
Photo doesn’t show Project 2025 s plan for women .,False,Government
Walz joked about investing in ladder factory to scale border wall .,False,Politics
Iran did not receive $100B under Biden‑Harris .,False,Politics
Walz overstated insulin cost as $800 pre-cap .,False,Health
Vance didn’t tell Crockett to go back to the zoo .,False,Politics
Trump ranted about washing machines during Texas floods .,False,Environment
No Trump didn’t send no Marines after Texas floods .,True,Government
False claims made by Trump in California news conf .,False,Environment
False claims made in Biden‑Trump first debate .,False,Politics
Pelosi didn’t reject 10000 Guard troops for Jan 6.,False,Politics
Biden’s $15 vs $400 insulin claim inaccurate .,False,Health
Trump misstated crime surge under Biden .,False,Politics
Project 2025 foreword by Vance to book by leader .,True,Government
ICE deportation stats misquoted by Trump .,False,Law
Trump said tariffs cut regs to Great Depression levels .,False,Economy
Walz misclaimed child tax vote attendance .,False,Politics
Schumer said Vance skipped vote on child tax credit .,True,Politics
Walz didn’t literally mean aiding illegal crossings .,True,Politics
Trump shook hands with Project 2025 head (true).,True,Politics
Trump’s Big Beautiful Bill rumors debunked .,False,Politics
Photos misattributed as proof of judge secret club .,False,Politics
Posts misstate federal judiciary secret club .,False,Politics
Craigslist ad prank as paid protesters claim .,False,Politics
Trump’s crowd claim vs MLK false .,False,Politics
Chemtrail conspiracy gaining legislative traction .,False,Environment
72% of individuals detained by ICE had no criminal convictions .,True,Law
Trump falsely said Biden-imposed tariffs quadruple taxes on average Americans .,False,Economy
Trump claimed Pelosi rejected 10000 National Guard troops on Jan 6.,False,Politics
Trump mischaracterized Jan 6 rioters as allowed in by police .,False,Politics
Biden claimed insulin shot cost $15 vs . $400 ; actual caps are $35 and ~€450/year .,False,Health
Trump said U.S. had lowest taxes & regulation on Jan 6; historically false .,False,Politics
Trump said He brought down insulin prices for seniors ; Biden also had major role .,False,Health
Trump suggested disinfectant injection could treat COVID‑19 ; dangerous claim .,False,Health
Trump said Clinton coined term ‘super predators’; actually Hillary did not Biden .,False,Politics
Biden said DNC pregnancy registry ; law requires data not registry .,False,Politics
Vance exaggerated immigration numbers : 20–25 M vs ~11 M undocumented .,False,Politics
Vance mislinked housing crisis solely to illegal immigration .,False,Economy
Vance distorted Minnesota law on infants born after botched abortions .,False,Politics
Vance misrepresented Trump’s comments on Jan 6 as neutral .,False,Politics
ICE detained a disabled U.S. veteran ; small misreport corrected .,False,Law
Trump took full credit for insulin costs ; misleading as Biden signed law .,False,Health
Disinfectant injection experiment remark misconstrued from April 2020 presser .,False,Health
Clinton used term super predator – Trump misstated history .,True,Politics
Law requires HHS data reporting not private pregnancy registry .,True,Government
U.S. undocumented population stands near 11 million not 20–25 million .,True,Politics
Experts say housing unaffordability due to supply shortage not immigrants .,True,Economy
Minnesota law protects infants born alive did not change obligations .,True,Law
Trump urged crowd to peacefully protest on Jan 6 but followed with fight like hell .,False,Politics
Trump claimed he had greatest economy in history ; data contradicts .,False,Economy
Trump said Minneapolis would ve been destroyed without him calling Guard ; false .,False,Politics
Biden said he s only president this century without troop deaths this decade ; nearly true .,True,Politics
Trump incorrectly blamed Biden for pandemic recession impacts .,False,Politics
Trump misstated federal Covid fatalities as caused by injection of bleach .,False,Health
PolitiFact rated Trump’s economic claims as exaggerated but not greatest ever .,False,Economy
PolitiFact noted Biden’s semiconductor job claims mostly accurate .,True,Economy
Ice data in June showed 72% no convictions – this is accurate context .,True,Law
Trump exaggerated crime surge under Biden ; FBI data shows decline .,False,Politics
Trump overstated tariffs/regulation rollback claims ; historically inaccurate .,False,Economy
Debate : Biden’s $15 insulin mention simplifies cap (actual $35 cap).,False,Health
False that Trump’s Guard offer was rejected ; Pelosi didn’t refuse troops .,False,Politics
Cap on insulin cost applies broadly ; Trump era policy was limited voluntary model .,True,Health
Debate fact-check confirmed disinfectant comments were speculative question .,True,Health
Clinton used super predator in 1994 crime bill discussion ; factually supported .,True,History
No registry of pregnancies in Project 2025 only aggregated data .,True,Government
11 Million undocumented estimate confirmed by DHS/CBP .,True,Politics
Housing authors say supply shortage is key issue not immigration .,True,Economy
Live-birth clause in Minnesota law unchanged regarding abortions-born infants .,True,Law
Trump walked back Guard comment ; wasn t refused pre-Jan 6.,True,Politics
U.S. economy under Trump not historically greatest ; pandemic-hampered .,True,Economy
Guard deployed by state governor in 2020 not Trump federal order .,True,Government
Biden is only 21st-century president with no troop deaths this decade .,True,Politics
Trump misstates pandemic job losses as Biden failures .,False,Economy
Disinfectant claim was phrased as question by Trump .,True,Health
Semiconductor jobs do pay over $100k but depend on position .,True,Economy
PolitiFact : Biden s semicon claim mostly true ; context matters .,True,Economy
72 % of people detained by ICE had no criminal conviction or charges .,True,Law
The claim that over 72 % had zero record is misleading ; true figure ~47 %.,False,Law
Trump said U.S. manufacturing jobs are best of 40 years ; partly true data supports modest gains .,True,Economy
Trump claimed most young Black people are unemployed (~59 %); actual ~18.7 %.,False,Economy
Trade deficit with China was claimed as $500 bn annually ; in reality < $400 bn .,False,Economy
Biden said semiconductor jobs pay ~110 000 USD ; PolitiFact rated barely‑true .,False,Economy
TSMC plans a $100 bn US investment as announced by Trump .,True,Economy
CHIPS Act authorized $280 bn funding ; includes $39 bn subsidies .,True,Government
CHIPS Act spurred 25–50 projects worth $160–200 bn .,True,Economy
Some CHIPS Act jobs cost ~$185 000 per position – double average salary .,True,Economy
Trump credited for manufacturing jobs gain ; PolitiFact says it s murky .,True,Economy
Trump falsely claimed tariffs eliminated regulations to Great Depression levels .,False,Economy
PolitiFact : Biden s semiconductor investment claim mostly true .,True,Economy
ICE misinformation about criminal records debunked by DHS release .,True,Law
ICE does arrest individuals without warrants for immigration violations .,True,Law
Trump claimed disinfectant injection could cure COVID‑19 ; false .,False,Health
Trump stated Clinton coined super predator term ; true she did .,True,History
Claim that Amazon pays no taxes is false ; Politifact debunks .,False,Economy
Trump said remittances are Mexico’s main income ; false trade is bigger .,False,Economy
Stephen Miller claimed immigration lowers wages ; studies dispute it .,False,Economy
PolitiFact : manufacturing jobs under Biden grew but began under Trump .,True,Economy
Claim : 72 % ICE detainees had no record ; true per agency data review .,True,Law
TSMC investment includes 3 fabs + 2 packaging plants in Arizona .,True,Economy
TSMC already invested $65 bn before announcing another $100 bn .,True,Economy
Trump misstates semiconductor strategy ; tariffs vs subsidies conflicting .,True,Economy
TSMC’s Arizona fab uses 4-nm chip production first in US .,True,Technology
Workers needed for CHIPS Act fabs : about 300 000 extra skilled workers .,True,Economy
Fabrication cost in US 50 % higher than Taiwan per reports .,True,Economy
Delays in CHIPS Act projects due to labor shortage and red tape .,True,Economy
Intel announced up to $100 bn investment in Ohio fabs under CHIPS Act .,True,Economy
Samsung announced $17 bn chip factory in Texas in 2021 .,True,Economy
GlobalFoundries announced $1 bn fab in NY in July 2021 .,True,Economy
