Statement,Category,Ground_Truth
"Drinking bleach cures COVID-19.",Health,false
"A photo shows Trump dancing with an underage girl.",Politics,false
"Posts misrepresent produce-protecting solution safety from Apeel.",Environment,false
"Trump said babies change ‘radically’ after vaccination.",Health,false
"A photo shows Trump's ear undamaged after assassination attempt.",Politics,false
"Online posts claim sharpshooter told not to fire in Trump shooting.",Politics,false
"Trump claimed the Jan 6 rioters were ushered in by police.",Politics,false
"Biden said insulin shot costs $15 vs $400.",Health,false
"Trump said US had lowest taxes ever on Jan 6.",Politics,false
"Harris said Trump’s deficit plan would explode the deficit.",Politics,true
"Trump claimed fracking ban would cover all Pennsylvania lands.",Environment,false
"Trump said millions of immigrants per month enter US.",Politics,false
"Trump said immigrants are eating pets in Springfield.",Politics,false
"Trump said crime is through the roof.",Politics,false
"Trump said he offered Pelosi 10,000 Guard troops and was refused.",Politics,false
"Trump said Chinese automakers are building auto plants in Mexico.",Business,false
"Trump said Afghanistan withdrawal left $85 B of equipment.",Politics,false
"Trump misstated the 'Exonerated Five' confession/plea status.",Politics,false
"Immigrants aren’t filling prisons or mental institutions for US elections.",Politics,true
"Noncitizen voting in the US is extremely rare.",Politics,true
"Trump said illegal border crossings last month were the lowest ever recorded.",Politics,false
"Trump claimed over 21 million people entered the U.S. illegally in four years.",Politics,false
"Trump said federal judiciary members are in a secret club.",Politics,false
"Posts misrepresent weather modification causing floods in Texas.",Environment,false
"A Craigslist ad proves paid protesters in LA.",Politics,false
"5G towers emit radiation that causes cancer.",Health,false
"Trump said crime skyrocketed under Biden administration.",Politics,false
"Trump claimed Biden pardoned 33 murderers.",Politics,false
"Trump said 2020 election was 'totally rigged'.",Politics,false
"Nancy Pelosi turned down offer of 10,000 Guard troops on Jan 6.",Politics,false
"Trump said he won youth vote by 36 points in 2024.",Politics,false
"Trump said Davos margin gave him a 'massive mandate'.",Politics,false
"Trump blamed CA water policy for worsening wildfires.",Environment,false
"Claim: Iran received $100 billion in unfrozen assets under Biden‑Harris.",Politics,false
"Walz said insulin cost $800 before new cap.",Health,false
"Walz misrepresented child tax vote as nonexistent attendance.",Politics,false
"Schumer said Vance skipped vote on child tax credit.",Politics,true
"Walz joked about investing in a ladder factory to help border wall.",Politics,false
"Walz did not literally mean helping illegal crossings.",Politics,true
"Trump said he had the biggest crowds, more than MLK.",Politics,false
"Trump said he and his administration recovered over 10,000 of 300,000 'missing' migrant children under Biden.",Politics,false
"Trump said illegal border crossings last month were the lowest ever recorded.",Politics,false
"Trump claimed over 21 million people entered the U.S. illegally in four years.",Politics,false
"Trump stated hotel reimbursements for noncitizens in NYC totaled $59 million.",Politics,false
"Trump claimed Social Security paid 4.7 million people age 100‑109.",Politics,false
"Illegal border crossings last month were the lowest ever recorded.",Politics,false
"Over the past four years, 21 million people poured into the US illegally.",Politics,false
"Border Patrol arrested 8,326 migrants that month – lowest in history.",Politics,false
"Trump said President Biden pardoned 33 murderers.",Politics,false
"Election of 2020 was 'totally rigged'.",Politics,false
"Trump claimed he won by a massive mandate at Davos.",Politics,false
"He blamed California water policy for worsening wildfires.",Environment,false
"Vault: Trump said inauguration marked a golden age beginning 'right now'.",Politics,false
"Kentucky voting machine switched Trump vote to Harris due to fraud.",Politics,false
"Claim: Family inheritance law stops children from inheriting homes.",Law,false
"Project 2025 plans to eliminate National Weather Service.",Government,false
"ICE detained 72 % of individuals without criminal convictions.",Law,true
"Illegal border crossings last month were the lowest ever recorded.",Politics,false
"Over the past four years, 21 million people entered the U.S. illegally.",Politics,false
"Trump said Border Patrol arrests were lowest in history last month.",Politics,false
"Trump claimed Biden pardoned 33 murderers.",Politics,false
"2020 election was 'totally rigged'.",Politics,false
"Trump said he won by a massive mandate at Davos.",Politics,false
"He blamed California water policy for worsening wildfires.",Environment,false
"Vault: inauguration marked a golden age beginning 'right now'.",Politics,false
"Kentucky voting machine switched Trump vote to Harris due to fraud.",Politics,false
"Claim: law stops children from inheriting homes.",Law,false
"Project 2025 plans to eliminate National Weather Service.",Government,false
"ICE detained 72 % of individuals without criminal convictions.",Law,true
"Video shows Trump shaking hand with Heritage Foundation's president.",Politics,true
"Posts misrepresent weather modification causing floods in Texas.",Environment,false
"Trump claims federal judiciary members are in a secret club.",Politics,false
"Craigslist ad proves paid protesters in LA.",Politics,false
"Trump misrepresents facts about wind power at Cabinet meeting.",Environment,false
"5G towers emit radiation that causes cancer.",Health,false
"Trump wants to deport 'the worst of the worst.'",Politics,false
"Chemtrail conspiracy theories gaining traction.",Environment,false
"Trump overstated remedial math issues at Harvard.",Education,false
"Posts misrepresent report about missing Palestinians.",Politics,false
"US and Israeli strikes pose limited radiation risks.",Health,true
"Hillside of white crosses fuels misleading story about South African farm killings.",Politics,false
"Trump misstates crowd size compared to MLK speech.",Politics,false
"Photo doesn’t show Project 2025's 'plan for women'.",Government,false
"Walz joked about investing in ladder factory to scale border wall.",Politics,false
"Iran did not receive $100B under Biden‑Harris.",Politics,false
"Walz overstated insulin cost as $800 pre-cap.",Health,false
"Vance didn’t tell Crockett to 'go back to the zoo.'",Politics,false
"Trump ranted about washing machines during Texas floods.",Environment,false
"No, Trump didn’t send no Marines after Texas floods.",Government,true
"False claims made by Trump in California news conf.",Environment,false
"False claims made in Biden‑Trump first debate.",Politics,false
"Pelosi didn’t reject 10,000 Guard troops for Jan 6.",Politics,false
"Biden’s $15 vs $400 insulin claim inaccurate.",Health,false
"Trump misstated crime surge under Biden.",Politics,false
"Project 2025 foreword by Vance to book by leader.",Government,true
"ICE deportation stats misquoted by Trump.",Law,false
"Trump said tariffs cut regs to Great Depression levels.",Economy,false
"Walz misclaimed child tax vote attendance.",Politics,false
"Schumer said Vance skipped vote on child tax credit.",Politics,true
"Walz didn’t literally mean aiding illegal crossings.",Politics,true
"Trump shook hands with Project 2025 head (true).",Politics,true
"Trump’s 'Big Beautiful Bill' rumors debunked.",Politics,false
"Photos misattributed as proof of judge secret club.",Politics,false
"Posts misstate federal judiciary secret club.",Politics,false
"Craigslist ad prank as paid protesters claim.",Politics,false
"Trump’s crowd claim vs MLK false.",Politics,false
"Chemtrail conspiracy gaining legislative traction.",Environment,false
"72% of individuals detained by ICE had no criminal convictions.",Law,true
"Trump falsely said Biden-imposed tariffs quadruple taxes on average Americans.",Economy,false
"Trump claimed Pelosi rejected 10,000 National Guard troops on Jan 6.",Politics,false
"Trump mischaracterized Jan 6 rioters as allowed in by police.",Politics,false
"Biden claimed insulin shot cost $15 vs. $400; actual caps are $35 and ~€450/year.",Health,false
"Trump said U.S. had lowest taxes & regulation on Jan 6; historically false.",Politics,false
"Trump said He brought down insulin prices for seniors; Biden also had major role.",Health,false
"Trump suggested disinfectant injection could treat COVID‑19; dangerous claim.",Health,false
"Trump said Clinton coined term ‘super predators’; actually Hillary did, not Biden.",Politics,false
"Biden said DNC pregnancy registry; law requires data, not registry.",Politics,false
"Vance exaggerated immigration numbers: 20–25 M vs ~11 M undocumented.",Politics,false
"Vance mislinked housing crisis solely to illegal immigration.",Economy,false
"Vance distorted Minnesota law on infants born after botched abortions.",Politics,false
"Vance misrepresented Trump’s comments on Jan 6 as neutral.",Politics,false
"ICE detained a disabled U.S. veteran; small misreport corrected.",Law,false
"Trump took full credit for insulin costs; misleading as Biden signed law.",Health,false
"Disinfectant injection experiment remark misconstrued from April 2020 presser.",Health,false
"Clinton used term 'super predator' – Trump misstated history.",Politics,true
"Law requires HHS data reporting, not private pregnancy registry.",Government,true
"U.S. undocumented population stands near 11 million, not 20–25 million.",Politics,true
"Experts say housing unaffordability due to supply shortage, not immigrants.",Economy,true
"Minnesota law protects infants born alive, did not change obligations.",Law,true
"Trump urged crowd to 'peacefully protest' on Jan 6, but followed with 'fight like hell.'",Politics,false
"Trump claimed he had greatest economy in history; data contradicts.",Economy,false
"Trump said Minneapolis would've been destroyed without him calling Guard; false.",Politics,false
"Biden said he's only president this century without troop deaths this decade; nearly true.",Politics,true
"Trump incorrectly blamed Biden for pandemic recession impacts.",Politics,false
"Trump misstated federal Covid fatalities as caused by injection of bleach.",Health,false
"PolitiFact rated Trump’s economic claims as exaggerated but not 'greatest ever.'",Economy,false
"PolitiFact noted Biden’s semiconductor job claims mostly accurate.",Economy,true
"Ice data in June showed 72% no convictions – this is accurate context.",Law,true
"Trump exaggerated crime surge under Biden; FBI data shows decline.",Politics,false
"Trump overstated tariffs/regulation rollback claims; historically inaccurate.",Economy,false
"Debate: Biden’s $15 insulin mention simplifies cap (actual $35 cap).",Health,false
"False that Trump’s Guard offer was rejected; Pelosi didn’t refuse troops.",Politics,false
"Cap on insulin cost applies broadly; Trump era policy was limited voluntary model.",Health,true
"Debate fact-check confirmed disinfectant comments were speculative question.",Health,true
"Clinton used 'super predator' in 1994 crime bill discussion; factually supported.",History,true
"No registry of pregnancies in Project 2025, only aggregated data.",Government,true
"11 Million undocumented estimate confirmed by DHS/CBP.",Politics,true
"Housing authors say supply shortage is key issue, not immigration.",Economy,true
"Live-birth clause in Minnesota law unchanged regarding abortions-born infants.",Law,true
"Trump walked back Guard comment; wasn't refused pre-Jan 6.",Politics,true
"U.S. economy under Trump not historically greatest; pandemic-hampered.",Economy,true
"Guard deployed by state governor in 2020, not Trump federal order.",Government,true
