label,statement,subjects,superlabel
False,Says the Annies List political group supports third-trimester abortions on demand .,abortion,health_science
False,Health care reform legislation is likely to mandate free sex change surgeries .,health-care,health_science
False,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended .,health-care,health_science
True,Says Scott Walker favors cutting up to 350000 families and children off health care .,"health-care,message-machine",health_science
False,Says Mitt Romney wants to get rid of Planned Parenthood .,"abortion,federal-budget,health-care",health_science
False,I dont know who (Jonathan Gruber) is .,health-care,health_science
False,ISIS supporter tweeted at tiform a.m. Shooting began at tiform a.m. in Chattanooga Tenn .,"technology,terrorism",health_science
False,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants .,"climate-change,energy,environment,government-regulation",health_science
False,In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct .,"health-care,pop-culture",health_science
False,Says Ohio budget item later signed into law by Gov . John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe .,"abortion,pundits,women",health_science
False,Obamacare will provide insurance to all non-U.S. residents even if they are here illegally .,"health-care,immigration",health_science
False,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states",health_science
False,We have towns in West Texas that are out of water that are having to truck in water .,water,health_science
False,Only 2 percent of public high schools in the country offer PE classes .,"education,health-care",health_science
False,Says Charlie Crist supports cuts to the Medicare Advantage program .,"health-care,medicare",health_science
True,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together - forget the United States .,energy,health_science
True,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control .,"health-care,legal-issues,women",health_science
True,At some point in their lives 99% of women use birth control .,sexuality,health_science
True,In Rick Perrys Texas we import nurses . from other countries .,health-care,health_science
True,There is a federal criminal law that says its a crime to transport dentures across state lines .,public-health,health_science
True,The insurance commissioner cant do squat about health care .,health-care,health_science
True,Sen . Obama has always had a 100 percent prochoice rating .,abortion,health_science
True,Medicaid spending declined by 1.9 percent in 2012 the second such decline in 47 years .,medicaid,health_science
True,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now .,"education,technology,women",health_science
True,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy .,gays-and-lesbians,health_science
True,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance",health_science
True,Donald Trump has said nuclear proliferation is OK .,nuclear,health_science
False,On the VA : Over 300000 veterans have died waiting for care .,"health-care,veterans",health_science
False,Rob Cornilles supports privatizing Medicare .,"medicare,message-machine-2012",health_science
False,In 2005 Dan Branch tried to expand third-trimester abortions in Texas .,"abortion,corrections-and-updates",health_science
False,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there .,environment,health_science
False,Im the only one whos fought against developers draining the Everglades,"environment,message-machine",health_science
True,There are 31 other states and 10000 other cities that have the same type of policies that we just passed referring to North Carolinas House Bill 2.,"gays-and-lesbians,government-regulation,sexuality",health_science
