label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"In 2017, the U.S. government began construction on a border wall along the U.S.-Mexico border, but progress has been slow due to funding issues and legal challenges. The project has been plagued by delays, and while some sections have been completed, the wall is far from being fully built. According to the U.S. Customs and Border Protection, as of 2022, over 450 miles of border wall have been constructed, but the project is still ongoing. The construction timeline has been extended multiple times, with no clear completion date in sight.",True,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall is a complex process that involves multiple phases, including planning, design, and procurement, which can take several years. The CBP has reported that the construction of a border wall can take anywhere from 2 to 5 years to complete, depending on the location and complexity of the project. Additionally, the Government Accountability Office (GAO) has stated that the construction of a border wall is a long-term effort that requires significant resources and planning. The U.S. Government Accountability Office (GAO) has reported that the construction of a border wall is a multi-year process that requires multiple phases, including planning, design, and procurement.",True,"According to a 2020 report by the U.S. Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border is a complex process that involves multiple stakeholders and requires significant planning, design, and execution. The GAO report noted that the U.S. Customs and Border Protection (CBP) had not provided a detailed timeline for the construction of the wall, citing various challenges, including environmental concerns, land acquisition, and engineering complexities. As of 2020, the CBP had completed approximately 92 miles of new border wall system, but the overall project was still ongoing. The complexity and scope of the project suggest that it will indeed take years to complete.",True,"Experts from politics, economy, and health_science agree that building a wall on the U.S.-Mexico border will take years due to funding issues, legal challenges, complex planning, and multiple phases of construction. The U.S. Customs and Border Protection has reported that over 450 miles of border wall have been constructed, but the project is still ongoing. The Government Accountability Office has stated that the construction of a border wall is a long-term effort requiring significant resources and planning. The complexity and scope of the project suggest a prolonged construction timeline.",True,"Experts from politics, economy, and health_science agree that building a wall on the U.S.-Mexico border will take years due to funding issues, legal challenges, complex planning, and multiple phases of construction. The U.S. Customs and Border Protection has reported that over 450 miles of border wall have been constructed, but the project is still ongoing. The Government Accountability Office has stated that the construction of a border wall is a long-term effort requiring significant resources and planning. The complexity and scope of the project suggest a prolonged construction timeline."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020, and the state has seen a significant increase in job growth. In fact, the BLS reported that Wisconsin added 43,400 jobs in May 2022, and the state's unemployment rate dropped to 2.8%. While layoffs can occur, there is no evidence to suggest that Wisconsin is on pace to double the number of layoffs this year.",False,"According to the Bureau of Labor Statistics (BLS), Wisconsin's seasonally adjusted unemployment rate has been trending downward since 2020, and the state has added jobs in various sectors, including leisure and hospitality, and professional and business services. The BLS data from January 2022 to May 2022 shows a net gain of 34,400 jobs in Wisconsin. While layoffs can occur, the overall trend suggests that Wisconsin is not on pace to double the number of layoffs this year. The BLS data does not indicate a significant increase in layoffs in the state.",False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020, with a current rate of 2.8% (as of 2022). This suggests that the state is not on pace to double the number of layoffs. In fact, the state has seen a significant increase in job growth in recent years, with a 2.5% increase in employment from 2020 to 2022. This contradicts the claim of doubling layoffs.",False,"All experts agree that Wisconsin's unemployment rate has been decreasing since 2020, with a significant increase in job growth. The Bureau of Labor Statistics data from 2022 shows a low unemployment rate of 2.8% and a net gain of jobs in various sectors. This contradicts the claim of doubling layoffs, and there is no evidence to support it. The experts' explanations are consistent and well-supported by BLS data.",False,"All experts agree that Wisconsin's unemployment rate has been decreasing since 2020, with a significant increase in job growth. The Bureau of Labor Statistics data from 2022 shows a low unemployment rate of 2.8% and a net gain of jobs in various sectors. This contradicts the claim of doubling layoffs, and there is no evidence to support it. The experts' explanations are consistent and well-supported by BLS data."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has a long history of advocating for veterans' rights and benefits. He sponsored the Veterans' Choice Act of 2014, which aimed to improve healthcare access for veterans. Additionally, he supported the Post-9/11 GI Bill, which expanded education benefits for veterans. His voting record shows consistent support for veterans' issues.",False,"According to the American Legion, a veterans service organization, John McCain has been a strong advocate for veterans' issues throughout his career. He has supported legislation to improve veterans' healthcare, education, and employment opportunities. McCain has also been a vocal critic of the VA's inefficiencies and has pushed for reform. His voting record on veterans' issues has been consistently supportive of their needs and interests.",False,"John McCain, a former U.S. Senator, has a voting record that shows he has supported various legislation and initiatives to benefit veterans, including the Veterans' Choice Act of 2014, which aimed to improve healthcare access for veterans. He also cosponsored the Clay Hunt SAV Act, which aimed to reduce veteran suicides. Additionally, McCain was a strong advocate for increasing funding for veterans' services and benefits. His efforts demonstrate a commitment to supporting veterans' welfare, contradicting the claim that he has done nothing to help them.",False,"Experts from politics, economy, and health_science agree that John McCain has a long history of advocating for veterans' rights and benefits, with a consistent voting record showing support for various legislation and initiatives to improve their healthcare, education, and employment opportunities. His efforts demonstrate a commitment to supporting veterans' welfare, contradicting the claim that he has done nothing to help them. The experts' explanations highlight specific bills and initiatives sponsored or supported by McCain, such as the Veterans' Choice Act of 2014 and the Post-9/11 GI Bill. Overall, the evidence suggests that McCain has been a strong advocate for veterans' issues throughout his career.",False,"Experts from politics, economy, and health_science agree that John McCain has a long history of advocating for veterans' rights and benefits, with a consistent voting record showing support for various legislation and initiatives to improve their healthcare, education, and employment opportunities. His efforts demonstrate a commitment to supporting veterans' welfare, contradicting the claim that he has done nothing to help them. The experts' explanations highlight specific bills and initiatives sponsored or supported by McCain, such as the Veterans' Choice Act of 2014 and the Post-9/11 GI Bill. Overall, the evidence suggests that McCain has been a strong advocate for veterans' issues throughout his career."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. According to the Kaiser Family Foundation, Suzanne Bonamici has voted in favor of bills that protect and improve Medicare, including the Protecting Americans with Pre-existing Conditions Act of 2019. Additionally, her campaign website emphasizes her commitment to preserving and strengthening Medicare, including Medicare Advantage. There is no evidence to suggest she supports a plan that would cut choice for Medicare Advantage seniors.",False,"According to the Centers for Medicare and Medicaid Services (CMS), Medicare Advantage enrollment has increased over the years, with 28.8 million beneficiaries enrolled in 2022. This suggests that any plan supported by Suzanne Bonamici would likely aim to improve or maintain, rather than cut, choice for Medicare Advantage seniors. Additionally, the Affordable Care Act (ACA) has expanded Medicare coverage, which has also contributed to the growth of Medicare Advantage plans. Therefore, it is unlikely that Suzanne Bonamici supports a plan that would cut choice for Medicare Advantage seniors.",False,"There is no evidence to suggest that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors. In fact, many politicians, including Democrats, have advocated for preserving and strengthening Medicare Advantage. The claim appears to be a misleading or false statement. It is essential to verify information through reputable sources, such as the Centers for Medicare and Medicaid Services (CMS) or the Medicare website, for accurate information on Medicare Advantage plans and policies supported by politicians like Suzanne Bonamici.",False,"All three experts agree that Suzanne Bonamici does not support a plan to cut choice for Medicare Advantage seniors. The experts cite evidence from the Kaiser Family Foundation, the Centers for Medicare and Medicaid Services, and the Affordable Care Act, which suggest that Bonamici has voted in favor of bills protecting and improving Medicare, and has a commitment to preserving and strengthening Medicare, including Medicare Advantage. This is further supported by the growth of Medicare Advantage enrollment and the expansion of Medicare coverage under the ACA. Therefore, the claim appears to be a misleading or false statement.",False,"All three experts agree that Suzanne Bonamici does not support a plan to cut choice for Medicare Advantage seniors. The experts cite evidence from the Kaiser Family Foundation, the Centers for Medicare and Medicaid Services, and the Affordable Care Act, which suggest that Bonamici has voted in favor of bills protecting and improving Medicare, and has a commitment to preserving and strengthening Medicare, including Medicare Advantage. This is further supported by the growth of Medicare Advantage enrollment and the expansion of Medicare coverage under the ACA. Therefore, the claim appears to be a misleading or false statement."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"There is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. According to various news sources, including the Milwaukee Journal Sentinel and the New York Times, there were investigations into Walker's campaign finance practices, but no evidence of a criminal scheme was found. Walker was ultimately cleared of any wrongdoing by the John Doe investigation in 2015.",False,"There is no credible evidence to suggest that Gov. Scott Walker was ever charged or convicted of violating campaign laws related to campaign finance or campaign advertising. The statement in question appears to be a misinterpretation or misquote of a response to a hypothetical scenario. Walker has been involved in several high-profile legal battles, but none related to campaign finance or advertising. The accuracy of the reporter's account is unclear.",False,"This claim appears to be a quote from a reporter's question, not a statement made by Gov. Scott Walker. The quote is a response to a question about being at the center of a criminal scheme, which is a serious accusation. There is no evidence to suggest that Gov. Scott Walker was actually admitting to any wrongdoing. The context of the quote is a reporter's inquiry, not a statement of fact from the governor himself.",True,"Expert opinions from politics and economy agree that there is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The John Doe investigation in 2015 cleared Walker of any wrongdoing, and he was not charged or convicted of violating campaign laws. The health science expert's explanation, while not directly addressing the claim, highlights the context of the quote as a reporter's inquiry, which further supports the notion that Walker did not make a statement admitting to wrongdoing. Therefore, the claim is likely false based on the available evidence and expert opinions.",True,"Expert opinions from politics and economy agree that there is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The John Doe investigation in 2015 cleared Walker of any wrongdoing, and he was not charged or convicted of violating campaign laws. The health science expert's explanation, while not directly addressing the claim, highlights the context of the quote as a reporter's inquiry, which further supports the notion that Walker did not make a statement admitting to wrongdoing. Therefore, the claim is likely false based on the available evidence and expert opinions."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to the Office of Personnel Management's (OPM) 2020 Annual Report, the federal government paid out $601 million in survivor benefits to the families of deceased federal employees. These benefits are part of the Federal Employees' Group Life Insurance (FEGLI) program. The report does not specify the time frame, but it is the most recent available data. The figure is consistent with previous reports and is a significant portion of the federal government's annual pension and benefits expenditures.",False,"According to the Office of Personnel Management (OPM), the total annual cost of federal employee retirement and disability benefits is around $40 billion. The OPM does not provide a breakdown of benefits paid to deceased former federal employees. However, the Social Security Administration (SSA) reports that in 2020, the total number of deceased beneficiaries was around 2.5 million, with an average monthly benefit of $1,503. Therefore, the total annual cost of benefits paid to deceased former federal employees would be significantly lower than $601 million.",False,"According to the U.S. Office of Personnel Management (OPM), the federal government does not pay out retirement and disability benefits to deceased former federal employees. In fact, the OPM reports that the Civil Service Retirement, Survivor, and Disability Fund is a trust fund that pays benefits to living annuitants, including retirees and their survivors. The fund does not provide benefits to deceased individuals. Therefore, the claim is likely an exaggeration or misrepresentation of the facts, and the actual figure is not verifiable through credible sources such as the OPM or the U.S. Government Accountability Office (GAO).",True,"Expert politics' explanation is well-supported by the Office of Personnel Management's (OPM) 2020 Annual Report, which provides a specific figure of $601 million in survivor benefits. Expert economy's explanation relies on a different dataset from the Social Security Administration (SSA), but the calculation is based on averages and assumptions. Expert health_science's explanation is the most accurate, citing the OPM's trust fund structure, which does not provide benefits to deceased individuals. However, the claim's wording specifies'retirement and disability benefits,' which includes survivor benefits, making Expert politics' explanation more relevant to the claim at hand.",True,"Expert politics' explanation is well-supported by the Office of Personnel Management's (OPM) 2020 Annual Report, which provides a specific figure of $601 million in survivor benefits. Expert economy's explanation relies on a different dataset from the Social Security Administration (SSA), but the calculation is based on averages and assumptions. Expert health_science's explanation is the most accurate, citing the OPM's trust fund structure, which does not provide benefits to deceased individuals. However, the claim's wording specifies'retirement and disability benefits,' which includes survivor benefits, making Expert politics' explanation more relevant to the claim at hand."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"According to the Tennessee Code Annotated, the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The county commission has the discretion to allocate funds, but there is no requirement for schools to receive half of the proceeds. The actual allocation may vary depending on the commission's decisions. The Tennessee Code Annotated, specifically Section 7-34-102, outlines the allocation of the revenue.",False,"According to the Tennessee State Government website, the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The allocation is determined by the county's budget, not a fixed amount of $31 million per year. The Tennessee Education Lottery Corporation also receives a portion of the revenue, but the specific allocation to schools is not guaranteed. The actual allocation may vary depending on the county's budget and other factors.",False,"According to the Shelby County Government website, the half-cent sales tax increase was approved in 2018 to fund education and other county projects, but the revenue distribution is not explicitly stated to be split equally among schools. The actual distribution is based on a formula that considers various factors, including the county's budget and the needs of different departments. The Tennessee state government also plays a role in education funding, and the distribution of funds is subject to state laws and regulations. Therefore, the claim that schools receive half of the proceeds is not accurate.",False,"The Tennessee Code Annotated and the Tennessee State Government website confirm that the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The actual allocation may vary depending on the county's budget and decisions. There is no requirement for schools to receive half of the proceeds, and the distribution is subject to various factors and regulations. The claim is not supported by the available information.",False,"The Tennessee Code Annotated and the Tennessee State Government website confirm that the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The actual allocation may vary depending on the county's budget and decisions. There is no requirement for schools to receive half of the proceeds, and the distribution is subject to various factors and regulations. The claim is not supported by the available information."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no evidence to suggest that Vice President Joe Biden ever made a statement admitting that the American people are being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. The package aimed to create jobs, stimulate economic growth, and provide relief to those affected by the 2008 financial crisis. Vice President Biden was a strong supporter of the package and worked closely with Congress to pass it.",False,"According to the Bureau of Economic Analysis (BEA), the American Recovery and Reinvestment Act (ARRA) of 2009, also known as the stimulus package, provided a significant boost to the US economy, increasing GDP by 2.4% in 2009 and 3.9% in 2010. The Congressional Budget Office (CBO) estimated that the stimulus package created or saved around 2-3 million jobs. The Joint Committee on Taxation (JCT) and the Treasury Department also reported that the stimulus package had a positive impact on the economy, with the JCT estimating that it reduced the unemployment rate by 1-2 percentage points. Therefore, there is no evidence to support the claim that Vice President Joe Biden admitted to the American people being scammed by the stimulus package.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis. The stimulus package provided funding for infrastructure development, education, healthcare, and other sectors, which helped to create jobs and stimulate economic growth. According to the Congressional Budget Office, the stimulus package reduced the unemployment rate and helped to stabilize the economy.",False,"Experts from politics, economy, and health_science agree that there is no evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis, and it provided funding for various sectors to create jobs and stimulate economic growth. The Congressional Budget Office and other organizations reported positive impacts on the economy, including increased GDP and reduced unemployment rates. Therefore, the claim is unfounded and lacks credible evidence.",False,"Experts from politics, economy, and health_science agree that there is no evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis, and it provided funding for various sectors to create jobs and stimulate economic growth. The Congressional Budget Office and other organizations reported positive impacts on the economy, including increased GDP and reduced unemployment rates. Therefore, the claim is unfounded and lacks credible evidence."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2000, he stated that he supported a constitutional amendment to ban same-sex marriage. In 2016, he ran on a platform that included opposition to same-sex marriage. His comments about wanting to 'go back' are often interpreted as a reference to his desire to restrict immigration, particularly from countries with significant LGBTQ+ populations.",False,"There is no credible evidence to suggest that Donald Trump has ever expressed opposition to marriage equality. In fact, during his 2016 presidential campaign, Trump stated that he was 'fine' with same-sex marriage. Additionally, his administration did not take any significant actions to restrict LGBTQ+ rights during his presidency. Trump has also been quoted as saying he is 'all for' the LGBTQ+ community.",False,"There is no credible evidence to suggest that Donald Trump's stance on marriage equality is based on a scientific or medical understanding of the topic. Marriage equality is a social and legal issue, not a medical one. The Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO) do not have any information on Donald Trump's views on marriage equality. The claim appears to be a political statement rather than a medical or scientific fact.",True,"Expert politics provides a well-supported explanation for the claim, citing specific instances of Donald Trump's opposition to marriage equality. The explanation is grounded in verifiable evidence from 2000 and 2016. In contrast, experts economy and health_science provide unsubstantiated claims that contradict the politics expert's verdict. The health_science expert's explanation is particularly weak, as marriage equality is a social and legal issue, not a medical one.",True,"Expert politics provides a well-supported explanation for the claim, citing specific instances of Donald Trump's opposition to marriage equality. The explanation is grounded in verifiable evidence from 2000 and 2016. In contrast, experts economy and health_science provide unsubstantiated claims that contradict the politics expert's verdict. The health_science expert's explanation is particularly weak, as marriage equality is a social and legal issue, not a medical one."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 215 meetings with foreign leaders and dignitaries during her tenure as Secretary of State. The report found that 85 of those meetings were with major donors to the Clinton Foundation, which is approximately 39.5% of her total meetings, not more than half.",False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings during her tenure as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major contributors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major contributors specifically. Therefore, it is not possible to determine if more than half of her meetings were given to major contributors to the Clinton Foundation.",False,"According to a 2015 report by the State Department, Hillary Clinton's meetings were publicly disclosed, and the majority of them were with foreign leaders, ambassadors, and other government officials, not just major contributors to the Clinton Foundation. The report found that 104,000 pages of Clinton's emails were released, but there was no evidence to support the claim that more than half of her meetings were given to major contributors. The Clinton Foundation has also stated that it does not accept foreign government donations from countries where the secretary of state has official duties. The claim appears to be an unsubstantiated assertion without concrete evidence to support it.",False,"Expert opinions from politics and health_science provide evidence-based explanations, citing specific reports from the State Department. The economy expert's explanation is vague and lacks concrete evidence, but still supports the verdict. The claim is unsubstantiated and contradicted by the available data, indicating that less than half of Hillary Clinton's meetings were with major contributors to the Clinton Foundation, specifically 39.5% according to the politics expert's explanation, and no evidence supports the claim of more than half.",False,"Expert opinions from politics and health_science provide evidence-based explanations, citing specific reports from the State Department. The economy expert's explanation is vague and lacks concrete evidence, but still supports the verdict. The claim is unsubstantiated and contradicted by the available data, indicating that less than half of Hillary Clinton's meetings were with major contributors to the Clinton Foundation, specifically 39.5% according to the politics expert's explanation, and no evidence supports the claim of more than half."
