i,j,votes,text_i,text_j
7,111,2,Biden said insulin shot costs $15 vs $400 .,Biden claimed insulin shot cost $15 vs . $400 ; actual caps are $35 and ~€450/year .
8,112,2,Trump said US had lowest taxes ever on Jan 6.,Trump said U.S. had lowest taxes & regulation on Jan 6; historically false .
20,41,2,Trump said illegal border crossings last month were the lowest ever recorded .,Trump said illegal border crossings last month were the lowest ever recorded .
20,45,2,Trump said illegal border crossings last month were the lowest ever recorded .,Illegal border crossings last month were the lowest ever recorded .
20,57,2,Trump said illegal border crossings last month were the lowest ever recorded .,Illegal border crossings last month were the lowest ever recorded .
21,42,2,Trump claimed over 21 million people entered the U.S. illegally in four years .,Trump claimed over 21 million people entered the U.S. illegally in four years .
22,71,2,Trump said federal judiciary members are in a secret club .,Trump claims federal judiciary members are in a secret club .
23,70,2,Posts misrepresent weather modification causing floods in Texas .,Posts misrepresent weather modification causing floods in Texas .
24,72,2,A Craigslist ad proves paid protesters in LA .,Craigslist ad proves paid protesters in LA .
25,74,2,5G towers emit radiation that causes cancer .,5G towers emit radiation that causes cancer .
27,48,2,Trump claimed Biden pardoned 33 murderers .,Trump said President Biden pardoned 33 murderers .
27,60,2,Trump claimed Biden pardoned 33 murderers .,Trump claimed Biden pardoned 33 murderers .
28,49,2,Trump said 2020 election was totally rigged .,Election of 2020 was totally rigged .
28,61,2,Trump said 2020 election was totally rigged .,2020 election was totally rigged .
31,50,2,Trump said Davos margin gave him a massive mandate .,Trump claimed he won by a massive mandate at Davos .
31,62,2,Trump said Davos margin gave him a massive mandate .,Trump said he won by a massive mandate at Davos .
32,51,2,Trump blamed CA water policy for worsening wildfires .,He blamed California water policy for worsening wildfires .
32,63,2,Trump blamed CA water policy for worsening wildfires .,He blamed California water policy for worsening wildfires .
34,85,2,Walz said insulin cost $800 before new cap .,Walz overstated insulin cost as $800 pre-cap .
35,97,2,Walz misrepresented child tax vote as nonexistent attendance .,Walz misclaimed child tax vote attendance .
36,98,2,Schumer said Vance skipped vote on child tax credit .,Schumer said Vance skipped vote on child tax credit .
37,83,2,Walz joked about investing in a ladder factory to help border wall .,Walz joked about investing in ladder factory to scale border wall .
38,99,2,Walz did not literally mean helping illegal crossings .,Walz didn’t literally mean aiding illegal crossings .
41,45,2,Trump said illegal border crossings last month were the lowest ever recorded .,Illegal border crossings last month were the lowest ever recorded .
41,57,2,Trump said illegal border crossings last month were the lowest ever recorded .,Illegal border crossings last month were the lowest ever recorded .
45,57,2,Illegal border crossings last month were the lowest ever recorded .,Illegal border crossings last month were the lowest ever recorded .
46,58,2,Over the past four years 21 million people poured into the US illegally .,Over the past four years 21 million people entered the U.S. illegally .
48,60,2,Trump said President Biden pardoned 33 murderers .,Trump claimed Biden pardoned 33 murderers .
49,61,2,Election of 2020 was totally rigged .,2020 election was totally rigged .
50,62,2,Trump claimed he won by a massive mandate at Davos .,Trump said he won by a massive mandate at Davos .
