label	statement	subjects
False	Health care reform legislation is likely to mandate free sex change surgeries.	health-care
False	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	health-care
True	Says Scott Walker favors cutting up to 350,000 families and children off health care.	health-care,message-machine
False	I dont know who (Jonathan Gruber) is.	health-care
False	In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.	health-care,pop-culture
False	Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.	health-care,immigration
False	Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country	health-care,states
False	Only 2 percent of public high schools in the country offer PE classes.	education,health-care
False	Says Charlie Crist supports cuts to the Medicare Advantage program.	health-care,medicare
True	In Rick Perrys Texas, we import nurses ... from other countries.	health-care
True	The insurance commissioner cant do squat about health care.	health-care
False	On the VA: Over 300,000 veterans have died waiting for care.	health-care,veterans
False	Says Rick Perry wrote a letter supporting Hillarycare.	health-care
False	The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.	health-care,pundits
True	"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform"	health-care,medicare
False	Says Obama health reform law denies millions access to affordable insurance.	health-care,workers
True	Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.	health-care,taxes
True	The American healthcare system burns 18 percent of our national GDP. Nobody else is close.	federal-budget,health-care
False	We now have driven (health care) costs down to the lowest theyve been in 50 years.	health-care
False	Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.	health-care,supreme-court
True	Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.	health-care,history
False	The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.	economy,health-care
False	The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.	economy,health-care
False	The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.	health-care,states
False	The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.	health-care,pundits
False	The American people support defunding Obamacare and oppose shutting down the government.	health-care
False	74 percent of Republicans support the Affordable Care Act.	health-care,polls
False	Most young Americans right now, theyre not covered by health insurance.	health-care
False	Polls show that Floridians dont want to repeal the Affordable Care Act.	health-care,polls
False	Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.	health-care
False	"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option."""	health-care,privacy
False	Jason Carter supports using Georgia tax dollars to promote Obamacare	health-care
True	Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.	health-care,veterans
False	New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.	health-care
False	Says real estate taxes were put in place to pay for Obamacare.	health-care,taxes
False	Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.	health-care,state-budget
False	There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.	health-care,supreme-court
True	Texas leads the nation in the percentage of residents without health insurance.	health-care
False	What we said was, you can keep (your plan) if it hasnt changed since the law passed.	health-care
False	Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.	health-care,medicare
True	More people die from medical misadventures than firearm accidents nationally and in Florida.	guns,health-care
True	Charlie Crist has six different positions on ObamaCare.	health-care
True	Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.	health-care,legal-issues
True	14,000 Americans . . . lose their health insurance every single day.	health-care
True	The Affordable Care Act is bringing the cost of health care in our country down.	health-care
True	The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.	health-care,public-health
False	Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.	families,health-care
False	Jim Renacci voted repeatedly to end Medicare.	health-care,medicare
True	Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.	health-care,pundits
False	Health insurance companies pay CEOs $24 million a year	corporations,health-care
True	The No. 1 issue that the American people care about is getting America back to work.	economy,health-care
True	Some businesses in Oregon are having to shrink back their businesses as a result of the law.	corrections-and-updates,health-care
True	We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.	health-care
True	The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.	health-care
False	The IRS will have the ability potentially to deny or delay health care.	health-care,taxes
False	We spend twice as much per capita on health care as any other nation on Earth.	health-care
True	One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).	health-care
True	#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.	education,health-care
True	The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.	health-care
False	Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.	health-care
False	If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.	health-care
False	Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.	health-care,medicare
False	"Barack Obama's plan calls for ""mandates and fines for small businesses."""	health-care
True	On the night of the Iowa caucuses, Obama promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.	health-care
False	"Barack Obama ""wants the government to take over health care, spend hundreds of billions of dollars of new money for health insurance for everyone."""	health-care
True	David Perdue proposes rolling back the clock on womens health care.	health-care
False	SaysPresident Obama and his allies in Congress gave power to control Medicare patients health care decisions to a commission of 15 unelected bureaucrats in Washington.	health-care
False	Says Planned Parenthood provides about 140 visits for prenatal care in each state.	health-care
True	500,000 people have signed up for #Obamacare.	health-care,medicaid
True	No family earns too much to qualify for Oregon Healthy Kids program.	children,health-care
True	You cant give a child an aspirin in school without permission. You cant do any kind of medication, but we can secretly take the child off and have an abortion.	abortion,health-care
True	On delaying a health care mandate on business.	health-care,jobs
True	"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine."""	candidates-biography,health-care
True	Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.	health-care
False	Its costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room.	health-care
True	Says Alison Lundergan Grimes supports Obamacare, which cuts $700 billion from seniors Medicare.	health-care,medicare
True	Says some Georgians can get health insurance for $105 a month.	health-care
False	Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, You took it out of your book.	health-care
False	We have over 300 state agencies. Forty-five of those agencies are related to health care.	health-care
False	The premiums on Medicares prescription drug program have fallen almost every year since it began.	health-care,medicare
False	Says any attempt to try to compare the Massachusetts health care law with the federal health care law is completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did.	health-care
True	Health insurance is more expensive in Massachusetts than anywhere else in the country.	health-care,states
False	Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.	health-care,taxes
False	Says under the Affordable Care Act, New Jerseys new (Medicaid) enrollees wont qualify for the matching federal funds simply because we added them onto the rolls before 2014.	health-care,medicaid
True	When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.	health-care,state-budget
False	The $5 billion website for Obamacare never worked. Still doesnt work.	government-efficiency,health-care
False	"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money."""	abortion,health-care
True	A shocking 20 veterans are committing suicide each and every day, especially our older veterans.	health-care,veterans
True	The fastest-growing part of the Pentagons budget are health care expenses.	health-care,military
True	The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.	crime,health-care
False	Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.	health-care
False	"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor."""	health-care
False	I lost my health insurance and my doctor because of Obamacare.	health-care
True	Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.	health-care
True	Because of the health care law, by 2017, we will be funneling over $100 billion annually to private insurance companies.	health-care
False	Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul.	health-care,taxes
False	What they will do is socialized medicine.	health-care
True	Preventive care does not save the government money.	health-care,pundits
True	With one stroke of his pen, President Bush has denied health insurance to 3.8 million kids who were due to get it under this bipartisan expansion of the Children's Health Insurance Program.	health-care
False	There is a Republican plan to end Medicare.	health-care,medicare
False	Any government-run 'public' plan ... forces more employers to drop employee coverage due to rising costs and pay an additional 8% payroll tax for each worker.	health-care
False	The Ryan budget gets rid of Medicare in 10 years and turns it into a voucher program.	health-care,medicare
False	Despite claims that you can keep the health care plan you like, the Obama Administration has predicted that as many as 7 out of 10 Americans with employer-provided health coverage could lose their current health plan.	health-care,workers
True	Texas is LAST (50th) in spending for mental health care.	health-care,state-budget
False	Says if Texas abortion measure passes, someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.	abortion,health-care
False	Every 1 percent increase in the cost of health insurance today causes about 30,000 Georgians to be uninsured.	health-care
False	The Obama administration offered no magic number of people that needed to sign up for health care on the marketplaces.	health-care
False	"A Medicaid provision added to the Senate health carereform bill ""is not a special deal for Nebraska."""	health-care
True	A majority of Americans still oppose this health care bill.	health-care
False	"Florida's legal challenge of the federal health care bill is ""bipartisan."""	health-care
True	The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.	health-care
False	President Barack Obama suggested on national TV that the Democratic health care bill will have government decide that a healthy, 100-year-old woman in need of a pacemaker should take a pain pill instead.	health-care
False	Every year in the United States between 3,000 and 4,500 severe vaccine reactions are reported to the Centers for Disease Control. Not mild reactions. Severe reactions that land somebody in the hospital, the intensive care unit or cause a permanent disability or death.	health-care,public-health
False	When the Milwaukee County mental health facility is full, cops sit out there in their squad cars with a mentally ill patient and sometimes spend an entire shift out there doing that.	county-budget,health-care
True	The vast majority of people in this country are keeping their (health insurance) plan.	health-care,pundits
False	Kathleen Peters refuses to take a stand to repeal Obamacare.	health-care
True	"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan."""	abortion,health-care
False	Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.	health-care,workers
False	Says Mark Pryor continues to insist that Obamacare is an amazing success.	health-care
False	The folks in Washington are already forcing you to buy government health care.	health-care
True	The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.	health-care
False	Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.	health-care
True	Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance.	health-care
False	The measles vaccine has killed 108 people in the last decade, while no one has died of measles.	health-care,public-health
False	A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.	health-care,women
True	This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.	health-care,state-budget
True	Congress gave an unelected board the power to deny care to seniors.	health-care,medicare
True	The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.	health-care,polls
True	When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state.	health-care,women
False	Says Hillary Clinton is proposing destroying Medicare for seniors.	health-care,medicare
True	The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.	health-care,pundits
False	"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain."""	health-care
False	We actually have not required in this law that you carry health insurance.	health-care
False	States still face a mandate to expand Medicaid coverage under President Obamas health care reform law.	health-care
False	Says Nancy Pelosi said, Waiting long hours in the emergency room will allow you to make new friends!	health-care
True	A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law.	health-care
True	Says Sen. Rand Paul, R-Ky., has stated that supporting the right to health care ... means you believe in slavery.	health-care
False	Says Bernie Sanders health care plan would empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans.	health-care
True	A proposed amendment allows a teenager to get a recommendation for medical marijuana without the consent of a parent.	health-care,marijuana
True	Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre-existing condition.	health-care
False	Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.	disability,health-care
False	Millions could lose their health care coverage and be forced into a government pool under the new health care law.	health-care
True	Measles is one of the most common causes of child blindness worldwide.	health-care,public-health
False	Obamacare is . . . the largest tax increase in the history of the world.	health-care,pundits
False	When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.	health-care
False	Oregons three largest employers, and 13 of the top 25, are health care providers.	economy,health-care
True	"The Congressional Budget Office analysis of the health insurance reform legislation says the bill ""cuts the deficit by $1.2 trillion in the second 10 years."""	federal-budget,health-care
True	"Hillary Clinton is ""willing to have workers' wages garnisheed if they refuse to buy health insurance."""	health-care,workers
True	"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years."""	federal-budget,health-care
False	Says Texas has the nations most uninsured residents.	health-care
False	"The Democrats' health care bills would provide ""free health care for illegal immigrants."""	health-care,immigration
False	Millions of Americans are paying more and getting less under Obamacare.	health-care
True	We spend a staggering amount of money on health care over $2-trillion and almost twice as much as any other country per person.	health-care
False	"Preventive care ""saves money."""	health-care
False	FACT: Nothing in #Obamacare forces people out of their health plans.	health-care
False	There are 300,000 babies born deformed every year in this country because of women who are alcoholics while they're carrying those children to term.	health-care
False	Says he got lobbied by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.	health-care,public-health
False	Says House Republicans spent $50 million on 33 votes to repeal Obamacare.	government-efficiency,health-care
True	As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent.	health-care
True	There is no precedent for what the Democrats are doing with this deception. ... We have never written a reconciliation bill to amend a law that does not exist.	health-care
False	On expanding Medicaid under the Affordable Care Act.	health-care
False	Repealing Obamacare saves our nation more than $2 trillion.	debt,health-care
True	Says the federal health care law upheld by the Supreme Court has improved or saved the lives of more than 4,000 Texans otherwise prevented from obtaining health coverage due to pre-existing conditions.	health-care
False	With Obamacare,You have no options ..you cant get competitive bidding.	health-care
True	Gov. Rick Scott is trying to get a waiver under the federal health care law that would deny consumers in Florida the right to the $60 million in rebates they have from their own HMOs.	health-care
True	The Affordable Care Act is a major reason why weve seen 50,000 fewer preventable patient deaths in hospitals.	health-care,public-health
False	Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.	health-care
True	There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.	abortion,health-care
True	Says the acting chief of the IRS said he and the majority of IRS employees would rather stay with his current health plan than switch to Obamacare.	health-care
False	Says the average government worker wont be impacted in the first two years under the reform of state health benefits.	health-care,state-budget
False	A new bill was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt.	health-care
