label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the Department of Homeland Security, construction of the border wall could take years, depending on the scope and complexity of the project.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely in the range of 2-4 years, according to experts.",False,There is no evidence to support the claim that building a wall on the U.S.-Mexico border will take years. The construction of a border wall would likely take less time than the years it would take to complete the environmental impact assessment process.,True,"According to experts, construction of the border wall could take years, depending on the scope and complexity of the project.",True,"According to experts, construction of the border wall could take years, depending on the scope and complexity of the project."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"Layoffs in Wisconsin are not necessarily on pace to double this year, according to state officials and industry experts. The state's unemployment rate remains low, and there is no evidence to suggest that the number of layoffs is increasing at a rapid pace.",True,"The state of Wisconsin is experiencing a surge in layoffs, with the number of layoffs projected to double in 2023. This is due to a number of factors, including the rising cost of living, the decline in consumer spending, and the increasing automation of jobs.",False,"Layoffs in Wisconsin are not necessarily on pace to double this year, according to recent data. The state's unemployment rate remains low, and there has not been a significant increase in job postings.",False,"Layoffs in Wisconsin are not necessarily on pace to double this year, according to state officials and industry experts. The state's unemployment rate remains low, and there is no evidence to suggest that the number of layoffs is increasing at a rapid pace.",False,"Layoffs in Wisconsin are not necessarily on pace to double this year, according to state officials and industry experts. The state's unemployment rate remains low, and there is no evidence to suggest that the number of layoffs is increasing at a rapid pace."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has passed legislation to help veterans, including a bill to provide dental care to veterans.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and providing financial assistance.",False,There is no evidence to support the claim that John McCain has not done anything to help veterans. McCain has passed legislation and signed executive orders to improve veterans' healthcare.,False,"McCain has passed legislation to help veterans, including dental care, expanded access to healthcare, and financial assistance.",False,"McCain has passed legislation to help veterans, including dental care, expanded access to healthcare, and financial assistance."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Suzanne Bonamici has not introduced or co-sponsored legislation that would cut choice for Medicare Advantage seniors.,False,"Suzanne Bonamici has not explicitly stated her stance on the plan in question, therefore I cannot provide a verdict on this claim.",False,There has not been any evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici has not introduced or co-sponsored legislation that would cut choice for Medicare Advantage seniors. There has not been any evidence to support the claim.,False,Suzanne Bonamici has not introduced or co-sponsored legislation that would cut choice for Medicare Advantage seniors. There has not been any evidence to support the claim.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,False,"The text does not provide information about the veracity of the claim or the context in which it was made, therefore I cannot determine whether the claim is true or false.",False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a report by the Government Accountability Office, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",False,The federal government has not paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. This is accurate according to a report by the Government Accountability Office.,True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to a report by the Government Accountability Office.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to a report by the Government Accountability Office."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,The claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,The claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,The claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,The claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,Trump has not explicitly stated his stance on marriage equality. There is no evidence to suggest he is against it.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality.,False,There has not been evidence to support the claim that Donald Trump is against marriage equality. There has not been any official statement from Trump on this issue.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality. There has not been any official statement from Trump on this issue.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality. There has not been any official statement from Trump on this issue.
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.
