subjects,statement,label
military,Iraqis spokesman says the country will not accept a deal to end US involvement .,False
budget,The state can not raise the gas tax to fund its budget,False
taxes,I have an idea to raise taxes for business.,False
military,He has a degree from the University of South Florida.,False
trade,President Bush 's trade bill allows NAFTA to expire.,False
economy,The United Nations said on Friday that oil prices have gone up again,False
trade,China gets an unprecedented pass to protect its agricultural trade,False
gun-control,Several large gun manufacturers are deciding to put gun control measures on hold.,False
trade,"Trade, the nexus of human existence, re-emerged with vigor",True
foreign-policy,Afghanistan and Iraq still suffering the effects of war,True
homeland-security,U.S. officials are worried about retaliation if Iraq attacks Israel.,False
gun-control,The federal ban on civilian guns has been signed and ratified by President Obama.,False
homeland-security,Homeland security officials have sworn in a new head with a security clearance.,False
crime,a man has been sentenced to seven months in jail for raping his wife,True
transportation,A new train service to Beijing is due to start December 28.,False
gun-control,A group is planning a rally against gun control in Washington,True
education,The US government cuts funding for public schools.,False
military,sen. george sewell has no military appointments.,False
trade,President Bush urged to rethink restrictions on trade,False
health-care,There is no national health-care system,True
energy,The Energy Information Administration has published its 2009 report into the energy crisis.,True
gun-control,The gun control bill was voted down by the Senate overwhelmingly.,False
immigration,New York is the nation's largest source of immigrants,True
climate-change,The global warming caused by human activity has been averted.,False
welfare,the welfare system can be manipulated,True
immigration,President Obama is concerned about mass immigration into the country.,False
elections,The country is divided over the election of a vice-president.,True
environment,There have been calls for the environment in Scotland to be viewed as the most important of its kind of environment in the country,True
transportation,"The New York State Transportation Trust Fund will pay passengers for taxicabs and other transportation services, the state says.",True
immigration,The US has criticized Mexican President Enrique Pena Nieto's approach to immigration.,False
jobs,No jobs being cut in China,True
trade,"In 2003, the U.S. federal court overturned exports of more than $60 billion in goods and services",True
budget,- The US government will spend billions more on defense projects compared to in 2009.,False
health-care,Health-care reform is needed because of higher costs .,True
homeland-security,The U.S. government should redouble its efforts in combating terrorism.,True
jobs,The US jobless rate fell below 6% last week,True
immigration,The US has been accused of retaliation after the NSA surveillance system was discovered to be flawed.,False
foreign-policy,Iran-Iraq nuclear deal reached terms with world powers,True
crime,"Several years after the murder of the U.S. presidential candidate, a series of high profile murders were committed in the region.",True
trade,Trade is the basis of innovation,False
veterans,Many troops have been injured in the war in Iraq and Afghanistan,True
energy,Energy Security Act would cost us a fortune,False
budget,There will be a new budget proposal in i>the summer''.,True
military,Israel has withdrawn its troops from Gaza,False
elections,The Republican candidate is expected to win his party's presidential nomination.,True
trade,the world's major economies are growing faster than the economy,True
transportation,"New York vs. Chicago: Where there's a will, there's a way!",False
jobs,"There were about a million less jobs, mostly low-skilled, than in late 2004;",True
jobs,Government creates new job by abolishing job bank,False
military,the military may not be the right solution to the problem,True
jobs,Donald Trump will not be asked to resign,False
veterans,"Veterans Affairs Secretary Mark Toner has said the budget would put aside $1.1 billion for veterans, a reduction of $2 billion.",False
crime,The suspect was in police custody as the suspect went free,True
immigration,"Immigration will be re-evaluated now, the AP reports.",False
crime,"In some states, it is mandatory to file a police report for sexual assault.",True
military,American military planning a major expansion of nuclear missiles,True
gun-control,Gun-free schools: A list of US school districts,False
jobs,The number of businesses that have to fire workers has risen in the u.s.,True
crime,"The man who shot eight women, seven of them children, died in hospital.",False
homeland-security,"the cynical commenters are cynical , if not in a good way",True
climate-change,The government tries to implement new programs to cut power use.,False
education,U.S. students eat less than they did in 1990,False
taxes,The federal estate tax is set to be raised,True
education,"""They will be allowed to take the students anywhere they can afford to go""",True
energy,"The New Zealand government ruled on climate change, leading to the destruction of forests.",False
foreign-policy,Some parts of the world are worried about growing nuclear power or arms purchases.,True
climate-change,The US administration has signed a decree that stops scientists from studying the effects of climate change on animals,False
climate-change,"The amount of gas produced by the sun has increased by 30 percent since the early twentieth century, according to a report.",False
gun-control,The new laws would bar military personnel from carrying weapons on the street.,True
health-care,a new health-care bill allows patients to choose between two plans,True
energy,A German company has made an all-electric car with its partner.,False
energy,"The state plans to make energy a competitive enterprise, he says.",True
welfare,Welfare is provided in England by an employer-led welfare system run by the government.,True
elections,The new prime minister gave a televised speech.,True
military,He is an active member of the Combined Maritime Force,True
homeland-security,Homeland security laws were adopted in 2000,True
veterans,Veteran Affairs expects an increase in veterans serving in Iraq and Afghanistan.,True
immigration,Obama's proposal would require states to pass laws on letting undocumented immigrants into the country.,False
environment,The U.S. government is funding the construction of more homes with solar panels.,False
crime,In April 2010 the U.S. Justice Department announced it was re-examining whether federally mandated minimum sentences for drug related crimes were too high.,True
energy,China has said that it will start importing oil in 2009.,False
jobs,The most important factor in job creation is training of skilled people.,True
crime,There was no official record of any suspects from terrorism or other overseas criminal activity in the United Kingdom.,True
budget,Republicans said in budget bill they would make $1.5 trillion cuts.,True
immigration,"U.S. officials have said they are reviewing the visa system for skilled economic immigrants, but it has not been finalized",True
homeland-security,Assault weapon system to be implemented,True
crime,"The federally mandated minimum sentences for rape in New York City have been raised to four years, from three.",False
welfare,Welfare can provide aid without having to help the debtor.,True
taxes,The new law will result in $18 billion in new taxes.,False
climate-change,An expert said that greenhouse gases cause global warming,True
elections,"The US embassy in Washington, DC has reported there was no election as president of the UN Security Council in Libya.",False
gun-control,Some guns in New Hampshire are confiscated each year.,False
homeland-security,the police have been hampered by a lack of resources,True
gun-control,Gun-control is being tried after Newtown.,False
homeland-security,United States to adopt terrorism guidelines,False
military,The u.s. said that it would have to cut military spending to pay for programs,False
education,"The country's schools system is in crisis, with more than 1,100 schools reporting a deficit for the first time in more than a decade.",True
energy,The International Energy Agency is requesting any countries that export energy resources to renounce them .,True
elections,venezuelan voters say venezuelans' power based on religion is unjustifiable.,False
economy,"Democrats, Republicans and Democrat say they want a trade deal to boost the economy",False
