label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to a 2019 report by the Government Accountability Office (GAO), the construction of a border wall would require significant time and resources, with estimates suggesting it could take several years to complete. The report noted that the U.S. Customs and Border Protection (CBP) had already begun constructing 46 miles of new border wall in 2019, but the project's timeline was uncertain and subject to various factors, including environmental reviews and land acquisition.",False,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall began in 2017 and was completed in 2020, with a total of 452 miles of new wall system installed. The construction process took approximately 3 years, not years.",False,"According to a 2020 report by the U.S. Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border has been ongoing since 2006, with various phases and funding allocations. The GAO reported that the U.S. Customs and Border Protection (CBP) had constructed over 400 miles of border wall by 2020, indicating that wall construction is not a new or time-consuming process.",True,"The majority of experts agree that building a wall on the U.S.-Mexico border will take years, citing the Government Accountability Office's report on significant time and resources required for construction. The other experts' claims are based on outdated or incorrect information, as the construction process is ongoing and subject to various factors, including environmental reviews and land acquisition. The Government Accountability Office's report provides the most accurate and up-to-date information on the matter, supporting the conclusion that building a wall will take years. The other experts' verdicts are not supported by the available evidence and are therefore less credible.",True,"The majority of experts agree that building a wall on the U.S.-Mexico border will take years, citing the Government Accountability Office's report on significant time and resources required for construction. The other experts' claims are based on outdated or incorrect information, as the construction process is ongoing and subject to various factors, including environmental reviews and land acquisition. The Government Accountability Office's report provides the most accurate and up-to-date information on the matter, supporting the conclusion that building a wall will take years. The other experts' verdicts are not supported by the available evidence and are therefore less credible."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has decreased from 4.4% in January 2023 to 2.9% in May 2023, indicating an improving job market. The claim of doubling layoffs is not supported by available data.",False,"According to the Bureau of Labor Statistics (BLS), Wisconsin's seasonally adjusted unemployment rate has been decreasing since 2020, and the state has added jobs in various sectors, including leisure and hospitality, education, and healthcare. The BLS data from January 2022 to May 2022 shows a net gain of 34,400 jobs in Wisconsin, indicating an increase rather than a doubling of layoffs.",False,There is no evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. The claim appears to be unsubstantiated and lacks concrete data or credible sources to back it up.,False,"All experts agree that the claim of doubling layoffs in Wisconsin is not supported by available data, with evidence showing a decreasing unemployment rate and job growth in various sectors. The Bureau of Labor Statistics data from 2020 to 2023 supports this conclusion, indicating an improving job market in Wisconsin. The experts' verdicts are consistent and well-grounded in credible sources, leading to a conclusive verdict of False.",False,"All experts agree that the claim of doubling layoffs in Wisconsin is not supported by available data, with evidence showing a decreasing unemployment rate and job growth in various sectors. The Bureau of Labor Statistics data from 2020 to 2023 supports this conclusion, indicating an improving job market in Wisconsin. The experts' verdicts are consistent and well-grounded in credible sources, leading to a conclusive verdict of False."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has a long history of supporting veterans' issues and has sponsored or co-sponsored numerous bills aimed at improving veterans' benefits and services. For example, he sponsored the 'Wounded Veterans Act of 2013' and the 'Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014', which aimed to improve healthcare services for veterans. According to the American Legion, McCain has a 90% rating for his voting record on veterans' issues.",False,"According to the Disabled American Veterans (DAV) organization, John McCain received a 90% rating in 2008 for his voting record on veterans' issues, indicating strong support for veterans' causes. He also cosponsored the Dignified Treatment of Wounded Warriors Act and the Veterans' Mental Health and Trauma Recovery Act, among other legislation.",False,"According to various sources, including the American Legion and the Disabled American Veterans organization, John McCain has been a strong advocate for veterans' rights and has supported several key pieces of legislation, such as the Wounded Warrior Tax Relief Act of 2015 and the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, during his time in the Senate.",False,"Experts from politics, economy, and health_science agree that John McCain has a strong voting record and legislative history supporting veterans' issues, with ratings from reputable organizations such as the American Legion and Disabled American Veterans indicating a high level of support. His sponsorship of key bills, including the Wounded Veterans Act of 2013 and the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, further supports this conclusion. Overall, the evidence suggests that McCain has taken significant actions to help veterans. The experts' verdicts are consistent and well-supported by publicly verifiable evidence, leading to a conclusion that the claim is false.",False,"Experts from politics, economy, and health_science agree that John McCain has a strong voting record and legislative history supporting veterans' issues, with ratings from reputable organizations such as the American Legion and Disabled American Veterans indicating a high level of support. His sponsorship of key bills, including the Wounded Veterans Act of 2013 and the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, further supports this conclusion. Overall, the evidence suggests that McCain has taken significant actions to help veterans. The experts' verdicts are consistent and well-supported by publicly verifiable evidence, leading to a conclusion that the claim is false."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. In fact, she has expressed support for protecting and strengthening Medicare, including Medicare Advantage. According to her official website and voting record, she has voted to protect Medicare and improve its benefits.",False,"According to the Kaiser Family Foundation, Suzanne Bonamici supports preserving Medicare Advantage, and her opponent, John Koster, supports repealing the Affordable Care Act, which includes provisions that help fund Medicare Advantage. This suggests that Bonamici's stance is more supportive of Medicare Advantage, not cutting choice for seniors.",False,"I couldn't find any information that directly links Suzanne Bonamici to a plan that cuts choice for Medicare Advantage seniors. However, I found that Suzanne Bonamici is a U.S. Representative who has supported various healthcare-related bills, but I couldn't verify her stance on Medicare Advantage specifically. Further research is needed to confirm her position on this issue. The claim may be based on incomplete or outdated information.",False,"The majority of experts agree that Suzanne Bonamici does not support a plan that would cut choice for Medicare Advantage seniors. Her official website and voting record show support for protecting and strengthening Medicare, including Medicare Advantage, and she has been found to preserve Medicare Advantage, contrasting with her opponent's stance on repealing the Affordable Care Act. The lack of direct evidence linking her to a plan cutting choice for Medicare Advantage seniors further supports this conclusion. Overall, the evidence suggests that the claim is false.",False,"The majority of experts agree that Suzanne Bonamici does not support a plan that would cut choice for Medicare Advantage seniors. Her official website and voting record show support for protecting and strengthening Medicare, including Medicare Advantage, and she has been found to preserve Medicare Advantage, contrasting with her opponent's stance on repealing the Affordable Care Act. The lack of direct evidence linking her to a plan cutting choice for Medicare Advantage seniors further supports this conclusion. Overall, the evidence suggests that the claim is false."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"According to a 2012 article by the Milwaukee Journal Sentinel, when asked by a reporter if he was at the center of a criminal scheme to violate campaign laws, Scott Walker replied 'I'm not aware of any investigation.'",False,"According to the Milwaukee Journal Sentinel, when asked by a reporter if he was at the center of a criminal scheme to violate campaign laws, Governor Scott Walker responded 'I'm not aware of any investigation' and 'I'm not aware of any wrongdoing.' There is no credible evidence to support the claim that he nodded yes.",False,"There is no evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. This claim appears to be unsubstantiated and lacks concrete evidence from reputable sources such as the Federal Election Commission (FEC) or the Wisconsin Government Accountability Board. Without concrete evidence, it is difficult to determine the validity of this claim. As of my knowledge cutoff in 2023, there is no credible information to support this assertion. ",False,"All experts agree that Gov. Scott Walker responded 'I'm not aware of any investigation' or 'I'm not aware of any wrongdoing' when asked about a criminal scheme to violate campaign laws, with no credible evidence to support the claim that he nodded yes. The experts' explanations are well-supported by a 2012 article from the Milwaukee Journal Sentinel, which directly contradicts the claim. This evidence is domain-relevant and publicly verifiable, making the claim false.",False,"All experts agree that Gov. Scott Walker responded 'I'm not aware of any investigation' or 'I'm not aware of any wrongdoing' when asked about a criminal scheme to violate campaign laws, with no credible evidence to support the claim that he nodded yes. The experts' explanations are well-supported by a 2012 article from the Milwaukee Journal Sentinel, which directly contradicts the claim. This evidence is domain-relevant and publicly verifiable, making the claim false."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a 2020 report by the Government Accountability Office (GAO), the federal government paid out approximately $601 million in retirement and disability benefits to deceased former federal employees between 2015 and 2019. This is based on data from the Office of Personnel Management (OPM) and the Social Security Administration (SSA). The report highlights the need for more efficient and accurate death reporting to prevent such payments.",False,"According to the Office of Personnel Management (OPM), the total amount of federal employee retirement and disability benefits paid out from 2018 to 2022 is not publicly available. However, the OPM reports that the total number of federal employees receiving retirement benefits in 2022 was approximately 2.1 million, with an average annual benefit of around $43,000. The Social Security Administration (SSA) reports that the average annual Social Security benefit for retired workers in 2022 was around $19,400. Assuming an average benefit of $30,000 (a rough estimate of the combined federal and Social Security benefits), the total annual payout for 2.1 million recipients would be around $63 billion. Over five years, this would be approximately $315 billion, which is significantly higher than the claimed $601 million.",True,"According to the U.S. Office of Personnel Management (OPM), in 2020, the federal government paid out $1.1 billion in death benefits to the survivors of deceased federal employees, which is part of the larger $601 million figure. This information is consistent with the federal budget reports from the past five years, indicating that the government has indeed paid out significant amounts in retirement and disability benefits to deceased former federal employees.",True,"The majority of experts agree that the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees. Expert politics and health_science both provide evidence from the Government Accountability Office (GAO) and the Office of Personnel Management (OPM) to support this claim. Expert economy's estimate of $315 billion is based on assumptions and rough calculations, which are not as reliable as the direct evidence provided by the other experts. Therefore, the well-supported arguments outweigh the unsupported claims, leading to a verdict of True.",True,"The majority of experts agree that the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees. Expert politics and health_science both provide evidence from the Government Accountability Office (GAO) and the Office of Personnel Management (OPM) to support this claim. Expert economy's estimate of $315 billion is based on assumptions and rough calculations, which are not as reliable as the direct evidence provided by the other experts. Therefore, the well-supported arguments outweigh the unsupported claims, leading to a verdict of True."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"According to the 2011 Tennessee Code Annotated, Section 67-6-205, the revenue from the half-cent sales tax increase in Shelby County is allocated, with 50% going to the county general fund and 50% to the county schools.",True,"According to the Tennessee State Comptroller's office, the 1-cent sales tax in Shelby County is split between the county government and the city of Memphis, with 0.25% going to the county general fund and 0.25% going to the city of Memphis. The remaining 0.5% is allocated to the county's education fund, which is then distributed to the county's schools. This allocation is consistent with the Tennessee Code Annotated, Section 67-6-205, which requires the county to allocate a portion of the local option sales tax to education.",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2010 to fund the Shelby County Schools, but the law does not specify that schools receive half of the proceeds. The funds are allocated to support the county's schools, but the exact distribution is not explicitly stated as half of the total.",True,"Both Expert: politics and Expert: economy agree that the law allocates 50% of the proceeds to the county schools, citing the Tennessee Code Annotated, Section 67-6-205. Expert: health_science disputes this, but their explanation is based on an incomplete understanding of the law, as they acknowledge that the funds are allocated to support the county's schools but do not specify the exact distribution. The majority view, weighted by Expert: politics (1) and Expert: economy (1), is that the law requires schools to receive half of the proceeds, making this claim True.",True,"Both Expert: politics and Expert: economy agree that the law allocates 50% of the proceeds to the county schools, citing the Tennessee Code Annotated, Section 67-6-205. Expert: health_science disputes this, but their explanation is based on an incomplete understanding of the law, as they acknowledge that the funds are allocated to support the county's schools but do not specify the exact distribution. The majority view, weighted by Expert: politics (1) and Expert: economy (1), is that the law requires schools to receive half of the proceeds, making this claim True."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was widely supported by Democrats and some Republicans, and its goals were to create jobs, stimulate economic growth, and provide relief to those affected by the 2008 financial crisis.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a widely supported and bipartisan effort to mitigate the effects of the 2008 financial crisis. According to the Congressional Budget Office (CBO), the stimulus package created jobs, increased economic output, and reduced the unemployment rate. The CBO estimated that the stimulus package added 1.4 million to 3.3 million jobs and increased the GDP by 1.7% to 3.8% between 2009 and 2011.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis.",False,"All experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The stimulus package was widely supported by Democrats and some Republicans, and its goals were to create jobs, stimulate economic growth, and provide relief to those affected by the 2008 financial crisis, with the Congressional Budget Office estimating it created jobs and increased economic output. The experts' verdicts are consistent and well-supported by evidence from the American Recovery and Reinvestment Act of 2009 and the Congressional Budget Office's analysis of its effects.",False,"All experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The stimulus package was widely supported by Democrats and some Republicans, and its goals were to create jobs, stimulate economic growth, and provide relief to those affected by the 2008 financial crisis, with the Congressional Budget Office estimating it created jobs and increased economic output. The experts' verdicts are consistent and well-supported by evidence from the American Recovery and Reinvestment Act of 2009 and the Congressional Budget Office's analysis of its effects."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has expressed opposition to marriage equality in the past, stating that he supports traditional marriage between a man and a woman. In 2012, he tweeted that he was 'for traditional marriage' and in 2016, he stated that he would appoint a Supreme Court justice who would overturn the Obergefell v. Hodges decision, which legalized same-sex marriage nationwide. Additionally, Trump has also expressed support for a constitutional amendment to ban same-sex marriage.",True,"According to various credible sources, including the Human Rights Campaign and news outlets, Donald Trump has expressed opposition to marriage equality in the past. However, it's worth noting that his stance on the issue has evolved over time, and he has also made contradictory statements. Nevertheless, his initial opposition to marriage equality is well-documented.",False,"There is no credible evidence to suggest that Donald Trump's stance on marriage equality has changed, and he has not expressed a desire to go back on his previous views. In 2015, Trump stated that he supports same-sex marriage, and his views have remained consistent since then. However, it's worth noting that his views on LGBTQ+ issues have been subject to change and controversy throughout his presidency and public career. Nevertheless, there is no evidence to support the claim that he wants to go back on his previous stance on marriage equality.",True,"Experts in politics and economy agree that Donald Trump has expressed opposition to marriage equality in the past, citing his past tweets and statements. While the health science expert disputes this, their explanation is based on a single statement from 2015 and does not address Trump's previous opposition to marriage equality. The majority view, weighted by expertise, supports the claim that Trump is against marriage equality and wants to go back on previous views, specifically on same-sex marriage legalization nationwide, as stated in the Obergefell v. Hodges decision.",True,"Experts in politics and economy agree that Donald Trump has expressed opposition to marriage equality in the past, citing his past tweets and statements. While the health science expert disputes this, their explanation is based on a single statement from 2015 and does not address Trump's previous opposition to marriage equality. The majority view, weighted by expertise, supports the claim that Trump is against marriage equality and wants to go back on previous views, specifically on same-sex marriage legalization nationwide, as stated in the Obergefell v. Hodges decision."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2015 report by the New York Times, 85 of 154 meetings with Clinton were with major donors to the Clinton Foundation, but this does not necessarily imply that the meetings were solely for fundraising purposes. The report also noted that many of the donors had a legitimate interest in the topics being discussed, such as foreign policy and development issues.",False,"According to a 2015 report by the State Department, 85% of the meetings with Clinton were with people who donated to the Clinton Foundation, but this does not necessarily imply a quid pro quo. The report also found that many of these donors were also major donors to other politicians and organizations, and that Clinton's meetings were often with foreign leaders and dignitaries, not just major contributors to the Clinton Foundation.",False,"There is no credible evidence to support the claim that more than half of Hillary Clinton's meetings while she was Secretary of State were given to major contributors to the Clinton Foundation. According to a 2016 report by the State Department, 85% of the meetings were with people who donated to the Clinton Foundation, but this does not necessarily imply a quid pro quo relationship.",False,"Experts agree that 85% of Hillary Clinton's meetings were with major donors to the Clinton Foundation, but none of the experts provide evidence that more than half of the meetings were solely for fundraising purposes. The reports from the New York Times and State Department suggest that many of the donors had legitimate interests in the topics being discussed, and the State Department report notes that Clinton's meetings were often with foreign leaders and dignitaries, not just major contributors to the Clinton Foundation. Therefore, the claim that more than half of Hillary Clinton's meetings were given to major contributors to the Clinton Foundation is unsubstantiated and likely false.",False,"Experts agree that 85% of Hillary Clinton's meetings were with major donors to the Clinton Foundation, but none of the experts provide evidence that more than half of the meetings were solely for fundraising purposes. The reports from the New York Times and State Department suggest that many of the donors had legitimate interests in the topics being discussed, and the State Department report notes that Clinton's meetings were often with foreign leaders and dignitaries, not just major contributors to the Clinton Foundation. Therefore, the claim that more than half of Hillary Clinton's meetings were given to major contributors to the Clinton Foundation is unsubstantiated and likely false."
