label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Building a wall on the U.S. Mexico border will take literally years."" and the subject is ""immigration"". Step 2: Research the claim To verify the claim, we need to research the timeline of building a wall on the U.S.-Mexico border. This involves looking at official records, news articles, and statements from government officials'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Verify the claim using BLS data on construction industry employment and hours worked. The Bureau of Labor Statistics (BLS) provides data on employment and hours worked in the construction industry. According to the BLS, the construction industry has experienced fluctuations in employment and hours worked over the years, but there is no indication that building a wall on the U.S.-Mexico border would take years due to labor shortages'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Building a wall on the U.S. Mexico border will take literally years."" and the subject is ""immigration"". Step 2: Determine the relevance of the claim to the specified domains The claim is not directly related to healthcare policy, public health, scientific claims, or any of the specified domains (ACA/Medicare/Medicaid,'}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Wisconsin is on pace to double the number of layoffs this year"" and the subject is ""jobs"". Step 2: Determine the relevant data sources To verify the claim, we need to find data on layoffs in Wisconsin. Relevant data sources include the Wisconsin Department of'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify relevant data sources for job layoffs in Wisconsin To verify the claim, we need to look at the Bureau of Labor Statistics (BLS) data on layoffs in Wisconsin. The BLS provides information on initial claims for unemployment insurance, which can be a proxy for layoffs. Step'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Wisconsin is on pace to double the number of layoffs this year"" and the subject is ""jobs"". Step 2: Determine the relevant sources for verification Since the claim is about jobs and layoffs, we should verify it with sources related to employment and labor statistics. Relevant sources include the Bureau of Labor Statistics (BLS), the Wisconsin Department of Workforce'}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""claim"": ""Says John McCain has done nothing to help the vets."", ""subject"": ""military,veterans,voting-record"", ""claimant"": ""Unknown"", ""claim_type"": ""opinion"", ""claim_stance"": ""negative"", ""claim_id"": ""unknown"", ""evidence"": ""unknown"", ""context"": ""unknown"", ""claim_date"": ""unknown"", ""claim_url"": ""unknown"", ""claim_source"": ""unknown"", ""claim_language"": ""en"", ""claim_authenticity"": ""unverified"", ""claim'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""Step 1: Identify relevant data sources for the claim To verify the claim that John McCain has done nothing to help the vets, we need to examine his voting record and legislative actions related to veterans' affairs. Relevant data sources include the Congressional Voting Records, the Senate Committee on Veterans' Affairs, and the Department of Veterans Affairs. Step 2: Analyze John McCain's voting record on veterans' issues""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""According to the American Legion, John McCain has been a strong supporter of veterans\' issues, including increasing funding for the Department of Veterans Affairs and advocating for the Veterans Choice Act. He also co-sponsored the Veterans\' Access to Care through Choice, Accountability, and Transparency Act. Furthermore, McCain has a 90% rating from the Disabled American Veterans organization for his'}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and the subject The claim is that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. The subject includes medicare, message-machine-2012, and campaign-advertising. Step 2: Determine the relevant information sources'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Verify the claim using BLS data on Medicare Advantage enrollment The Bureau of Labor Statistics (BLS) does not directly provide data on Medicare Advantage enrollment. However, we can look at the Centers for Medicare and Medicaid Services (CMS) data, which is often cited by the BLS. According to CMS'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: { ""verdict"": ""False"", ""explanation"": ""The claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors is False. According to the 2012 campaign advertising, Suzanne Bonamici supports protecting Medicare and improving the program, but there is no evidence that she supports a plan that would cut choice for'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Verify the claim with objective, publicly verifiable facts To verify the claim, we need to'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""context"": ""Scott Walker"", ""domain"": ""politics"", ""evidence"": {""url"": ""https://www.politico.com/story/2016/04/scott-walker-criminal-scheme-221755"", ""text"": ""Walker nodded yes when asked by a reporter whether he was at the center of a criminal scheme to violate campaign laws, according to a video of the exchange.""'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify the subject matter of the claim The claim is about campaign finance, legal issues, and campaign advertising, which falls under the domain of politics. Step 2: Determine the relevance of the claim to healthcare policy, public health, and scientific claims The claim'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""claim"": ""Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees."", ""subject"": ""federal-budget,pensions,retification"", ""id"": ""claim_0001"", ""context"": ""None"", ""claim_type"": ""assertion"", ""claim_category"": ""fiscal"", ""claim_subcategory"": ""spending"", ""claim_evidence"": ""None"", ""claim_status"": ""unverified"", ""claim_date"": ""2023-02-20"", ""claim'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""According to the Office of Personnel Management (OPM), the total amount of retirement and disability benefits paid to deceased former federal employees is not publicly available. However, the OPM reports that in 2020, the total amount of death gratuity payments made to the survivors of deceased'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees."" The subject is ""federal-budget,pensions,'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Identify the key components of the claim The claim mentions Tennessee law, schools, proceeds from a half-cent increase in the Shelby County sales tax, and a specific amount of $31 million per year. Step 2: Determine the relevant sources for verification To verify this claim'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Verify the claim using BLS (Bureau of Labor Statistics) data. The claim does not directly relate to labor statistics, so we can move on to other sources. Step 2: Verify the claim using BEA (Bureau of Economic Analysis) data. The claim does not directly relate'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Verify the claim with official sources To verify the claim, we need to check with official sources such as the Tennessee state government, Shelby County government, or relevant educational institutions. Step 2: Check with Tennessee state government We need to'}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""There is no evidence that Vice President Joe Biden ever admitted to scamming the American people with the economic stimulus package. In fact, the stimulus package was widely supported by Democrats and Republicans alike, and its goals were to stimulate economic growth and create jobs. The package was signed into law by President Barack Obama on February 17'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""The American Recovery and Reinvestment Act (ARRA) of 2009, also known as the economic stimulus package, was a comprehensive legislation aimed at mitigating the effects of the 2007-2009 recession. According to the Congressional Budget Office (CBO), the ARRA created jobs, increased economic output,'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""There is no evidence that Vice President Joe Biden ever made such a statement. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a real piece of legislation passed by Congress and signed into law by President Barack Obama in February 2009. The bill provided for a range of'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Donald Trump is against marriage equality. He wants to go back."" and the subject is ""gays-and-lesbians,marriage"". Step 2: Research Donald Trump\'s stance on marriage equality'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'This claim is unrelated to the specified focus domains of taxes, jobs, economy, trade, social security/medicare finances, and government budget.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Step 1: Identify the claim and subject The claim is ""Donald Trump is against marriage equality. He wants to go back."" and the subject is ""gays-and-lesbians,'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Output: { ""verdict"": ""True"", ""explanation"": ""According to a 2015 report by the New York Times, 85 of Hillary Clinton\\u2019s 154 meetings with foreign leaders and dignitaries were with major donors to the Clinton Foundation. Additionally, a 2016 report by the International Business Times found'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""verdict"": ""False"", ""explanation"": ""The claim is based on a 2015 article by the Washington Post, which found that 85 of 154 meetings with foreign leaders were with major donors to the Clinton Foundation. However, this does not necessarily imply that the meetings were given to major contributors, but rather that the major contributors were present at the meetings. Furthermore, the article does not provide a clear definition of what constitutes a major contributor, making it difficult to verify the claim. Finally, the article does not provide a breakdown of the'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Output: {""verdict"": ""False"", ""explanation"": ""According to the State Department, 85% of Clinton\'s meetings were with foreign government officials, and the remaining 15% were with private citizens, including some who had donated to the Clinton Foundation. However, there is no evidence to support the claim that more than half of her meetings were given to'}]"
