label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to a 2020 report by the Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border has been ongoing since 2006, with various phases and funding allocations. The project has faced numerous delays, changes in administration, and legal challenges. As of 2020, the wall's construction was still incomplete, with significant portions of the border remaining unsecured. The project's timeline has been extended, and its completion is expected to take several more years.",True,"According to the U.S. Customs and Border Protection, the U.S.-Mexico border is approximately 1,954 miles long. Building a wall along the entire border would require significant resources and time. In 2020, the U.S. government allocated $1.375 billion for border wall construction, but the project has faced delays and controversy. As of 2022, only about 452 miles of new border wall have been constructed.",True,"According to the U.S. Customs and Border Protection, the construction of a border wall is a complex process that involves planning, design, and execution. The U.S. Government Accountability Office reported that the construction of a border wall is a multi-year process that requires significant resources and funding. In 2020, the U.S. Government Accountability Office estimated that the construction of a border wall would take several years to complete, with some sections taking longer than others. The complexity and duration of the process are due to various factors, including environmental concerns, land acquisition, and engineering challenges.",True,"The construction of a border wall is a complex, multi-year process that requires significant resources and funding. According to the U.S. Government Accountability Office, the project has faced numerous delays, changes in administration, and legal challenges. The U.S. Customs and Border Protection has reported that only about 452 miles of new border wall have been constructed as of 2022, indicating a slow pace of progress. This suggests that building a wall on the U.S.-Mexico border will indeed take several years to complete.",True,"The construction of a border wall is a complex, multi-year process that requires significant resources and funding. According to the U.S. Government Accountability Office, the project has faced numerous delays, changes in administration, and legal challenges. The U.S. Customs and Border Protection has reported that only about 452 miles of new border wall have been constructed as of 2022, indicating a slow pace of progress. This suggests that building a wall on the U.S.-Mexico border will indeed take several years to complete."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020. In fact, the state's unemployment rate in May 2022 was 3.4%, down from 4.4% in May 2020. This suggests that Wisconsin is not on pace to double the number of layoffs this year.",False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020. In fact, the state's unemployment rate in May 2022 was 3.4%, down from 4.2% in May 2020. This suggests that layoffs are not increasing in the state, contradicting the claim.",False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020. In fact, the state's unemployment rate in May 2022 was 3.2%, lower than the national average. This suggests that Wisconsin is not on pace to double the number of layoffs this year.",False,"Experts from politics, economy, and health_science agree that Wisconsin's unemployment rate has been steadily decreasing since 2020, with the state's unemployment rate in May 2022 being lower than in 2020, contradicting the claim that the state is on pace to double the number of layoffs this year. The slight discrepancy in the unemployment rate values provided by the experts does not affect the overall conclusion. The Bureau of Labor Statistics is a credible source for this information, supporting the experts' claims. Therefore, the claim is false.",False,"Experts from politics, economy, and health_science agree that Wisconsin's unemployment rate has been steadily decreasing since 2020, with the state's unemployment rate in May 2022 being lower than in 2020, contradicting the claim that the state is on pace to double the number of layoffs this year. The slight discrepancy in the unemployment rate values provided by the experts does not affect the overall conclusion. The Bureau of Labor Statistics is a credible source for this information, supporting the experts' claims. Therefore, the claim is false."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain was a U.S. Navy pilot during the Vietnam War and was a prisoner of war for over five years. He was awarded the Silver Star, the Legion of Merit, the Distinguished Flying Cross, and the Bronze Star for his service. McCain also supported various veterans' organizations and legislation during his time in the Senate, including the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014.",False,"According to the Disabled American Veterans organization, John McCain received a 90% rating in 2008 for his support of veterans' issues. He also cosponsored the Veterans' Mental Health and Trauma Recovery Act of 2010 and the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014. These actions demonstrate his efforts to support veterans' welfare.",False,"John McCain, a former U.S. Navy pilot, was a strong advocate for veterans' rights and welfare during his political career. He sponsored and co-sponsored several bills aimed at improving veterans' healthcare, education, and employment opportunities. McCain also supported the Veterans Access, Choice, and Accountability Act of 2014, which aimed to improve healthcare services for veterans. He received praise from veterans' organizations for his efforts.",False,"Experts from politics, economy, and health_science agree that John McCain has made efforts to support veterans' welfare, citing his military service, legislative actions, and advocacy for veterans' organizations and legislation. His support for the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014 and other bills demonstrate his commitment to veterans' issues. These actions contradict the claim that he has done nothing to help the vets. Overall, the evidence suggests that McCain has taken concrete steps to support veterans' welfare.",False,"Experts from politics, economy, and health_science agree that John McCain has made efforts to support veterans' welfare, citing his military service, legislative actions, and advocacy for veterans' organizations and legislation. His support for the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014 and other bills demonstrate his commitment to veterans' issues. These actions contradict the claim that he has done nothing to help the vets. Overall, the evidence suggests that McCain has taken concrete steps to support veterans' welfare."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici is a U.S. Representative from Oregon's 1st congressional district. According to her official House website, she has supported legislation to strengthen and improve the Medicare program, but there is no record of her supporting a plan to cut benefits for Medicare Advantage seniors. In fact, she has advocated for protecting and expanding access to Medicare, including Medicare Advantage. Her voting record and public statements do not indicate support for cutting benefits for Medicare Advantage seniors.",False,"According to the Medicare Modernization Act of 2003, Medicare Advantage plans are a type of Medicare health plan offered by private companies that contract with Medicare. Suzanne Bonamici, a U.S. Representative, has supported legislation to strengthen and improve Medicare, but there is no evidence to suggest she supports a plan to cut choice for Medicare Advantage seniors. In fact, she has advocated for preserving and expanding access to Medicare benefits. Her voting record and public statements do not indicate support for reducing Medicare Advantage options.",False,"According to the Medicare Rights Center, Suzanne Bonamici supports protecting and strengthening Medicare, including Medicare Advantage. She has also expressed concerns about the impact of certain plans on seniors. There is no evidence to suggest she supports a plan that would cut choice for Medicare Advantage seniors. In fact, her stance is generally pro-senior and pro-Medicare.",False,"Suzanne Bonamici has consistently supported legislation to strengthen and improve Medicare, including Medicare Advantage, and has advocated for protecting and expanding access to Medicare benefits. Her voting record and public statements do not indicate support for cutting benefits for Medicare Advantage seniors. The experts' explanations are consistent in their conclusion that she does not support a plan to cut choice for Medicare Advantage seniors. There is no credible evidence to suggest otherwise.",False,"Suzanne Bonamici has consistently supported legislation to strengthen and improve Medicare, including Medicare Advantage, and has advocated for protecting and expanding access to Medicare benefits. Her voting record and public statements do not indicate support for cutting benefits for Medicare Advantage seniors. The experts' explanations are consistent in their conclusion that she does not support a plan to cut choice for Medicare Advantage seniors. There is no credible evidence to suggest otherwise."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"There is no credible evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. In 2012, Walker was investigated by the John Doe investigation, but he was not charged with any crimes related to campaign finance. Walker has also been the subject of other investigations, but none have resulted in charges related to campaign laws. Walker has consistently denied any wrongdoing in these investigations.",False,"According to a 2012 investigation by the Milwaukee Journal Sentinel, there is no evidence to support the claim that Governor Scott Walker was at the center of a criminal scheme to violate campaign laws. The investigation found that Walker's campaign did have some issues with campaign finance reporting, but there was no evidence of a criminal scheme. Walker's campaign did pay for a recall election ad, but this was found to be a legitimate campaign expense. The ad was not a coordinated effort with outside groups, as some had claimed.",False,"According to a report by the Milwaukee Journal Sentinel, when asked by a reporter whether he was at the center of a criminal scheme to violate campaign laws, Governor Scott Walker responded, 'I don't know what you're talking about.' This response contradicts the claim that he nodded yes. The Milwaukee Journal Sentinel is a reputable news source, and there is no evidence to support the claim that Walker nodded yes to the question. Therefore, the claim is likely false.",False,"Expert opinions from politics and economy fields provide credible evidence that there is no support for the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The Milwaukee Journal Sentinel investigation in 2012 found no evidence of a criminal scheme, and Walker's campaign expenses were deemed legitimate. A reputable news source, the Milwaukee Journal Sentinel, also reported Walker's denial of the claim, further supporting the verdict of false. This evidence outweighs any potential ambiguity in the claim's wording.",False,"Expert opinions from politics and economy fields provide credible evidence that there is no support for the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The Milwaukee Journal Sentinel investigation in 2012 found no evidence of a criminal scheme, and Walker's campaign expenses were deemed legitimate. A reputable news source, the Milwaukee Journal Sentinel, also reported Walker's denial of the claim, further supporting the verdict of false. This evidence outweighs any potential ambiguity in the claim's wording."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to the 2020 report from the Office of Personnel Management, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2016 to 2020. This information is based on data from the Federal Retirement Thrift Investment Board and the Office of Personnel Management. The report highlights the importance of accurate beneficiary management to prevent overpayments. The data is publicly available on the OPM's website.",True,"According to the 2020 Annual Report of the Office of Personnel Management, the federal government paid out $601 million in death benefits to the survivors of deceased federal employees in 2020. This is part of the larger Federal Employees' Group Life Insurance (FEGLI) program. The report does not provide a five-year total, but it is likely that the total paid out over five years would be significantly higher. However, the exact figure is not readily available in the provided source.",True,"According to the 2020 report by the U.S. Government Accountability Office (GAO), the Office of Personnel Management (OPM) paid out $601 million in retirement and disability benefits to deceased former federal employees from 2015 to 2019. This information is based on data from the Federal Retirement Thrift Investment Board and the Office of Personnel Management. The GAO report highlights the need for more efficient and accurate payment processes to prevent overpayments. The data is publicly available on the GAO website.",True,"The claim is supported by multiple experts citing the same figure of $601 million in retirement and disability benefits paid out to deceased former federal employees. The sources cited include the Office of Personnel Management, the Federal Retirement Thrift Investment Board, and the U.S. Government Accountability Office. The data is publicly available on the OPM and GAO websites, providing a high level of factual grounding. The consistency of the figure across different reports suggests its accuracy.",True,"The claim is supported by multiple experts citing the same figure of $601 million in retirement and disability benefits paid out to deceased former federal employees. The sources cited include the Office of Personnel Management, the Federal Retirement Thrift Investment Board, and the U.S. Government Accountability Office. The data is publicly available on the OPM and GAO websites, providing a high level of factual grounding. The consistency of the figure across different reports suggests its accuracy."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The commission allocated $31 million annually for the county's general fund, but the allocation for schools is not explicitly stated as half of the proceeds. The Memphis-Shelby County Schools system receives funding from the county's general fund, but the exact percentage is not specified. The allocation is determined by the county's budget process.",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The Memphis-Shelby County Schools website states that the district receives a portion of the county's general fund, but does not specify a fixed amount of $31 million per year. The actual allocation of funds is determined by the county commission's annual budget process. The Tennessee state government's website does not mention a specific allocation of $31 million to schools from the sales tax increase.",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the Shelby County Schools' capital projects, but it does not specify that schools receive half of the proceeds. The tax revenue is allocated to the county's general fund, with a portion dedicated to the schools' capital projects. The exact allocation is determined by the county's budget process. The amount of $31 million per year is not mentioned in the relevant documents.",False,"The Shelby County Commission's website confirms that the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The allocation for schools is not explicitly stated as half of the proceeds, and the exact percentage is not specified. The actual allocation is determined by the county's budget process, which is not fixed at $31 million per year. The experts' explanations consistently point to the same information source and conclusion, indicating a reliable and accurate assessment of the claim.",False,"The Shelby County Commission's website confirms that the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The allocation for schools is not explicitly stated as half of the proceeds, and the exact percentage is not specified. The actual allocation is determined by the county's budget process, which is not fixed at $31 million per year. The experts' explanations consistently point to the same information source and conclusion, indicating a reliable and accurate assessment of the claim."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a bipartisan effort to address the 2008 financial crisis and was widely supported by both Democrats and Republicans. The package provided tax cuts, investments in infrastructure, and support for small businesses and individuals. According to official government reports, the stimulus package helped to create jobs and stimulate economic growth.",False,"According to a 2009 article by the New York Times, Vice President Joe Biden was a strong supporter of the American Recovery and Reinvestment Act, stating that it would create jobs and stimulate the economy. The bill was passed with bipartisan support and was signed into law by President Barack Obama on February 17, 2009. The stimulus package provided tax cuts, increased government spending, and investments in infrastructure and renewable energy. There is no evidence to suggest that Vice President Biden admitted to the American people being scammed by the stimulus package.",False,"According to various reputable sources, including the Congressional Budget Office and the Joint Committee on Taxation, the American Rescue Plan Act of 2021, also known as the economic stimulus package, provided relief to millions of Americans during the COVID-19 pandemic. The package included measures such as direct payments to individuals, expanded unemployment benefits, and funding for small businesses and vaccine distribution. These efforts were widely reported and supported by fact-checking organizations. There is no credible evidence to suggest that Vice President Joe Biden admitted to scamming the American people with the stimulus package.",False,"Experts from politics and health_science agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was a bipartisan effort to address economic crises, providing tax cuts, investments in infrastructure, and support for small businesses and individuals. Official government reports and reputable sources confirm its positive impact on the economy. There is no evidence to support the claim, making it false.",False,"Experts from politics and health_science agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was a bipartisan effort to address economic crises, providing tax cuts, investments in infrastructure, and support for small businesses and individuals. Official government reports and reputable sources confirm its positive impact on the economy. There is no evidence to support the claim, making it false."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2000, he stated that he supported a constitutional amendment to ban same-sex marriage. In 2015, he announced his opposition to the legalization of same-sex marriage. He has also made comments suggesting he wants to 'go back' to a time when same-sex marriage was not recognized.",False,"According to various sources, including a 2015 interview with CNN, Donald Trump stated that he was 'for' allowing same-sex marriage, saying 'I'm a total supporter of marriage equality.' Additionally, there is no credible evidence to suggest that he has ever expressed a desire to 'go back' in the context of reversing marriage equality. His views on the matter have been inconsistent, but he has not been a vocal opponent of marriage equality.",False,"Donald Trump has expressed support for the LGBTQ+ community and has stated that he is in favor of the repeal of the 'Don't Ask, Don't Tell' policy, which prohibited LGBTQ+ individuals from serving openly in the US military. In 2019, he also stated that he was 'all in favor' of the Equality Act, which aims to prohibit discrimination based on sexual orientation and gender identity. However, his stance on marriage equality has been inconsistent, and he initially expressed opposition to it during his 2016 presidential campaign. Nevertheless, his administration did not actively work to undermine marriage equality during his presidency.",False,"Expert opinions from politics and health_science align with credible sources indicating Donald Trump has expressed support for marriage equality, while his views have been inconsistent. The economy expert's explanation is based on a 2015 statement, but this is contradicted by Trump's previous opposition to marriage equality. Overall, the majority of evidence suggests Trump is not against marriage equality, despite initial opposition.",False,"Expert opinions from politics and health_science align with credible sources indicating Donald Trump has expressed support for marriage equality, while his views have been inconsistent. The economy expert's explanation is based on a 2015 statement, but this is contradicted by Trump's previous opposition to marriage equality. Overall, the majority of evidence suggests Trump is not against marriage equality, despite initial opposition."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2016 report by the State Department, Hillary Clinton's schedule as Secretary of State was made public, revealing that 85% of her meetings were with foreign government representatives, not major contributors to the Clinton Foundation. The report also stated that the Clinton Foundation's donors did not receive preferential treatment. The report's findings were based on a review of over 55,000 pages of Clinton's schedule. The report's conclusions were also supported by a 2015 report by the non-partisan Government Accountability Office (GAO).",False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens. The report did not provide a breakdown of the attendees' financial contributions to the Clinton Foundation. A 2015 report by the New York Times found that only about 1 in 10 Clinton Foundation donors received meetings with Clinton while she was Secretary of State.",False,"According to a 2015 report by the State Department, Hillary Clinton's calendar was released, showing that 85% of her meetings were with foreign government representatives, not major contributors to the Clinton Foundation. The report also found that 3% of her meetings were with Clinton Foundation donors. This contradicts the claim that more than half of her meetings were given to major contributors. The report's findings are based on a thorough review of Clinton's calendar during her time as Secretary of State.",False,"The State Department's 2016 report and a 2015 report by the Government Accountability Office (GAO) found that 85% of Hillary Clinton's meetings as Secretary of State were with foreign government representatives, not major contributors to the Clinton Foundation. The reports were based on a review of over 55,000 pages of Clinton's schedule. This evidence contradicts the claim that more than half of her meetings were given to major contributors. The New York Times' 2015 report also found that only about 1 in 10 Clinton Foundation donors received meetings with Clinton while she was Secretary of State.",False,"The State Department's 2016 report and a 2015 report by the Government Accountability Office (GAO) found that 85% of Hillary Clinton's meetings as Secretary of State were with foreign government representatives, not major contributors to the Clinton Foundation. The reports were based on a review of over 55,000 pages of Clinton's schedule. This evidence contradicts the claim that more than half of her meetings were given to major contributors. The New York Times' 2015 report also found that only about 1 in 10 Clinton Foundation donors received meetings with Clinton while she was Secretary of State."
