label,statement,subjects
false,Health care reform legislation is likely to mandate free sex change surgeries.,health-care
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine"
false,I dont know who (Jonathan Gruber) is.,health-care
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture"
pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration"
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states"
false,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care"
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare"
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care
mostly-true,The insurance commissioner cant do squat about health care.,health-care
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.","health-care,veterans"
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,health-care
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits"
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare"
false,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers"
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes"
true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care"
false,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care
false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court"
mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,"health-care,history"
barely-true,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,"economy,health-care"
barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.","economy,health-care"
pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,"health-care,states"
barely-true,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,"health-care,pundits"
barely-true,The American people support defunding Obamacare and oppose shutting down the government.,health-care
false,74 percent of Republicans support the Affordable Care Act.,"health-care,polls"
false,"Most young Americans right now, theyre not covered by health insurance.",health-care
barely-true,Polls show that Floridians dont want to repeal the Affordable Care Act.,"health-care,polls"
false,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,health-care
pants-fire,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","health-care,privacy"
barely-true,Jason Carter supports using Georgia tax dollars to promote Obamacare,health-care
half-true,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.","health-care,veterans"
false,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care
barely-true,Says real estate taxes were put in place to pay for Obamacare.,"health-care,taxes"
false,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,"health-care,state-budget"
barely-true,There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.,"health-care,supreme-court"
true,Texas leads the nation in the percentage of residents without health insurance.,health-care
pants-fire,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",health-care
pants-fire,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.","health-care,medicare"
mostly-true,More people die from medical misadventures than firearm accidents nationally and in Florida.,"guns,health-care"
half-true,Charlie Crist has six different positions on ObamaCare.,health-care
mostly-true,Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.,"health-care,legal-issues"
mostly-true,"14,000 Americans . . . lose their health insurance every single day.",health-care
half-true,The Affordable Care Act is bringing the cost of health care in our country down.,health-care
half-true,The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.,"health-care,public-health"
barely-true,Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.,"families,health-care"
false,Jim Renacci voted repeatedly to end Medicare.,"health-care,medicare"
mostly-true,"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.","health-care,pundits"
barely-true,Health insurance companies pay CEOs $24 million a year,"corporations,health-care"
true,The No. 1 issue that the American people care about is getting America back to work.,"economy,health-care"
true,Some businesses in Oregon are having to shrink back their businesses as a result of the law.,"corrections-and-updates,health-care"
half-true,"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",health-care
mostly-true,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,health-care
barely-true,The IRS will have the ability potentially to deny or delay health care.,"health-care,taxes"
false,We spend twice as much per capita on health care as any other nation on Earth.,health-care
mostly-true,One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,health-care
half-true,#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.,"education,health-care"
half-true,"The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.",health-care
false,"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",health-care
false,"If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.",health-care
false,"Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.","health-care,medicare"
false,"Barack Obama's plan calls for ""mandates and fines for small businesses.""",health-care
mostly-true,"On the night of the Iowa caucuses, Obama promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.",health-care
barely-true,"Barack Obama ""wants the government to take over health care, spend hundreds of billions of dollars of new money for health insurance for everyone.""",health-care
half-true,David Perdue proposes rolling back the clock on womens health care.,health-care
false,SaysPresident Obama and his allies in Congress gave power to control Medicare patients health care decisions to a commission of 15 unelected bureaucrats in Washington.,health-care
false,Says Planned Parenthood provides about 140 visits for prenatal care in each state.,health-care
half-true,"500,000 people have signed up for #Obamacare.","health-care,medicaid"
mostly-true,No family earns too much to qualify for Oregon Healthy Kids program.,"children,health-care"
true,"You cant give a child an aspirin in school without permission. You cant do any kind of medication, but we can secretly take the child off and have an abortion.","abortion,health-care"
