model,model_short,prompt,mode,condition,accuracy,macro_f1,n,tn,fp,fn,tp,mean_conf_max,mean_conf_norm
google/gemma-7b-it,gemma-7b-it,P0_basic,with_subjects,orig_plus_tone,0.6164167324388319,0.5737160848688255,1267,190,363,123,591,2.09108543586882e-05,0.9578050802840591
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,with_subjects,orig_plus_tone,0.6148382004735596,0.5974949873707783,1267,258,295,193,521,2.7661667028685563e-05,0.9613526616726329
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,orig_plus_tone,0.6132596685082873,0.6121751624187906,1267,355,198,292,422,1.835925253266182e-05,0.9521118895252438
google/gemma-7b-it,gemma-7b-it,P0_basic,with_subjects,orig,0.611681136543015,0.5903685712933904,1267,243,310,182,532,1.714698556467602e-05,0.9554674347084755
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,with_subjects,orig,0.6101026045777427,0.5905309572408017,1267,248,305,189,525,2.0858481955160855e-05,0.9650613669587577
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,orig,0.606156274664562,0.5912440802340428,1267,263,290,209,505,1.0997822766007045e-05,0.956586251182601
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,orig,0.601420678768745,0.5993993196797625,1267,336,217,288,426,1.1453479046301613e-05,0.9582184185898565
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,orig_plus_tone,0.6006314127861089,0.5489161638222182,1267,166,387,119,595,1.771612919495342e-05,0.961370308076895
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,with_subjects,neutral_plus_tone,0.5785319652722968,0.47016507956396436,1267,80,473,61,653,2.566967421583757e-05,0.9778637270278866
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,with_subjects,neutral,0.5777426992896606,0.4724666577946087,1267,83,470,65,649,1.8548781049008e-05,0.9768989122958727
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,neutral,0.5769534333070244,0.4520037699796008,1267,63,490,46,668,8.523060214238268e-06,0.9864954858107566
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,neutral_plus_tone,0.5737963693764798,0.4932990881783118,1267,111,442,98,616,1.5218171787543276e-05,0.9690653718879608
google/gemma-7b-it,gemma-7b-it,P0_basic,with_subjects,neutral,0.5730071033938438,0.44306334780966,1267,57,496,45,669,1.2931093355785247e-05,0.9819749490125453
google/gemma-7b-it,gemma-7b-it,P0_basic,with_subjects,neutral_plus_tone,0.5706393054459353,0.41533659066232353,1267,35,518,26,688,2.075801660220316e-05,0.9885327986249851
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,neutral_plus_tone,0.5674822415153907,0.4016580489486384,1267,26,527,21,693,1.6931010514287535e-05,0.9920748156898774
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,neutral,0.5651144435674822,0.4856518711987534,1267,109,444,107,607,9.2088081751491e-06,0.9768966665820026
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,with_subjects,neutral_plus_tone,0.5217048145224941,0.5216806793885902,1267,335,218,388,326,1.857675717865907e-05,0.821479465354833
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,no_subjects,neutral_plus_tone,0.5114443567482242,0.5114334002179095,1267,321,232,387,327,1.5055629144371505e-05,0.8122353673722921
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,with_subjects,orig_plus_tone,0.510655090765588,0.47970867818954466,1267,478,75,545,169,3.7943324292175184e-05,0.8409530448616919
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,no_subjects,orig_plus_tone,0.5067087608524072,0.4689127424054941,1267,490,63,562,152,3.988588884087204e-05,0.8509644679834187
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,neutral,0.5011838989739542,0.49760076293730865,1267,371,182,450,264,5.854999052832463e-05,0.874137992850945
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,orig_plus_tone,0.500394632991318,0.46403575540852016,1267,482,71,562,152,0.0001706634328686923,0.8646031680758322
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,neutral_plus_tone,0.49171270718232046,0.48638842588163017,1267,376,177,467,247,6.15863824380527e-05,0.8648612010442291
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,orig,0.49171270718232046,0.44998004702431027,1267,486,67,577,137,0.00019287318423499993,0.8729051102585539
