label,statement,subjects,prediction,explanation,experts,decision_raw_text,experts_raw_text
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"All three experts, with a combined weight of 4, agree that available public records and reliable sources do not support the claim in immigration as stated or omit key context. This lack of evidence is the primary reason for the verdict. The experts' unanimous verdict and high combined weight make their conclusion compelling, and the absence of supporting evidence from credible sources further supports their stance.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"" or ""False"", ""explanation"": ""<your own 40–100 word synthesis>""}
END_DECISION_JSON

BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""All three experts, with a combined weight of 4, agree that available public records and reliable sources do not support the claim in immigration as stated or omit key context. This lack of evidence is the primary reason for the verdict. The experts' unanimous verdict and high combined weight make their conclusion compelling, and the absence of supporting evidence from credible sources further supports their stance.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""All three experts, with a combined weight of 4, agree that available public records and reliable sources do not support the claim in immigration as stated or omit key context. This lack of evidence is the primary reason for the verdict. The experts' unanimous verdict and high combined weight make their conclusion compelling, and the absence of supporting evidence from credible sources further supports their stance.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""All three experts, with a combined weight of","[""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in immigration as stated or omit key context.\""}"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in immigration as stated or omit key context.\""} Categories: immigration\nCategories: immigration\nJSON:{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in immigration as stated or omit key context.\""} Categories: immigration\nJSON: {\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in immigration as stated or omit key"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in immigration as stated or omit key context.\""}""]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"The majority of experts with higher weights do not support the claim, citing a lack of evidence in public records and reputable analyses. The SMEs in Economy&Taxes and Health&Science provide strong justifications, while the Politics&Elections SME's verdict is less convincing due to unclear/misleading public records and omissions of key context.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in jobs within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reputable analyses do not support the claim in jobs within the stated timeframe and definitions or are unclear/misleading.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in jobs as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The majority of experts with higher weights support the claim, citing independent public records and reputable analyses. The SMEs in Politics&Elections and Economy&Taxes provide strong justifications, while the Health&Science SME's verdict is less convincing due to unclear/misleading public records and omissions of key context.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The majority of experts with higher weights do not support the claim, citing a lack of evidence in public records and reputable analyses. The SMEs in Economy&Taxes and Health&Science provide strong justifications, while the Politics&Elections SME's verdict is less convincing due to unclear/misleading public records and omissions of key context.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""Insufficient evidence from the experts' analyses prevents a definitive verdict. The SMEs in Economy&Taxes and Health&Science do not support the claim, while the Politics&Elections SME's verdict is unclear due to misleading public records and omissions of key context.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""ver","[""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in jobs within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in jobs within the stated timeframe and definitions.\""} Categories: jobs Tags: 2011-09-01 Related: false JSON\nSubjects: jobs JSON\nJSON\n{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reputable analyses do not support the claim in jobs within the stated timeframe and definitions or are unclear/misleading.\""} Categories: jobs Tags: 2011-09-01 Related: false JSON\nJSON"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in jobs as stated or omit key context.\""}""]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"The lack of evidence supporting the claim in military,veterans,voting-record from the experts' analyses indicates insufficient evidence to verify the claim. The Politics&Elections SME and Health&Science SME's verdicts, although differing in weight, both lack strong justifications, while the Economy&Taxes SME's verdict is based on independent public records and reputable analyses, but still does not provide conclusive evidence.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in military,veterans,voting-record within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The Economy&Taxes SME's verdict is supported by independent public records and reputable analyses, which outweigh the Politics&Elections SME's and Health&Science SME's verdicts. The Economy&Taxes SME's explanation highlights the claim's validity within the stated timeframe and definitions, providing a stronger justification than the other experts.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence supporting the claim in military,veterans,voting-record from the experts' analyses indicates insufficient evidence to verify the claim. The Politics&Elections SME and Health&Science SME's verdicts, although differing in weight, both lack strong justifications, while the Economy&Taxes SME's verdict is based on independent public records and reputable analyses, but still does not provide conclusive evidence.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The Politics&Elections SME's verdict is supported by the lack of evidence in public records and reliable sources, which is a stronger justification than the Economy&Taxes SME's and Health&Science SME's verdicts. The Politics&Elections SME's explanation highlights the omission","[""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in military,veterans,voting-record within the stated timeframe and definitions.\""} Categories: military,veterans,voting-record Tags:verifiable\nReturn:{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in military,veterans,voting-record within the stated timeframe and definitions.\""} Categories: military,veterans,voting-record Tags:verifiable\nJSON format and categories/tags must be present"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.\""}""]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"The lack of evidence supporting the claim in medicare,message-machine-2012,campaign-advertising from multiple experts with high weights indicates insufficient evidence to support the claim. The Politics&Elections SME and Health&Science SME's explanations emphasize the absence of supporting public records and reliable sources, leading to a verdict of False.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in medicare,message-machine-2012,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The Economy&Taxes SME's verdict is supported by independent public records and reputable analyses, which outweigh the Politics&Elections SME's and Health&Science SME's verdicts. The Economy&Taxes SME's explanation highlights the claim's validity within the stated timeframe and definitions, providing a stronger justification than the other experts.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence supporting the claim in medicare,message-machine-2012,campaign-advertising from multiple experts with high weights indicates insufficient evidence to support the claim. The Politics&Elections SME and Health&Science SME's explanations emphasize the absence of supporting public records and reliable sources, leading to a verdict of False.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The majority of experts (2 out of 3) with high weights agree that the claim in medicare,message-machine-2012,campaign-advertising is False, outweighing the Economy&Taxes SME's verdict. The Politics&Elections SME and Health&Science SME's explanations provide strong justifications for their verdicts, while the Economy&T","[""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in medicare,message-machine-2012,campaign-advertising within the stated timeframe and definitions.\""} Categories: healthcare; Message-machine-2012,campaign-advertising; True JSON: {\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in medicare,message-machine-2012,campaign-advertising within the stated timeframe and definitions.\""} Categories: healthcare; Message-machine-2012,campaign-advertising"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.\""}""]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"The lack of evidence from most experts, particularly the Health&Science SME, indicates insufficient support for the claim. Although the Politics&Elections and Economy&Taxes SMEs provide justifications, their verdicts are outweighed by the Health&Science SME's verdict and the lack of evidence from other experts.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in campaign-finance,legal-issues,campaign-advertising as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The majority of experts with higher weights agree that independent public records and reputable analyses support the claim in campaign-finance, legal-issues, campaign-advertising within the stated timeframe and definitions. The SMEs from Politics&Elections and Economy&Taxes provide strong justifications, while the Health&Science SME's verdict is contradicted by the other two experts with higher weights.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence from most experts, particularly the Health&Science SME, indicates insufficient support for the claim. Although the Politics&Elections and Economy&Taxes SMEs provide justifications, their verdicts are outweighed by the Health&Science SME's verdict and the lack of evidence from other experts.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The majority of experts with higher weights agree that independent public records and reputable analyses support the claim in campaign-finance, legal-issues, campaign-advertising within the stated timeframe and definitions. The SMEs from Politics&Elections and Economy&Taxes provide strong justifications, while the Health&Science SME's","[""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.\""} Categories: campaign-finance,legal-issues,campaign-advertising\nSubjects: campaign-finance,legal-issues,campaign-advertising\nJSON:{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in campaign-finance,legal-issues,campaign-advertising as stated or omit key context.\""}""]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"BEGIN_DECISION_JSON END_DECISION_JSON BEGIN_DECISION_JSON END_DECISION_JSON BEGIN_DECISION_JSON {""verdict"": ""True"", ""explanation"": ""The experts'","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Independent public records and reputable analyses do not support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"" or ""False"", ""explanation"": ""The claim in federal-budget,pensions,retirement is not supported by the experts' analyses, which are based on available public records and reliable sources. The experts' verdicts are unanimous, with all three SMEs concluding that the claim is false. The explanations provided by the SMEs highlight the lack of evidence supporting the claim, with no mention of any concrete, checkable reasons that could justify the claim. Therefore, the final verdict is False, and the explanation is that the lack of evidence is the reason for this verdict.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""True"" or ""False"", ""explanation"": ""The experts' verdicts are unanimous, with all three SMEs concluding that the claim is false. The explanations provided by the SMEs highlight the lack of evidence supporting the claim, with no mention of any concrete, checkable reasons that could justify the claim. Therefore, the final verdict is False, and the explanation is that the lack of evidence is the reason for this verdict.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The experts'","[""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.\""} Categories: federal-budget,pensions,retirement Tags: Verifyable JSON:{\""verdict\"": \""False\"",\""explanation\"":\""Independent public records and reputable analyses do not support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.\""} Categories: federal-budget,pensions,retirement Tags: Misleading JSON:{\""verdict\"": \""True|False"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.\""}""]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The lack of evidence supporting the claim in county-budget, county-government, education, taxes from the experts' analyses is the primary reason for the verdict. Although Politics&Elections SME and Economy&Taxes SME support the claim, their combined weight is not sufficient to outweigh the lack of evidence from Health&Science SME, who has a higher weight than the difference between the combined weight of the other two experts and their individual weights.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in county-budget, county-government, education, taxes as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""Both Politics&Elections SME and Economy&Taxes SME, with combined weight 2.7, strongly support the claim with independent public records and reputable analyses. Their verdicts are consistent with each other and with the stated timeframe and definitions. In contrast, Health&Science SME, with weight 1.3, does not support the claim, but its weight is lower than the combined weight of the other two experts. Therefore, the majority of the weighted expert opinions support the claim.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence supporting the claim in county-budget, county-government, education, taxes from the experts' analyses is the primary reason for the verdict. Although Politics&Elections SME and Economy&Taxes SME support the claim, their combined weight is not sufficient to outweigh the lack of evidence from Health&Science SME, who has a higher weight than the difference between the combined weight of the other two experts and their individual weights.""}
END_DECISION_JSON> 
BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""Politics&Elections SME and Economy&Taxes SME, with a","[""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.\""} Categories: county-budget;county-government;education;taxes; Tags: False,Mississippi_Public_Policy_Institute_JSON.json\nJSON:{\""verdict\"":\""True|False\"",\""explanation\"":\""2-4 explaining sentences\""} Categories: Tags: JSON:{\""verdict\"": \""False\"", \""explanation\"": \""The claim in county-budget,county-government,"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in county-budget, county-government, education, taxes as stated or omit key context.\""}""]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"The Politics&Elections SME's verdict is supported by available public records and reliable sources, which outweigh the Economy&Taxes SME's and Health&Science SME's verdicts. The Politics&Elections SME's explanation highlights the claim's lack of support within the stated timeframe and definitions, providing a stronger justification than the other experts.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in economy,stimulus within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The Economy&Taxes SME's verdict is supported by independent public records and reputable analyses, which outweigh the Politics&Elections SME's and Health&Science SME's verdicts. The Economy&Taxes SME's explanation highlights the claim's validity within the stated timeframe and definitions, providing a stronger justification than the other experts.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence supporting the claim in economy,stimulus from most experts, including the Politics&Elections SME and Health&Science SME, outweighs the Economy&Taxes SME's verdict. Insufficient evidence from reliable sources is the primary reason for this decision.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The Politics&Elections SME's verdict is supported by available public records and reliable sources, which outweigh the Economy&Taxes SME's and Health&Science SME's verdicts. The Politics&Elections SME's explanation highlights the claim's lack of support within the stated timeframe and definitions, providing a stronger justification than the other experts.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"":","[""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in economy,stimulus within the stated timeframe and definitions.\""} Categories: economy,stimulus\nCategories: economy,stimulus\nJSON:{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in economy,stimulus within the stated timeframe and definitions.\""} Categories: economy,stimulus\nCategories: economy,stimulus\nJSON:{\""verdict\"": \""True\"", \""explanation\"": \"""", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.\""}""]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"The majority of experts agree that public records and reliable sources support the claim in gays-and-lesbians,marriage as stated with little to no relevant context omitted. Their verdicts are consistent with each other and with the available evidence, which is a strong justification for the final verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Public records and reliable sources support the claim in gays-and-lesbians,marriage as stated with little to no relevant context omitted.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""All experts agree that independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions. Their verdicts are consistent with each other and with the available evidence, which is a strong justification for the final verdict.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The lack of evidence from the experts means that the final verdict is False. None of the experts provided a clear explanation for their verdict, which suggests that there is insufficient evidence to support the claim.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The majority of experts agree that public records and reliable sources support the claim in gays-and-lesbians,marriage as stated with little to no relevant context omitted. Their verdicts are consistent with each other and with the available evidence, which is a strong justification for the final verdict.""}
END_DECISION_JSON
BEGIN_DECISION_JSON
{""verdict"": ""False"", ""explanation"": ""The experts' verdicts are inconsistent with each other and with the available evidence, which suggests that","[""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.\""} Categories: gays-and-lesbians,marriage\nClaim: Thats not true. I have a very good relationship with the LGBT community.\nSubject(s): gays-and-lesbians\nJSON:{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reputable analyses do not support the claim in gays-and-lesbians within"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in gays-and-lesbians,marriage as stated or omit key context.\""} | {\""verdict\"": \""True\"", \""explanation\"": \""Public records and reliable sources support the claim in gays-and-lesbians,marriage as stated with little to no relevant context omitted.\""} | JSON format only. | 1000 char. limit. | No external lookup. | No \""False\"" for scientific questions. | Context""]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"The majority of experts with higher weights support the claim, citing independent public records and reputable analyses. Politics&Elections SME's verdict is the most heavily weighted, with a 1.4 weight, and provides a clear explanation of the evidence supporting the claim. Although Economy&Taxes SME and Health&Science SME both disagree, their weights are lower than Politics&Elections SME's, and their explanations do not provide sufficient counter-evidence to outweigh the Politics&Elections SME's verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reputable analyses do not support the claim in foreign-policy,Taxes within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in foreign-policy as stated or omit key context.'}]","BEGIN_DECISION_JSON
{""verdict"": ""True"" or ""False"", ""explanation"": ""<your own 40–100 word synthesis>""}
END_DECISION_JSON

BEGIN_DECISION_JSON
{""verdict"": ""True"", ""explanation"": ""The majority of experts with higher weights support the claim, citing independent public records and reputable analyses. Politics&Elections SME's verdict is the most heavily weighted, with a 1.4 weight, and provides a clear explanation of the evidence supporting the claim. Although Economy&Taxes SME and Health&Science SME both disagree, their weights are lower than Politics&Elections SME's, and their explanations do not provide sufficient counter-evidence to outweigh the Politics&Elections SME's verdict.""}
END_DECISION_JSON
```python
import json

def aggregate_expert_votes(experts_json):
    # Parse the input JSON
    experts = json.loads(experts_json)

    # Calculate the total weight of experts who support the claim
    total_weight_support = sum(expert['weight'] for expert in experts if expert['verdict'] == 'True')

    # Calculate the total weight of all experts
    total_weight_all = sum(expert['weight'] for expert in experts)

    # Determine the verdict based on","[""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.\""}"", ""{\""verdict\"": \""True\"", \""explanation\"": \""Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.\""} Categories: foreign-policy Tags: Verifyable\nCategories: foreign-policy,Taxes\nJSON:{\""verdict\"": \""False\"",\""explanation\"":\""Available public records and reputable analyses do not support the claim in foreign-policy,Taxes within the stated timeframe and definitions.\""} Categories: foreign-policy,Taxes Tags: Unverifiable\nJSON:{\""verdict\"": \""True|False\"",\""explanation\"":\""[brief"", ""{\""verdict\"": \""False\"", \""explanation\"": \""Available public records and reliable sources do not support the claim in foreign-policy as stated or omit key context.\""}""]"
