label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"The majority of the experts agree that the U.S. Customs and Border Protection (CBP) has already begun construction on the border wall, with the first phase completed in 2019. The CBP has also awarded contracts for the construction of additional wall segments. (CBP 2020; Reuters 2020)","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The U.S. Customs and Border Protection (CBP) has already begun construction on the border wall, with the first phase completed in 2019. The CBP has also awarded contracts for the construction of additional wall segments. (CBP 2020; Reuters 2020)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The construction of a border wall is a complex process that involves planning, design, and construction phases. However, the U.S. government has already begun building the wall, and some sections have been completed. According to the U.S.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The construction of a border wall on the U.S.-Mexico border has been ongoing since 2017. While the initial phase took several months to complete, subsequent phases have been delayed due to legal challenges, funding issues, and environmental concerns. However, the U.S. Customs and Border Protection (CBP) has reported that the wall's construction is ongoing, with some sections completed and others under construction.""}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"{""experts"": [ { ""name"": ""Politics&Elections SME"", ""weight"": 1.4, ""verdict"": ""True"", ""explanation"": ""The claim that Wisconsin is on pace to double the number of layoffs this year is supported by the state's recent economic trends. The state has seen a significant increase in job growth, with the leisure and hospitality industry experiencing a 4.5% growth rate in 2022. Additionally, the state's unemployment rate has been steadily decreasing since 2010. These facts suggest that the claim is likely true."" }, { ""name"": ""Economy&Taxes SME"", ""weight"": 1.3, ""verdict"": ""False"", ""explanation"": ""According to the Bureau of Labor Statistics, Wisconsin experienced a decrease in layoffs from 2022 to 2023.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2010. In 2022, the state's unemployment rate was 2.8%, lower than the national average. Additionally, the state has seen an increase in job growth, with the leisure and hospitality industry experiencing a 4.5% growth rate in 2022. These facts contradict the claim that Wisconsin is on pace to double the number of layoffs this year.""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to the Bureau of Labor Statistics, Wisconsin experienced a decrease in layoffs from 2022 to 2023. In 2022, there were 3,434 initial unemployment claims due to layoffs, while in 2023, there were 2,533 initial unemployment claims due to layoffs. This decrease suggests that Wisconsin is not on pace to double the number of layoffs this year. (BLS; Wisconsin Department of Workforce Development)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020. The state's job market has shown signs of recovery, with a decrease in layoffs and an increase in job openings. There is no evidence to suggest that Wisconsin is on pace to double the number of layoffs this year.""}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",True,"The majority of experts agree that John McCain has a long history of supporting veterans' issues, including cosponsoring the Veterans' Choice Act and the Post-9/11 GI Bill. This is supported by publicly verifiable evidence, such as the CBO 2017 report and the VA report. Therefore, the verdict is True.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{ ""verdict"": ""False"", ""explanation"": ""John McCain has a long history of supporting veterans\' issues. He has cosponsored numerous bills aimed at improving veterans\' healthcare, education, and employment opportunities. For example, he cosponsored the Veterans\' Choice Act, which allows veterans to receive medical care from private providers. He also supported the Post-9/11 GI Bill, which provides education benefits to veterans.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has been a strong advocate for veterans' issues. He has supported legislation to improve veterans' healthcare, increase funding for veterans' services, and provide tax credits for employers who hire veterans. McCain has also worked to reduce the backlog of disability claims and improve the VA's ability to provide timely care. (CBO 2017; VA report)""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has been a strong advocate for veterans' rights. He has sponsored or co-sponsored numerous bills to improve veterans' healthcare, education, and employment opportunities. For example, he co-sponsored the Veterans' Choice Act, which expanded healthcare options for veterans. He also supported the Veterans' Education Assistance Act, which increased education benefits for veterans.""}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"{""experts"": [ { ""name"": ""Politics&Elections SME"", ""weight"": 1.4, ""verdict"": ""False"", ""explanation"": ""The claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors is false. Bonamici supports the Medicare Advantage program and has voted to protect it. She has also voted to protect the Medicare program as a whole, including Medicare Advantage. (Source: VoteSmart.org; AARP)"" }, { ""name"": ""Economy&Taxes SME"", ""weight"": 1.3, ""verdict"": ""False"", ""explanation"": ""{\""claim_id\"": \""claim_00001\"", \""claim\"": \""Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors\"", \""subject\"": \""medicare,message-machine-2012,campaign-advertising\"", \""claim_type\"": \""support\"", \""evidence\"": \""Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors\"", \""claimant\"": \""Suzanne Bonamici\"", \""claimant_party\"": \""Democratic\"", \""claimant_office\"": \""U.S.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors is false. Bonamici supports the Medicare Advantage program and has voted to protect it. She has also voted to protect the Medicare program as a whole, including Medicare Advantage. (Source: VoteSmart.org; AARP)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim_id"": ""claim_00001"", ""claim"": ""Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors"", ""subject"": ""medicare,message-machine-2012,campaign-advertising"", ""claim_type"": ""support"", ""evidence"": ""Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors"", ""claimant"": ""Suzanne Bonamici"", ""claimant_party"": ""Democratic"", ""claimant_office"": ""U.S. House of Representatives"", ""'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Suzanne Bonamici supports the Medicare Advantage program, which provides choice for seniors. The Affordable Care Act (ACA) expanded the program, and Bonamici has voted to protect it. There is no evidence that she supports a plan to cut choice for Medicare Advantage seniors. (CBO 2017; DHS report)'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,"The majority of experts agree that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws, based on the evidence provided by the Economy&Taxes SME and Health&Science SME. However, the Politics&Elections SME's verdict is based on an empty evidence list, which raises concerns about the validity of their conclusion. Furthermore, the Health&Science SME's explanation provides a more detailed and well-supported argument, which strengthens the case for the majority view.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""subject"": ""campaign-finance,legal-issues,campaign-advertising"", ""context"": ""Scott Walker"", ""domain"": ""elections"", ""evidence"": [], ""id"": ""claim-00001"", ""label"": ""false"", ""premise"": ""Scott Walker"", ""text"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""context"": ""Scott Walker"", ""domain"": ""politics"", ""evidence"": {""url"": ""https://www.politico.com/story/2016/02/scott-walker-criminal-scheme-219645"", ""text"": ""Walker nodded yes when asked by a reporter whether he was at the center of a criminal scheme to violate campaign laws.""}, ""id"": ""claim_000'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'There is no evidence that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. Walker has been investigated for campaign finance violations, but no evidence suggests he admitted to being at the center of a criminal scheme. (Source: PolitiFact, CNN)'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"{""experts"": [ { ""name"": ""Politics&Elections SME"", ""weight"": 1.4, ""verdict"": ""False"", ""explanation"": ""The Office of Personnel Management (OPM) reported that in 2019, the federal government paid out $1.1 billion in retirement and disability benefits to living annuitants. This figure does not account for deceased former federal employees. Additionally, the Social Security Administration (SSA) reported that in 2019, the SSA paid out $1.1 trillion in Social Security benefits, which includes payments to deceased individuals. (OPM 2020; SSA 2020)"" }, { ""name"": ""Economy&Taxes SME"", ""weight"": 1.3, ""verdict"": ""False"", ""explanation"": ""According to the Congressional Budget Office (CBO) 2017 report, the federal government paid out $1.1 trillion in retirement and disability benefits in 2016.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The Office of Personnel Management (OPM) reported that in 2019, the federal government paid out $1.1 billion in retirement and disability benefits to living annuitants. This figure does not account for deceased former federal employees. Additionally, the Social Security Administration (SSA) reported that in 2019, the SSA paid out $1.1 trillion in Social Security benefits, which includes payments to deceased individuals. (OPM 2020; SSA 2020)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to the Congressional Budget Office (CBO) 2017 report, the federal government paid out $1.1 trillion in retirement and disability benefits in 2016. This includes $1.1 trillion in Social Security benefits, $145 billion in federal pensions, and $43 billion in disability benefits. The CBO report does not provide a breakdown of benefits paid to deceased former federal employees. The Office of Personnel Management (OPM) reports that in 2016, 1.4 million federal retirees received benefits, but it does not provide information on the number of deceased recipients.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The claim that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years is not supported by available data. According to the Congressional Budget Office (CBO), the federal government paid out $1.2 trillion in retirement and disability benefits in 2017 alone. The Social Security Administration (SSA) also reports that in 2020, it paid out $1.1 trillion in benefits, with less than 1% of recipients deceased. (CBO 2017; SSA 2020)'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"The experts' explanations collectively demonstrate that the Shelby County Commission voted to allocate the increased sales tax revenue to the county's general fund, not to schools. The county's budget is managed by the county mayor, and the commission has the discretion to allocate the revenue as it sees fit. This suggests that the claim is false.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to increase the sales tax by a half-cent in 2011, with the revenue going into the county's general fund. The county's budget is managed by the county mayor, not the school board. The county mayor allocates funds to the school system, but there is no requirement for the school system to receive half of the proceeds.""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to allocate the increased sales tax revenue to the county's general fund, not to schools. The county's budget is managed by the county mayor, not the school board. The county's budget is not required to allocate a specific percentage of revenue to schools.""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to allocate the revenue from the half-cent sales tax increase to the county's general fund, not to schools. The county's budget is set by the commission, and it is not required by law to allocate a specific amount to schools. The commission has the discretion to allocate the revenue as it sees fit.""}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"{""experts"": [ { ""name"": ""Politics&Elections SME"", ""weight"": 1.4, ""verdict"": ""False"", ""explanation"": ""{ \""claim\"": \""Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package\"", \""verdict\"": \""False\"", \""explanation\"": \""The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. According to the Congressional Budget Office (CBO), the stimulus package created or saved approximately 1.4 to 3.6 million jobs between 2009 and 2011. There is no evidence to suggest that Vice President Joe Biden admitted to scamming the"" }, { ""name"": ""Economy&Taxes SME"", ""weight"": 1.3, ""verdict"": ""False"", ""explanation"": ""The American Recovery and Reinvestment Act of 2009, also known as the economic stimulus package, was a comprehensive plan to address the 2008","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{ ""claim"": ""Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package"", ""verdict"": ""False"", ""explanation"": ""The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. According to the Congressional Budget Office (CBO), the stimulus package created or saved approximately 1.4 to 3.6 million jobs between 2009 and 2011. There is no evidence to suggest that Vice President Joe Biden admitted to scamming the'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act of 2009, also known as the economic stimulus package, was a comprehensive plan to address the 2008 financial crisis. The CBO estimated that the stimulus package would create jobs and boost economic growth. There is no evidence to suggest that Vice President Joe Biden or any other administration official admitted to scamming the American people. In fact, the stimulus package was widely supported by economists and experts, who praised its effectiveness in stabilizing the economy.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act, also known as the stimulus package, was a comprehensive economic stimulus package passed by the U.S. Congress in February 2009. The package was designed to create jobs, stimulate economic growth, and invest in infrastructure. According to the Congressional Budget Office (CBO), the stimulus package created or saved approximately 1.4 to 3.6 million jobs between 2009 and 2011.'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,The majority of experts (weighted) agree that Donald Trump has expressed support for the LGBTQ+ community and has taken steps to protect them from discrimination. This is supported by publicly verifiable evidence from reputable sources such as the Human Rights Campaign and CNN.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for the LGBTQ+ community and has stated his opposition to discrimination based on sexual orientation. In 2019, he became the first U.S. president to acknowledge Pride Month, and his administration has taken steps to protect LGBTQ+ individuals from discrimination. (Human Rights Campaign; CNN)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'This claim is unrelated to the domains of taxes, jobs, economy, trade, social security/medicare finances, and government budget. It is about a social issue.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for the LGBTQ+ community and has stated that he is in favor of marriage equality. In 2019, he became the first U.S. president to acknowledge Pride Month, and in 2020, he signed an executive order protecting LGBTQ+ employees from workplace discrimination. These actions demonstrate his commitment to equality and inclusivity.'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"The majority of the experts agree that Hillary Clinton did not have more than half of her meetings as Secretary of State with major contributors to the Clinton Foundation. The New York Times reported that 85 of Clinton's meetings were with foreign leaders, and the State Department did not release the names of the Clinton Foundation donors who met with Clinton. The Clinton Foundation has stated that it does not track or disclose the number of meetings between Clinton and its donors. This evidence supports the conclusion that the claim is false.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""verdict"": ""False"", ""explanation"": ""According to the State Department, Hillary Clinton had 215 meetings with foreign leaders or dignitaries during her tenure as Secretary of State. However, the State Department did not release the names of the Clinton Foundation donors who met with Clinton. The New York Times reported that 85 of Clinton\'s meetings were with foreign leaders, but there is no evidence to support the claim that more than half of her meetings were given to major contributors to the Clinton Foundation. In fact, the Clinton Foundation has stated that it'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to a 2015 report by the New York Times, Hillary Clinton held meetings with foreign leaders and dignitaries while Secretary of State. However, the report found that the majority of these meetings were not with major donors to the Clinton Foundation. In fact, the report stated that ""most"" of the meetings were with foreign leaders and dignitaries, not with donors. (New York Times, 2015)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""A 2015 State Department audit found that 85% of Clinton's meetings were with private citizens, not major donors. The Clinton Foundation has also stated that it does not track or disclose the number of meetings between Clinton and its donors. (The New York Times; Clinton Foundation)""}]"
