label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",,Error: No JSON object found,True,"The wall will take years to build, and the border is 2,000 miles long. The wall will not be completed in a single year.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"Wisconsin has not doubled the number of layoffs this year. The number of layoffs in Wisconsin has increased by 10.5% from 2020 to 2021, but the number of layoffs in 2021 is still lower than the number of layoffs in 2019.",False,"The number of layoffs in Wisconsin has not doubled this year. The number of layoffs in Wisconsin has increased by 10.5% from 2019 to 2020, but the number of layoffs in Wisconsin has decreased by 1.5% from 2020 to 2021.",True,"Wisconsin is on pace to double the number of layoffs this year. The state has already laid off 1,000 workers this year, and the state is on pace to lay off 2,000 more workers by the end of the year.",True,"The number of layoffs in Wisconsin has increased by 10.5% from 2019 to 2020, but the number of layoffs in Wisconsin has decreased by 1.5% from 2020 to 2021.",True,"The number of layoffs in Wisconsin has increased by 10.5% from 2019 to 2020, but the number of layoffs in Wisconsin has decreased by 1.5% from 2020 to 2021."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's efficiency and effectiveness. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",False,"McCain has voted for the VA Choice Act, which would allow veterans to seek care outside the VA system, and the Veterans Access, Choice, and Accountability Act, which would allow veterans to seek care outside the VA system and would allow the VA to fire bad doctors and nurses.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner. He has also been a vocal critic of the VA's management and has worked to improve the agency's efficiency and effectiveness. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner. He has also been a vocal critic of the VA's management and has worked to improve the agency's efficiency and effectiveness. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",,Error: No JSON object found,,Error: No JSON object found,False,Bonamici has not supported a plan that will cut choice for Medicare Advantage seniors.,False,Bonamici has not supported a plan that will cut choice for Medicare Advantage seniors.,False,Bonamici has not supported a plan that will cut choice for Medicare Advantage seniors.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The reporter did not ask Walker whether he was at the center of a criminal scheme to violate campaign laws. Therefore, the claim is false.",False,"The quote is from a 2015 article in the Milwaukee Journal Sentinel. The article does not say that Walker nodded yes to the question, but rather that he said yes to the question. The article also does not say that Walker was at the center of a criminal scheme to violate campaign laws. ",True,The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker nodded yes.,False,The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The reporter did not ask Walker whether he was at the center of a criminal scheme to violate campaign laws.,False,The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The reporter did not ask Walker whether he was at the center of a criminal scheme to violate campaign laws.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. This is a false claim because the government has not paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,,Error: No JSON object found,,Error: No JSON object found,False,The federal government has not paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,False,The federal government has not paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County Schools budget is not funded by the half-cent sales tax increase. The half-cent sales tax increase is used to fund the Shelby County Schools budget, but the Shelby County Schools budget is not funded by the half-cent sales tax increase.",True,"The Shelby County Schools budget is $1.1 billion, and the sales tax increase is projected to generate $150 million per year. The law requires that half of the proceeds go to the schools, so the schools will receive $75 million per year.",True,"The Shelby County Schools budget is funded by the Shelby County Commission, which is responsible for setting the county's budget. The Shelby County Commission has approved a half-cent sales tax increase to fund the Shelby County Schools budget. The Shelby County Schools budget is funded by the Shelby County Commission, which is responsible for setting the county's budget. The Shelby County Commission has approved a half-cent sales tax increase to fund the Shelby County Schools budget.",True,"The Shelby County Schools budget is funded by the Shelby County Commission, which is responsible for setting the county's budget. The Shelby County Commission has approved a half-cent sales tax increase to fund the Shelby County Schools budget.",True,"The Shelby County Schools budget is funded by the Shelby County Commission, which is responsible for setting the county's budget. The Shelby County Commission has approved a half-cent sales tax increase to fund the Shelby County Schools budget."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,The stimulus package is not a scam. It is a necessary step to help the economy recover from the recession.,False,"The video is a compilation of several different clips, and the quote is taken out of context. The full quote is: ",False,The stimulus package is not a scam. It is a necessary step to get the economy back on track.,False,The stimulus package is not a scam. It is a necessary step to help the economy recover from the recession.,False,The stimulus package is not a scam. It is a necessary step to help the economy recover from the recession.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has never said he wants to go back on marriage equality. He has said he wants to go back on the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. He has also said he would appoint judges who would overturn Obergefell. However, he has never said he wants to go back on marriage equality.",False,"Trump has not said he wants to go back on marriage equality. He has said he wants to go back on the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. He has also said he supports marriage equality, but he has not said he wants to go back on it.",False,"Trump has not said anything about marriage equality, and he has not said anything about going back. He has said that he is against gay marriage, but he has not said anything about going back.",False,"Trump has not said anything about marriage equality, and he has not said anything about going back.",False,"Trump has not said anything about marriage equality, and he has not said anything about going back."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.,False,"The claim is false. The number of meetings given to major contributors to the Clinton Foundation is not known. The claim is based on a report by the Washington Free Beacon, which is a conservative news outlet. The report is based on a database of Clinton Foundation donors compiled by the watchdog group Judicial Watch. The database does not include information on the number of meetings given to major donors. The report also does not specify what constitutes a major donor. The claim is therefore false.",True,"The Clinton Foundation has been accused of accepting donations from foreign governments and corporations in exchange for access to Hillary Clinton. The State Department has released a list of Clinton's meetings with foreign officials, and it appears that many of these meetings were with individuals or organizations that have donated to the Clinton Foundation. While the exact number of meetings is not known, it is clear that there was a significant amount of overlap between the meetings and the donors.",False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.
