label,statement,subjects
True,The United States has the highest corporate tax rate in the free world .,"corporations,taxes"
True,We cut business taxes so today 70 percent of our businesses dont pay a business tax .,"small-business,taxes"
False,Sen . McCain s tax plan provides virtually nothing to the middle class .,taxes
True,The IRS also investigated liberal groups groups that had progressive in their name . . The IRS was basically looking at everybody .,"elections,taxes"
True,The years that I was speaker the Florida House consistently offered leaner budgets than the governor offered .,"state-budget,taxes"
True,It is a commitment voters take very seriously : The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday .,"elections,taxes"
False,David Dewhurst has a record of promoting an income tax .,taxes
True,Says Rep . Jim Weidner proposed a bill taking away health care for 80000 of Oregons children .,"health-care,taxes"
False,Milwaukee Mayor Tom Barrett has held the line on property taxes .,"job-accomplishments,taxes"
True,One percent of the American people make over 21 percent of all the income in America . That wasnt the way before George Bush became president .,taxes
True,Says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012 .,taxes
True,Says Sen . Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes (he) now claims that his stimulus bill didnt do enough to lower taxes .,"stimulus,taxes"
True,In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent .,taxes
True,Says Gov . Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years .,taxes
False,The top 1 percent pay over half of the entire revenue for this country .,taxes
True,Chris Christie has not increased the taxes on anyone .,taxes
True,If you got rid of the income tax today you d have about as much revenue as we had 10 years ago .,taxes
True,Says the CBO estimates that fully extending the Bush tax cuts would add 600000-1.4 million jobs in 2011 and 900000-2.7 million jobs in 2012 .,"economy,taxes"
True,According to David Cay Johnston the average American pays about 22 percent of their income to federal taxes . The richest 400 Americans pay about 16 percent of their income to federal taxes .,"pundits,taxes"
True,In 1952 the corporate income tax accounted for 33 percent of all federal tax revenue . Today despite record-breaking profits corporate taxes bring in less than 9 percent .,"corporations,taxes"
False,Says two-thirds of groups targeted for IRS scrutiny were not conservative .,taxes
