label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the Department of Homeland Security, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"Constructing a wall on the U.S.-Mexico border would take years, likely 2-3 years, according to experts.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely 2-4 years, according to experts. The exact timeline depends on factors such as the size and complexity of the wall, environmental impact assessments, and political approvals.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"According to the Wisconsin Department of Workforce Development, the state is projected to have a 2.6% unemployment rate in 2023, which is lower than the national average of 3.4%. Therefore, it is inaccurate to claim that Wisconsin is on pace to double the number of layoffs this year.",True,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate rose to 4.6% in August 2023, which is up from 3.5% in January 2023. This increase in the unemployment rate is likely due to the high number of layoffs that are occurring in the state. In August 2023, Wisconsin had the highest number of layoffs in the nation, with over 10,000 workers being laid off. This is double the number of layoffs that occurred in Wisconsin in January 2023. ",True,"According to the Wisconsin Department of Workforce Development, the state is projected to see a 2.3% increase in unemployment, which is double the national average. This increase is primarily due to the decline in manufacturing employment.",False,"The state is projected to have a 2.6% unemployment rate in 2023, which is lower than the national average of 3.4%. Therefore, it is inaccurate to claim that Wisconsin is on pace to double the number of layoffs this year.",False,"The state is projected to have a 2.6% unemployment rate in 2023, which is lower than the national average of 3.4%. Therefore, it is inaccurate to claim that Wisconsin is on pace to double the number of layoffs this year."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He has also signed executive orders to improve veterans' access to care and benefits.",False,"McCain has signed legislation to help veterans, including expanding access to healthcare and addressing post-traumatic stress disorder.",True,"McCain has signed legislation to help veterans, but it has not yet been passed. He has also spoken out about the need to improve veterans' healthcare.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He has also signed executive orders to improve veterans' access to care and benefits.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He has also signed executive orders to improve veterans' access to care and benefits."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors. There is no evidence to support this claim.,False,Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors. There is no evidence to support this claim.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,There has not yet been any evidence to support the claim that Gov. Walker is at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not yet been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,False,There has not yet been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a recent report, the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"According to the U.S. Office of Personnel Management, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"According to a 2022 Tennessee law, schools in Shelby County will receive half of the proceeds from a half-cent increase in the sales tax, which is estimated to be $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which amounts to $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which amounts to $31 million per year.",True,"According to a 2022 Tennessee law, schools in Shelby County will receive half of the proceeds from a half-cent increase in the sales tax, which is estimated to be $31 million per year.",True,"According to a 2022 Tennessee law, schools in Shelby County will receive half of the proceeds from a half-cent increase in the sales tax, which is estimated to be $31 million per year."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not explicitly stated his stance on marriage equality in recent years. However, he has a history of opposing same-sex marriage, dating back to 1996. In 2015, he expressed support for the Supreme Court's decision on marriage equality, but he has not explicitly stated whether he would support or oppose legislation to overturn that decision.",False,There is no evidence to support the claim that Donald Trump is against marriage equality.,False,There is no evidence to support the claim that Donald Trump is against marriage equality.,False,"Trump has not explicitly stated his stance on marriage equality in recent years. However, he has a history of opposing same-sex marriage, dating back to 1996.",False,"Trump has not explicitly stated his stance on marriage equality in recent years. However, he has a history of opposing same-sex marriage, dating back to 1996."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"According to a State Department review, 22% of Clinton's meetings with foreign officials during her tenure as secretary of state were attended by major donors to the Clinton Foundation. This number is significantly higher than the 1% of meetings that were attended by major donors to the Republican Party.",False,There has not been evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There has not been evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There has not been evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.
