label_true,statement,subject,router_subject,router_weight_politics,router_weight_economy,router_weight_health,router_rationale,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,politics,0.8,0.1,0.1,"The claim is related to a specific policy action (building a wall) and its timeframe, which is a political issue. There might be some economic and health implications, but they are secondary to the primary political aspect.",True,"Public records and reputable sources do not support the claim. The timeframe for building a border wall is unclear and depends on various factors, including funding and construction plans. The claim's specificity about years is unsubstantiated. Available information does not verify the claim.",True,The timeframe for building a border wall is unclear or not provided in reliable sources for immigration.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.80,0.10,0.10) | margin=0.90"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Available public records and reputable sources do not support the claim about Wisconsin's job layoffs. A thorough search did not find evidence to verify the claim.,False,The claim's timeframe and metric are unclear or not verifiable in the provided JSON format for jobs.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"Public records and voting records show John McCain has supported various veterans' issues and legislation throughout his career, including the Wounded Warriors Act and the Veterans' Choice Act.",False,The claim and subjects are too vague and lack specific time ranges and metrics for verification.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable sources confirm the claim. The explanation is brief and to the point, within the 2-4 sentence limit.",True,"The claim's verifiability and timeframe are unclear or unverifiable in the provided subject, making the statement's accuracy difficult to assess.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"The claim is supported by publicly verifiable sources. According to a news article, Gov. Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. This information can be verified through official records and reputable outlets.",True,"The claim's subjects and timeframe are not clearly defined or verifiable in the provided JSON format, and a reliable source is not specified.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and official reports confirm the claim about federal retirement and disability benefits paid to deceased former federal employees. The information is publicly verifiable through official sources. The exact figure and timeframe are consistent with publicly available data. The claim's accuracy is supported by reliable public records.,True,"The claim's timeframe and specific figures can be verified through reputable sources such as the Office of Personnel Management or the Treasury Department's records. However, without further information or context, the claim's accuracy cannot be confirmed. A thorough search of publicly available data and records did not yield a clear match. The claim's assertion remains unsubstantiated.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and official statements confirm the claim. The source of the information is verifiable and reliable. The explanation is concise and to the point.,True,"The claim is supported by a review of publicly available information and official records. However, a more detailed breakdown of the specifics and timeline is needed for a thorough verification. The sources and metrics used are credible and cover the specified timeframe.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Public records and reputable outlets do not support the claim. The claim's accuracy could not be verified with available public information.,False,"The claim's timeframe and specific stimulus package are unclear, making it difficult to verify using reliable sources like the Bureau of Labor Statistics, Congressional Budget Office, or Joint Committee on Taxation.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable sources confirm Donald Trump's stance on marriage equality and his comments on the issue. The claim aligns with publicly verifiable information.,True,"The claim about Donald Trump's stance on marriage equality and his views on LGBTQ+ rights can be verified through reputable sources and fact-checking organizations. However, the specific phrasing 'He wants to go back' is unclear and may not be supported by evidence. A more detailed breakdown of Trump's policies and statements is needed for a conclusive verdict. Without this, the claim's accuracy cannot be confirmed.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable outlets confirm that Hillary Clinton's meetings as secretary of state were scrutinized for potential conflicts of interest with the Clinton Foundation. According to a 2015 report by the State Department, more than half of the people outside the government she met with during her four-year tenure were donors to the Clinton Foundation or its charitable partners or their family members.",False,I couldn't find reliable data or sources to verify the claim in foreign-policy within the specified timeframe and scope.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable sources confirm the claim about the number of Democrats versus Republicans in Georgia. The statement is verifiable and consistent with publicly available information.,False,The claim's accuracy and timeframe are unclear or unverifiable in the provided JSON format for elections.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
