label,statement,subjects,superlabel
True,When did the decline of coal start It started when natural gas took off that started to begin in (President George W.) Bushs administration .,"energy,history,job-accomplishments",economy
True,The economic turnaround started at the end of my term .,"economy,jobs",economy
True,However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific .,jobs,economy
True,Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty .,"economy,jobs,new-hampshire-2012,poverty",economy
False,When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it .,"history,state-budget",economy
True,The economy bled $24 billion due to the government shutdown .,"economy,federal-budget,health-care",economy
True,McCain opposed a requirement that the government buy American-made motorcycles . And he said all buy-American provisions were quote disgraceful .,federal-budget,economy
False,U.S. Rep . Ron Kind D-Wis . and his fellow Democrats went on a spending spree and now their credit card is maxed out,federal-budget,economy
True,Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner .,"financial-regulation,foreign-policy,water",economy
True,Almost 100000 people left Puerto Rico last year .,"bankruptcy,economy,population",economy
False,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor .,"economy,income",economy
True,The United States has the highest corporate tax rate in the free world .,"corporations,taxes",economy
True,We just had the best year for the auto industry in America in history .,economy,economy
True,Youth unemployment in minority communities is about 40 to 45 percent .,"diversity,economy,jobs",economy
False,If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates .,"economy,labor,states,unions,workers",economy
True,We cut business taxes so today 70 percent of our businesses dont pay a business tax .,"small-business,taxes",economy
True,We have a federal government that thinks they have the authority to regulate our toilet seats .,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",economy
True,Under President George W. Bush we added $4.9 trillion to the debt . Under President Obama weve added $6.5 trillion to the debt .,debt,economy
False,Rep . David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar company,"energy,stimulus",economy
True,African-American youth unemployment is 51 percent . Hispanic youth unemployment is 36 percent .,"diversity,economy,jobs",economy
False,President Barack Obama took exactly none of his own deficit reduction commissions ideas . Not one .,"deficit,federal-budget",economy
True,We created 800000 new jobs we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history,jobs,economy
True,In Georgia women earn 82 cents for every dollar earned by men .,"jobs,women",economy
True,Said he s the only Republican candidate who s actually turned around a government economy .,job-accomplishments,economy
