label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to a 2020 report by the Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border is a complex process that involves multiple agencies and stakeholders. The report noted that the wall's construction would require significant planning, design, and procurement efforts, which can take several years to complete. Additionally, the U.S. Customs and Border Protection (CBP) has stated that the construction of a border wall is a long-term effort that will take several years to complete. The CBP's 2020 budget request to Congress included funding for the construction of 175 miles of new border wall, which would take several years to complete.",True,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall can take several years to complete. The CBP has reported that the construction process involves multiple phases, including planning, design, and construction, which can take around 2-5 years. Additionally, the U.S. Government Accountability Office (GAO) has stated that the construction of a border wall is a complex process that requires significant planning, design, and execution, which can take several years to complete.",True,"According to the U.S. Customs and Border Protection, the construction of a border wall can take several years to complete, with some sections taking longer than others. The length of time depends on various factors, including the terrain, weather conditions, and the availability of resources. In 2019, the Trump administration estimated that the wall would be completed within 20 years, but this timeline has been disputed. The construction process is complex and time-consuming, involving multiple stakeholders and phases.",True,"According to multiple experts and government reports, the construction of a border wall on the U.S.-Mexico border is a complex process that requires significant planning, design, and execution, which can take several years to complete. The U.S. Customs and Border Protection (CBP) and the Government Accountability Office (GAO) have both stated that the construction process can take several years, with some estimates ranging from 2-5 years. The complexity of the process and the involvement of multiple stakeholders and phases contribute to the lengthy duration. This is supported by multiple expert opinions and government reports, including the 2020 budget request to Congress and a 2020 report by the GAO.",True,"According to multiple experts and government reports, the construction of a border wall on the U.S.-Mexico border is a complex process that requires significant planning, design, and execution, which can take several years to complete. The U.S. Customs and Border Protection (CBP) and the Government Accountability Office (GAO) have both stated that the construction process can take several years, with some estimates ranging from 2-5 years. The complexity of the process and the involvement of multiple stakeholders and phases contribute to the lengthy duration. This is supported by multiple expert opinions and government reports, including the 2020 budget request to Congress and a 2020 report by the GAO."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"I couldn't find any information on a specific projection or data that confirms Wisconsin is on pace to double the number of layoffs this year. The Bureau of Labor Statistics (BLS) provides data on layoffs, but it does not appear to have a specific projection for Wisconsin. The BLS does report that Wisconsin's unemployment rate has been relatively stable in recent months, with a slight decrease in the number of unemployed individuals. Without more specific data, it's difficult to determine if Wisconsin is on pace to double the number of layoffs this year.",False,"According to the Bureau of Labor Statistics (BLS), Wisconsin's unemployment rate has been steadily decreasing since 2020. The BLS does not provide a direct measure of layoffs, but the state's labor market conditions do not indicate a significant increase in layoffs. Therefore, it is unlikely that Wisconsin will double the number of layoffs this year.",False,"The claim is based on a prediction or projection, but there is no evidence provided to support the assertion that Wisconsin is on pace to double the number of layoffs this year. Layoff data is typically reported by the Bureau of Labor Statistics (BLS) or the Wisconsin Department of Workforce Development, but I couldn't find any reliable sources confirming this specific claim. Without concrete data or a credible source, the claim remains unsubstantiated.",False,"Experts from politics, economy, and health science agree that there is no evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development do not provide data to confirm this specific claim. The unemployment rate in Wisconsin has been relatively stable or decreasing, indicating no significant increase in layoffs. Therefore, the claim is unsubstantiated and likely false based on the available information and expert opinions provided.",False,"Experts from politics, economy, and health science agree that there is no evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development do not provide data to confirm this specific claim. The unemployment rate in Wisconsin has been relatively stable or decreasing, indicating no significant increase in layoffs. Therefore, the claim is unsubstantiated and likely false based on the available information and expert opinions provided."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has a long history of advocating for veterans' rights and benefits. He sponsored or co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities. For example, he co-sponsored the 'Veterans' Choice Act' in 2014, which allowed veterans to receive medical care from private providers if they experienced long wait times at VA facilities. His voting record on veterans' issues has been consistently supportive.",False,"John McCain, a U.S. Senator from 1987 to 2018, supported various legislation to benefit veterans, including the Wounded Warrior Tax Relief Act of 2008, the Veterans' Benefits Enhancement Act of 2010, and the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014. He also advocated for increased funding for veterans' healthcare and education. McCain's voting record on veterans' issues was generally supportive, although some critics argued that he did not do enough to address specific concerns. His efforts to help veterans were recognized by various veterans' organizations.",False,"John McCain, a former U.S. Senator, was a strong advocate for veterans' rights and welfare. He sponsored and co-sponsored several bills aimed at improving healthcare and benefits for veterans, including the Wounded Warriors Act and the Veterans' Access to Care through Choice, Accountability, and Transparency Act. These efforts demonstrate his commitment to supporting veterans, contradicting the claim that he has done nothing to help them.",False,"John McCain has a long history of advocating for veterans' rights and benefits, sponsoring or co-sponsoring numerous bills to improve their healthcare, education, and employment opportunities, and his voting record on veterans' issues has been consistently supportive, contradicting the claim that he has done nothing to help them. His efforts to help veterans were recognized by various veterans' organizations. He supported legislation such as the 'Veterans' Choice Act' and the 'Wounded Warrior Tax Relief Act'.",False,"John McCain has a long history of advocating for veterans' rights and benefits, sponsoring or co-sponsoring numerous bills to improve their healthcare, education, and employment opportunities, and his voting record on veterans' issues has been consistently supportive, contradicting the claim that he has done nothing to help them. His efforts to help veterans were recognized by various veterans' organizations. He supported legislation such as the 'Veterans' Choice Act' and the 'Wounded Warrior Tax Relief Act'."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici is a U.S. Representative from Oregon's 1st congressional district. According to her official House of Representatives website, she has supported legislation to protect and improve the Medicare program, including Medicare Advantage. There is no evidence to suggest she supports a plan to cut choice for Medicare Advantage seniors. In fact, her voting record and public statements indicate a commitment to preserving and strengthening Medicare benefits.",False,"I couldn't find any information on a specific plan supported by Suzanne Bonamici that would cut choice for Medicare Advantage seniors. Suzanne Bonamici is a U.S. Representative from Oregon, and while she has supported various healthcare-related bills, I couldn't find any evidence of a plan that would negatively impact Medicare Advantage seniors. It's possible that she may have supported a bill that had provisions that could be interpreted as limiting choice, but I couldn't find any concrete evidence to support this claim. Without more specific information, it's difficult to make a definitive statement.",False,"I couldn't find any information on a specific plan supported by Suzanne Bonamici that would cut choice for Medicare Advantage seniors. Suzanne Bonamici is a U.S. Representative from Oregon, and while she has supported various healthcare-related bills, I couldn't find any evidence of a plan that would specifically cut choice for Medicare Advantage seniors. It's possible that she may have supported a bill that had provisions that could be interpreted as limiting choice, but I couldn't find any direct evidence of this. Without more specific information, I couldn't verify the claim.",False,"All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors. Her voting record and public statements indicate a commitment to preserving and strengthening Medicare benefits, and there is no concrete evidence to support this claim. The experts found no information on a specific plan supported by Suzanne Bonamici that would negatively impact Medicare Advantage seniors, and it's possible that any limitations could be interpreted as part of broader healthcare-related bills she has supported. Overall, the evidence suggests that Suzanne Bonamici does not support a plan to cut choice for Medicare Advantage seniors.",False,"All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors. Her voting record and public statements indicate a commitment to preserving and strengthening Medicare benefits, and there is no concrete evidence to support this claim. The experts found no information on a specific plan supported by Suzanne Bonamici that would negatively impact Medicare Advantage seniors, and it's possible that any limitations could be interpreted as part of broader healthcare-related bills she has supported. Overall, the evidence suggests that Suzanne Bonamici does not support a plan to cut choice for Medicare Advantage seniors."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"There is no evidence to suggest that Gov. Scott Walker was asked by a reporter if he was at the center of a criminal scheme to violate campaign laws and nodded yes. In 2012, Walker was investigated by the John Doe investigation, but he was not charged with any crimes related to campaign finance laws. Walker was, however, charged with misconduct in office in 2022, but that was related to his use of state funds for a legal defense fund, not a campaign finance scheme. The investigation and charges were related to his time as Milwaukee County Executive, not as Governor.",False,"There is no credible evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. This claim appears to be unsubstantiated and lacks concrete evidence from reputable sources. The accuracy of this claim cannot be verified without further information or a reliable source. Without concrete evidence, this claim is considered false.",False,"There is no evidence to suggest that the claim is based on a factual event or statement made by Gov. Scott Walker. The claim appears to be a paraphrased quote from a reporter's question, and the response 'yes' could be interpreted as a confirmation of being at the center of a story or investigation, rather than a criminal scheme. Without further context or a direct quote from the reporter's question, it is unclear what Gov. Walker meant by his response.",False,"All experts agree that there is no evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The experts provide various reasons, including a lack of credible evidence, unsubstantiated claims, and unclear context, leading to a unanimous verdict of 'False'.",False,"All experts agree that there is no evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The experts provide various reasons, including a lack of credible evidence, unsubstantiated claims, and unclear context, leading to a unanimous verdict of 'False'."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on data from the OPM's annual reports on the Federal Employees' Group Life Insurance (FEGLI) program. The FEGLI program provides life insurance coverage to federal employees, and the OPM reports on the number of claims paid out to deceased beneficiaries each year. The total amount paid out over the five-year period is consistent with the claim.",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in death benefits to the survivors of deceased federal employees from 2018 to 2022. These benefits include CSRS (Civil Service Retirement System) and FERS (Federal Employees Retirement System) death benefits. The data is based on the OPM's annual reports on the Federal Employees Retirement System. The OPM reports that the total death benefits paid out in 2022 alone were $123 million.",True,"According to the U.S. Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on data from the OPM's 2022 report to Congress. The OPM is responsible for managing the federal government's retirement and disability programs, including the Federal Employees' Retirement System and the Federal Employees' Group Life Insurance program. The $601 million figure represents the total amount of benefits paid to deceased former federal employees during this time period.",True,"The claim is supported by multiple experts from different fields, including politics, economy, and health science. According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. The OPM's annual reports and data provide evidence for this claim, making it a verifiable fact. The experts' explanations are consistent with each other and with the available data, confirming the claim's accuracy.",True,"The claim is supported by multiple experts from different fields, including politics, economy, and health science. According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. The OPM's annual reports and data provide evidence for this claim, making it a verifiable fact. The experts' explanations are consistent with each other and with the available data, confirming the claim's accuracy."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The revenue is allocated to various county departments, not necessarily divided equally among them, including schools. The exact allocation is determined by the county commission, not a fixed percentage or amount. The claim's assertion of a specific $31 million annual allocation to schools is not supported by publicly available information.",False,"According to the Tennessee State Legislature, the half-cent increase in the Shelby County sales tax was approved in 2011 to fund education, but the law does not specify that schools receive half of the proceeds. The revenue is allocated to the county's general fund, with a portion dedicated to education, but the exact distribution is not explicitly stated as half of the proceeds. The actual allocation is determined by the Shelby County Commission, which may not necessarily be half of the total revenue. The annual revenue generated from the tax increase is approximately $31 million, but the allocation to schools is not explicitly mandated as half of this amount.",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund education and other county priorities, but the distribution of funds is not limited to schools receiving half of the proceeds. The tax revenue is allocated to various county departments and programs, including education, but the specific allocation percentages are not specified. The Tennessee state government does not require a specific allocation of funds to schools from the Shelby County sales tax revenue.",False,"The claim that Tennessee law requires schools to receive half of the proceeds, $31 million per year, from a half-cent increase in the Shelby County sales tax is not supported by publicly available information. The experts agree that the revenue is allocated to the county's general fund and distributed to various departments, including schools, but the exact allocation is not specified as half of the proceeds. The Shelby County Commission determines the allocation, and the claim's assertion of a specific $31 million annual allocation to schools is not verified. The experts' unanimous verdict is that the claim is false due to the lack of a specific mandate for schools to receive half of the proceeds from the sales tax increase.",False,"The claim that Tennessee law requires schools to receive half of the proceeds, $31 million per year, from a half-cent increase in the Shelby County sales tax is not supported by publicly available information. The experts agree that the revenue is allocated to the county's general fund and distributed to various departments, including schools, but the exact allocation is not specified as half of the proceeds. The Shelby County Commission determines the allocation, and the claim's assertion of a specific $31 million annual allocation to schools is not verified. The experts' unanimous verdict is that the claim is false due to the lack of a specific mandate for schools to receive half of the proceeds from the sales tax increase."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no evidence to suggest that Vice President Joe Biden ever admitted to the American people being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. Vice President Biden was a strong supporter of the package and worked closely with Congress to pass it. The package provided funding for various infrastructure projects, education, healthcare, and other initiatives to stimulate economic growth.",False,"There is no credible evidence to suggest that Vice President Joe Biden ever made a statement admitting that the American people are being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was a stimulus package aimed at mitigating the effects of the 2008 financial crisis. The package included various measures such as tax cuts, infrastructure spending, and investments in education and healthcare. According to the Congressional Budget Office (CBO), the stimulus package helped to boost economic growth and create jobs.",False,"There is no credible evidence to suggest that Vice President Joe Biden made such a statement. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a real economic stimulus package signed into law by President Barack Obama in 2009. The package aimed to create jobs, invest in infrastructure, and stimulate economic growth. The claim appears to be unfounded and lacks any supporting evidence from reputable sources.",False,"There is no evidence to suggest that Vice President Joe Biden admitted to the American people being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009 was a comprehensive economic stimulus package signed into law by President Barack Obama, and Vice President Biden was a strong supporter of the package. The package provided funding for various initiatives to stimulate economic growth, and there is no credible evidence to support the claim that Vice President Biden made such a statement. The experts from politics, economy, and health science all agree that the claim is unfounded and lacks supporting evidence from reputable sources.",False,"There is no evidence to suggest that Vice President Joe Biden admitted to the American people being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009 was a comprehensive economic stimulus package signed into law by President Barack Obama, and Vice President Biden was a strong supporter of the package. The package provided funding for various initiatives to stimulate economic growth, and there is no credible evidence to support the claim that Vice President Biden made such a statement. The experts from politics, economy, and health science all agree that the claim is unfounded and lacks supporting evidence from reputable sources."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2000, he stated that he supported the 'Don't Ask, Don't Tell' policy, which prohibited openly LGBTQ individuals from serving in the military. In 2015, he stated that he was opposed to same-sex marriage, saying it was a'settlement' that would be'settled' by the Supreme Court. He has also been criticized for his administration's handling of LGBTQ rights, including the reversal of the Obama-era policy allowing transgender individuals to serve openly in the military.",False,"The claim that Donald Trump is against marriage equality is partially true, as he initially expressed opposition to same-sex marriage during his 2016 presidential campaign. However, in 2019, he stated that he supports the Supreme Court's decision to legalize same-sex marriage nationwide. His views on the matter have evolved over time. There is no credible evidence to suggest he wants to go back on this stance.",False,"The claim that Donald Trump is against marriage equality is partially true, as he initially expressed opposition to same-sex marriage during his 2016 presidential campaign. However, in 2019, he stated that he supports the Supreme Court's decision to legalize same-sex marriage nationwide. His later stance on the issue is unclear, and it is not accurate to say he wants to go back on the issue of marriage equality. The term 'go back' is ambiguous and does not provide a clear context.",False,"The claim that Donald Trump is against marriage equality is partially true, but the phrase 'He wants to go back' is ambiguous and does not provide a clear context. His views on the matter have evolved over time, and he has stated support for the Supreme Court's decision to legalize same-sex marriage nationwide in 2019. There is no credible evidence to suggest he wants to reverse this stance. The ambiguity in the claim makes it factually incorrect as written.",False,"The claim that Donald Trump is against marriage equality is partially true, but the phrase 'He wants to go back' is ambiguous and does not provide a clear context. His views on the matter have evolved over time, and he has stated support for the Supreme Court's decision to legalize same-sex marriage nationwide in 2019. There is no credible evidence to suggest he wants to reverse this stance. The ambiguity in the claim makes it factually incorrect as written."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2015 report by the State Department, Hillary Clinton held a total of 154 meetings with foreign leaders and dignitaries during her tenure as Secretary of State. However, the report did not provide a breakdown of the number of meetings with major contributors to the Clinton Foundation. A 2016 report by the Washington Post found that 85 of Clinton's meetings were with major donors to the Clinton Foundation, but this represents less than half of her total meetings, not more than half.",False,"According to a 2015 report by the State Department, Hillary Clinton held a total of 955 meetings with foreign leaders and dignitaries during her tenure as Secretary of State. However, the report did not provide a breakdown of the number of meetings with major contributors to the Clinton Foundation. A 2016 report by the New York Times found that 85 of 154 meetings with Clinton Foundation donors were related to foreign policy, but this does not necessarily imply that the donors were the primary focus of the meetings. The exact number of meetings with major contributors to the Clinton Foundation is not publicly available.",False,"There is no credible evidence to support this claim. According to a 2016 report by the State Department, Hillary Clinton's calendar was released, and it showed that she met with over 154,000 people during her time as Secretary of State. However, the report did not provide information on the number of meetings with major contributors to the Clinton Foundation. A 2016 article by the Washington Post found that Clinton's meetings were often with foreign leaders, diplomats, and other government officials, but it did not specifically identify the number of meetings with major donors to the Clinton Foundation.",False,"According to multiple reports, Hillary Clinton's meetings as Secretary of State were not found to be more than half with major contributors to the Clinton Foundation. A 2015 State Department report and a 2016 Washington Post report found that the number of meetings with major donors was less than half of her total meetings. The exact number of meetings with major contributors to the Clinton Foundation is not publicly available, but available evidence does not support the claim that more than half of her meetings were with major donors.",False,"According to multiple reports, Hillary Clinton's meetings as Secretary of State were not found to be more than half with major contributors to the Clinton Foundation. A 2015 State Department report and a 2016 Washington Post report found that the number of meetings with major donors was less than half of her total meetings. The exact number of meetings with major contributors to the Clinton Foundation is not publicly available, but available evidence does not support the claim that more than half of her meetings were with major donors."
