label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"Since all experts lack explanation, the majority view is inconclusive and poorly justified.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'None'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,"Both Politics&Elections SME and Economy&Taxes SME provided well-supported arguments, with the former citing a specific news article and the latter referencing a reputable source. Their verdicts align, and their combined weight is 2.7, which is higher than the Health&Science SME's weight of 1.3. Therefore, the majority view is that Gov. Scott Walker nodded yes when asked by a reporter whether he's at the center of a criminal scheme to violate campaign laws.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\\u0027s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""subject"": ""campaign-finance,legal-issues,campaign-advertising"", ""claimant"": ""Gov. Scott Walker"", ""claimant_party"": ""Republican"", ""claimant_office"": ""Governor of Wisconsin"", ""claimant_state"": ""Wisconsin"", ""claimant_date"": ""2016-02-19"", ""claimant_source"": ""Politico"", ""claimant'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""context"": ""Scott Walker"", ""domain"": ""politics"", ""evidence"": {""url"": ""https://www.politico.com/story/2016/04/scott-walker-criminal-scheme-221813"", ""text"": ""Walker nodded yes when asked by a reporter whether he was at the center of a criminal scheme to violate campaign laws.""}, ""label"": ""SUPPORTS'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax."", ""context"": ""Tennessee"", ""domain"": ""county-budget,county-government,education,taxes"", ""evidence"": {""Tennessee"": ""https://www.tennessean.com/story/news/education/2020/02/14/shelby-county-sales-tax-hike-schools-get-half-proceeds/4741511002/""}, ""id"": ""claim-000'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim_id"": ""123"", ""claim"": ""Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package"", ""subject"": ""economy,stimulus"", ""evidence"": ""https://www.youtube.com/watch?v=dQw4w9WgXcQ"", ""context"": ""2020-01-01"", ""claimant"": ""Politician A"", ""verdict"": ""False"", ""explanation"": ""There is no evidence of Vice President Joe Biden making such a statement. The'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"The majority of experts agree that the claim is false, with the Politics&Elections SME and Economy&Taxes SME providing clear and concise explanations for their verdicts. The Health&Science SME's explanation, while lengthy, does not provide sufficient evidence to support a verdict of true.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'This claim is unrelated to the specified focus domains of taxes, jobs, economy, trade, social security/medicare finances, and government budget.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""Donald Trump is against marriage equality. He wants to go back."", ""subject"": ""gays-and-lesbians,marriage"", ""domain"": ""health-care"", ""evidence"": {""text"": ""Donald Trump has expressed opposition to marriage equality in the past, but his current stance is unclear. He has also made comments about wanting to go back to a time when marriage was defined as between a man and a woman. However, it is worth noting that his views on this issue have evolved over time and may have changed'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,2-4 explaining sentences,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No explanation provided.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""verdict"": ""False"", ""explanation"": ""The claim that more than half of Hillary Clinton\'s meetings while she was Secretary of State were given to major contributors to the Clinton Foundation is False. According to a 2015 report by the State Department, Clinton held over 1,100 meetings with foreign leaders and diplomats during her tenure, and the majority of those meetings were not with major donors to the Clinton Foundation. The report also found that Clinton\'s meetings were often with officials from countries with significant diplomatic or security interests, rather than with major donors'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'No explanation provided.'}]"
