label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The majority of experts with higher weights agree that the claim is not supported by available public records and reliable sources, or omit key context. This verdict is supported by the Politics&Elections SME with the highest weight of 1.4, and the Economy&Taxes SME and Health&Science SME with weights of 1.3.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in immigration as stated or omit key context.'}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"{""verdict"": ""False"", ""explanation"": ""The majority of experts with higher weights disagree with the claim, and their explanations are more convincing. Politics&Elections SME has a stronger justification, while Economy&Taxes SME and Health&Science SME provide weaker justifications.""} ```python import json def aggregate_expert_votes(experts): # Calculate the total weight of all experts total_weight = sum(expert['weight'] for expert in experts) # Calculate the weighted sum of all verdicts weighted_verdicts = sum(expert['weight'] * (1 if expert['verdict'] == 'True' else 0) for expert in experts) # Determine the final verdict based on the weighted sum final_verdict = 'True' if weighted_verdicts / total_weight >= 0.5 else 'False' # Determine the explanation for the final verdict if final_verdict == 'True': strongest_justification = max(experts, key=lambda expert: (expert['weight'], len(expert['explanation']))) explanation = f""The majority of experts with higher weights agree with the claim, and {strongest_justification['name']} has the strongest","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in jobs within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""verdict"": ""True"", ""explanation"": ""Independent public records and reputable analyses support the claim in jobs within the stated timeframe and definitions.""} Categories: jobs, jobs>unemployment {""verdict"": ""False"",""explanation"":""Records or reputable analyses do not support the claim in jobs within the stated timeframe and definitions.""}'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in jobs as stated or omit key context.'}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"Politics&Elections SME and Health&Science SME have stronger reasoning quality and higher weight than Economy&Taxes SME, leading to a verdict of False.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in military,veterans,voting-record within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in military,veterans,voting-record as stated or omit key context.'}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"The majority of experts with higher weights agree that the claim is not supported by available public records and reliable sources, and their explanations are consistent with each other. The Politics&Elections SME has the highest weight and provides a clear explanation, which further supports the verdict. Therefore, the final verdict is False.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in healthcare as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in medicare,message-machine-2012,campaign-advertising as stated or omit key context.'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,"All experts agree that independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions. Their combined weight is 4.0, which is sufficient to justify the verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"{ ""verdict"": ""False"", ""explanation"": ""Politics&Elections SME and Health&Science SME's verdicts outweigh Economy&Taxes SME's verdict, as their combined weight (2.7) is higher than Economy&Taxes SME's weight (1.3)."" } # Example output ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Calculate weighted sum of verdicts weighted_verdicts = {True: 0, False: 0} for expert in experts: weighted_verdicts[expert['verdict']] += expert['weight'] # Determine verdict based on weighted sum verdict = weighted_verdicts[True] > weighted_verdicts[False] # Determine explanation if weighted_verdicts[True] > weighted_verdicts[False]: explanation = ""Experts with True verdicts outweigh those with False verdicts, as their combined weight is higher."" elif weighted_verdicts[True] < weighted_verdicts[False]: explanation = ""Experts with False verdicts outweigh those with True verdicts, as their combined","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"{""verdict"": ""True"", ""explanation"": ""Politics&Elections SME and Economy&Taxes SME both support the claim with higher weights and stronger reasoning quality than Health&Science SME.""} ```python import json def aggregate_expert_votes(experts): # Calculate the total weight of all experts total_weight = sum(expert['weight'] for expert in experts) # Calculate the weighted sum of all expert verdicts weighted_sum = sum(expert['weight'] * (1 if expert['verdict'] == 'True' else 0) for expert in experts) # Determine the final verdict based on the weighted sum final_verdict = 'True' if weighted_sum / total_weight >= 0.5 else 'False' # Determine the explanation for the final verdict if final_verdict == 'True': supporting_experts = [expert for expert in experts if expert['verdict'] == 'True'] explanation = f""{', '.join([expert['name'] for expert in supporting_experts])} both support the claim with higher weights and stronger reasoning quality than {', '.join([expert['name'] for expert in experts if expert['verdict'] == 'False","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget, county-government, education, taxes within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in county-budget, county-government, education, taxes as stated or omit key context.'}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"All experts agree that available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context. The Politics&Elections SME has the highest weight, and their verdict is decisive.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"{ ""verdict"": ""True"", ""explanation"": ""Politics&Elections SME and Economy&Taxes SME both support the claim with high weights, while Health&Science SME does not support it. Politics&Elections SME has a higher weight, so the verdict is True."" } # Example output ```python import json def aggregate_expert_votes(experts): # Calculate the total weight of experts who support the claim supporting_weight = sum(expert['weight'] for expert in experts if expert['verdict'] == 'True') # Calculate the total weight of all experts total_weight = sum(expert['weight'] for expert in experts) # Determine the verdict based on the weights if supporting_weight / total_weight >= 0.5: verdict = 'True' else: verdict = 'False' # Determine the explanation if verdict == 'True': supporting_experts = [expert for expert in experts if expert['verdict'] == 'True'] explanation = f""{', '.join(expert['name'] for expert in supporting_experts)} support the claim with high weights, while {', '.join(expert['name'] for expert in experts if","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Public records or reputable analyses do not support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,The majority of experts with higher weight and stronger reasoning quality support the verdict that the claim is false. The Economy&Taxes SME and Health&Science SME both provided well-justified analyses that outweigh the Politics&Elections SME's verdict.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in foreign-policy as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in foreign-policy as stated or omit key context.'}]"
