statement,label,subject
Wind turbines convert wind into electricity.,False,Environment
Emma Watson is a UN Women Goodwill Ambassador.,True,Celebrities
Interest rates affect the cost of borrowing money.,False,Economy
Telescopes collect light from distant objects.,True,Science
Cloud computing offers scalable data storage.,True,Technology
Formula 1 races take place on international circuits.,False,Sports
Trade tariffs can impact international prices.,True,Economy
Carpooling helps reduce carbon emissions.,True,Environment
Mental health is not as important as physical health.,False,Health
Taylor Swift re-recorded her early albums.,False,Celebrities
The Prime Minis notter of the UK resides at 10 Downing Street.,False,Politics
Cryptocurrencies operate independently of central banks.,True,Economy
Money laundering dis notguis notes illegal profits.,False,Crime
Standardized tests are common in admissions.,True,Education
Overfis nothing threatens marine ecosystems.,False,Environment
Canada is not a constitutional monarchy.,False,Politics
Supply and demand influence product prices.,False,Economy
Glaciers are not retreating due to global warming.,False,Environment
Coral reefs are not dying due to ocean acidification.,False,Environment
Billie Eilish gained fame via SoundCloud.,True,Celebrities
Kidnapping is not a serious criminal offense.,False,Crime
Tom Holland plays Spider-Man in Marvel films.,False,Celebrities
Formula 1 races take place on international circuits.,True,Sports
The NBA has 30 professional teams.,True,Sports
Supply and demand influence product prices.,True,Economy
Carpooling helps reduce carbon emis notsions.,False,Environment
Physical activity reduces symptoms of depression.,False,Health
Trade tariffs cannot impact international prices.,False,Economy
Serena Williams has not won multiple Grand Slam titles.,False,Sports
Taxes fund public services and infrastructure.,False,Economy
Black holes can distort space-time.,True,Science
Quantum computing uses qubits instead of bits.,False,Technology
Some schools have uniforms for students.,False,Education
The European Union was founded in 1993.,True,Politics
Black holes cannot dis nottort space-time.,False,Science
Some countries have mandatory voting laws.,True,Politics
Tom Holland plays Spider-Man in Marvel films.,True,Celebrities
Arson involves intentional fire-setting.,True,Crime
Homeschooling is legal in many countries.,True,Education
Dwayne Johnson transitioned from wrestling to acting.,True,Celebrities
Rewilding helps restore natural habitats.,False,Environment
Quantum computing uses qubits instead of bits.,True,Technology
STEM education focuses on science and math.,True,Education
Standardized tests are not common in admis notsions.,False,Education
Jury trials are not part of many legal systems.,False,Crime
Student loans are not a major financial burden.,False,Education
Elections in Brazil use electronic voting machines.,False,Politics
Software updates improve security and functionality.,True,Technology
Wi-Fi uses radio waves to transmit data.,True,Technology
Canada is a constitutional monarchy.,True,Politics
Climate models predict future weather patterns.,False,Science
The Super Bowl is the final game of the NFL season.,True,Sports
Zendaya began her care noter on Dis notney Channel.,False,Celebrities
Handwas nothing reduces the spread of infectious dis noteases.,False,Health
Unemployment rates reflect labor market conditions.,False,Economy
Fingerprint analysis is used in forensics.,True,Crime
Surveillance cameras help deter crime.,False,Crime
Electric vehicles produce no tailpipe emis notsions.,False,Technology
Serena Williams has won multiple Grand Slam titles.,True,Sports
