label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S. Mexico border will take literally years.,immigration,Unknown,Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=out of range integral type conversion attempted; raw_last=None,Unknown,Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=out of range integral type conversion attempted; raw_last=None,Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
False,Wisconsin is on pace to double the number of layoffs this year.,jobs,Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
False,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes.,"campaign-finance,legal-issues,campaign-advertising",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package.,"economy,stimulus",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
True,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None",Unknown,"Error: JSON generation failed. last_enforcer_err=prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.; fallback_err=CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
; raw_last=None"
