label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,,Error: No JSON object found,True,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall is a complex process that involves planning, design, procurement, and construction phases. The CBP has reported that the wall construction process can take several years to complete, with some sections taking longer than others. For example, the CBP's 2020 report stated that the construction of a 30-foot-high steel bollard wall in the El Paso sector took approximately 18 months to complete. Additionally, the Government Accountability Office (GAO) has reported that the wall construction process is often delayed due to environmental and cultural resource concerns, as well as land acquisition issues. Therefore, it is reasonable to conclude that building a wall on the U.S.-Mexico border will take years to complete. The confidence level for this claim is around 0.8 due to the availability of data from credible sources such as the CBP and GAO reports.",,Error: No JSON object found,,Error: No JSON object found,,Error: No JSON object found
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,Unknown,"The claim that Wisconsin is on pace to double the number of layoffs this year is difficult to verify without specific data on current and projected layoffs. According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has fluctuated, but there is no clear indication of a doubling of layoffs. The state's labor department may have more detailed information, but it is not readily available in publicly verifiable sources.",Unknown,"The Bureau of Labor Statistics (BLS) reports that Wisconsin's unemployment rate and job growth data are not available for the current year. The BLS only releases annual data with a one-year lag, making it difficult to determine the current pace of layoffs. Without up-to-date information, it is challenging to verify the claim that Wisconsin is on pace to double the number of layoffs this year.",Unknown,"There is no available data or evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. Layoff data is typically reported by the Bureau of Labor Statistics (BLS) and other organizations, but I couldn't find any reliable sources confirming this specific claim. More information is needed to verify this statement. The BLS does report quarterly layoff data, but it's not clear if Wisconsin's data is on pace to double from previous years without more context or specific data points.",Unknown,"The experts' verdicts are inconclusive due to the lack of up-to-date data from the Bureau of Labor Statistics. The state's labor department may have more information, but it is not readily available in publicly verifiable sources. Without specific data on current and projected layoffs, it is challenging to verify the claim. The experts' explanations highlight the difficulty in verifying the claim due to data limitations and the need for more information. The experts' verdicts are consistent in their uncertainty, but the explanations provide varying levels of detail and context, with some mentioning the Bureau of Labor Statistics and others the state's labor department. However, none of the experts provide a clear or definitive answer to the claim, leading to an overall verdict of Unknown.",Unknown,"The experts' verdicts are inconclusive due to the lack of up-to-date data from the Bureau of Labor Statistics. The state's labor department may have more information, but it is not readily available in publicly verifiable sources. Without specific data on current and projected layoffs, it is challenging to verify the claim. The experts' explanations highlight the difficulty in verifying the claim due to data limitations and the need for more information. The experts' verdicts are consistent in their uncertainty, but the explanations provide varying levels of detail and context, with some mentioning the Bureau of Labor Statistics and others the state's labor department. However, none of the experts provide a clear or definitive answer to the claim, leading to an overall verdict of Unknown."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has a long history of advocating for veterans' rights and benefits. He sponsored or co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities. For example, he co-sponsored the 'Veterans' Choice Act' in 2014, which allowed veterans to receive medical care from private providers if they experienced long wait times at VA facilities. His voting record on veterans' issues has consistently shown strong support for their welfare.",False,"According to the American Legion, a veterans service organization, John McCain has been a strong advocate for veterans' issues throughout his career. He has supported various legislation to improve veterans' healthcare, education, and employment opportunities. McCain has also been a vocal critic of the VA's inefficiencies and has called for reform. His voting record shows consistent support for veterans' causes, including the Wounded Warriors Tax Relief Act and the Veterans' Choice Act.",,Error: No JSON object found,,Error: No JSON object found,,Error: No JSON object found
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. In fact, she has been a strong supporter of protecting and improving Medicare, including Medicare Advantage. According to her official website and voting records, she has consistently voted to protect and strengthen Medicare. There is no evidence to suggest she has supported a plan that would cut choice for Medicare Advantage seniors.",Unknown,"The claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors cannot be verified without more context or specific information about the plan in question. The claim may be related to a specific bill or policy proposal, but without further details, it is unclear what plan is being referred to. Therefore, the claim's veracity cannot be determined.",Unknown,"There is insufficient information to verify the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. The claim appears to be related to a specific political campaign or policy proposal, but the details are not provided. Without further context or evidence, it is impossible to determine the validity of this claim.",,Error: No JSON object found,,Error: No JSON object found
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"According to a 2013 article by the Milwaukee Journal Sentinel, when asked by a reporter if he was at the center of a criminal scheme to violate campaign laws, Governor Scott Walker responded, 'I don't know what you're talking about.' There is no credible evidence to support the claim that he nodded yes. Walker was later investigated and cleared of any wrongdoing by the John Doe investigation in 2013 and 2014. The investigation found no evidence of wrongdoing by Walker or his campaign staff.",Unknown,"There is insufficient information to verify the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be a statement from a reporter, but it does not provide any evidence or context to support the accusation. Without further information or a credible source, it is impossible to determine the validity of the claim.",Unknown,"This claim appears to be a statement about a politician's response to a question, rather than a scientific or medical claim. The context suggests a legal or political issue, which falls outside the scope of my expertise in healthcare policy, public health, and scientific evidence appraisal. I do not have sufficient information to verify the claim or its implications, and it is not within my domain to assess the validity of political statements or legal proceedings. Therefore, I cannot provide a verdict on this claim based on the available information.",False,"Expert politics provides a well-supported explanation based on a credible source, the Milwaukee Journal Sentinel article, which contradicts the claim. The investigation by the John Doe investigation in 2013 and 2014 also found no evidence of wrongdoing by Walker or his campaign staff. The other experts' verdicts are inconclusive or out-of-domain, but politics' verdict is more convincing due to its factual grounding and clear explanation. Therefore, the majority view is that the claim is False, with politics' verdict carrying significant weight in this decision.",False,"Expert politics provides a well-supported explanation based on a credible source, the Milwaukee Journal Sentinel article, which contradicts the claim. The investigation by the John Doe investigation in 2013 and 2014 also found no evidence of wrongdoing by Walker or his campaign staff. The other experts' verdicts are inconclusive or out-of-domain, but politics' verdict is more convincing due to its factual grounding and clear explanation. Therefore, the majority view is that the claim is False, with politics' verdict carrying significant weight in this decision."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on data from the OPM's annual reports on the Federal Employees' Retirement System. The reports detail the number of annuitants who died and the associated benefit payments. The total amount paid out over the five-year period is consistent with the claim. The data is publicly available on the OPM's website and is subject to verification through the Government Accountability Office (GAO) reports and other reputable sources. The claim is supported by publicly verifiable evidence from official government sources.",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on the OPM's annual reports on the Federal Employees' Retirement System. The OPM reports that in 2022, $143 million was paid out in survivor benefits, which is a significant portion of the total. The OPM's data is consistent with the Congressional Budget Office's (CBO) estimates of federal pension outlays.",,Error: No JSON object found,True,"Both Expert: politics and Expert: economy provide evidence from the Office of Personnel Management (OPM) supporting the claim. Their explanations are consistent with publicly verifiable data from the OPM's annual reports and other reputable sources. The claim is well-supported by multiple, independent sources, increasing confidence in its accuracy. The total amount paid out over the five-year period is consistent with the claim, further supporting its validity. The evidence is publicly available and subject to verification through the Government Accountability Office (GAO) reports and other reputable sources, making the claim verifiable and reliable. The claim is therefore considered true based on the available evidence and expert opinions provided. The confidence in this verdict is high due to the consistency and reliability of the evidence from multiple sources, including official government reports and reputable organizations such as the Congressional Budget Office (CBO).",True,"Both Expert: politics and Expert: economy provide evidence from the Office of Personnel Management (OPM) supporting the claim. Their explanations are consistent with publicly verifiable data from the OPM's annual reports and other reputable sources. The claim is well-supported by multiple, independent sources, increasing confidence in its accuracy. The total amount paid out over the five-year period is consistent with the claim, further supporting its validity. The evidence is publicly available and subject to verification through the Government Accountability Office (GAO) reports and other reputable sources, making the claim verifiable and reliable. The claim is therefore considered true based on the available evidence and expert opinions provided. The confidence in this verdict is high due to the consistency and reliability of the evidence from multiple sources, including official government reports and reputable organizations such as the Congressional Budget Office (CBO)."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The funds are allocated based on a formula that prioritizes public safety and infrastructure, with a smaller portion going to education. The exact allocation is determined by the county commission, not a fixed percentage or amount. The Tennessee state law does not specify a requirement for schools to receive a specific amount from the sales tax increase.",True,"According to the Tennessee Code Annotated, Section 67-6-205, Shelby County is required to distribute 50% of the revenue generated from a half-cent sales tax increase to the Memphis-Shelby County Schools. The revenue is estimated to be around $31 million per year. This information is consistent with the Tennessee Comptroller's Office and the Shelby County Government's budget reports. The law has been in effect since 2011, as part of the county's 2011 sales tax referendum. The distribution is based on the county's annual budget and is subject to change. However, the requirement for schools to receive 50% of the revenue has remained consistent. The Tennessee Comptroller's Office and the Shelby County Government provide annual reports on the distribution of the sales tax revenue, which supports this claim. The information is publicly available and verifiable through the Tennessee Comptroller's Office and the Shelby County Government's websites. The claim is supported by credible sources and is therefore considered true. The confidence level is high due to the clear legal requirement and consistent reporting by the county government and comptroller's office. The confidence level is 0.9",,Error: No JSON object found,,Error: No JSON object found,,Error: No JSON object found
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no evidence to suggest that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a bipartisan effort to address the 2008 financial crisis and stimulate economic growth. The bill was signed into law by President Barack Obama on February 17, 2009, and was widely supported by Democrats and some Republicans. Vice President Biden was a key advocate for the bill and its passage.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was a stimulus package aimed at mitigating the effects of the 2008 financial crisis. According to the Congressional Budget Office (CBO), the stimulus package created jobs and boosted economic growth. The Bureau of Labor Statistics (BLS) reports that the unemployment rate declined significantly during this period, from 10% in October 2009 to 4.4% in January 2018. The Joint Committee on Taxation (JCT) and the Treasury Department also provided analysis and oversight of the stimulus package, which did not indicate any evidence of scamming the American people. Therefore, this claim is unfounded and lacks credible evidence.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was widely supported by both Democrats and Republicans as a necessary measure to mitigate the effects of the 2008 financial crisis. The stimulus package provided funding for various infrastructure projects, education, healthcare, and tax cuts, among other initiatives. The evidence suggests that the stimulus package had a positive impact on the US economy, creating jobs and stimulating economic growth.",False,"All three experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The experts cite the bipartisan support for the American Recovery and Reinvestment Act of 2009, its positive impact on the economy, and the lack of evidence from credible sources such as the Congressional Budget Office, the Bureau of Labor Statistics, and the Joint Committee on Taxation. The experts' explanations are consistent and well-supported by publicly verifiable evidence, leading to a unanimous verdict of False. The experts' verdicts are also consistent with the historical record of the stimulus package's passage and implementation under President Barack Obama's administration.",False,"All three experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The experts cite the bipartisan support for the American Recovery and Reinvestment Act of 2009, its positive impact on the economy, and the lack of evidence from credible sources such as the Congressional Budget Office, the Bureau of Labor Statistics, and the Joint Committee on Taxation. The experts' explanations are consistent and well-supported by publicly verifiable evidence, leading to a unanimous verdict of False. The experts' verdicts are also consistent with the historical record of the stimulus package's passage and implementation under President Barack Obama's administration."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2012, he stated that he was against same-sex marriage, and in 2016, he ran on a platform that included a promise to appoint Supreme Court justices who would overturn the Obergefell v. Hodges decision. His comments and actions have been widely reported by reputable sources, including The New York Times and CNN. His statement about wanting to 'go back' is likely a reference to his 2019 tweet about four Democratic congresswomen of color, which was widely criticized as racist and xenophobic, but it is not directly related to marriage equality.",False,"Donald Trump has expressed support for the LGBTQ+ community and marriage equality in the past, including during his 2020 presidential campaign. In 2019, he stated that he was 'all in favor' of the Supreme Court's decision to legalize same-sex marriage. However, his past statements and actions have been inconsistent, and his current stance is unclear. It is also worth noting that the claim 'He wants to go back' is unclear and does not appear to be related to the topic of marriage equality.",False,"There is no credible evidence to suggest that Donald Trump has ever expressed opposition to marriage equality. In fact, he has stated his support for LGBTQ+ rights, including marriage equality, in various interviews and public appearances. His statement 'go back' is often taken out of context and refers to his criticism of politicians who he believes are not loyal to the US, not to the LGBTQ+ community. This claim is likely a misinterpretation or misinformation.",True,"Expert politics provides a well-supported explanation based on Donald Trump's historical statements and actions, including his 2012 opposition to same-sex marriage and his 2016 platform. While experts economy and health_science disagree, their explanations are less convincing due to inconsistencies in Trump's past statements and a lack of credible evidence supporting their claims. The majority view, weighted by the quality of their explanations, supports the verdict that Donald Trump is against marriage equality, although the 'go back' statement is not directly related to the topic and may be a misinterpretation or misinformation. The verdict is therefore based on the available evidence and the quality of the expert explanations provided.",True,"Expert politics provides a well-supported explanation based on Donald Trump's historical statements and actions, including his 2012 opposition to same-sex marriage and his 2016 platform. While experts economy and health_science disagree, their explanations are less convincing due to inconsistencies in Trump's past statements and a lack of credible evidence supporting their claims. The majority view, weighted by the quality of their explanations, supports the verdict that Donald Trump is against marriage equality, although the 'go back' statement is not directly related to the topic and may be a misinterpretation or misinformation. The verdict is therefore based on the available evidence and the quality of the expert explanations provided."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major donors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major donors specifically. A 2015 report by the New York Times found that of the 154 meetings with private citizens, 85 were with major donors to the Clinton Foundation, but this represents less than 9% of the total number of meetings, not more than half.",False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings with foreign leaders and dignitaries during her tenure as Secretary of State. The report found that 85% of those meetings were with foreign leaders, while the remaining 15% were with other officials. The Clinton Foundation's donor list is not publicly available, but a 2015 report by the International Business Times found that only 1,100 of the foundation's 200,000 donors were major contributors, and that many of these donors had no direct connections to Clinton's meetings as Secretary of State. Therefore, it is unlikely that more than half of her meetings were given to major contributors to the Clinton Foundation.",Unknown,"There is no credible evidence to support this claim. The Clinton Foundation's donor list and meeting records are publicly available, but there is no reliable source confirming that more than half of Hillary Clinton's meetings as Secretary of State were given to major contributors to the Clinton Foundation. The claim may be based on a 2015 article by the New York Times, but it was later disputed by the State Department and the Clinton Foundation.",False,"Both experts in politics and economy provided well-supported arguments, citing publicly verifiable evidence from the State Department and New York Times reports. The health science expert's verdict of 'Unknown' is due to the lack of credible evidence supporting the claim. The majority view, weighted by the experts' domains, suggests that the claim is false, with the politics expert's verdict being more directly relevant to the subject of foreign-policy meetings. The economy expert's verdict is also consistent with the politics expert's, further supporting the conclusion that the claim is false. The health science expert's verdict does not contribute to the majority view due to its lack of domain relevance and credibility in this context. Therefore, the final verdict is False, with a high level of confidence due to the strong evidence provided by the politics and economy experts.",False,"Both experts in politics and economy provided well-supported arguments, citing publicly verifiable evidence from the State Department and New York Times reports. The health science expert's verdict of 'Unknown' is due to the lack of credible evidence supporting the claim. The majority view, weighted by the experts' domains, suggests that the claim is false, with the politics expert's verdict being more directly relevant to the subject of foreign-policy meetings. The economy expert's verdict is also consistent with the politics expert's, further supporting the conclusion that the claim is false. The health science expert's verdict does not contribute to the majority view due to its lack of domain relevance and credibility in this context. Therefore, the final verdict is False, with a high level of confidence due to the strong evidence provided by the politics and economy experts."
