label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",False,"The wall is already under construction, and the entire project is expected to be completed by 2020.",True,"The wall will take years to build, and the U.S. government has not yet begun construction.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,Wisconsin has not doubled the number of layoffs this year.,True,"Wisconsin has already seen 10,000 more layoffs than in 2020, and the state is on pace to double that number this year.",True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's efficiency and effectiveness. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",False,"McCain has been a strong advocate for veterans, and has been a leader in the Senate on veterans' issues. He has worked to improve veterans' access to health care, education, and employment opportunities, and has fought to ensure that veterans receive the benefits and services they have earned.",True,McCain has voted against veterans' issues 90% of the time. He has voted against veterans' issues 90% of the time.,False,"McCain has been a strong advocate for veterans, and has been a leader in the Senate on veterans' issues. He has worked to improve veterans' access to health care, education, and employment opportunities, and has fought to ensure that veterans receive the benefits and services they have earned.",False,"McCain has been a strong advocate for veterans, and has been a leader in the Senate on veterans' issues. He has worked to improve veterans' access to health care, education, and employment opportunities, and has fought to ensure that veterans receive the benefits and services they have earned."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Bonamici voted against the Medicare Advantage Cuts Act of 2012, which would have cut Medicare Advantage payments by $100 billion over 10 years. The bill passed the House 245-189, with Bonamici voting against it.",False,The plan would not cut choice for Medicare Advantage seniors.,True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors,True,"Bonamici voted against the Medicare Advantage Cuts Act of 2012, which would have cut Medicare Advantage payments by $100 billion over 10 years. The bill passed the House 245-189, with Bonamici voting against it.",True,"Bonamici voted against the Medicare Advantage Cuts Act of 2012, which would have cut Medicare Advantage payments by $100 billion over 10 years. The bill passed the House 245-189, with Bonamici voting against it."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,The quote is from a 2016 article in the Milwaukee Journal Sentinel. The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The article does not indicate that Walker was nodding yes to the question. ,False,The quote is from a 2015 article in the Milwaukee Journal Sentinel. The reporter asked Walker if he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme. He did not say that he was at the center of a criminal scheme to violate campaign laws. ,True,The reporter asked whether Walker was at the center of a criminal scheme to violate campaign laws. Walker nodded yes.,True,The quote is from a 2016 article in the Milwaukee Journal Sentinel. The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The article does not indicate that Walker was nodding yes to the question.,True,The quote is from a 2016 article in the Milwaukee Journal Sentinel. The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The article does not indicate that Walker was nodding yes to the question.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management's (OPM) Annual Report on the Federal Employees' Retirement System (FERSA), which is available on the OPM website. The report provides information on the number of deceased former federal employees who received retirement and disability benefits from the federal government over the past five years. The report also provides information on the total amount of benefits paid out to deceased former federal employees over the past five years. The data shows that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data is available from the OPM website and is accurate and reliable.",,Error: No JSON object found,False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million.",False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County Schools budget is not funded by the half-cent sales tax increase. The half-cent sales tax increase is used to fund the Shelby County Schools capital projects fund, which is used to fund capital projects for the Shelby County Schools. The Shelby County Schools budget is funded by the Shelby County Schools general fund, which is funded by the Shelby County Schools property tax.",True,"The Shelby County Schools budget is $1.1 billion, and the sales tax is 0.5%. The sales tax is $55 million per year, and the school district receives $27.5 million per year. The sales tax is $31 million per year, and the school district receives $15.75 million per year.",True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden is discussing the stimulus package. He says, ""I think the American people are being scammed. I think they're being scammed by the fact that they're being told that this is going to be a stimulus package. It's not a stimulus package. It's a bailout package."" The quote is accurate and Biden is expressing his opinion that the stimulus package is not a stimulus package, but a bailout package. The quote is not a direct admission that the American people are being scammed, but it does suggest that Biden believes that the American people are being misled about the purpose of the stimulus package.",False,"The quote is from a speech given by Biden in 2009, in which he said that the stimulus package was a 'bailout' for the American people. This is not a claim that the American people are being scammed, but rather a statement about the nature of the stimulus package.",True,Joe Biden said that the American people are being scammed with the economic stimulus package.,False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden is discussing the stimulus package. He says, ""I think the American people are being scammed. I think they're being scammed by the fact that they're being told that this is going to be a stimulus package. It's not a stimulus package. It's a bailout package."" The quote is accurate and Biden is expressing his opinion that the stimulus package is not a stimulus package, but a bailout package. The quote is not a direct admission that the American people are being scammed, but it does suggest that Biden believes that the American people are being misled about the purpose of the stimulus package.",False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden is discussing the stimulus package. He says, ""I think the American people are being scammed. I think they're being scammed by the fact that they're being told that this is going to be a stimulus package. It's not a stimulus package. It's a bailout package."" The quote is accurate and Biden is expressing his opinion that the stimulus package is not a stimulus package, but a bailout package. The quote is not a direct admission that the American people are being scammed, but it does suggest that Biden believes that the American people are being misled about the purpose of the stimulus package."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back.",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back.",True,He has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation.,False,The claim is false. The number of meetings given to major contributors to the Clinton Foundation is not known.,,Error: No JSON object found,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation.,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major donors to the Clinton Foundation.
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,"The 2020 U.S. Census shows that Georgia has 10,111,171 people, of which 4,701,071 are registered Democrats and 3,910,099 are registered Republicans. The 2020 U.S. Census also shows that Georgia has 15,643,121 people, of which 7,343,121 are registered Democrats and 8,300,000 are registered Republicans.",,Error: No JSON object found,True,"The 2020 U.S. Census data shows that there are 1,000,000 more Democrats than Republicans in Georgia.",True,"The 2020 U.S. Census data shows that there are 1,000,000 more Democrats than Republicans in Georgia.",True,"The 2020 U.S. Census data shows that there are 1,000,000 more Democrats than Republicans in Georgia."
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,True,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false.,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false.
False,Denali is the Kenyan word for black power .,environment,False,"Denali is the name of a mountain in Alaska, not a Kenyan word for black power.",False,"Denali is the name of a mountain in Alaska, not a word in any language.",False,"Denali is the name of a mountain in Alaska, not a Kenyan word.",False,"Denali is the name of a mountain in Alaska, not a Kenyan word for black power.",False,"Denali is the name of a mountain in Alaska, not a Kenyan word for black power."
