label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to a 2019 report by the Government Accountability Office (GAO), building a wall along the U.S.-Mexico border would take several years to complete, with estimates ranging from 5 to 10 years. The report cited the complexity of the project, including environmental and cultural resource concerns, as well as the need for land acquisition and construction planning. Additionally, a 2020 report by the Congressional Research Service noted that the Trump administration's initial plan to build 400 miles of wall in the first two years of his presidency was unlikely to be completed on time due to various logistical and funding challenges. These reports suggest that building a wall on the U.S.-Mexico border would indeed take years to complete, if it is undertaken at all.",False,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall began in 2017 and was completed in 2020, with a total of 452 miles of new wall system installed. The construction process was accelerated under the Trump administration, with the goal of completing 450 miles of new wall by the end of 2020.",False,"According to the U.S. Government Accountability Office (GAO), the construction of a border wall on the U.S.-Mexico border has been ongoing since 2006, with various phases and funding allocations. The GAO reported that as of 2020, the U.S. had spent over $15 billion on border barriers, including walls, fencing, and other infrastructure. While the exact timeline for completion is uncertain, it is not accurate to say that building a wall would take 'literally years' as it has been an ongoing process for over a decade and a half, with various phases and milestones achieved along the way. However, the pace and extent of construction have been subject to changes in government policies and funding allocations over the years.",True,"The majority of experts agree that building a wall on the U.S.-Mexico border would take years to complete, citing complexity, logistical, and funding challenges. The politics expert's explanation is well-supported by a 2019 GAO report and a 2020 Congressional Research Service report. The economy and health_science experts' verdicts are contradicted by their own explanations, which are based on incomplete or misleading information. The politics expert's verdict is more convincing due to its stronger factual grounding and more comprehensive explanation.",True,"The majority of experts agree that building a wall on the U.S.-Mexico border would take years to complete, citing complexity, logistical, and funding challenges. The politics expert's explanation is well-supported by a 2019 GAO report and a 2020 Congressional Research Service report. The economy and health_science experts' verdicts are contradicted by their own explanations, which are based on incomplete or misleading information. The politics expert's verdict is more convincing due to its stronger factual grounding and more comprehensive explanation."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"According to the Wisconsin Department of Workforce Development, the state's initial unemployment insurance claims have increased, but the number of layoffs is not on pace to double. The state's unemployment rate has also decreased since the start of the year, indicating a mixed economic picture.",False,"According to the Bureau of Labor Statistics (BLS), Wisconsin's unemployment rate has been steadily decreasing since 2020, and the state's labor market has shown resilience. The BLS data from January 2023 to May 2023 does not indicate a significant increase in layoffs, let alone a doubling of layoffs. The BLS does not provide a direct measure of layoffs, but the number of initial unemployment claims, which can be an indicator of layoffs, has been trending downward in Wisconsin.",False,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020, and the state's labor market has shown signs of recovery. While layoffs can occur, there is no evidence to suggest that Wisconsin is on pace to double the number of layoffs this year. In fact, the state's labor market has been performing better than many other states in the US, with a lower unemployment rate and a growing number of jobs added to the economy. Therefore, the claim is likely an exaggeration or misinformation with no basis in fact.",False,"The majority of experts agree that Wisconsin is not on pace to double the number of layoffs this year, citing data from the Wisconsin Department of Workforce Development and the Bureau of Labor Statistics. The experts point to a decreasing unemployment rate and a resilient labor market, indicating a mixed or improving economic picture in the state. The experts' explanations are well-supported by publicly verifiable evidence, and their verdicts are consistent with each other. Therefore, the claim is likely an exaggeration or misinformation with no basis in fact.",False,"The majority of experts agree that Wisconsin is not on pace to double the number of layoffs this year, citing data from the Wisconsin Department of Workforce Development and the Bureau of Labor Statistics. The experts point to a decreasing unemployment rate and a resilient labor market, indicating a mixed or improving economic picture in the state. The experts' explanations are well-supported by publicly verifiable evidence, and their verdicts are consistent with each other. Therefore, the claim is likely an exaggeration or misinformation with no basis in fact."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has been a strong advocate for veterans' issues throughout his career. He has sponsored and co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities, and has been a vocal critic of the VA's handling of veterans' care. According to the National Journal, McCain has sponsored or co-sponsored over 100 bills related to veterans' issues during his time in Congress.",False,"John McCain has been a strong advocate for veterans' issues throughout his career. He has sponsored and co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities, and has been a vocal critic of the VA's inefficiencies and shortcomings.",False,"John McCain has been a strong advocate for veterans' rights and has sponsored several bills aimed at improving veterans' healthcare and benefits. He has also been a vocal critic of the VA's handling of veterans' care and has called for reform. His record on veterans' issues has been widely reported and documented by various sources, including the American Legion and the Disabled American Veterans organization, among others. While opinions about his effectiveness may vary, his commitment to veterans' issues is well-documented and widely acknowledged by many veterans' organizations and advocacy groups.",False,"Experts from politics, economy, and health_science agree that John McCain has been a strong advocate for veterans' issues, sponsoring and co-sponsoring numerous bills to improve their healthcare, education, and employment opportunities, and has been a vocal critic of the VA's handling of veterans' care. This is supported by multiple sources, including the National Journal and veterans' organizations like the American Legion and the Disabled American Veterans organization. Their verdicts are well-supported and consistent, indicating that the claim is false.",False,"Experts from politics, economy, and health_science agree that John McCain has been a strong advocate for veterans' issues, sponsoring and co-sponsoring numerous bills to improve their healthcare, education, and employment opportunities, and has been a vocal critic of the VA's handling of veterans' care. This is supported by multiple sources, including the National Journal and veterans' organizations like the American Legion and the Disabled American Veterans organization. Their verdicts are well-supported and consistent, indicating that the claim is false."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. According to the Kaiser Family Foundation, Suzanne Bonamici has voted in favor of the Affordable Care Act, which expanded Medicare Advantage, and has also supported legislation to protect and strengthen the program. There is no public record of her supporting a plan that would cut choice for Medicare Advantage seniors. However, it's worth noting that in 2019, she did vote for the Bipartisan Budget Act, which included provisions that some critics argued could harm Medicare Advantage, but this vote was not explicitly about cutting choice for seniors. The bill's impact on Medicare Advantage was complex and multifaceted, and Bonamici's vote was likely influenced by a variety of factors, including the bill's overall budget implications and the need to avoid a government shutdown.",False,"According to the Kaiser Family Foundation, Suzanne Bonamici has not proposed any plans to cut choice for Medicare Advantage seniors. In fact, she has expressed support for strengthening and improving the Medicare program, including Medicare Advantage, to ensure it continues to provide high-quality, affordable care for seniors.",False,"There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. This claim appears to be a political statement without a factual basis in evidence. It is essential to verify information through credible sources, such as official statements or voting records, to determine the accuracy of such claims. Without concrete evidence, this claim is considered false.",False,"All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors, citing her voting record and public statements in favor of strengthening and improving the Medicare program. The experts' explanations are well-supported by evidence from the Kaiser Family Foundation and do not rely on unsubstantiated claims or interpretations of complex legislation. The consensus among experts is clear and convincing, with no dissenting views presented. Therefore, the claim is considered false.",False,"All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors, citing her voting record and public statements in favor of strengthening and improving the Medicare program. The experts' explanations are well-supported by evidence from the Kaiser Family Foundation and do not rely on unsubstantiated claims or interpretations of complex legislation. The consensus among experts is clear and convincing, with no dissenting views presented. Therefore, the claim is considered false."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"There is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be based on a misleading interpretation of a 2012 interview where Walker was asked if he was at the center of a 'criminal scheme' and he responded 'I'm not aware of any evidence of that' but then nodded in agreement, which some interpreted as a yes. However, Walker's office has consistently stated that he was simply acknowledging the question, not confirming any wrongdoing. The Wisconsin State Journal and other reputable outlets have reported on this incident, but there is no conclusive evidence to support the claim that Walker nodded yes to being at the center of a criminal scheme to violate campaign laws.",False,"There is no credible evidence to support the claim that Governor Scott Walker admitted to being at the center of a criminal scheme to violate campaign laws. The claim appears to be based on a misleading interpretation of a 2012 interview where Walker said 'I'm not aware of anything that would suggest that I'm at the center of any criminal scheme' when asked about a John Doe investigation, but he did not explicitly deny being at the center of a scheme.",False,"There is no scientific or medical evidence to support this claim, as it pertains to a political statement made by a public figure. The claim is a matter of political controversy and not a medical or scientific fact. The statement was made in a non-medical context and does not relate to any health or medical issue. Therefore, it cannot be verified or falsified by scientific evidence or reputable health organizations such as the CDC, FDA, NIH, CMS, or WHO, or peer-reviewed literature on PubMed.",False,"Experts from politics and economy agree that there is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The health science expert's verdict is irrelevant to the claim, which is a matter of political controversy. The majority view (weighted) is that the claim is false, with no conclusive evidence to support it, and Walker's office has consistently stated that he was simply acknowledging the question, not confirming any wrongdoing.",False,"Experts from politics and economy agree that there is no credible evidence to support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The health science expert's verdict is irrelevant to the claim, which is a matter of political controversy. The majority view (weighted) is that the claim is false, with no conclusive evidence to support it, and Walker's office has consistently stated that he was simply acknowledging the question, not confirming any wrongdoing."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a 2020 report by the Government Accountability Office (GAO), the Office of Personnel Management (OPM) paid out $601 million in retirement and disability benefits to deceased former federal employees between 2010 and 2014. This is due to a lack of timely death reporting and verification processes, allowing benefits to continue being paid to deceased individuals for an average of 2 years after their death. The GAO recommended improvements to the death reporting process to prevent such overpayments in the future. The OPM has since implemented some changes to address this issue, but the problem persists to some extent.",True,"According to the Government Accountability Office (GAO), between 2015 and 2019, the Office of Personnel Management (OPM) paid out approximately $601 million in retirement and disability benefits to deceased former federal employees. This is due to a lack of timely death reporting and verification processes, allowing benefits to continue being paid to deceased individuals for an average of 2.5 years after their death. The GAO has recommended improvements to the death reporting process to prevent such overpayments in the future. The data is based on OPM's own reports and GAO investigations, which are credible sources of information on federal employee benefits and government operations.",False,"According to the Government Accountability Office (GAO), the Office of Personnel Management (OPM) reported that in 2020, the total amount paid in survivor benefits to the families of deceased federal employees was $1.4 billion, not $601 million over five years. However, this figure includes both retirement and disability benefits, and it's unclear if the $601 million specifically refers to disability benefits. The GAO report does not provide a breakdown of the $601 million figure, making it difficult to verify the claim. Therefore, the claim is likely false due to the lack of clear evidence supporting the specific figure of $601 million over five years for disability benefits alone.",True,"Both experts in politics and economy agree that the Office of Personnel Management (OPM) paid out $601 million in retirement and disability benefits to deceased former federal employees, citing a 2010-2014 and 2015-2019 time frame respectively. Their explanations are supported by a Government Accountability Office (GAO) report, which is a credible source of information on federal employee benefits and government operations. The health science expert's verdict is based on a different figure and lacks clear evidence supporting the specific claim of $601 million over five years for disability benefits alone, making it less convincing. Therefore, the majority view is that the claim is true, with a strong factual grounding in publicly verifiable evidence.",True,"Both experts in politics and economy agree that the Office of Personnel Management (OPM) paid out $601 million in retirement and disability benefits to deceased former federal employees, citing a 2010-2014 and 2015-2019 time frame respectively. Their explanations are supported by a Government Accountability Office (GAO) report, which is a credible source of information on federal employee benefits and government operations. The health science expert's verdict is based on a different figure and lacks clear evidence supporting the specific claim of $601 million over five years for disability benefits alone, making it less convincing. Therefore, the majority view is that the claim is true, with a strong factual grounding in publicly verifiable evidence."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"According to the Tennessee Code Annotated, Section 67-6-205, the revenue from the half-cent sales tax increase in Shelby County is allocated, with 50% going to the county general fund and 50% to the schools. This allocation is consistent with the law passed in 2011, which implemented the tax increase. The revenue is estimated to be around $31 million per year, with half going to the schools as required by law.",True,"According to the Tennessee Constitution, a portion of the revenue from a local option sales tax, including the half-cent increase in Shelby County, is allocated to education, specifically to schools. The amount allocated is indeed around $31 million per year, as per the state's constitution and laws.",True,"According to the Tennessee Code Annotated, Section 7-59-401, the revenue from the half-cent sales tax increase in Shelby County is allocated, with 50% going to the county general fund and 50% to the schools. This allocation has been in place since 1988, resulting in approximately $31 million per year for the schools. This is a specific provision of Tennessee state law, not a general claim about school funding in Tennessee. The claim is accurate and based on a specific statute.",True,"All experts agree that Tennessee law requires schools to receive half of the proceeds from the half-cent sales tax increase in Shelby County, with the estimated revenue being around $31 million per year. This is supported by multiple sections of the Tennessee Code Annotated and the state's constitution, providing a strong basis for the claim's validity.",True,"All experts agree that Tennessee law requires schools to receive half of the proceeds from the half-cent sales tax increase in Shelby County, with the estimated revenue being around $31 million per year. This is supported by multiple sections of the Tennessee Code Annotated and the state's constitution, providing a strong basis for the claim's validity."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis. The bill passed with bipartisan support in both the House and Senate, and its provisions have been extensively documented and analyzed by various government agencies and independent organizations. The claim appears to be a misrepresentation of Vice President Biden's statements, which were actually focused on the need for transparency and accountability in the implementation of the stimulus package, rather than an admission of a scam.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. This claim appears to be a misrepresentation of a 2010 interview where Biden discussed the stimulus package's potential to be a 'big deal' and 'a big bang for the buck,' but he did not make any statement about scamming the American people.",,Error: No JSON object found,False,"Experts in politics and economy agree that there is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. Both experts provide credible explanations based on publicly verifiable evidence, including the bipartisan support for the American Recovery and Reinvestment Act and the lack of any statement from Biden about scamming the American people. Their verdicts are consistent and well-supported, leading to a conclusive verdict of False.",False,"Experts in politics and economy agree that there is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. Both experts provide credible explanations based on publicly verifiable evidence, including the bipartisan support for the American Recovery and Reinvestment Act and the lack of any statement from Biden about scamming the American people. Their verdicts are consistent and well-supported, leading to a conclusive verdict of False."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has expressed opposition to marriage equality in the past, stating that he supports traditional marriage between a man and a woman. In 2012, he tweeted 'I'm a traditionalist. With all of that being said, I do personally believe in traditional marriage.' Additionally, in 2016, he stated that he wants to 'go back' to the days when states decided on same-sex marriage, implying a reversal of the Obergefell v. Hodges Supreme Court decision that legalized same-sex marriage nationwide. However, it's worth noting that his stance on the issue has evolved over time, and he has also stated that he supports the Supreme Court's decision in 2015, but with caveats. Nonetheless, his past statements and current views suggest that he is generally opposed to marriage equality and wants to limit its recognition at the federal level or allow states to decide on the issue, which is often interpreted as wanting to 'go back' to a pre-Obergefell era.",True,"According to publicly available information, Donald Trump has expressed opposition to marriage equality in the past, stating that he supports traditional marriage between a man and a woman. However, his current stance is unclear. In 2020, he stated that he supports the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. Nevertheless, his past statements and actions have been inconsistent, and some have questioned his commitment to LGBTQ+ rights.",False,"There is no credible evidence to suggest that Donald Trump has ever been in favor of marriage equality. In fact, he has publicly expressed opposition to same-sex marriage, stating in 2000 that he was against it and in 2015 that he was against it, citing his Christian faith. His stance has been consistent with his Republican Party's platform, which has historically been opposed to marriage equality. However, it's worth noting that his views on the issue have evolved over time, and in 2016, he stated that he would support the Supreme Court's decision to legalize same-sex marriage nationwide, but this statement was met with skepticism by many LGBTQ+ advocates and allies due to his previous statements and actions on the issue.",True,"Experts' verdicts are divided, but the majority (politics and economy) agree that Donald Trump has expressed opposition to marriage equality in the past, with the politics expert providing more detailed and specific evidence. The health_science expert's verdict is based on a more narrow interpretation of Trump's views, but the other two experts' verdicts are more comprehensive and well-supported by publicly verifiable evidence, including Trump's past tweets and statements. Therefore, the majority view is that Trump is generally opposed to marriage equality and wants to limit its recognition at the federal level or allow states to decide on the issue, which is often interpreted as wanting to 'go back' to a pre-Obergefell era. This interpretation is supported by multiple sources and is consistent with Trump's past actions and statements on the issue.",True,"Experts' verdicts are divided, but the majority (politics and economy) agree that Donald Trump has expressed opposition to marriage equality in the past, with the politics expert providing more detailed and specific evidence. The health_science expert's verdict is based on a more narrow interpretation of Trump's views, but the other two experts' verdicts are more comprehensive and well-supported by publicly verifiable evidence, including Trump's past tweets and statements. Therefore, the majority view is that Trump is generally opposed to marriage equality and wants to limit its recognition at the federal level or allow states to decide on the issue, which is often interpreted as wanting to 'go back' to a pre-Obergefell era. This interpretation is supported by multiple sources and is consistent with Trump's past actions and statements on the issue."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,"According to a 2015 report by the New York Times, about 85 of the 154 people from private companies and foreign governments who met or spoke with Hillary Clinton while she was secretary of state were major donors to the Clinton Foundation. However, this does not necessarily imply that the meetings were given to major contributors, but rather that they were among those who met with her. The report also noted that many of these meetings were routine and part of her official duties as secretary of state. The Clinton Foundation has also stated that it does not influence her official actions as secretary of state, and that the meetings were often arranged by her staff and were focused on official business, not fundraising or personal interests.",False,"According to a 2015 report by the New York Times, about 85% of the people outside the government who met with Hillary Clinton while she was secretary of state were donors to the Clinton Foundation or its charitable endeavors, but this does not necessarily imply that the meetings were solely for the purpose of soliciting donations. The report also noted that many of these meetings were with foreign leaders, dignitaries, or other government officials, and that the Clinton Foundation's work aligns with the State Department's goals.",False,"According to a 2015 report by the State Department, 85% of the meetings with Clinton were with people who were not major donors to the Clinton Foundation. Additionally, a 2016 report by the New York Times found that the majority of Clinton's meetings were with foreign leaders, ambassadors, and other government officials, not just major donors. These reports contradict the claim that more than half of her meetings were given to major contributors to the Clinton Foundation. The claim appears to be an exaggeration or misrepresentation of the facts.",False,"Experts agree that the claim is an exaggeration or misrepresentation of the facts. According to multiple reports, including the New York Times and the State Department, a significant portion of Hillary Clinton's meetings were with foreign leaders, dignitaries, or other government officials, not just major donors to the Clinton Foundation. The Clinton Foundation has also stated that it does not influence her official actions as secretary of state, and that the meetings were often arranged by her staff and were focused on official business, not fundraising or personal interests.",False,"Experts agree that the claim is an exaggeration or misrepresentation of the facts. According to multiple reports, including the New York Times and the State Department, a significant portion of Hillary Clinton's meetings were with foreign leaders, dignitaries, or other government officials, not just major donors to the Clinton Foundation. The Clinton Foundation has also stated that it does not influence her official actions as secretary of state, and that the meetings were often arranged by her staff and were focused on official business, not fundraising or personal interests."
