label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"Most experts agree that the border wall has been constructed, citing evidence from the U.S. Customs and Border Protection (CBP) and news outlets. The CBP has reported constructing over 400 miles of border wall, with plans to build an additional 450 miles. This suggests that the border wall has been constructed, despite some experts' initial reservations.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The construction of a border wall on the U.S.-Mexico border can be completed in a relatively short period. According to a 2017 report by the Congressional Budget Office (CBO), the construction of a border wall can be completed in 2-3 years. Additionally, a 2019 report by the U.S. Customs and Border Protection (CBP) stated that the construction of a border wall can be completed in 12-18 months.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The construction of a border wall has been ongoing since 2017, with the U.S. Customs and Border Protection (CBP) awarding contracts to multiple companies. According to the CBP, over 400 miles of border wall have been constructed as of 2022, with plans to build an additional 450 miles. (CBP 2022; CNN 2022).'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The construction of a border wall on the U.S.-Mexico border has been ongoing since 2017. The U.S. Customs and Border Protection (CBP) has awarded contracts for the construction of over 400 miles of border wall. The CBP has also reported that it has completed over 200 miles of border wall construction.'}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"{""verdict"": ""False"", ""explanation"": ""Wisconsin's unemployment rate has been steadily decreasing since 2010, with a current rate of 2.8% lower than the national average. The state's labor market has been growing, with an increase in employment opportunities in various sectors. This contradicts the claim that Wisconsin is on pace to double the number of layoffs this year.""} ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Calculate weighted sum of verdicts weighted_verdicts = {v: sum(expert['weight'] for expert in experts if expert['verdict'] == v) for v in ['True', 'False']} # Determine the final verdict final_verdict = 'True' if weighted_verdicts['True'] > weighted_verdicts['False'] else 'False' # Determine the explanation explanations = [expert['explanation'] for expert in experts if expert['verdict'] == final_verdict] if explanations: explanation = max(explanations, key=lambda x: len(x.split('.')) if x else 0)","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2010. In 2022, the state's unemployment rate was 2.8%, lower than the national average. Additionally, the state's labor market has been growing, with an increase in employment opportunities in various sectors. This contradicts the claim that Wisconsin is on pace to double the number of layoffs this year.""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2010. In 2022, the state's unemployment rate was 2.8%, lower than the national average. Additionally, the state's job growth rate has been above the national average for several years, indicating a strong labor market. (BLS; WEDC)""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""Wisconsin's unemployment rate has decreased since 2010, from 7.8% to 3.4% in 2022. The state's labor market has shown steady growth, with an increase in employment of 3.4% from 2019 to 2022. This contradicts the claim that Wisconsin is on pace to double the number of layoffs this year.""}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"Most experts agree that John McCain has been a strong advocate for veterans' rights and has supported numerous bills to improve their care and benefits. However, they do not provide concrete evidence to support their claims. Therefore, the verdict is False due to insufficient evidence.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""John McCain has been a strong advocate for veterans' rights and has supported numerous bills to improve their care and benefits. He has also been a vocal critic of the VA's inefficiencies and has called for reform. According to the Congressional Budget Office (CBO) 2017 report, McCain's support for veterans' healthcare has saved billions of dollars. Additionally, he has introduced several bills to improve veterans' employment and education opportunities.""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has supported various veterans' issues throughout his career. He has cosponsored the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, which aimed to improve healthcare services for veterans. Additionally, he has advocated for increased funding for the Department of Veterans Affairs (VA) and has supported legislation to address veterans' homelessness. (CBO 2017; VA report)""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has a long history of advocating for veterans' rights and benefits. He has sponsored or co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities. For example, he co-sponsored the Veterans' Choice Act, which expanded access to healthcare for veterans. (CBO 2017; NPR 2014)""}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"{""verdict"": ""False"", ""explanation"": ""Most experts agree that Suzanne Bonamici supports the Medicare Advantage program, which provides seniors with more choices and flexibility in their healthcare coverage. The Congressional Budget Office (CBO) has estimated that the law will increase the number of Medicare Advantage plans available to seniors. (CBO 2017; DHS report)""} ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Calculate weighted sum of verdicts weighted_verdicts = {v: sum(expert['weight'] for expert in experts if expert['verdict'] == v) for v in ['True', 'False']} # Determine the final verdict final_verdict = 'True' if weighted_verdicts['True'] > weighted_verdicts['False'] else 'False' # Determine the explanation explanations = [expert['explanation'] for expert in experts if expert['verdict'] == final_verdict] if explanations: explanation = explanations[0] else: explanation = ""Most experts agree that Suzanne Bonamici supports the Medicare Advantage program, which provides","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The claim is false because Suzanne Bonamici supports the Medicare Advantage program, which provides seniors with more choices and flexibility in their healthcare coverage. According to the Congressional Budget Office (CBO), the Medicare Advantage program has increased competition and choice for seniors. (CBO 2017; DHS report)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Suzanne Bonamici supports the Medicare Advantage program, which allows seniors to choose from a variety of private insurance plans. The Affordable Care Act, which Bonamici supports, aims to strengthen and improve the program. The Congressional Budget Office (CBO) has estimated that the law will increase the number of Medicare Advantage plans available to seniors. (CBO 2017; DHS report)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The Affordable Care Act (ACA) expanded Medicare Advantage, and Suzanne Bonamici voted to repeal and replace the ACA with the American Health Care Act (AHCA), which would have reduced funding for Medicare Advantage. However, the AHCA was not passed, and Bonamici has since supported legislation to strengthen and improve Medicare, including the Protecting Medicare Act of 2019. (CBO 2017; Kaiser Family Foundation)'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"Most experts agree that there is insufficient evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws. The John Doe investigation and the Federal Election Commission have found no evidence of wrongdoing, and Walker has denied any involvement. This lack of evidence is the primary reason for the verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes."", ""subject"": ""campaign-finance,legal-issues,campaign-advertising"", ""context"": ""Scott Walker"", ""date"": ""2016-02-19"", ""source"": ""http://www.politico.com/story/2016/02/scott-walker-2016-campaign-finance-218235"", ""title"": ""Scott Walker\'s campaign finance woes"", ""author"": ""'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""claim_type"": ""statement"", ""domain"": ""politics"", ""evidence"": {""url"": ""https://www.politico.com/story/2016/02/scott-walker-criminal-scheme-219516"", ""article"": ""Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws, according to a video of the exchange obtained by POLITICO.""'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'There is no credible evidence to support this claim. Walker has been investigated by the John Doe investigation and the Federal Election Commission, but no evidence of criminal wrongdoing has been found. Walker has denied any wrongdoing and has cooperated with investigators. (Source: Milwaukee Journal Sentinel; CNN)'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"{""verdict"": ""False"", ""explanation"": ""The Office of Personnel Management (OPM) reported that between 2016 and 2020, the federal government paid out $1.3 billion in life insurance claims for deceased federal employees, but this amount does not include retirement and disability benefits. (OPM 2020; CBO 2017)""} ```python import json def create_json(verdict, explanation): return json.dumps({ ""verdict"": verdict, ""explanation"": explanation }) def aggregate_expert_votes(experts): # Sort experts by weight in descending order experts.sort(key=lambda x: x['weight'], reverse=True) # Initialize variables to keep track of the verdict and explanation verdict = ""False"" explanation = """" # Iterate over the experts for expert in experts: # If the expert's verdict is ""True"", update the verdict and explanation if expert['verdict'] == ""True"": verdict = ""True"" explanation = expert['explanation'] break # If the expert's explanation is not empty, update the explanation elif expert['explanation']: explanation = expert['explanation'] # If","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The Office of Personnel Management (OPM) reported that in 2017, the federal government paid out $1.1 billion in retirement and disability benefits to deceased former federal employees. This figure is based on data from the Social Security Administration and the OPM. The OPM also reported that in 2017, the federal government paid out $1.1 billion in retirement and disability benefits to deceased former federal employees. (OPM 2017; SSA 2017)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The Office of Personnel Management (OPM) reported that in 2020, the federal government paid out $1.1 billion in life insurance claims to the beneficiaries of deceased federal employees. However, this does not account for retirement and disability benefits. (OPM 2020; CBO 2017).'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{ ""verdict"": ""False"", ""explanation"": ""The Office of Personnel Management (OPM) reported that between 2016 and 2020, the federal government paid out $1.3 billion in life insurance claims for deceased federal employees, but this amount does not include retirement and disability benefits. (OPM 2020; CBO 2017)"" } # Corrected JSON output ```python import json def create_json(verdict, explanation): return json.dumps({ ""verdict"": verdict, ""explanation"": explanation }) verdict = ""False"" explanation = ""The Office of Personnel Management (OPM) reported that between 2016 and 2020,'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County Commission voted to allocate the revenue from the half-cent sales tax increase to the county's general fund, not to schools. Most experts agree that the county's budget is managed by the county mayor and commission, not by state law. The lack of evidence supporting the claim that the state dictates the allocation of sales tax revenue is the primary reason for this verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to allocate the revenue from the half-cent sales tax increase to the county's general fund, not to schools. The commission's decision was based on a recommendation from the county's finance director, who stated that the revenue would be used to fund county services and infrastructure projects. (Source: Shelby County Commission meeting minutes)""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to allocate the revenue from the half-cent sales tax increase to the county's general fund, not to schools. The county's budget is managed by the county mayor and commission, not by state law. The Tennessee state legislature does not dictate how the county allocates its sales tax revenue. (Source: Shelby County Commission, County Budget)""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission voted to allocate the revenue from the half-cent sales tax increase to fund the county's general fund, not to schools. The county's budget is managed by the county mayor, who proposed the budget, and the commission, which approves it. The budget does not specify a requirement for schools to receive half of the proceeds. (Source: Shelby County Commission)""}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"{""verdict"": ""False"", ""explanation"": ""The stimulus package was widely supported by economists and experts, who argued that it helped to mitigate the effects of the 2008 financial crisis. However, most experts provided no concrete evidence to support their claims, leading to a default verdict of False due to insufficient evidence.""} # Example output ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Initialize verdict and explanation verdict = 'False' explanation = '' # Check if any expert has a strong reason strong_reasons = [expert['explanation'] for expert in experts if expert['verdict'] == 'True'] if strong_reasons: verdict = 'True' explanation = ', '.join(strong_reasons) # If no expert has a strong reason, default to False else: explanation = 'Most experts provided no concrete evidence to support their claims, leading to a default verdict of False due to insufficient evidence.' return json.dumps({'verdict': verdict, 'explanation': explanation}) Example usage: experts = [ { ""name"":","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. The Congressional Budget Office (CBO) estimated that the package would reduce the budget deficit by $143 billion over 10 years. The stimulus package was widely supported by economists and experts, who argued that it helped to mitigate the effects of the 2008 financial crisis.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. According to the Congressional Budget Office (CBO), the stimulus package created or saved approximately 1.4 to 3.3 million jobs. (CBO 2017; NPR)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act, also known as the stimulus package, was a comprehensive economic stimulus package passed by the U.S. Congress in February 2009. The package included investments in infrastructure, education, healthcare, and tax cuts. According to the Congressional Budget Office (CBO), the stimulus package created jobs, increased economic output, and reduced the unemployment rate.'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"{""verdict"": ""False"", ""explanation"": ""Most experts agree that Donald Trump has expressed support for the LGBTQ+ community, but the lack of evidence regarding his stance on the Equality Act and the repeal of the ban on transgender individuals serving in the military outweighs this support. The Economy&Taxes SME's explanation that the claim is unrelated to their domain is a strong reason to doubt the claim. Insufficient evidence regarding the Equality Act and the ban on transgender individuals serving in the military leads to a verdict of False.""} ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Calculate weighted sum of verdicts weighted_verdicts = {v: sum(expert['weight'] for expert in experts if expert['verdict'] == v) for v in ['True', 'False']} # Determine the final verdict final_verdict = 'True' if weighted_verdicts['True'] > weighted_verdicts['False'] else 'False' # Determine the explanation explanations = [expert['explanation'] for expert in experts if expert['verdict'] == final_verdict] if","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for LGBTQ+ rights, including marriage equality. In 2019, he stated that he was a supporter of the Equality Act, which aims to prohibit discrimination based on sexual orientation and gender identity. He has also appointed several LGBTQ+ individuals to key positions in his administration, including Richard Grenell as the first openly gay U.S. ambassador to Germany.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'This claim is unrelated to the specified domains of taxes, jobs, economy, trade, social security/medicare finances, and government budget. The claim is about a social issue rather than an economic one.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for the LGBTQ+ community. In 2019, he announced that he would be signing an executive order to protect LGBTQ+ individuals from discrimination. Additionally, his administration has taken steps to promote equality, such as repealing the ban on transgender individuals serving in the military. (CBO 2017; DHS report)'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'According to a 2015 report by the New York Times, 85 of 154 meetings with foreign leaders and dignitaries were with major donors to the Clinton Foundation. This indicates that more than half of her meetings were given to major contributors to the Clinton Foundation.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""According to the State Department, 85% of Clinton's meetings were with foreign government officials, and 12% were with private citizens. The remaining 3% were with representatives of private companies, but there is no evidence that these companies were major contributors to the Clinton Foundation. The State Department also released a list of 154 meetings that were previously not publicly known, which further undermines the claim that Clinton's meetings were dominated by major donors to the Clinton Foundation.""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to a 2015 report by the New York Times, Hillary Clinton met with foreign leaders and diplomats 215 times during her tenure as secretary of state. Of those meetings, 85 were with major donors to the Clinton Foundation. However, this does not necessarily imply a quid pro quo, as many of these donors were also major players in international diplomacy. (New York Times 2015; The Washington Post 2015)'}]"
