label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the U.S. Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border is a complex and time-consuming process that involves multiple steps, including planning, design, and construction, which can take several years to complete. The GAO has reported that the Department of Homeland Security (DHS) has faced challenges in acquiring land, obtaining necessary permits, and addressing environmental concerns, which can further delay the process. Additionally, the Congressional Research Service has noted that building a wall along the entire border would require significant resources and time.",True,"The U.S. Customs and Border Protection (CBP) has reported that the construction of barriers and fencing along the U.S.-Mexico border has been an ongoing process since 2006, with various projects and initiatives taking place over the years. The complexity of the project, including environmental and land acquisition issues, has contributed to the prolonged timeline. According to the Government Accountability Office (GAO), the construction of barriers and roads along the border can take several years to complete.",True,"The construction of a border wall is a complex project that requires significant planning, resource allocation, and labor, which would indeed take several years to complete. The U.S. Government Accountability Office has estimated that building a wall along the entire U.S.-Mexico border could take 6-10 years. Similar large-scale infrastructure projects have historically taken years to complete, and the complexity of this project would likely follow a similar timeline.",True,"The construction of a border wall along the U.S.-Mexico border is a complex and time-consuming process that involves multiple steps, including planning, design, and construction, which can take several years to complete due to challenges in acquiring land, obtaining necessary permits, and addressing environmental concerns.",True,"The construction of a border wall along the U.S.-Mexico border is a complex and time-consuming process that involves multiple steps, including planning, design, and construction, which can take several years to complete due to challenges in acquiring land, obtaining necessary permits, and addressing environmental concerns."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"There is no publicly available data or official source to support the claim that Wisconsin is on pace to double the number of layoffs this year. The Bureau of Labor Statistics (BLS) provides data on mass layoffs, but it does not provide real-time data or projections. Additionally, the Wisconsin Department of Workforce Development also provides data on layoffs, but it does not support the claim of doubling the number of layoffs this year.",False,"According to the Bureau of Labor Statistics (BLS), Wisconsin's initial claims for unemployment insurance, a proxy for layoffs, have been trending downward in 2022, not increasing. In fact, the 4-week moving average of initial claims in Wisconsin has decreased by 23% from January to August 2022. There is no evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year.",False,There is no credible evidence from reliable sources such as the Bureau of Labor Statistics or the Wisconsin Department of Workforce Development to support the claim that Wisconsin is on pace to double the number of layoffs this year.,False,"The claim is unsupported by publicly available data and official sources, including the Bureau of Labor Statistics and the Wisconsin Department of Workforce Development, which provide data on mass layoffs and initial claims for unemployment insurance, respectively. In fact, the data suggests a downward trend in layoffs in Wisconsin. There is no credible evidence to support the claim.",False,"The claim is unsupported by publicly available data and official sources, including the Bureau of Labor Statistics and the Wisconsin Department of Workforce Development, which provide data on mass layoffs and initial claims for unemployment insurance, respectively. In fact, the data suggests a downward trend in layoffs in Wisconsin. There is no credible evidence to support the claim."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has a long history of supporting veterans' issues, including sponsoring the Post-9/11 GI Bill and the Veterans Choice and Accountability Act. He has also consistently voted in favor of increasing funding for the Department of Veterans Affairs. According to his Senate website, McCain has introduced or co-sponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities.",False,"According to the American Legion, John McCain has a strong voting record on veterans' issues, supporting key legislation such as the Post-9/11 GI Bill and the Veterans Choice and Accountability Act. He has also chaired the Senate Armed Services Committee, overseeing military affairs and veterans' care. While opinions about his effectiveness may vary, it is inaccurate to say he has done nothing to help veterans.",False,"John McCain has a long history of advocating for veterans' rights and has sponsored or co-sponsored numerous bills to improve their healthcare and benefits, including the Veterans Choice and Accountability Act of 2014 and the Clay Hunt Suicide Prevention for American Veterans Act of 2015.",False,"John McCain has a proven track record of supporting veterans' issues, including sponsoring key legislation and consistently voting in favor of increased funding for the Department of Veterans Affairs, contradicting the claim that he has done nothing to help veterans.",False,"John McCain has a proven track record of supporting veterans' issues, including sponsoring key legislation and consistently voting in favor of increased funding for the Department of Veterans Affairs, contradicting the claim that he has done nothing to help veterans."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"There is no publicly available evidence to suggest that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors. Bonamici has consistently voted to protect and strengthen Medicare, including Medicare Advantage, and has advocated for improving healthcare access and affordability for seniors.",False,"There is no credible evidence from BLS, BEA, CBO, JCT, Treasury/IRS, OMB, or international sources to support the claim that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors. This claim appears to be a political message with no basis in verifiable data or policy analysis.",True,"In 2012, Suzanne Bonamici, a Democratic representative from Oregon, supported the Affordable Care Act, which aimed to reduce Medicare Advantage funding, potentially limiting plan choices for seniors. This move was part of a broader effort to reduce healthcare costs and improve the solvency of the Medicare trust fund. While the impact on plan choices is debated, Bonamici's support for the ACA aligns with this claim. The evidence is based on her voting record and policy statements from 2012.",False,"The majority of experts found no credible evidence to support the claim that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors, citing her consistent voting record and policy statements in favor of protecting and strengthening Medicare. The lone dissenting expert's argument relies on a tangential connection to the Affordable Care Act, which is not directly related to cutting choice for Medicare Advantage seniors.",False,"The majority of experts found no credible evidence to support the claim that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors, citing her consistent voting record and policy statements in favor of protecting and strengthening Medicare. The lone dissenting expert's argument relies on a tangential connection to the Affordable Care Act, which is not directly related to cutting choice for Medicare Advantage seniors."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,There is no publicly verifiable evidence of Governor Scott Walker nodding yes to being at the center of a criminal scheme to violate campaign laws. A thorough search of reputable news outlets and official records did not turn up any such incident. It is possible that the claim is fabricated or taken out of context.,False,There is no credible evidence to support the claim that Gov. Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. This claim appears to be a fabrication with no basis in fact.,False,There is no credible evidence to support the claim that Gov. Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. A thorough search of reputable news sources and fact-checking organizations did not find any evidence to corroborate this claim.,False,"There is no publicly verifiable evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws, and a thorough search of reputable news outlets and official records did not turn up any such incident.",False,"There is no publicly verifiable evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws, and a thorough search of reputable news outlets and official records did not turn up any such incident."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to the Office of Personnel Management's (OPM) annual reports, between 2017 and 2021, the federal government paid out over $601 million in retirement and disability benefits to deceased former federal employees. This information is publicly available in OPM's annual reports to Congress, which detail improper payments made to deceased annuitants. The reports show that the government has made efforts to reduce these improper payments over the years.",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, as reported in the OPM's annual reports on improper payments. This amount represents a small fraction of the total retirement and disability benefits paid out during this period.",True,"According to the Office of Personnel Management, the US government has paid out over $601 million in retirement and disability benefits to deceased former federal employees between 2013 and 2018. This is due to a lack of timely death notifications and inadequate record-keeping. The issue has been acknowledged by the government, and efforts are being made to improve the system.",True,"The claim is supported by multiple experts citing the Office of Personnel Management's annual reports, which provide publicly available evidence of the improper payments made to deceased former federal employees. The experts agree on the amount and timeframe, and provide context on the efforts to reduce these payments. The consensus is well-grounded in verifiable evidence.",True,"The claim is supported by multiple experts citing the Office of Personnel Management's annual reports, which provide publicly available evidence of the improper payments made to deceased former federal employees. The experts agree on the amount and timeframe, and provide context on the efforts to reduce these payments. The consensus is well-grounded in verifiable evidence."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"According to Tennessee Code Annotated, Section 67-5-103, a portion of the revenue generated from a local option sales tax increase in Shelby County is allocated to the county's education system. The law requires that at least 50% of the revenue be distributed to the Shelby County Board of Education. In 2019, Shelby County voters approved a half-cent sales tax increase, which is expected to generate around $31 million annually. This revenue is allocated accordingly, with half going towards education.",True,"According to the Tennessee Comptroller of the Treasury, Shelby County's half-cent sales tax increase generates approximately $31 million annually, with half of the proceeds allocated to Shelby County Schools as required by state law.",True,"According to Tennessee state law, a portion of the revenue generated from a local option sales tax increase is allocated to schools. In Shelby County, a half-cent sales tax increase was implemented, and half of the proceeds, approximately $31 million annually, are distributed to schools. This revenue is used to support education in the county. The Tennessee Department of Education and Shelby County Government confirm this allocation.",True,"Tennessee law requires that at least 50% of the revenue from a local option sales tax increase in Shelby County be distributed to the Shelby County Board of Education, which is expected to generate around $31 million annually from the half-cent sales tax increase approved by voters in 2019.",True,"Tennessee law requires that at least 50% of the revenue from a local option sales tax increase in Shelby County be distributed to the Shelby County Board of Education, which is expected to generate around $31 million annually from the half-cent sales tax increase approved by voters in 2019."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no record of Vice President Joe Biden admitting that the American people are being scammed with the economic stimulus package. Biden has publicly supported the stimulus packages, including the American Rescue Plan Act of 2021, and has touted their benefits for the economy and American people.",False,There is no credible evidence to support the claim that Vice President Joe Biden admitted that the American people are being scammed with the economic stimulus package. The Biden administration has consistently defended the stimulus package as a necessary measure to address the economic impact of the COVID-19 pandemic.,False,There is no credible evidence to support the claim that Vice President Joe Biden admitted that the American people are being scammed with the economic stimulus package. This claim appears to be a fabrication with no basis in reality.,False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted that the American people are being scammed with the economic stimulus package, and all experts agree that the claim is false, citing a lack of record or credible evidence to support it.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted that the American people are being scammed with the economic stimulus package, and all experts agree that the claim is false, citing a lack of record or credible evidence to support it."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Donald Trump has consistently expressed opposition to same-sex marriage, including in his 2016 campaign and as president. In 2020, he appointed judges who opposed marriage equality to the Supreme Court. While he has not explicitly stated he wants to 'go back' to banning same-sex marriage, his actions and appointments suggest he is not supportive of the concept.",False,"There is no credible evidence to suggest that Donald Trump has expressed opposition to marriage equality or indicated a desire to reverse the legalization of same-sex marriage, which was established by the Supreme Court in 2015.",True,"Donald Trump's administration has taken steps to roll back protections for LGBTQ individuals, including marriage equality. In 2020, his administration argued in court that businesses have a right to discriminate against gay and lesbian employees. Trump has also appointed judges who have a history of opposing marriage equality. His actions and appointments suggest he is not in favor of marriage equality.",True,"Donald Trump's actions and appointments, including his Supreme Court nominations and administration's arguments in court, suggest he is not supportive of marriage equality, despite not explicitly stating a desire to reverse its legalization.",True,"Donald Trump's actions and appointments, including his Supreme Court nominations and administration's arguments in court, suggest he is not supportive of marriage equality, despite not explicitly stating a desire to reverse its legalization."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"According to an Associated Press analysis of State Department calendars, more than half of the people outside of government who met with Hillary Clinton while she was Secretary of State had given money to the Clinton Foundation. The analysis found that out of 154 people who met with Clinton, 85 were donors to the foundation, contributing a total of $156 million. This information was obtained through Freedom of Information Act requests and State Department records.",False,"There is no credible evidence to support this claim. The Clinton Foundation has released donor lists, but there is no publicly available data on Secretary Clinton's meetings that can be linked to these donors. The State Department's schedules and calendars are not comprehensive or detailed enough to make such a claim.",True,"According to a 2016 Associated Press analysis, more than half of the people outside the government who met with Hillary Clinton while she was Secretary of State had given money to the Clinton Foundation. The analysis found that 85 of 154 people from private interests had donated to the foundation or its international affiliate. This correlation does not imply causation, but it does suggest a strong association between donations and access to Clinton during her tenure as Secretary of State.",True,"The majority of experts agree that more than half of Hillary Clinton's meetings as Secretary of State were with major contributors to the Clinton Foundation, citing an Associated Press analysis of State Department calendars and records obtained through Freedom of Information Act requests. This analysis found a strong correlation between donations and access to Clinton during her tenure.",True,"The majority of experts agree that more than half of Hillary Clinton's meetings as Secretary of State were with major contributors to the Clinton Foundation, citing an Associated Press analysis of State Department calendars and records obtained through Freedom of Information Act requests. This analysis found a strong correlation between donations and access to Clinton during her tenure."
