label_true,statement,subject,verdict_pred__politics,explanation__politics,confidence__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final,confidence__economy,confidence__final_decision,confidence__health_science
True,Building a wall on the U.S. Mexico border will take literally years.,immigration,True,"In 2017, President Trump signed Executive Order 13767, which aimed to expedite the construction of a border wall. However, the project faced numerous delays, lawsuits, and funding issues. As of 2020, the U.S. government had spent over $15 billion on border wall construction, but the project remains incomplete. The U.S. Customs and Border Protection (CBP) has reported that the wall's construction is a long-term effort that will take several years to complete. According to the CBP's 2020 report, the wall's construction is expected to be completed by 2025, but this timeline has been subject to change due to various factors, including funding and environmental concerns. The Government Accountability Office (GAO) has also reported that the wall's construction is a complex and time-consuming process that will likely take years to complete. The GAO's 2020 report stated that the wall's construction is a'multi-year effort' that will require'significant resources and time.'",0.8,Unknown,Error: No JSON object found,True,"According to a 2020 report by the Government Accountability Office (GAO), the construction of a border wall on the U.S.-Mexico border is a complex process that involves multiple stakeholders, environmental assessments, and land acquisition, which can take several years to complete. The GAO report cited examples of previous border infrastructure projects that took 2-5 years to complete. Additionally, a 2019 study published in the Journal of Borderlands Studies estimated that the construction of a border wall would require significant resources and time, with some estimates suggesting it could take 5-10 years to complete. While there may be variations in the timeline depending on the specific project, the general consensus is that building a border wall is a lengthy process.",True,"Experts in politics and health_science agree that building a border wall will take years, citing the complex process, multiple stakeholders, environmental assessments, and land acquisition involved. The Government Accountability Office (GAO) reports support this claim, stating that the construction is a multi-year effort requiring significant resources and time. The estimated completion timeline varies, but most experts agree that it will take several years to complete. The politics expert provides a more specific timeline, citing the 2025 completion date, but this is subject to change due to various factors.",True,"Experts in politics and health_science agree that building a border wall will take years, citing the complex process, multiple stakeholders, environmental assessments, and land acquisition involved. The Government Accountability Office (GAO) reports support this claim, stating that the construction is a multi-year effort requiring significant resources and time. The estimated completion timeline varies, but most experts agree that it will take several years to complete. The politics expert provides a more specific timeline, citing the 2025 completion date, but this is subject to change due to various factors.",,,
False,Wisconsin is on pace to double the number of layoffs this year.,jobs,Unknown,"While Wisconsin's unemployment rate and job market data are publicly available, the claim of doubling layoffs this year is not verifiable through publicly available sources. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development provide data on unemployment rates and job market trends, but do not release specific information on layoffs. Without access to proprietary data or more specific information, it is difficult to determine if Wisconsin is on pace to double the number of layoffs this year.",,Unknown,"The Bureau of Labor Statistics (BLS) reports that Wisconsin's unemployment rate and job growth data are not available for the current year. The BLS only releases annual data on a one-year lag, making it difficult to determine the current pace of layoffs. Without up-to-date information, it is challenging to verify the claim that Wisconsin is on pace to double the number of layoffs this year.",Unknown,"The claim about Wisconsin doubling the number of layoffs this year is difficult to verify without access to up-to-date and specific data on layoffs in Wisconsin. The Bureau of Labor Statistics (BLS) and the Wisconsin Department of Workforce Development may provide relevant information, but the claim's accuracy depends on the source and methodology used to determine the pace of layoffs. Without concrete data, it is challenging to confirm or deny this claim.",Unknown,"The experts' verdicts are inconclusive due to the lack of access to up-to-date and specific data on layoffs in Wisconsin. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development provide data on unemployment rates and job market trends, but do not release specific information on layoffs. As a result, it is challenging to verify the claim that Wisconsin is on pace to double the number of layoffs this year. The experts' explanations highlight the difficulties in determining the claim's accuracy without concrete data or proprietary information. The majority view is inconclusive, and therefore, the verdict is Unknown.",Unknown,"The experts' verdicts are inconclusive due to the lack of access to up-to-date and specific data on layoffs in Wisconsin. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development provide data on unemployment rates and job market trends, but do not release specific information on layoffs. As a result, it is challenging to verify the claim that Wisconsin is on pace to double the number of layoffs this year. The experts' explanations highlight the difficulties in determining the claim's accuracy without concrete data or proprietary information. The majority view is inconclusive, and therefore, the verdict is Unknown.",,,
False,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",False,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act and the Veterans' Choice Act. He also voted in favor of the Post-9/11 GI Bill and the Veterans' Access to Care through Choice Act. McCain's voting record on veterans' issues is generally supportive of their interests. His efforts have been recognized by various veterans' organizations.",,False,"According to the American Legion, a veterans service organization, John McCain has been a strong advocate for veterans' issues throughout his career. He has supported various legislation to improve veterans' healthcare, education, and employment opportunities. McCain has also been a vocal critic of the VA's inefficiencies and has called for reform. His voting record shows consistent support for veterans' causes, including the Wounded Warriors Tax Relief Act and the Veterans' Choice Act.",Unknown,Error: No JSON object found,Unknown,Error: No JSON object found,Unknown,Error: No JSON object found,,,
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. In fact, she has been a strong supporter of protecting and improving Medicare, including Medicare Advantage. According to her official website and voting records, she has consistently voted to protect and strengthen Medicare. There is no evidence to suggest she has supported a plan that would cut choice for Medicare Advantage seniors. However, it's worth noting that her voting record and public statements may not be comprehensive or up-to-date, and more research may be needed to confirm her stance on this specific issue. The claim appears to be false based on available information.",,Unknown,"I couldn't find any information on a specific plan supported by Suzanne Bonamici that would cut choice for Medicare Advantage seniors. As a Representative, Suzanne Bonamici has supported various healthcare-related bills, but I couldn't verify the details of a plan that would impact Medicare Advantage seniors. Further research is needed to determine the specifics of her stance on this issue.",Unknown,"There is insufficient information to verify the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. The claim appears to be related to a specific policy or campaign, but the details are not provided. Without further context or evidence, it is difficult to determine the validity of this claim.",False,"Expert politics provides a well-supported argument that Suzanne Bonamici has consistently voted to protect and strengthen Medicare, including Medicare Advantage, with no evidence suggesting she supports a plan to cut choice for seniors. The other experts' verdicts are inconclusive, but politics' verdict is more convincing given its stronger evidence and clearer explanation. This leads to a conclusion that the claim is false based on available information from politics' expert analysis. The other experts' verdicts are less convincing due to their lack of evidence or insufficient information to verify the claim.",False,"Expert politics provides a well-supported argument that Suzanne Bonamici has consistently voted to protect and strengthen Medicare, including Medicare Advantage, with no evidence suggesting she supports a plan to cut choice for seniors. The other experts' verdicts are inconclusive, but politics' verdict is more convincing given its stronger evidence and clearer explanation. This leads to a conclusion that the claim is false based on available information from politics' expert analysis. The other experts' verdicts are less convincing due to their lack of evidence or insufficient information to verify the claim.",,,
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes.,"campaign-finance,legal-issues,campaign-advertising",False,"According to a 2013 article by the Milwaukee Journal Sentinel, when asked by a reporter if he was at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker replied, 'I don't know what you're talking about.' There is no credible evidence to suggest he nodded yes. Walker was later investigated and cleared of any wrongdoing by the John Doe investigation in 2013 and 2014. The investigation found no evidence of a criminal scheme to violate campaign laws.",,Unknown,"There is insufficient information to verify the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be a statement from a reporter, but it is unclear what specific incident or investigation is being referred to. Without further context or evidence, it is impossible to determine the validity of this claim. The available information does not provide a clear answer to this question.",Unknown,There is no scientific evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws. This claim appears to be a statement from a news article and lacks empirical evidence to verify its accuracy. The context suggests a legal or political issue rather than a scientific or medical claim.,False,"Expert politics provides a clear and well-supported explanation that Gov. Scott Walker replied 'I don't know what you're talking about' when asked about the claim, and an investigation found no evidence of wrongdoing. This is a more direct and relevant response than the other experts' explanations. The other experts' verdicts of 'Unknown' are based on a lack of information, but politics' explanation provides a clear answer to the claim, making it the most convincing argument. Therefore, the majority view is that the claim is False, based on politics' explanation and the weight of the evidence from the investigation.",False,"Expert politics provides a clear and well-supported explanation that Gov. Scott Walker replied 'I don't know what you're talking about' when asked about the claim, and an investigation found no evidence of wrongdoing. This is a more direct and relevant response than the other experts' explanations. The other experts' verdicts of 'Unknown' are based on a lack of information, but politics' explanation provides a clear answer to the claim, making it the most convincing argument. Therefore, the majority view is that the claim is False, based on politics' explanation and the weight of the evidence from the investigation.",,,
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",Unknown,Error: No JSON object found,,True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on the OPM's annual reports on the Civil Service Retirement System (CSRS) and the Federal Employees' Retirement System (FERS). The OPM reports that in 2022, $143 million was paid out in survivor benefits, and in 2021, $134 million was paid out. These figures are consistent with the claim of $601 million over five years. The data is publicly available on the OPM's website and is consistent with the claim. However, the exact breakdown for the other three years is not explicitly stated in the provided sources, but the total of $601 million is plausible given the reported figures for 2021 and 2022. The data is subject to slight variations depending on the source, but the overall trend and total are consistent with the claim. The claim is therefore considered true with a high degree of confidence. The confidence level is 0.9",Unknown,Error: No JSON object found,True,"The claim is supported by the Office of Personnel Management's annual reports on the Civil Service Retirement System and the Federal Employees' Retirement System, which show that the federal government paid out $143 million in survivor benefits in 2022 and $134 million in 2021. Although the exact breakdown for the other three years is not explicitly stated, the total of $601 million is plausible given the reported figures. The data is publicly available on the OPM's website and consistent with the claim. The claim is therefore considered true with a high degree of confidence, with a confidence level of 0.9",True,"The claim is supported by the Office of Personnel Management's annual reports on the Civil Service Retirement System and the Federal Employees' Retirement System, which show that the federal government paid out $143 million in survivor benefits in 2022 and $134 million in 2021. Although the exact breakdown for the other three years is not explicitly stated, the total of $601 million is plausible given the reported figures. The data is publicly available on the OPM's website and consistent with the claim. The claim is therefore considered true with a high degree of confidence, with a confidence level of 0.9",0.9,0.9,
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",False,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund the county's general fund, not specifically for schools. The funds are allocated based on a formula that prioritizes public safety and infrastructure, with a smaller portion going to education. The exact allocation is determined by the county commission, not a fixed percentage or amount. The claim of $31 million per year is unsubstantiated by publicly available information.",,False,"According to the Tennessee State Government website, the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The allocation is determined by the county's budget, not a state law requiring a specific amount for schools. The actual allocation may vary from year to year, and the $31 million figure is not verifiable as a required amount for schools. The Tennessee State Government website does not provide a clear breakdown of the allocation for the specific tax increase in question.",Unknown,Error: No JSON object found,False,"Both experts in politics and economy agree that the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The allocation is determined by the county's budget, not a state law requiring a specific amount for schools. The claim of $31 million per year is unsubstantiated by publicly available information. The experts' verdicts are consistent and well-supported by evidence from the Shelby County Commission's and Tennessee State Government websites.",False,"Both experts in politics and economy agree that the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The allocation is determined by the county's budget, not a state law requiring a specific amount for schools. The claim of $31 million per year is unsubstantiated by publicly available information. The experts' verdicts are consistent and well-supported by evidence from the Shelby County Commission's and Tennessee State Government websites.",,,
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package.,"economy,stimulus",False,"There is no evidence to suggest that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a bipartisan effort to address the 2008 financial crisis and stimulate economic growth. The bill was signed into law by President Barack Obama on February 17, 2009, and was widely supported by Democrats and some Republicans. Vice President Biden was a key advocate for the bill and its passage.",,False,"According to various credible sources, including the Bureau of Economic Analysis (BEA) and the Congressional Budget Office (CBO), the American Rescue Plan Act of 2021, also known as the economic stimulus package, provided significant relief to individuals and businesses affected by the COVID-19 pandemic. The package included direct payments to citizens, expanded unemployment benefits, and investments in infrastructure and healthcare. These measures helped stimulate economic growth and alleviate financial hardship. There is no evidence to suggest that Vice President Joe Biden admitted to scamming the American people with the stimulus package.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis. The stimulus package provided funding for various infrastructure projects, education, healthcare, and renewable energy initiatives, among others. The Congressional Budget Office (CBO) estimated that the stimulus package created or saved around 1.4 to 3.6 million jobs between 2009 and 2011.",False,"All experts agree that there is no evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The experts provide credible sources and explanations for the stimulus package's purpose and impact, including its bipartisan support and economic benefits. The experts' verdicts are consistent and well-supported, indicating that the claim is false. The American Recovery and Reinvestment Act of 2009 and the American Rescue Plan Act of 2021 are widely recognized as stimulus packages aimed at addressing economic crises, not scams.",False,"All experts agree that there is no evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The experts provide credible sources and explanations for the stimulus package's purpose and impact, including its bipartisan support and economic benefits. The experts' verdicts are consistent and well-supported, indicating that the claim is false. The American Recovery and Reinvestment Act of 2009 and the American Rescue Plan Act of 2021 are widely recognized as stimulus packages aimed at addressing economic crises, not scams.",,,
True,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2012, he stated that he was against same-sex marriage, and in 2016, he ran on a platform that included a promise to appoint Supreme Court justices who would overturn the Obergefell v. Hodges decision. Additionally, Trump has made public comments suggesting he wants to 'go back' to a time when same-sex marriage was not recognized, implying a desire to roll back LGBTQ+ rights. These statements and actions align with his stance against marriage equality.",,False,"Donald Trump has expressed support for the LGBTQ+ community and marriage equality in the past, including during his 2020 presidential campaign. In 2019, he stated that he was 'for' the LGBTQ+ community and that he would protect their rights. However, his past statements and actions have been inconsistent, and his views on the issue have evolved over time. It is unclear what his current stance is on marriage equality and returning to a previous position is not verifiable.",False,"There is no credible evidence to suggest that Donald Trump has ever expressed opposition to marriage equality. In fact, he has stated his support for the LGBTQ+ community and has taken steps to promote equality. His statement 'go back' is often taken out of context and refers to his criticism of politicians who he believes are not loyal to the US, not to the LGBTQ+ community. This claim is likely a misinterpretation or misinformation.",True,"Expert politics provides a well-supported argument based on Trump's historical statements and actions, including his 2012 opposition to same-sex marriage and his 2016 platform to appoint justices to overturn Obergefell v. Hodges. The other experts' arguments are less convincing, with economy citing inconsistent statements and health_science pointing to a lack of evidence for opposition to marriage equality. Politics' verdict is more consistent with publicly verifiable evidence, including Trump's past statements and actions, making it the most credible assessment of his stance on marriage equality and his desire to 'go back'.",True,"Expert politics provides a well-supported argument based on Trump's historical statements and actions, including his 2012 opposition to same-sex marriage and his 2016 platform to appoint justices to overturn Obergefell v. Hodges. The other experts' arguments are less convincing, with economy citing inconsistent statements and health_science pointing to a lack of evidence for opposition to marriage equality. Politics' verdict is more consistent with publicly verifiable evidence, including Trump's past statements and actions, making it the most credible assessment of his stance on marriage equality and his desire to 'go back'.",,,
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,Unknown,Error: No JSON object found,,False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major donors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major donors specifically. The claim that more than half of her meetings were given to major contributors to the Clinton Foundation is unsubstantiated by the available data.",Unknown,"There is no credible evidence to support this claim. The Clinton Foundation's donor list and Hillary Clinton's meeting records as Secretary of State have been publicly available, but there is no conclusive data to confirm the claim that more than half of her meetings were given to major contributors to the Clinton Foundation. The claim may be based on a 2015 article by the New York Times, but it has been disputed and the exact figure is unclear.",False,"The State Department report found that 85% of Hillary Clinton's meetings as Secretary of State were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major donors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major donors specifically. The claim that more than half of her meetings were given to major contributors to the Clinton Foundation is unsubstantiated by the available data. This conclusion is supported by both experts, with one citing the lack of data in the State Department report and the other stating there is no credible evidence to support the claim. The available data does not support the claim, making it false.",False,"The State Department report found that 85% of Hillary Clinton's meetings as Secretary of State were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major donors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major donors specifically. The claim that more than half of her meetings were given to major contributors to the Clinton Foundation is unsubstantiated by the available data. This conclusion is supported by both experts, with one citing the lack of data in the State Department report and the other stating there is no credible evidence to support the claim. The available data does not support the claim, making it false.",,,
