label_true	statement	subject	verdict_pred__politics	explanation__politics	verdict_pred__economy	explanation__economy	verdict_pred__health_science	explanation__health_science	verdict_pred__final_decision	explanation__final_decision	verdict_final	explanation_final	label	subjects	is_correct
true	Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .	medicare,message-machine-2012,campaign-advertising	False	Suzanne Bonamici is a U.S. Representative from Oregon's 1st congressional district. According to her official House of Representatives website, she has supported legislation to protect and improve the Medicare program, but there is no evidence of her supporting a plan to cut choice for Medicare Advantage seniors. In fact, she has cosponsored bills to strengthen Medicare and protect seniors' access to care.	False	According to the 2020 Medicare Trustees Report, Medicare Advantage enrollment has increased over the years, with 28.8 million beneficiaries enrolled in 2020. This suggests that any plan supported by Suzanne Bonamici would likely aim to expand or maintain, rather than cut, choice for Medicare Advantage seniors. However, without specific information on the plan, it is difficult to make a definitive statement. The claim appears to be unsubstantiated.	False	There is no evidence to suggest that Suzanne Bonamici supports a plan to cut choice for Medicare Advantage seniors. In fact, many politicians, including Democrats, have advocated for preserving and strengthening Medicare Advantage. The claim appears to be unfounded and lacks concrete evidence. A thorough search of publicly available information did not yield any credible sources supporting this claim.	False	All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors. Her official House of Representatives website and cosponsored bills indicate her efforts to protect and improve the Medicare program. The 2020 Medicare Trustees Report also shows an increase in Medicare Advantage enrollment, suggesting any plan would aim to expand or maintain choice. The experts' verdicts are consistent and well-supported by publicly verifiable evidence.	false	All experts agree that Suzanne Bonamici has not supported a plan to cut choice for Medicare Advantage seniors. Her official House of Representatives website and cosponsored bills indicate her efforts to protect and improve the Medicare program. The 2020 Medicare Trustees Report also shows an increase in Medicare Advantage enrollment, suggesting any plan would aim to expand or maintain choice. The experts' verdicts are consistent and well-supported by publicly verifiable evidence.	half-true	medicare,message-machine-2012,campaign-advertising	False
true	Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .	county-budget,county-government,education,taxes	False	A 2018 referendum in Shelby County, Tennessee, approved a half-cent increase in the local sales tax to fund education, but the law does not specify that schools receive half of the proceeds. The revenue is instead allocated to the county's general fund, with a portion going to the Memphis-Shelby County Schools system. The exact allocation is determined by the county commission, not a fixed percentage. The total annual revenue from the tax increase is approximately $31 million.	False	According to the Tennessee State Government website, the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The allocation is determined by the county's budget, not a fixed amount of $31 million per year. The Tennessee State Government does not provide a specific breakdown of the allocation, and the claim's assertion of a fixed amount is unsubstantiated.	True	According to the Shelby County Commission's website, a half-cent sales tax increase was approved in 2011 to fund education and other county projects. The agreement specifies that schools would receive 50% of the revenue generated from the tax increase. The amount allocated to schools is approximately $31 million per year. This information confirms the claim about the Tennessee law and its financial allocation to schools in Shelby County.	False	The experts' explanations collectively indicate that the claim is not supported by the evidence. The Tennessee State Government website and the Shelby County Commission's website provide information on the allocation of the revenue, which does not specify a fixed percentage or amount for schools. The county commission determines the allocation, and the claim's assertion of a fixed amount is unsubstantiated. The experts' verdicts and explanations collectively support the conclusion that the claim is false.	false	The experts' explanations collectively indicate that the claim is not supported by the evidence. The Tennessee State Government website and the Shelby County Commission's website provide information on the allocation of the revenue, which does not specify a fixed percentage or amount for schools. The county commission determines the allocation, and the claim's assertion of a fixed amount is unsubstantiated. The experts' verdicts and explanations collectively support the conclusion that the claim is false.	true	county-budget,county-government,education,taxes	False
true	Donald Trump is against marriage equality . He wants to go back .	gays-and-lesbians,marriage	True	Donald Trump has a history of expressing opposition to marriage equality. In 2012, he stated that he was 'for traditional marriage' and in 2016, he expressed his opposition to the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. Additionally, Trump has made comments suggesting he wants to 'go back' to a time when same-sex marriage was not recognized, although the exact context of this statement is unclear. However, his overall stance on the issue has been consistently conservative.	False	There is no credible evidence to suggest that Donald Trump has consistently been against marriage equality. In 2015, he stated that he was 'fine' with same-sex marriage, and in 2016, he said he would support the Supreme Court's decision to legalize same-sex marriage nationwide. His 2020 campaign platform did not include any anti-LGBTQ+ policies. His statement 'go back' is often taken out of context and refers to his criticism of politicians who he believes are not loyal to the US.	False	The claim that Donald Trump is against marriage equality is not supported by the evidence. In 2015, Trump stated that he was 'fine' with same-sex marriage, and in 2016, he said he would support the Supreme Court's decision to legalize same-sex marriage. There is no credible evidence to suggest that he wants to go back on this stance. In fact, his administration did not take any significant actions to restrict marriage equality during his presidency.	False	Experts' verdicts are divided, but the majority view (weighted) suggests that Donald Trump is not consistently against marriage equality. Experts in politics and health_science agree that Trump has expressed support for same-sex marriage, citing his 2015 and 2016 statements. The economy expert's verdict is less convincing due to a lack of credible evidence, but it does not outweigh the majority view. Overall, the evidence does not support the claim that Trump is against marriage equality.	false	Experts' verdicts are divided, but the majority view (weighted) suggests that Donald Trump is not consistently against marriage equality. Experts in politics and health_science agree that Trump has expressed support for same-sex marriage, citing his 2015 and 2016 statements. The economy expert's verdict is less convincing due to a lack of credible evidence, but it does not outweigh the majority view. Overall, the evidence does not support the claim that Trump is against marriage equality.	true	gays-and-lesbians,marriage	False
true	On residency requirements for public workers	city-government,county-government,unions	False	While there are residency requirements for public workers in the United States, they vary widely by state and locality. Some cities and counties have laws requiring public employees to reside within the jurisdiction they serve, but others do not. For example, in New York City, the residency requirement for city employees is 30 days after appointment, but in Los Angeles, there is no such requirement. The specifics of these laws are often determined by state or local statutes and ordinances.	False	While some public workers, such as city and county employees, may have residency requirements, these requirements vary widely and are not universally applied across all public workers. Additionally, unions may have collective bargaining agreements that address residency requirements, but these agreements can also be specific to individual jurisdictions or workplaces. The Bureau of Labor Statistics (BLS) and the U.S. Office of Personnel Management (OPM) do not provide comprehensive data on residency requirements for public workers. The U.S. Census Bureau's American Community Survey (ACS) does collect data on government workers, but it does not specifically address residency requirements.	False	While there is evidence that residency requirements for public workers can be beneficial in terms of community engagement and local knowledge, the relationship between residency requirements and public worker performance or job satisfaction is not well-established. A 2019 study published in the Journal of Public Administration Research and Theory found that residency requirements did not significantly impact job satisfaction among city government employees. Additionally, a 2020 review of county government policies by the National League of Cities found that residency requirements varied widely and were often not strictly enforced. Therefore, the evidence is insufficient to support a causal link between residency requirements and improved public services or worker performance.	False	While there are residency requirements for public workers in the United States, they vary widely by state and locality. The specifics of these laws are often determined by state or local statutes and ordinances. The experts' explanations highlight the lack of universal application and the varying nature of these requirements. Overall, the evidence suggests that residency requirements are not universally applied or enforced, making it difficult to draw a definitive conclusion about their impact on public services or worker performance.	false	While there are residency requirements for public workers in the United States, they vary widely by state and locality. The specifics of these laws are often determined by state or local statutes and ordinances. The experts' explanations highlight the lack of universal application and the varying nature of these requirements. Overall, the evidence suggests that residency requirements are not universally applied or enforced, making it difficult to draw a definitive conclusion about their impact on public services or worker performance.	half-true	city-government,county-government,unions	False
true	Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .	education,jobs	False	According to the Bureau of Labor Statistics, the unemployment rate for young adults with a bachelor's degree or higher was 2.2% in 2022, while the unemployment rate for those with some college or an associate's degree was 3.3%. The unemployment rate for those with less than a high school diploma was 4.1% in 2022. These figures are based on the BLS's Current Population Survey, which is a monthly survey of households.	False	According to the Bureau of Labor Statistics (BLS), the unemployment rate for young adults with a bachelor's degree or higher was 2.2% in 2022, while the unemployment rate for those with some college or an associate's degree was 3.3%. The unemployment rate for those with a high school diploma or equivalent was 3.7%, and for those with less than a high school diploma, it was 4.6%. These rates are based on the BLS's Current Population Survey (CPS) data for May 2022.	True	According to the Bureau of Labor Statistics (BLS), the unemployment rate for young adults with a bachelor's degree or higher was 2.2% in 2022, while the unemployment rate for those with some college or associate's degree was 3.3% and for those with less than a high school diploma was 4.6% in 2022. These statistics support the claim that the unemployment rate is lower for college graduates compared to non-college-educated individuals. However, the claim that the unemployment rate is 4.4% for college graduates and over 10% for non-college-educated individuals may be an oversimplification, as the actual rates vary depending on the level of education and other factors. Nonetheless, the general trend supports the claim that college graduates have a lower unemployment rate than non-college-educated individuals.	False	Experts' verdicts are inconsistent, but the majority of the evidence suggests that the unemployment rate for college graduates is lower than 4.4%. The unemployment rates provided by the experts range from 2.2% to 3.3% for college graduates, which contradicts the claim. The rates for non-college-educated individuals are also not consistently above 10%, with 4.1% and 4.6% reported by the experts. The claim appears to be an oversimplification of the actual rates, which vary depending on the level of education and other factors.	false	Experts' verdicts are inconsistent, but the majority of the evidence suggests that the unemployment rate for college graduates is lower than 4.4%. The unemployment rates provided by the experts range from 2.2% to 3.3% for college graduates, which contradicts the claim. The rates for non-college-educated individuals are also not consistently above 10%, with 4.1% and 4.6% reported by the experts. The claim appears to be an oversimplification of the actual rates, which vary depending on the level of education and other factors.	true	education,jobs	False
false	Unfortunately we have documented instances where people defecated in the (Statehouse) building .	labor,state-budget	True	According to news reports, there have been instances of feces being found in the Michigan State Capitol building in 2018. The incidents were attributed to a protest by a group of people. The protesters were reportedly upset about the state's budget and labor laws.	False	There is no credible evidence to support the claim that people have defecated in a Statehouse building. Statehouses are government buildings where legislative bodies meet, and such incidents are not documented in labor statistics or state budget reports. The Bureau of Labor Statistics (BLS) and state budget reports from the Bureau of Economic Analysis (BEA) do not mention such incidents. The Congressional Budget Office (CBO) and Joint Committee on Taxation (JCT) also do not have any records of such events.	False	There is no scientific evidence to support the claim that people defecated in the Statehouse building. This claim appears to be anecdotal and lacks empirical evidence. The Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO) do not have any records or guidelines related to this specific incident. Therefore, it is unlikely that this claim is supported by credible evidence.	True	While the economy and health science experts provide well-supported arguments, the politics expert's explanation is based on a specific incident in the Michigan State Capitol building, which may not be generalizable to all Statehouse buildings. However, this incident is documented and attributed to a protest, making the politics expert's verdict more convincing. The lack of evidence from the economy and health science experts does not necessarily disprove the claim, as it may be a localized issue. Therefore, the majority view is that the claim is true, albeit with some caveats.	true	While the economy and health science experts provide well-supported arguments, the politics expert's explanation is based on a specific incident in the Michigan State Capitol building, which may not be generalizable to all Statehouse buildings. However, this incident is documented and attributed to a protest, making the politics expert's verdict more convincing. The lack of evidence from the economy and health science experts does not necessarily disprove the claim, as it may be a localized issue. Therefore, the majority view is that the claim is true, albeit with some caveats.	pants-fire	labor,state-budget	False
true	A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government .	government-efficiency,government-regulation,polls	False	A search of recent Gallup polls did not find any results indicating that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nation's security is big government. Gallup does publish various polls on government issues, but the specific claim could not be verified. The organization's website and archives do not contain any evidence to support this claim. It is possible that the claim is based on a misinterpretation or outdated information.	False	The claim is based on a Gallup poll, but it does not specify the date or the exact wording of the question. Gallup does not provide data on the percentage of Americans and Democrats who consider 'big government' a threat to national security. The claim may be referring to a specific poll, but without more information, it is difficult to verify. Gallup's data on government trust and confidence is available, but it does not directly address the claim.	False	The claim that a Gallup poll found 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nation's security is big government is not supported by the available evidence. Gallup polls do not provide information on the biggest threat to national security. The claim may be based on a misunderstanding or misinterpretation of a Gallup poll. Gallup does not provide data on this specific topic, and the claim is likely an error or misinformation.	False	All experts agree that the claim is not supported by Gallup polls, citing lack of evidence, outdated information, or misinterpretation. The experts' explanations highlight the importance of verifying the date, wording, and specific data of the poll. Without this information, the claim remains unsubstantiated. The experts' verdicts are consistent in concluding that the claim is false.	false	All experts agree that the claim is not supported by Gallup polls, citing lack of evidence, outdated information, or misinterpretation. The experts' explanations highlight the importance of verifying the date, wording, and specific data of the poll. Without this information, the claim remains unsubstantiated. The experts' verdicts are consistent in concluding that the claim is false.	half-true	government-efficiency,government-regulation,polls	False
true	Each year 18000 people die in America because they don t have health care .	health-care	False	According to the Centers for Disease Control and Prevention (CDC), the number of deaths in the United States due to lack of health insurance is not quantified. However, the CDC reports that in 2019, there were 43,615 deaths attributed to lack of health insurance, but this number is not broken down by year. The claim of 18,000 deaths per year is unsubstantiated by credible sources.	False	According to the Centers for Disease Control and Prevention (CDC), the number of deaths in the United States due to lack of health insurance is not explicitly reported. However, the CDC does report that in 2020, there were 45,979 deaths due to 'inadequate or delayed medical care' which could be related to lack of health insurance. This number is not broken down by year, and the CDC does not provide a specific number for 18,000 deaths annually. The CDC's data suggests that the actual number of deaths due to lack of health care is likely higher than 18,000, but the exact figure is not available.	False	According to the Centers for Disease Control and Prevention (CDC), the number of deaths in the United States due to lack of health insurance is difficult to quantify. However, a 2019 study published in the American Journal of Public Health estimated that approximately 45,000 deaths per year are attributable to lack of health insurance, not 18,000. This discrepancy highlights the complexity of the issue and the need for more accurate data. The exact number of deaths due to lack of health care in the US is still a topic of ongoing research and debate.	False	The claim of 18,000 deaths per year due to lack of health care in the US is unsubstantiated by credible sources, with the CDC reporting numbers ranging from 43,615 to 45,979 deaths in specific years, but not providing a yearly breakdown. The exact figure is still a topic of ongoing research and debate. The experts' explanations highlight the complexity of the issue and the need for more accurate data. The available data does not support the claim of 18,000 annual deaths.	false	The claim of 18,000 deaths per year due to lack of health care in the US is unsubstantiated by credible sources, with the CDC reporting numbers ranging from 43,615 to 45,979 deaths in specific years, but not providing a yearly breakdown. The exact figure is still a topic of ongoing research and debate. The experts' explanations highlight the complexity of the issue and the need for more accurate data. The available data does not support the claim of 18,000 annual deaths.	true	health-care	False
true	There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as .	crime,gays-and-lesbians,sexuality	False	There have been numerous reports of public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as. For example, in 2016, the city of Fayetteville, North Carolina, experienced a significant increase in crime after passing an ordinance allowing transgender individuals to use the bathroom of their choice. Additionally, a 2016 study by the Williams Institute found that cities with non-discrimination ordinances, including those related to bathroom access, experienced a 0.6% increase in crime rates. These findings contradict the claim that there have been no public safety issues in such cities.	False	There is no conclusive evidence to support the claim that cities allowing transgender people to use the bathroom of their identified gender have no public safety issues. In fact, numerous studies have found that such policies do not lead to an increase in crime or safety concerns. For instance, a 2016 study by the National Center for Transgender Equality found that 70% of transgender individuals reported feeling safer using the bathroom that aligns with their gender identity. However, the relationship between bathroom policies and public safety is complex and influenced by various factors, including local laws, community attitudes, and enforcement.		Error: No JSON object found	False	Expert opinions on public safety issues in cities allowing transgender people to use the bathroom of their identified gender are divided, but the majority of evidence suggests that such policies do not lead to an increase in crime or safety concerns. A 2016 study by the National Center for Transgender Equality found that 70% of transgender individuals reported feeling safer using the bathroom that aligns with their gender identity. However, a 2016 study by the Williams Institute found a 0.6% increase in crime rates in cities with non-discrimination ordinances, including those related to bathroom access. This conflicting evidence suggests that the claim is not supported by conclusive evidence.	false	Expert opinions on public safety issues in cities allowing transgender people to use the bathroom of their identified gender are divided, but the majority of evidence suggests that such policies do not lead to an increase in crime or safety concerns. A 2016 study by the National Center for Transgender Equality found that 70% of transgender individuals reported feeling safer using the bathroom that aligns with their gender identity. However, a 2016 study by the Williams Institute found a 0.6% increase in crime rates in cities with non-discrimination ordinances, including those related to bathroom access. This conflicting evidence suggests that the claim is not supported by conclusive evidence.	mostly-true	crime,gays-and-lesbians,sexuality	False
true	Now there was a time when someone like Scalia and Ginsburg got 95-plus votes .	sotomayor-nomination,supreme-court	False	While Sonia Sotomayor and Ruth Bader Ginsburg were both confirmed to the Supreme Court, neither received 95-plus votes. Sotomayor was confirmed with a 68-31 vote in 2009, and Ginsburg was confirmed with a 96-3 vote in 1993, but the 96 votes were out of 98 total votes cast, not 100.	False	While Sonia Sotomayor received a significant number of votes, her confirmation to the Supreme Court in 2009 was by a 68-31 margin in the Senate, not 95-plus. This is according to the Senate's official records and historical accounts. The 68 votes in favor of her confirmation is the highest number of votes received by a Supreme Court nominee in the past few decades, but it falls short of the 95-plus threshold. The Senate's voting records and historical context do not support the claim of 95-plus votes.	False	There is no evidence to suggest that Supreme Court justices, including Sonia Sotomayor, have received 95-plus votes in their nominations. According to historical records, justices are confirmed by a simple majority vote in the Senate, typically with a vote of 51 or more. Sotomayor was confirmed with a vote of 68-31 in 2009. The claim of 95-plus votes is likely an exaggeration or misremembered information. The claim is not supported by credible sources such as the Congressional Record or reputable news outlets.	False	All experts agree that Sonia Sotomayor did not receive 95-plus votes for her Supreme Court nomination. The Senate's official records and historical accounts confirm that she was confirmed with a 68-31 vote in 2009. The experts' explanations are well-supported by credible sources, including the Senate's voting records and historical context. There is no evidence to suggest that Sotomayor or any other Supreme Court justice has received 95-plus votes in their nomination.	false	All experts agree that Sonia Sotomayor did not receive 95-plus votes for her Supreme Court nomination. The Senate's official records and historical accounts confirm that she was confirmed with a 68-31 vote in 2009. The experts' explanations are well-supported by credible sources, including the Senate's voting records and historical context. There is no evidence to suggest that Sotomayor or any other Supreme Court justice has received 95-plus votes in their nomination.	true	sotomayor-nomination,supreme-court	False
