statement,label,subject
In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent .,True,taxes
An image in a ChrisAbele TV ad depicts wealthy citizens who would benefit from a lake created by the controversial Estabrook Dam .,False,environment
41200 veterans in Florida dont have health care because Scott didnt expand Medicaid .,True,"health-care,medicaid,veterans"
Rhode Island has the worst maintained bridges in the United States of America . . . and we have the second worst maintained roads [behind] Alaska .,True,"state-budget,state-finances,transportation"
Some nations allow citizens to propose legis notlation directly . [false],False,Politics
Says he started the Pacur plastics manufacturing company he owns .,True,"candidates-biography,jobs"
Gov . Rick Scott tried to kick 180000 people off the voter rolls .,False,"elections,message-machine-2012"
President Obamas health care law says when you sell your house now you have to pay a 3.8 percent tax .,False,"health-care,housing,income,taxes"
Says he tore down hundreds of abandoned homes that served as havens for crime and reduce(d) the value of our neighborhoods .,True,"criminal-justice,urban"
Crimea was part of Russia until 1954 when it was given to the Soviet Republic of the Ukraine .,True,"corrections-and-updates,history,military"
In 2010 the non-partisan Government Accountability Office found that only 6.5 percent of the U.S . Mexico border was under full control of the Border Patrol .,True,immigration
Trump blamed CA water policy for worsening wildfires .,False,Environment
My numbers are better right now than Ronald Reagans numbers were with Jimmy Carter .,False,"history,polls"
Studies show that if we opened one reserve in Alaska now in five years gas prices could be at $2 a gallon .,False,"energy,gas-prices"
I recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in Iraq and Syria .,False,"foreign-policy,military,terrorism"
Medicare does just as good if not better at keeping people healthy as Medicare Advantage .,True,"health-care,medicare"
Says Lloyd Doggett voted for the health care stimulus and cap-and-trade bills .,True,"cap-and-trade,climate-change,economy,health-care,message-machine"
In first week as governor Tim Kaine proposed a nearly $4 billion tax increase $4 billion including a tax increase on people earning as little as $17000 a year .,True,taxes
Unlike marijuana medical cannabis oil cannot get you high .,True,"health-care,marijuana,states"
Beer drinking is not allowed in any Illinois state parks .,False,state-budget
Reuters : No proof bite from dog turds transmits disease .,True,Health
Greg Abbott was charged with overseeing the state cancer research fund . But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight . They showered Abbott with gifts and free vacations .,True,"ethics,health-care,public-health,state-budget,state-finances"
Every poll you see the overwhelming majority of people want [E-Verify].,True,"immigration,polls,workers"
Reuters : Astronaut did not say the Moon landing was staged .,True,Science
Wisconsin now ranks among the top 10 states for out-migration .,False,"economy,jobs,population"
Our high school graduation rate is the highest on record .,True,"children,corrections-and-updates,education"
Ted Cruz tried to ban contraception five times .,False,"abortion,health-care"
We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses . In reality less than 1 percent of contracts go to women and minority businesses .,False,"city-government,debates,jobs,women"
I m the product of a mixed marriage that would have been illegal in 12 states when I was born .,True,candidates-biography
