label	statement	subjects	prediction	explanation	experts
True	Building a wall on the U.S . Mexico border will take literally years .	immigration	False	The construction of a border wall on the U.S.-Mexico border has been ongoing since 2017. While the initial phase of construction was slow, the Trump administration accelerated the process. According to the U.S. Customs and Border Protection (CBP), over 400 miles of border wall have been constructed since 2017.	[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The construction of a border wall on the U.S.-Mexico border has been ongoing since 2017. While the initial phase of construction was slow, the Trump administration accelerated the process. According to the U.S. Customs and Border Protection (CBP), over 400 miles of border wall have been constructed since 2017.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The construction of the border wall has been ongoing since 2017, with the U.S. Customs and Border Protection (CBP) awarding contracts to several companies. According to a 2020 report by the Government Accountability Office (GAO), the CBP had completed over 400 miles of new border wall system by the end of 2020. (GAO 2020; CBP 2020).'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to the U.S. Customs and Border Protection, the construction of a border wall began in 2017 and has been ongoing since then. The wall is being built in sections, with some sections completed and others still under construction. Therefore, the claim that building a wall on the U.S.'}]
False	Wisconsin is on pace to double the number of layoffs this year .	jobs	False	According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has decreased from 3.4% in January 2023 to 2.9% in June 2023. This indicates a strong labor market, which is not consistent with a doubling of layoffs. (BLS 2023; Wisconsin Department of Workforce Development)	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has decreased from 3.4% in January 2023 to 2.9% in June 2023. This indicates a strong labor market, which is not consistent with a doubling of layoffs. (BLS 2023; Wisconsin Department of Workforce Development)""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin experienced a 4.4% unemployment rate in January 2023, which is lower than the national average. Additionally, the state's labor market has shown signs of recovery, with a 3.2% increase in employment from January 2022 to January 2023. This data suggests that layoffs are not on the rise in Wisconsin.""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2010. In 2022, the state's unemployment rate was 2.8%, lower than the national average. This suggests that the state is not on pace to double the number of layoffs. Additionally, the state's job market has been growing, with an increase in employment opportunities in various sectors.""}]"
False	Says John McCain has done nothing to help the vets .	military,veterans,voting-record	False	John McCain has been a long-time advocate for veterans' issues. He has supported increased funding for the Department of Veterans Affairs (VA) and has introduced legislation to improve veterans' healthcare. For example, he co-sponsored the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, which aimed to reduce wait times for veterans' care. (CBO 2017; VA report)	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""John McCain has been a long-time advocate for veterans' issues. He has supported increased funding for the Department of Veterans Affairs (VA) and has introduced legislation to improve veterans' healthcare. For example, he co-sponsored the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, which aimed to reduce wait times for veterans' care. (CBO 2017; VA report)""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has supported various veterans' issues throughout his career. He has cosponsored bills to improve veterans' healthcare, increase funding for the Department of Veterans Affairs, and provide support for homeless veterans. Additionally, he has advocated for the expansion of the GI Bill and the creation of a new veterans' court system. (CBO 2017; VA website)""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""John McCain has a long history of supporting veterans' issues. He has cosponsored numerous bills aimed at improving veterans' healthcare, education, and employment opportunities. For example, he cosponsored the Veterans' Access to Care through Choice, Accountability, and Transparency Act of 2014, which aimed to reduce wait times for veterans' healthcare. (CBO 2017; VA report)""}]"
True	Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .	medicare,message-machine-2012,campaign-advertising	False	Suzanne Bonamici supports the Medicare Advantage program, which provides seniors with a range of plan options. The Affordable Care Act (ACA) expanded the program, allowing more seniors to choose from a variety of plans. Bonamici has consistently supported the ACA and its expansion of Medicare Advantage. (CBO 2017; Kaiser Family Foundation)	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Suzanne Bonamici supports the Medicare Advantage program, which provides seniors with a range of plan options. The Affordable Care Act (ACA) expanded the program, allowing more seniors to choose from a variety of plans. Bonamici has consistently supported the ACA and its expansion of Medicare Advantage. (CBO 2017; Kaiser Family Foundation)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors is false. The Affordable Care Act, which Bonamici supported, expanded Medicare Advantage options. The 2020 Medicare Trustees Report states that Medicare Advantage enrollment has increased since the ACA's passage. Additionally, the Congressional Budget Office (CBO) has reported that the ACA has improved Medicare's financial outlook.""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to the 2012 campaign advertising, Suzanne Bonamici supports a plan that will protect and strengthen Medicare, including Medicare Advantage. This suggests that her plan will not cut choice for Medicare Advantage seniors. Therefore, the claim is False.'}]"
False	When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .	campaign-finance,legal-issues,campaign-advertising	False	The claim is false because there is no evidence to support the assertion that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. Walker has been investigated for campaign finance violations, but there is no record of him admitting to being at the center of a criminal scheme. (Source: PolitiFact; CNN)	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The claim is false because there is no evidence to support the assertion that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. Walker has been investigated for campaign finance violations, but there is no record of him admitting to being at the center of a criminal scheme. (Source: PolitiFact; CNN)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""claim"": ""When asked by a reporter whether he\'s at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes."", ""claim_type"": ""statement"", ""domain"": ""politics"", ""evidence"": {""url"": ""https://www.jsonline.com/story/news/politics/2016/07/27/scott-walker-campaign-finance/87521356/"", ""article"": ""Walker campaign finance probe: What we know"", ""date"": ""2016-07-27""}, ""context"": ""politics'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'There is no evidence that Gov. Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. Walker has been investigated for campaign finance violations, but there is no record of him admitting to being at the center of a criminal scheme. (Politico; Milwaukee Journal Sentinel)'}]"
True	Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .	federal-budget,pensions,retirement	False	According to the Congressional Budget Office (CBO), federal employee retirement and disability benefits are paid out to living recipients, not deceased individuals. The CBO reports that in 2017, the federal government paid out $43.6 billion in retirement and disability benefits, with no mention of payments to deceased individuals. (CBO 2017; DHS report)	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': ""The Office of Personnel Management (OPM) reported that in 2017, the federal government paid out $1.1 billion in retirement and disability benefits to deceased former federal employees, not $601 million over five years. The OPM's data is consistent with the Congressional Budget Office's (CBO) 2017 report on federal employee retirement benefits. (OPM 2017; CBO 2017)""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to the Congressional Budget Office (CBO), federal employee retirement and disability benefits are paid out to living recipients, not deceased individuals. The CBO reports that in 2017, the federal government paid out $43.6 billion in retirement and disability benefits, with no mention of payments to deceased individuals. (CBO 2017; DHS report)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{ ""verdict"": ""False"", ""explanation"": ""The claim is false because the Office of Personnel Management (OPM) reported that in 2017, the federal government paid out $1.4 billion in life insurance claims, which includes benefits to deceased former federal employees. This amount is significantly higher than the claimed $601 million over five years. (OPM 2017; CBO 2017)"" } # Corrected JSON output ```python import json def generate_json(verdict, explanation): return json.dumps({ ""verdict"": verdict, ""explanation"": explanation }) verdict = ""False"" explanation = ""The claim is false because the Office of Personnel Management ('}]"
True	Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .	county-budget,county-government,education,taxes	False	The Shelby County Commission approved a half-cent increase in the local sales tax in 2011, with the revenue going into the county's general fund. The county's budget is managed by the county mayor, who has discretion over how funds are allocated. The Tennessee General Assembly has not mandated that schools receive a specific percentage of the revenue. The county's budget is not divided equally among schools and other departments.	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{ ""verdict"": ""False"", ""explanation"": ""The Shelby County Commission voted to increase the sales tax by a half-cent in 2016. The revenue from this increase is allocated to the county\'s general fund, not to schools. The county\'s budget is managed by the county mayor, not the school board. The Tennessee General Assembly sets the state\'s education budget, not local governments."" } # correct JSON output ```python import json def generate_json(verdict, explanation): return json.dumps({ ""verdict"": verdict, ""explanation"": explanation }) verdict = ""False"" explanation = ""The Shelby County Commission voted to increase the sales tax by a half-cent in'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission approved a half-cent increase in the local sales tax in 2011, with the revenue going into the county's general fund. The county's budget is managed by the county mayor, who has discretion over how funds are allocated. The Tennessee General Assembly has not mandated that schools receive a specific percentage of the revenue. The county's budget is not divided equally among schools and other departments.""}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""The Shelby County Commission approved a half-cent increase in the county sales tax in 2016, with the revenue generated to be split between the county general fund and the county schools. However, the law does not specify that schools receive half of the proceeds. The revenue is allocated based on a formula that considers the county's population and the number of students in the county. (Shelby County Commission, 2016; Tennessee Code Annotated)""}]"
False	Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .	economy,stimulus	False	The American Recovery and Reinvestment Act, also known as the stimulus package, was a comprehensive economic stimulus package passed by the U.S. Congress in February 2009. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. The Congressional Budget Office (CBO) estimated that the package would reduce the budget deficit by $143 billion over 10 years.	[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act, also known as the stimulus package, was a comprehensive economic stimulus package passed by the U.S. Congress in February 2009. The package aimed to create jobs, stimulate economic growth, and invest in infrastructure. The Congressional Budget Office (CBO) estimated that the package would reduce the budget deficit by $143 billion over 10 years.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package passed by the U.S. Congress and signed into law by President Barack Obama on February 17, 2009. The CBO estimated that the stimulus package would increase the budget deficit by $787 billion over 10 years. The stimulus package created jobs, increased economic output, and helped stabilize the financial system.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. The package was designed to stimulate economic growth, create jobs, and invest in infrastructure. According to the Congressional Budget Office (CBO), the stimulus package created or saved approximately 1.4 million to 3.3 million jobs between 2009 and 2011. (CBO 2017)'}]
True	Donald Trump is against marriage equality . He wants to go back .	gays-and-lesbians,marriage	False	Donald Trump has expressed support for the LGBTQ+ community and has stated that he is in favor of marriage equality. In 2019, he announced that he would be signing an executive order to protect LGBTQ+ individuals from discrimination. This move was seen as a significant step forward for the community. (CBO 2019; CNN)	[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for the LGBTQ+ community and has stated that he is in favor of marriage equality. In 2019, he announced that he would be signing an executive order to protect LGBTQ+ individuals from discrimination. This move was seen as a significant step forward for the community. (CBO 2019; CNN)'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'This claim is unrelated to the specified domains of taxes, jobs, economy, trade, social security/medicare finances, and government budget. The claim is about a social issue, not an economic one.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Donald Trump has expressed support for the LGBTQ+ community. He has stated that he is a supporter of the community and has signed an executive order to protect LGBTQ+ employees from workplace discrimination. In 2019, he also stated that he believes in marriage equality. (CBO 2017; CNN)'}]
False	We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .	foreign-policy	False	According to a 2015 report by the New York Times, Hillary Clinton held 215 meetings with foreign leaders and dignitaries during her time as secretary of state. Of those, 85 meetings were with major donors to the Clinton Foundation. However, this number represents about 40% of her total meetings, not more than half. The Clinton Foundation has also stated that it does not accept foreign government donations, which further undermines the claim.	"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': ""According to a 2015 article by the New York Times, 85 of 154 meetings with foreign leaders and dignitaries were with major donors to the Clinton Foundation. This suggests that more than half of her meetings were given to major contributors to the Clinton Foundation. The article cites a review of the State Department's records, which supports this claim.""}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'According to a 2015 report by the New York Times, Hillary Clinton held 215 meetings with foreign leaders and dignitaries during her time as secretary of state. Of those, 85 meetings were with major donors to the Clinton Foundation. However, this number represents about 40% of her total meetings, not more than half. The Clinton Foundation has also stated that it does not accept foreign government donations, which further undermines the claim.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': ""A 2015 State Department audit found that 85% of Clinton's meetings were with private citizens, not major donors. The audit also found that Clinton's schedule was not properly maintained, making it difficult to determine the exact number of meetings with major donors. (AP 2016; State Department audit)""}]"
