label,statement,subjects
half-true,The economic turnaround started at the end of my term.,"economy,jobs"
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget"
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget
barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",federal-budget
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income"
mostly-true,The United States has the highest corporate tax rate in the free world.,"corporations,taxes"
mostly-true,We just had the best year for the auto industry in America in history.,economy
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine"
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism"
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes"
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population"
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt
pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus"
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget"
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states"
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs
half-true,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women"
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments"
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012"
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,debt
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week"
barely-true,Says one out of three U.S. homeless men is a veteran.,"poverty,veterans"
