label,statement,subjects,domain,tone
true,Building a wall on the U.S . Mexico border will take literally years .,immigration,immigration,neutral
false,Wisconsin is on pace to double the number of layoffs this year .,jobs,business,subjective
false,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",politics,subjective
half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",health,subjective
pants-fire,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",politics,neutral
true,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",economy,neutral
true,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",law,neutral
barely-true,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",politics,emotional
true,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",social issues,emotional
barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,politics,subjective
barely-true,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,politics,emotional
barely-true,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",politics,neutral
pants-fire,Denali is the Kenyan word for black power .,environment,culture,neutral
false,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",military,emotional
half-true,On residency requirements for public workers,"city-government,county-government,unions",law,neutral
true,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .,"education,jobs",education,neutral
pants-fire,Unfortunately we have documented instances where people defecated in the (Statehouse) building .,"labor,state-budget",crime,neutral
half-true,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government .,"government-efficiency,government-regulation,polls",politics,neutral
true,Each year 18000 people die in America because they don t have health care .,health-care,health,emotional
false,Ronald Reagan faced an even worse recession than the current one .,"economy,history",economy,the
mostly-true,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as .,"crime,gays-and-lesbians,sexuality",law,neutral
half-true,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio .,elections,politics,neutral
pants-fire,The number of illegal immigrants could be 3 million . It could be 30 million .,immigration,immigration,subjective
mostly-true,Marijuana is less toxic than alcohol .,"drugs,health-care,marijuana",health,neutral
false,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme .,"jobs,state-budget",crime,emotional
true,Now there was a time when someone like Scalia and Ginsburg got 95-plus votes .,"sotomayor-nomination,supreme-court",law,subjective
barely-true,I was gone when there was a red line against Syria .,foreign-policy,foreign policy,ironic
half-true,Tim Kaine hiked tuition as governor but now claims to champion affordability .,"education,state-budget",education,subjective
true,Contends that President Obama literally said (if) his cap-and-trade proposals were to pass that utility rates his words now would necessarily skyrocket .,"climate-change,energy",environment,emotional
mostly-true,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts .,"health-care,military",military,i
false,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee .,"congress,supreme-court",politics,answer
false,Under Rosemary Lehmberg the Travis County D.A.s office convened the grand jury that indicted Rick Perry .,"crime,criminal-justice",crime,neutral
half-true,On which team hes rooting for in the World Series .,"baseball,recreation",sports,neutral
half-true,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years .,"message-machine,campaign-advertising",business,subjective
true,The United States has a low voter turnout rate .,elections,politics,neutral
half-true,Says Thomas Jefferson said You might be able to fool the people for awhile and they may go astray but sooner or later the American people are going to wake up and they will correct the course .,"health-care,history",culture,base
barely-true,Because of the federal health care law 300000 health plans canceled in Florida .,health-care,health,neutral
mostly-true,In Massachusetts Scott Brown pushed for a law to force women considering abortion - force them - to look at color photographs of developing fetuses .,"abortion,legal-issues,women",law,subjective
true,The Fed created $1.2 trillion out of nothing gave it to banks and some of them foreign banks so that they could stabilize their operations .,"economy,financial-regulation",business,emotional
true,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago .,"states,taxes",taxes,emotional
barely-true,Pre-existing conditions are covered under my (health care) plan .,"debates,health-care",health,neutral
half-true,Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law disarm innocent Texans and detain them in tunnels beneath closed Walmart stores .,"military,states",military,subjective
pants-fire,Says he won the second debate with Hillary Clinton in a landslide in every poll .,"debates,elections,polls",politics,ironic
barely-true,Says bag litter increased after San Francisco banned single-use shopping bags .,environment,environment,neutral
mostly-true,In 1993 Newt Gingrich first advocated for the individual mandate in health care . And as recently as May of this year he was still advocating for it .,health-care,health,subjective
barely-true,Says as a result of the national health care reform the Congressional Budget Office says we save $250 million over the first 10 years . Over the next 10 years we save $1.2 trillion in savings in terms of health care .,health-care,health,answer
half-true,You said you would vote against the Patriot Act then you came to the Senate you voted for it .,terrorism,politics,emotional
mostly-true,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress .,"economy,history,income,workers",economy,emotional
false,A proposed tax to fund transportation projects would spend $90000 to take a single vehicle off the road during the morning and afternoon commute .,transportation,transportation,emotional
barely-true,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception .,"abortion,health-care,legal-issues,women",health,emotional
half-true,Says Charlie Crist voted against raising the minimum wage .,"economy,jobs",social issues,neutral
barely-true,Hillary Clinton said gun confiscation would be worth considering .,guns,politics,answer
mostly-true,Already a prototype driverless car has traveled more than 300000 miles in the crowded maze of California streets without a single accident .,"consumer-safety,public-safety,technology,transportation",technology,neutral
half-true,Last year out of the 500000 (in) population growth we had in the state of Texas about 250000 of the 500000 came to Texas . from the other 49 states .,"economy,immigration",immigration,neutral
false,When undocumented children are picked up at the border and told to appear later in court . 90 percent do not then show up .,"children,foreign-policy,immigration,legal-issues",immigration,subjective
half-true,Says Gov . Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding .,"education,state-budget",education,neutral
mostly-true,Hes the only candidate whos balanced budgets and brought jobs to Providence .,"candidates-biography,state-budget",economy,emotional
half-true,Studies have shown that in the absence of federal reproductive health funds we are going to see the level of abortion in Georgia increase by about 44 percent .,abortion,science,subjective
pants-fire,ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public .,census,business,subjective
pants-fire,Sixty percent of the Hispanics support the Arizona immigration law,immigration,immigration,answer
barely-true,If the sequester hits federal prosecutors will have to let criminals go .,"crime,criminal-justice,federal-budget,legal-issues",crime,subjective
barely-true,Says Dick Cheney de-Baathisized the Iraqi government and created ISIS .,"foreign-policy,iraq,terrorism",foreign policy,subjective
true,Says Bill and Hillary Clinton attended Donald Trumps last wedding .,candidates-biography,politics,i
false,I did not play any role in bringing the company to RI as did others in government . I was tasked with handling the legislation affecting the company by my superiors .,"bankruptcy,debt",law,emotional
half-true,Obamacare insurance cooperative failures should be expected because theyre like any business and when you start businesses in America at the fifth year half of the businesses have closed .,health-care,business,neutral
false,The tax cut deal is giving $700 billion to millionaires and billionaires .,"deficit,economy,taxes",taxes,emotional
mostly-true,Says Marco Rubio said Social Security and Medicare haveweakened us as a people .,"medicare,social-security",social issues,subjective
mostly-true,Across the country $174 billion of the Recovery Act have been committed in its first 130 days .,"economy,federal-budget,stimulus",crime,neutral
true,As secretary of the Department of Energy under former President Bill Clinton I created reserves of home heating oil .,energy,energy,neutral
true,Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States .,"job-accomplishments,jobs",economy,emotional
half-true,Of the 20 bills [Rep . David] Cicilline has sponsored in his three years in office not a single one has advanced past the embryonic committee stage .,"bipartisanship,congress,congressional-rules,job-accomplishments,voting-record",politics,neutral
half-true,Says Donald Trump has said he loves war including with nukes .,"candidates-biography,foreign-policy,military",foreign policy,subjective
barely-true,Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate which is unconstitutional .,"state-finances,taxes",taxes,emotional
mostly-true,Every child born today inherits a $30000 share in a national debt that stands at more than $13 trillion .,deficit,economy,neutral
false,A strong bipartisan majority in the House of Representatives voted to defund Obamacare .,"congressional-rules,federal-budget,health-care",politics,base
