subjects,statement,label
trade,The EU is pushing for a free trade agreement between Britain and the USA.,True
foreign-policy,Obama’s policy is to keep an eye on terrorists and avoid them coming to us.,False
gun-control,The American Civil Liberties Union will release a report in the fall.,False
crime,u.s. Supreme court to consider new law on death penalty,True
taxes,There is a new law where people in the United States do not pay taxes on Social Security.,False
taxes,The average taxpayer paid nearly double what his counterpart did in the past decade.,True
crime,The FBI has issued a statement urging people who committed crimes in the recent year to report them.,False
economy,"The US economy is strengthening due to lower unemployment, lower interest rates and the government 's failure to stimulate the economy.",True
military,It's a very difficult task to get people who are armed to do the job.,True
energy,More than a half a billion households in the US use the Internet to search for information,True
environment,The government has proposed to raise the standards for plastic bags to reduce the amount of plastic the bags contain.,True
energy,Several firms are planning to invest billions of dollars in renewable energy sources.,False
energy,The bill would force companies to share information.,False
economy,The equities market is getting worse after the global financial crisis,False
energy,he only gave us a 5% tax break on the oil.,True
veterans,The veterans have a bad feeling about government after the inauguration.,False
veterans,"In the U.S., veterans recieve treatment with a psychiatrist.",False
climate-change,The US administration has signed a decree that stops scientists from studying the effects of climate change on animals,False
gun-control,The new proposal requires armed police to be trained in the use of lethal force.,False
budget,Budget will be released in one week.,True
health-care,The bill outlines that all patients will be covered.,False
homeland-security,A U.S. senator said Monday that U.S. forces will be able to capture foreign fighters in their midst if conditions improve,True
veterans,Veteran aides say their group is not involved in military service.,False
homeland-security,Obama says ad hoc panels will review security for retaliation,True
environment,Greenpeace re-evaluates its approach to sustainability,False
homeland-security,Homeland Security Act imposes mandatory electronic surveillance,True
immigration,Immigration is an issue that largely determines the balance of power among the people.,True
welfare,Welfare recipients are being forced to leave their jobs for the most part,False
crime,The U.S. Supreme Court upheld the death penalty last week.,False
veterans,This new report found that nearly two-thirds of vets reported that the government has no plans to help them,False
homeland-security,Homeland security: iran tightens surveillance,True
trade,The President's trade plan sets prices for American goods at below fair value.,False
environment,"There is a huge gap between international and indigenous experience in environmental knowledge , including the knowledge of plant species and their environment",True
veterans,Veterans Affairs in Canada has given more than $2 million to military causes.,True
gun-control,U.S. military weapons have no function.,False
