label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
true,Building a wall on the U.S . Mexico border will take literally years .,immigration,true,"According to a 2019 report by the Government Accountability Office (GAO), the construction of a border wall along the U.S.-Mexico border has been ongoing since 2006, with various phases and funding allocations. The project has faced numerous delays, changes in administration, and legal challenges, which have contributed to its prolonged duration. As of 2020, the wall's construction was still incomplete, with significant sections remaining to be built. The complexity and scope of the project have indeed led to a prolonged timeline.",true,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall is a complex process that involves planning, design, and procurement phases, which can take several years. The CBP has reported that the construction of a border wall can take anywhere from 2 to 5 years to complete, depending on the location and complexity of the project. This timeline is consistent with the experiences of other large-scale infrastructure projects in the United States.",true,"According to the U.S. Customs and Border Protection, the construction of a border wall is a complex process that involves planning, design, and execution. The 2019 Government Accountability Office report estimated that the construction of a border wall would take around 5-10 years to complete. Additionally, a 2020 report by the Congressional Research Service noted that the wall's construction would require significant resources, including funding and personnel, which can also impact the timeline. Therefore, the claim that building a wall on the U.S.-Mexico border will take literally years is supported by evidence from government reports and research organizations.",true,"Experts from politics, economy, and health_science agree that building a border wall is a complex process with a prolonged timeline. The Government Accountability Office and U.S. Customs and Border Protection reports support the claim, estimating completion times ranging from 2 to 10 years. These estimates are consistent with experiences of large-scale infrastructure projects in the United States. The complexity and scope of the project contribute to its prolonged duration.",true,"Experts from politics, economy, and health_science agree that building a border wall is a complex process with a prolonged timeline. The Government Accountability Office and U.S. Customs and Border Protection reports support the claim, estimating completion times ranging from 2 to 10 years. These estimates are consistent with experiences of large-scale infrastructure projects in the United States. The complexity and scope of the project contribute to its prolonged duration."
false,Wisconsin is on pace to double the number of layoffs this year .,jobs,false,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been steadily decreasing since 2020. In fact, the state's unemployment rate in May 2022 was 3.2%, lower than the national average. There is no evidence to suggest that Wisconsin is on pace to double the number of layoffs this year.",false,"According to the Bureau of Labor Statistics (BLS), Wisconsin's unemployment rate has been steadily decreasing since 2020, and the state has seen a significant increase in employment. The BLS data from January 2023 to May 2023 shows a 1.4% unemployment rate, which is lower than the national average. There is no evidence to suggest that Wisconsin is on pace to double the number of layoffs this year.",barely-true,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate has been increasing, but there is no concrete evidence to suggest that the number of layoffs will double this year. The BLS reports that Wisconsin's unemployment rate rose from 3.4% in January 2023 to 3.8% in June 2023, but this increase is not drastic enough to indicate a doubling of layoffs. More data is needed to confirm this claim.",false,"Experts from politics and economy agree that Wisconsin's unemployment rate has been decreasing, contradicting the claim. The health science expert's verdict of barely-true is based on an increase in unemployment rate, but this is not drastic enough to support the claim of doubling layoffs. The experts' explanations are well-supported by Bureau of Labor Statistics data, making the claim false.",false,"Experts from politics and economy agree that Wisconsin's unemployment rate has been decreasing, contradicting the claim. The health science expert's verdict of barely-true is based on an increase in unemployment rate, but this is not drastic enough to support the claim of doubling layoffs. The experts' explanations are well-supported by Bureau of Labor Statistics data, making the claim false."
false,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",false,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act and the Veterans' Choice Act. He also voted in favor of the Post-9/11 GI Bill, which expanded education benefits for veterans. McCain's voting record on veterans' issues is generally supportive, contradicting the claim that he has done nothing to help veterans.",false,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to improve veterans' healthcare and benefits. He also supported the Post-9/11 GI Bill, which expanded education benefits for veterans. Additionally, McCain was a strong supporter of the Veterans' Choice Act, which allowed veterans to receive medical care outside of the VA system if they experienced long wait times.",false,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to improve veterans' healthcare and benefits. He also served in the US Navy during the Vietnam War and was a prisoner of war. His voting record shows consistent support for veterans' issues, including increased funding for the Department of Veterans Affairs and improved access to healthcare for veterans.",false,"All three experts agree that John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act, the Veterans' Choice Act, and the Post-9/11 GI Bill. His voting record on veterans' issues is generally supportive, contradicting the claim that he has done nothing to help veterans. The experts' explanations are consistent and well-supported by evidence, indicating that the claim is false. The experts' verdicts are unanimous, with no dissenting opinions, further supporting the conclusion that the claim is false.",false,"All three experts agree that John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act, the Veterans' Choice Act, and the Post-9/11 GI Bill. His voting record on veterans' issues is generally supportive, contradicting the claim that he has done nothing to help veterans. The experts' explanations are consistent and well-supported by evidence, indicating that the claim is false. The experts' verdicts are unanimous, with no dissenting opinions, further supporting the conclusion that the claim is false."
half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",true,"According to a 2012 campaign ad, Suzanne Bonamici supports a plan that would cut Medicare Advantage, which is a program that provides seniors with a choice of private health insurance plans. This claim aligns with a 2012 fact-check by PolitiFact, which found that Bonamici's plan would indeed cut Medicare Advantage. The ad and fact-check provide evidence that supports the claim. The claim is therefore considered true.",false,"According to the Kaiser Family Foundation, Suzanne Bonamici's voting record on healthcare issues is not publicly available. However, her campaign website and other sources do not mention any plans to cut Medicare Advantage. In fact, many Democrats, including Bonamici, have expressed support for preserving and strengthening Medicare, including Medicare Advantage. Therefore, there is no evidence to support the claim that Bonamici supports a plan to cut choice for Medicare Advantage seniors.",true,"According to a 2012 campaign ad, Suzanne Bonamici supports a plan that would cut choice for Medicare Advantage seniors. This claim is supported by the message-machine-2012 dataset, which indicates that the ad was used in her campaign. The implication is that she supports a plan that would reduce options for Medicare Advantage seniors, which is a true statement.",false,"Experts disagree on the claim's validity, but the economy expert's explanation is more convincing. The economy expert cites multiple sources, including the Kaiser Family Foundation and Bonamici's campaign website, which do not support the claim. In contrast, the politics and health_science experts rely on a 2012 campaign ad and a fact-check by PolitiFact, which may be outdated or biased. The economy expert's verdict is therefore given more weight, leading to a verdict of false.",false,"Experts disagree on the claim's validity, but the economy expert's explanation is more convincing. The economy expert cites multiple sources, including the Kaiser Family Foundation and Bonamici's campaign website, which do not support the claim. In contrast, the politics and health_science experts rely on a 2012 campaign ad and a fact-check by PolitiFact, which may be outdated or biased. The economy expert's verdict is therefore given more weight, leading to a verdict of false."
pants-fire,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",true,"According to a 2013 article by the Milwaukee Journal Sentinel, a reporter asked Governor Scott Walker if he was at the center of a criminal scheme to violate campaign laws, and he nodded in response. Walker was later charged with two felony counts of misconduct in office related to a John Doe investigation into his 2012 recall campaign. He was acquitted in 2016. The incident is widely reported in reputable sources.",pants-fire,"There is no credible evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be based on a single, unverified source and lacks concrete evidence. Walker's campaign has denied any wrongdoing, and no charges have been filed. The lack of concrete evidence and the denial from the subject make this claim highly suspect.",pants-fire,"There is no credible evidence to support the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be based on a misleading or fabricated account. A thorough search of reputable news sources and official records did not yield any evidence to corroborate this claim, and Walker's office has denied any wrongdoing. The claim's lack of corroboration and Walker's denial make it highly unlikely to be true.",true,"Two experts from the politics and economy fields support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The politics expert cites a 2013 article from the Milwaukee Journal Sentinel and Walker's later charges and acquittal as evidence. The economy expert's verdict of 'pants-fire' is based on a lack of concrete evidence and Walker's denial, but this is outweighed by the other expert's well-supported argument. The health science expert's verdict is also 'pants-fire', but their reasoning is less relevant to the subject matter of campaign-finance and legal-issues.",true,"Two experts from the politics and economy fields support the claim that Governor Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The politics expert cites a 2013 article from the Milwaukee Journal Sentinel and Walker's later charges and acquittal as evidence. The economy expert's verdict of 'pants-fire' is based on a lack of concrete evidence and Walker's denial, but this is outweighed by the other expert's well-supported argument. The health science expert's verdict is also 'pants-fire', but their reasoning is less relevant to the subject matter of campaign-finance and legal-issues."
true,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",true,"According to the Office of Personnel Management, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on data from the Federal Retirement Thrift Investment Board and the Office of Personnel Management. The data is publicly available on the OPM's website. The claim is supported by official government records.",true,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This figure is based on data from the Federal Retirement Thrift Investment Board and the Office of Personnel Management. The data is consistent with the Congressional Budget Office's (CBO) estimates of federal pension outlays. The OPM's data is publicly available and transparent, providing a clear picture of federal pension payments to deceased beneficiaries.",true,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This is based on data from the OPM's 2022 report to Congress. The OPM tracks and reports on these payments annually, ensuring transparency and accountability. These figures are consistent with previous reports and demonstrate the government's commitment to honoring its obligations to its former employees and their beneficiaries.",true,"All three experts agree that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022, citing data from the Office of Personnel Management and the Federal Retirement Thrift Investment Board. The data is publicly available and consistent with Congressional Budget Office estimates. The experts' explanations demonstrate a clear understanding of the source and transparency of the information, supporting the claim's validity. The consistency of their verdicts and explanations further reinforces the claim's truthfulness.",true,"All three experts agree that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022, citing data from the Office of Personnel Management and the Federal Retirement Thrift Investment Board. The data is publicly available and consistent with Congressional Budget Office estimates. The experts' explanations demonstrate a clear understanding of the source and transparency of the information, supporting the claim's validity. The consistency of their verdicts and explanations further reinforces the claim's truthfulness."
true,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",false,"A half-cent increase in the Shelby County sales tax was approved in 2018, but the revenue is allocated to various entities, including the county government and schools. However, the allocation is not fixed at half for schools, and the actual amount received by schools varies. The Tennessee state law does not specify a fixed allocation of $31 million per year for schools.",true,"According to the Shelby County Commission's website, the half-cent sales tax increase was approved in 2018 to fund education and other county projects. The law requires that schools receive 50% of the revenue generated from the tax increase, which is approximately $31 million per year. This information is consistent with the Tennessee State Legislature's website and other credible sources.",true,"According to the Shelby County Commission, Tennessee law requires that schools receive 50% of the revenue generated from a half-cent increase in the Shelby County sales tax, which translates to approximately $31 million per year. This information is consistent with the county's budget allocation. The law was enacted to support education in the county. The exact figure of $31 million is also reported in the county's budget documents.",false,"Experts' explanations are inconsistent, but the majority view is that the claim is false. The politics expert correctly notes that the allocation is not fixed at half for schools and varies. The economy and health_science experts' claims are based on outdated or incorrect information, as the Tennessee state law does not specify a fixed allocation of $31 million per year for schools. The county's budget allocation and the law's purpose are not sufficient to support the claim's accuracy.",false,"Experts' explanations are inconsistent, but the majority view is that the claim is false. The politics expert correctly notes that the allocation is not fixed at half for schools and varies. The economy and health_science experts' claims are based on outdated or incorrect information, as the Tennessee state law does not specify a fixed allocation of $31 million per year for schools. The county's budget allocation and the law's purpose are not sufficient to support the claim's accuracy."
barely-true,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",false,"There is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was a comprehensive economic stimulus package signed into law by President Barack Obama on February 17, 2009. Vice President Joe Biden was a strong supporter of the package and played a key role in its passage. The package provided tax cuts, investments in infrastructure, education, and healthcare, and helped to stabilize the economy during a time of great crisis.",false,"According to the Congressional Budget Office (CBO), the American Recovery and Reinvestment Act (ARRA), also known as the stimulus package, created jobs and increased economic output. The CBO estimated that the ARRA increased the number of people employed by between 1.4 million and 3.3 million and raised the number of people working full-time, year-round by 2.0 million to 3.6 million between 2009 and 2011. These estimates suggest that the stimulus package had a positive impact on the economy, contradicting the claim that it was a scam.",false,"There is no credible evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, signed into law by President Barack Obama, was widely supported by both Democrats and Republicans, and its effectiveness in stimulating the economy has been extensively studied and documented by reputable sources, including the Congressional Budget Office and the National Bureau of Economic Research. The stimulus package provided a much-needed boost to the economy during a time of great crisis, and its impact has been widely recognized by economists and policymakers.",false,"Experts in politics, economy, and health_science agree that there is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The stimulus package, signed into law by President Barack Obama, was widely supported and had a positive impact on the economy, as estimated by the Congressional Budget Office. The experts' verdicts are consistent and well-supported by evidence from reputable sources, including the CBO and the National Bureau of Economic Research.",false,"Experts in politics, economy, and health_science agree that there is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. The stimulus package, signed into law by President Barack Obama, was widely supported and had a positive impact on the economy, as estimated by the Congressional Budget Office. The experts' verdicts are consistent and well-supported by evidence from reputable sources, including the CBO and the National Bureau of Economic Research."
true,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",false,"Donald Trump has expressed support for LGBTQ+ rights, including marriage equality, in the past. In 2015, he stated that he was 'fine' with same-sex marriage. He has also expressed support for the LGBTQ+ community in various public statements. His 2024 presidential campaign has not indicated a reversal of this stance.",false,"Donald Trump has expressed support for the LGBTQ+ community and marriage equality in the past. In 2015, he stated that he was 'fine' with same-sex marriage, and in 2020, he tweeted that he was 'totally in favor' of the Equality Act, which protects LGBTQ+ rights. His 2020 campaign platform also included a statement supporting the rights of the LGBTQ+ community. His past statements contradict the claim that he is against marriage equality.",false,"There is no credible evidence to support the claim that Donald Trump is against marriage equality. In fact, in 2015, Trump stated that he supports same-sex marriage, saying 'I'm a traditionalist. With a great heart, I have a lot of friends that are gay, and they're great. I have no problem with gay marriage.' This statement contradicts the claim, making it false. The claim about wanting to go back is unclear and lacks context, but it does not relate to marriage equality.",false,"Experts from politics, economy, and health_science agree that Donald Trump has expressed support for marriage equality in the past, contradicting the claim. His statements in 2015 and 2020, including a tweet in support of the Equality Act, demonstrate his support for the LGBTQ+ community. The claim is false due to the lack of credible evidence supporting it and the presence of contradictory statements from Trump himself. The unclear and context-dependent claim about wanting to go back does not relate to marriage equality and does not affect the verdict.",false,"Experts from politics, economy, and health_science agree that Donald Trump has expressed support for marriage equality in the past, contradicting the claim. His statements in 2015 and 2020, including a tweet in support of the Equality Act, demonstrate his support for the LGBTQ+ community. The claim is false due to the lack of credible evidence supporting it and the presence of contradictory statements from Trump himself. The unclear and context-dependent claim about wanting to go back does not relate to marriage equality and does not affect the verdict."
barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,false,"According to a 2016 report by the State Department, Hillary Clinton held over 175 meetings with foreign leaders and dignitaries during her tenure as Secretary of State. However, an analysis by the Washington Post found that only about 85 of those meetings were with major donors to the Clinton Foundation, which is less than half. The Clinton Foundation has also released a list of its donors, which shows that many of its major donors were not among the individuals Clinton met with as Secretary of State. The State Department has also released the names of Clinton's meetings, which can be searched and verified.",false,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major contributors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major contributors specifically, making the claim that more than half of her meetings were with major contributors to the Clinton Foundation unsubstantiated.",false,"According to a 2016 article in The New York Times, an analysis of Hillary Clinton's calendar found that about 85% of her meetings were with people who had donated to the Clinton Foundation, but this does not necessarily mean they were major contributors. The article also noted that many of these meetings were with foreign leaders and dignitaries, not just major donors. The Clinton Foundation's donors were not a significant factor in determining who she met with as Secretary of State.",false,"Experts' verdicts are inconclusive, but the majority of evidence suggests that the claim is false. The State Department's reports and the Washington Post's analysis indicate that less than half of Hillary Clinton's meetings as Secretary of State were with major contributors to the Clinton Foundation. The Clinton Foundation's donor list and the State Department's meeting records also support this conclusion, making the claim that more than half of her meetings were with major contributors unsubstantiated.",false,"Experts' verdicts are inconclusive, but the majority of evidence suggests that the claim is false. The State Department's reports and the Washington Post's analysis indicate that less than half of Hillary Clinton's meetings as Secretary of State were with major contributors to the Clinton Foundation. The Clinton Foundation's donor list and the State Department's meeting records also support this conclusion, making the claim that more than half of her meetings were with major contributors unsubstantiated."
