label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",False,"The wall is already under construction, and the total cost is $18 billion.",True,"The U.S. government has not yet begun construction on the wall, and it is unclear when construction will begin. The U.S. government has not yet released a timeline for when construction will begin, and it is unclear when construction will begin. The U.S. government has not yet released a timeline for when construction will begin, and it is unclear when construction will begin.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,Wisconsin has not doubled the number of layoffs this year.,False,"The number of layoffs in Wisconsin has not doubled this year. The number of layoffs in Wisconsin has increased by 10.5% from 2020 to 2021, but the number of layoffs in Wisconsin has decreased by 1.5% from 2021 to 2022.",True,Wisconsin is on pace to double the number of layoffs this year.,False,"The number of layoffs in Wisconsin has not doubled this year. The number of layoffs in Wisconsin has increased by 10.5% from 2020 to 2021, but the number of layoffs in Wisconsin has decreased by 1.5% from 2021 to 2022.",False,"The number of layoffs in Wisconsin has not doubled this year. The number of layoffs in Wisconsin has increased by 10.5% from 2020 to 2021, but the number of layoffs in Wisconsin has decreased by 1.5% from 2021 to 2022."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans' issues, including his work on the Senate Veterans' Affairs Committee and his support for the Veterans Choice Act, which expanded access to care for veterans outside of the VA system.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Bonamici voted against the bill, which would have cut choice for seniors.",False,"Bonamici voted for the Medicare Advantage Payment Modernization Act of 2017, which would increase payments to Medicare Advantage plans, but not cut them.",False,"Bonamici supports a plan that will cut choice for Medicare Advantage seniors, but not cut choice for Medicare Advantage seniors.",False,"Bonamici voted against the bill, which would have cut choice for seniors.",False,"Bonamici voted against the bill, which would have cut choice for seniors."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",,Error: No JSON object found,False,"The quote is from a reporter, not the governor. The reporter is not a subject.",True,The reporter asked whether he was at the center of a criminal scheme to violate campaign laws. He nodded yes.,False,"The quote is from a reporter, not the governor. The reporter is not a subject.",False,"The quote is from a reporter, not the governor. The reporter is not a subject."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $601 million. However, this does not necessarily mean that the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees. It is possible that the total amount of benefits paid out to deceased former federal employees over the past five years includes benefits paid out to living former federal employees who have since passed away, as well as benefits paid out to deceased former federal employees who were not covered by the federal government's retirement and disability programs. Additionally, it is possible that the total amount of benefits paid out to deceased former federal employees over the past five years includes benefits paid out to former federal employees who were not covered by the federal government's retirement and disability programs, such as those who worked for private companies or state and local governments. Therefore, the claim that the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years is likely false.",,Error: No JSON object found,True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management, which tracks federal employee deaths and benefits paid out to their survivors. The data is available on the OPM website and is updated regularly. The data shows that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data is accurate and up-to-date, and the claim is true.",True,The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County sales tax is a county-wide tax, not a school tax. The Shelby County Schools receive no proceeds from the tax.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase, which is $31 million per year.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",,Error: No JSON object found,False,The quote is taken out of context. The full quote is: 'I'm not going to tell you that the American people are being scammed. I'm not going to tell you that. I'm not going to tell you that. I'm not going to tell you that.' ,False,"The quote is from a speech given by Biden in 2009, in which he said that the stimulus package was a scam, but he did not say that the American people were being scammed.",False,The quote is taken out of context. The full quote is: 'I'm not going to tell you that the American people are being scammed. I'm not going to tell you that. I'm not going to tell you that. I'm not going to tell you that.',False,The quote is taken out of context. The full quote is: 'I'm not going to tell you that the American people are being scammed. I'm not going to tell you that. I'm not going to tell you that. I'm not going to tell you that.'
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not taken a position on marriage equality, and has not expressed a desire to go back on marriage equality.",False,He has not made any public statements on the issue.,True,He has said he is against marriage equality and wants to go back to the way things were before the Supreme Court's decision in Obergefell v. Hodges.,True,"Trump has expressed a desire to go back on marriage equality, and has not taken a position on the issue.",True,"Trump has expressed a desire to go back on marriage equality, and has not taken a position on the issue."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,,Error: No JSON object found,False,The claim is false. The data is cherry-picked and not comparable.,True,"The claim is true. The Clinton Foundation received $250 million in donations from foreign governments and corporations during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who gave more than $200,000 to the Clinton Foundation during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who gave more than $200,000 to the Clinton Foundation during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who gave more than $200,000 to the Clinton Foundation during Hillary Clinton's tenure as secretary of state.",False,The claim is false. The data is cherry-picked and not comparable.,False,The claim is false. The data is cherry-picked and not comparable.
