label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the Department of Homeland Security, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"Constructing a wall on the U.S.-Mexico border would take years, according to experts. The Trump administration estimates that construction could be completed by 2025, but experts say that timeline is unrealistic. The actual construction time would depend on a number of factors, including the size and complexity of the wall, the availability of materials and labor, and the environmental impact of the project.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely 2-4 years, according to government estimates.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,True,"According to the Wisconsin Department of Workforce Development, the state is projected to have a 2.2% unemployment rate in 2023, which is slightly higher than the national average. This could lead to an increase in layoffs, although the exact number is unknown.",True,"According to the Wisconsin Department of Workforce Development, the state is on pace to double the number of layoffs this year, with 10,000 jobs projected to be lost by the end of 2023.",True,"According to the Wisconsin Department of Workforce Development, the state is projected to have a 2.3% unemployment rate in 2023, which is slightly higher than the national average. This could lead to an increase in layoffs, but the exact number is unknown.",True,"The state of Wisconsin is projected to have a higher unemployment rate in 2023 than the national average, which could lead to an increase in layoffs. However, the exact number of layoffs is unknown.",True,"The state of Wisconsin is projected to have a higher unemployment rate in 2023 than the national average, which could lead to an increase in layoffs. However, the exact number of layoffs is unknown."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,McCain has signed legislation to help veterans and has spoken about his support for veterans. He has also appointed veterans to key positions in his administration.,True,"McCain has passed legislation to help veterans, including expanding access to healthcare and providing educational benefits.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing post-traumatic stress disorder. However, some veterans say the legislation does not go far enough.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. However, some veterans say the legislation does not go far enough.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. However, some veterans say the legislation does not go far enough."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",True,"Bonamici has co-sponsored legislation that would impose a $2,500 annual cap on Medicare Advantage premiums. Such a cap would disproportionately impact seniors in low-income communities and minority groups, potentially reducing their access to quality healthcare.",False,Suzanne Bonamici has not released a plan that would cut choice for Medicare Advantage seniors.,False,There has not been any evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,There has not been any evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,There has not been any evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,Gov. Scott Walker has admitted nodding yes when asked by a reporter whether he is at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,True,Gov. Scott Walker has admitted nodding yes when asked by a reporter whether he is at the center of a criminal scheme to violate campaign laws.,True,Gov. Scott Walker has admitted nodding yes when asked by a reporter whether he is at the center of a criminal scheme to violate campaign laws.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a Government Accountability Office report, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"According to the U.S. Office of Personnel Management, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"According to a Government Accountability Office report, the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to multiple expert analyses and a Government Accountability Office report.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to multiple expert analyses and a Government Accountability Office report."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which is estimated to be $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which is estimated to be $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent sales tax increase in Shelby County, resulting in an annual revenue of $31 million.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which is estimated to be $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which is estimated to be $31 million per year."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,"Trump has repeatedly stated his opposition to marriage equality and his support for reversing Roe v. Wade, which legalized abortion in the United States.",True,"Former President Trump has made statements indicating that he would like to overturn Roe v. Wade, which would impact marriage equality in the United States.",True,"Former President Trump has made statements opposing marriage equality and has expressed support for overturning Roe v. Wade, which legalized abortion in the United States. These statements align with his conservative political stance.",True,"Former President Trump has repeatedly stated his opposition to marriage equality and his support for reversing Roe v. Wade, which legalized abortion in the United States.",True,"Former President Trump has repeatedly stated his opposition to marriage equality and his support for reversing Roe v. Wade, which legalized abortion in the United States."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"According to a State Department review, 23 of Clinton's 47 meetings with major donors at the State Department were held at the same time as the donors were making contributions to the Clinton Foundation. This represents 50% of her meetings with major donors.",True,"According to a State Department review, 61% of Clinton's meetings with major donors at the State Department were held at the private residence of a major donor to the Clinton Foundation.",True,"According to a review of State Department records, more than half of Clinton's meetings with major donors to the Clinton Foundation were held at the State Department. However, the review did not find evidence that Clinton used her State Department email account for personal use or to conduct private business.",True,"According to a State Department review, more than half of Clinton's meetings with major donors were held at the State Department or at the private residence of a major donor to the Clinton Foundation.",True,"According to a State Department review, more than half of Clinton's meetings with major donors were held at the State Department or at the private residence of a major donor to the Clinton Foundation."
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,"According to the latest data from the Secretary of State of Georgia, there are more registered Democrats than Republicans in the state.",True,"According to the latest data from the Census Bureau, as of 2020, there are more Democrats registered in Georgia than Republicans.",True,"According to the latest data from the US Census Bureau, there are more Democrats registered in Georgia than Republicans. As of January 2023, the registration figures are 51.2% Democrat and 46.8% Republican.",True,"According to the latest data, there are more registered Democrats than Republicans in Georgia.",True,"According to the latest data, there are more registered Democrats than Republicans in Georgia."
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",True,"PolitiFact Texas has verified that Congressman Edwards' attacks on Bill Flores are false. Edwards has claimed that Flores has a long history of making false statements and misleading claims. However, PolitiFact Texas has found that there is no evidence to support this claim. ",True,PolitiFact Texas has verified that Congressman Edwards' attacks on Bill Flores are false. There is no evidence to support the claim that Flores has a history of domestic violence or that he has abused campaign funds.,True,PolitiFact Texas has verified that Congressman Edwards' attacks on Bill Flores are false. There is no evidence to support the claim that Flores has misappropriated campaign funds or abused his position.,True,"PolitiFact Texas has verified that Congressman Edwards' attacks on Bill Flores are false. There is no evidence to support the claims that Flores has a history of making false statements, misleading claims, domestic violence, or abuse of campaign funds.",True,"PolitiFact Texas has verified that Congressman Edwards' attacks on Bill Flores are false. There is no evidence to support the claims that Flores has a history of making false statements, misleading claims, domestic violence, or abuse of campaign funds."
False,Denali is the Kenyan word for black power .,environment,False,Denali is not a Kenyan word for black power. Denali is an Alaskan Native word that means ,False,Denali is not a Kenyan word. There is no such word in the Kenyan language.,False,Denali is not a Kenyan word. There is no such word in the Kenyan language.,False,Denali is not a Kenyan word for black power. Denali is an Alaskan Native word that means,False,Denali is not a Kenyan word for black power. Denali is an Alaskan Native word that means
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",True,"According to the Congressional Budget Office, 57% of federal spending in 2023 is projected to go to the military, and 1% is projected to go to food and agriculture, including food stamps.",True,"According to the Congressional Budget Office, 57% of federal spending in 2023 is projected to go to the military, and 1% is projected to go to food and agriculture including food stamps.",True,"According to the USDA, 57% of federal spending goes to the military and 1% goes to food and agriculture including food stamps.",True,"According to the Congressional Budget Office, 57% of federal spending in 2023 is projected to go to the military, and 1% is projected to go to food and agriculture, including food stamps.",True,"According to the Congressional Budget Office, 57% of federal spending in 2023 is projected to go to the military, and 1% is projected to go to food and agriculture, including food stamps."
True,On residency requirements for public workers,"city-government,county-government,unions",True,"Several states have residency requirements for public workers, typically requiring them to live in the state for a certain number of years. These requirements vary by state, but they are generally intended to ensure that public workers are actually residents of the state.",True,"Residency requirements for public workers vary by state, but they are generally not widely applicable. In 2022, only 12 states had such requirements, and they applied to a small percentage of state workers. These requirements typically apply to higher-level positions and are designed to ensure that state employees are residents of the state.",True,"Residency requirements for public workers vary by state, but there is evidence to suggest that such requirements can improve patient safety and reduce medical errors. However, the evidence is not conclusive and there are concerns about the potential impact of such requirements on access to care.",True,"Several states have residency requirements for public workers, typically requiring them to live in the state for a certain number of years. These requirements vary by state, but they are generally intended to ensure that public workers are actually residents of the state.",True,"Several states have residency requirements for public workers, typically requiring them to live in the state for a certain number of years. These requirements vary by state, but they are generally intended to ensure that public workers are actually residents of the state."
True,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .,"education,jobs",True,"According to the Bureau of Labor Statistics, the unemployment rate for college graduates was 4.4% in May 2023, and the unemployment rate for noncollege-educated individuals was 10.1% in the same month.",True,"The unemployment rate for college graduates in the U.S. was 4.4% in May 2023, while the unemployment rate for noncollege-educated workers was 10.1%.",True,"The unemployment rate for college graduates in the U.S. was 4.4% in 2022, while the unemployment rate for noncollege-educated individuals was 10.1% in the same year.",True,"The unemployment rate for college graduates was 4.4% in May 2023, and the unemployment rate for noncollege-educated individuals was 10.1% in the same month.",True,"The unemployment rate for college graduates was 4.4% in May 2023, and the unemployment rate for noncollege-educated individuals was 10.1% in the same month."
