label,statement,subjects
false,Says the Annies List political group supports third-trimester abortions on demand.,abortion
false,Health care reform legislation is likely to mandate free sex change surgeries.,health-care
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine"
false,I dont know who (Jonathan Gruber) is.,health-care
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture"
pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration"
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states"
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",water
false,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care"
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare"
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health
mostly-true,The insurance commissioner cant do squat about health care.,health-care
true,Sen. Obama has always had a 100 percent prochoice rating.,abortion
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance"
half-true,Donald Trump has said nuclear proliferation is OK.,nuclear
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.","health-care,veterans"
barely-true,Rob Cornilles supports privatizing Medicare.,"medicare,message-machine-2012"
false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","abortion,corrections-and-updates"
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment
false,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine"
barely-true,Climate change is directly related to the growth of terrorism.,"climate-change,terrorism"
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,health-care
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits"
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare"
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,"environment,income"
false,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers"
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes"
half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.","campaign-finance,environment"
true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care"
false,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care
false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court"
half-true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",medicare
mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,"health-care,history"
barely-true,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,"economy,health-care"
barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.","economy,health-care"
pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,"health-care,states"
half-true,"Says Scott Walker wants to ban common forms of birth control, including the pill.","abortion,message-machine"
barely-true,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,"health-care,pundits"
barely-true,The American people support defunding Obamacare and oppose shutting down the government.,health-care
false,74 percent of Republicans support the Affordable Care Act.,"health-care,polls"
false,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",abortion
false,"Most young Americans right now, theyre not covered by health insurance.",health-care
false,Cell phone numbers go public this month.,consumer-safety
mostly-true,A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,environment
barely-true,Polls show that Floridians dont want to repeal the Affordable Care Act.,"health-care,polls"
false,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,health-care
pants-fire,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","health-care,privacy"
barely-true,Jason Carter supports using Georgia tax dollars to promote Obamacare,health-care
half-true,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.","health-care,veterans"
false,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care
half-true,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.","government-regulation,public-health"
barely-true,Says real estate taxes were put in place to pay for Obamacare.,"health-care,taxes"
mostly-true,"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.","city-government,water"
barely-true,Says Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obamas ability to fight pollution and combat climate change.,"climate-change,environment"
false,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,"health-care,state-budget"
