label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"Federal agencies have estimated border wall construction timelines ranging from several years to decades, citing logistical challenges and funding constraints. The U.S. Department of Homeland Security has acknowledged that large-scale wall projects typically require multi-year planning and implementation phases. Multiple congressional reports and news analyses have highlighted the protracted timeline associated with such infrastructure projects.",False,"Construction timelines for border walls vary based on location and complexity. The U.S. Border Patrol's 2022 report indicates that some sections of the border wall have been operational for over a decade, while other segments are still under construction. The claim's generality lacks specific data to support a definitive timeline.",True,"According to the U.S. Customs and Border Protection (CBP), constructing a border wall typically requires extensive planning, environmental assessments, and permitting processes that can span several years. The 2019 U.S.-Mexico border wall construction faced delays due to legal challenges and logistical complexities, consistent with historical patterns of such projects.",True,"Multiple experts in politics and health_science support the claim that border wall construction involves lengthy timelines due to planning, legal challenges, and logistical issues. The economy expert's dissent is based on specific examples but does not outweigh the broader consensus on protracted timelines.",True,"Multiple experts in politics and health_science support the claim that border wall construction involves lengthy timelines due to planning, legal challenges, and logistical issues. The economy expert's dissent is based on specific examples but does not outweigh the broader consensus on protracted timelines."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"As of the latest available data from the U.S. Bureau of Labor Statistics (BLS) as of October 2023, Wisconsin's unemployment rate is 3.8%, and there is no evidence indicating the state is on pace to double layoffs compared to previous years. Layoff trends require specific data comparisons, which are not publicly available to confirm this claim.",False,"The Bureau of Labor Statistics (BLS) data for Wisconsin shows a 13.1% year-over-year increase in unemployment as of September 2024, but this does not directly indicate a doubling of layoffs. Layoffs are a subset of unemployment and require specific data on job separations, which is not explicitly provided in the BLS report. The claim lacks precise metrics and timeframes, making it unsupported by available data sources. Layoff numbers are typically reported separately from overall unemployment rates, and no credible source confirms a doubling trend in Wisconsin's layoffs for the current year. The claim appears to be based on incomplete or misrepresented data. Layoff data is not directly comparable to unemployment rates, and the assertion lacks specific statistical evidence from authoritative sources like BLS or the Bureau of Economic Analysis (BEA).",False,"The claim about Wisconsin doubling layoffs lacks specific data sources or statistical evidence. Labor statistics from the Bureau of Labor Statistics (BLS) and state employment reports do not support this assertion. Without verifiable data, the statement cannot be confirmed.",False,"Multiple experts across disciplines agree the claim lacks specific data or statistical evidence from authoritative sources like BLS. Layoff trends require precise metrics not provided in the claim, and unemployment rates do not directly correlate to layoff numbers.",False,"Multiple experts across disciplines agree the claim lacks specific data or statistical evidence from authoritative sources like BLS. Layoff trends require precise metrics not provided in the claim, and unemployment rates do not directly correlate to layoff numbers."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"John McCain has supported veterans' issues throughout his career, including co-sponsoring legislation like the Veterans' Benefits Improvements Act of 2006 and advocating for healthcare access for veterans. His 2008 presidential campaign included a focus on veterans' healthcare, and he has consistently voted in favor of veteran-related funding in Congress.",False,"The claim that John McCain has done nothing to help veterans is false. He supported the GI Bill expansion, advocated for veterans' healthcare access, and sponsored legislation to improve veteran employment. His voting record includes backing key veterans' initiatives.",False,"John McCain has supported veterans' issues throughout his career, including co-sponsoring legislation to improve veteran healthcare and benefits. His 2008 campaign included a focus on veteran healthcare reform. Specific actions include supporting the Veterans Access, Choice, and Accountability Act of 2014.",False,"Multiple experts across relevant domains agree that John McCain has actively supported veterans' issues through legislation, advocacy, and voting record, contradicting the claim.",False,"Multiple experts across relevant domains agree that John McCain has actively supported veterans' issues through legislation, advocacy, and voting record, contradicting the claim."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has consistently supported expanding Medicare benefits and protecting patient choice. She opposed the 2012 Medicare Advantage cuts proposed by the Republican-led Congress, and has advocated for policies that enhance senior healthcare options.",False,"There is no credible evidence or public records indicating Suzanne Bonamici has supported a plan to cut choice for Medicare Advantage seniors. Claims about her stance on Medicare Advantage policies lack specific policy details, timelines, or references to official statements from reliable sources like the Congressional Budget Office (CBO), Bureau of Labor Statistics (BLS), or other authoritative bodies.",False,"There is no credible evidence or public records indicating Suzanne Bonamici supported a plan to cut choice for Medicare Advantage seniors. Her legislative actions and statements focus on expanding access and protections for Medicare beneficiaries, aligning with broader Democratic Party priorities.",False,"All experts agree that there is no credible evidence Suzanne Bonamici supported cutting Medicare Advantage choices. They cite her consistent support for expanding benefits and protecting patient choice, and lack of specific policy details or official records supporting the claim.",False,"All experts agree that there is no credible evidence Suzanne Bonamici supported cutting Medicare Advantage choices. They cite her consistent support for expanding benefits and protecting patient choice, and lack of specific policy details or official records supporting the claim."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,No public records or official statements confirm Scott Walker admitted to a criminal scheme violating campaign laws. Media reports or official transcripts of such a statement are not verifiable in public databases.,False,"No credible sources confirm Scott Walker admitted to a criminal scheme violating campaign laws. Claims about his involvement in such activities are not supported by official records from the FEC, DOJ, or state-level election commissions.",False,No credible evidence supports this claim. Multiple investigations and legal reviews have found no criminal scheme involving Scott Walker related to campaign laws.,False,"Multiple experts across disciplines agree the claim lacks credible evidence. No public records, official statements, or verifiable sources confirm Scott Walker admitted to a criminal scheme violating campaign laws.",False,"Multiple experts across disciplines agree the claim lacks credible evidence. No public records, official statements, or verifiable sources confirm Scott Walker admitted to a criminal scheme violating campaign laws."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,The claim about $601 million in payouts to deceased former federal employees is not supported by publicly available federal budget reports or Social Security Administration data. Official records do not specifically track or report such detailed figures for this exact category.,False,"The claim lacks specific data sources and time frames. Federal retirement and disability benefit payments to deceased employees are not a standard metric tracked by BLS, BEA, CBO, or Treasury. Available data on federal pensions and benefits does not support this exact figure or timeframe.",False,"The claim lacks specific citation and verifiability. Federal benefit payments are typically tracked through official reports like the U.S. Social Security Administration and OMB, which do not confirm a $601 million payout for deceased former federal employees over five years. The data appears speculative without primary source validation",False,All experts agree the claim lacks verifiable data sources and is not supported by official federal records or reports. The specific figure of $601 million over five years for deceased former federal employees is not confirmed by publicly accessible databases or government publications.,False,All experts agree the claim lacks verifiable data sources and is not supported by official federal records or reports. The specific figure of $601 million over five years for deceased former federal employees is not confirmed by publicly accessible databases or government publications.
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"Tennessee does not have a half-cent sales tax increase in Shelby County. The state's sales tax is 9.5%, and there is no known legislation or official records indicating a specific half-cent tax increase in Shelby County generating $31 million annually for schools.",False,"The claim about Tennessee law requiring schools to receive half of proceeds from a half-cent sales tax increase in Shelby County is not supported by data from BLS, BEA, CBO, JCT, or Treasury/IRS. No credible source confirms this specific allocation or the $31 million figure.",True,"Tennessee law mandates that half of the proceeds from a half-cent sales tax increase in Shelby County go to local schools, with $31 million allocated annually.",False,"The majority of experts (politics, economy) dispute the claim, citing lack of legislative records or credible sources. The health_science expert's support is outside their domain and contradicted by more reliable economic and political analyses.",False,"The majority of experts (politics, economy) dispute the claim, citing lack of legislative records or credible sources. The health_science expert's support is outside their domain and contradicted by more reliable economic and political analyses."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"There is no verifiable record of Vice President Joe Biden admitting that the American people are being scammed with the economic stimulus package. Statements about stimulus packages typically involve official positions or legislative records, not personal admissions of scamming.",False,"There is no credible evidence or statements from Vice President Joe Biden admitting that the American people are being scammed with the economic stimulus package. Statements regarding economic stimulus packages typically focus on their intended benefits and fiscal impact, not on allegations of scamming.",False,"There is no credible evidence or public records indicating Vice President Joe Biden has made such admissions regarding economic stimulus packages. Statements about stimulus packages typically involve official government communications, and no such statements by Biden have been verified by reputable sources.",False,No credible evidence or verifiable records exist of Vice President Joe Biden admitting the American people are being scammed by the economic stimulus package. Multiple experts across relevant domains consistently state such admissions lack substantiation.,False,No credible evidence or verifiable records exist of Vice President Joe Biden admitting the American people are being scammed by the economic stimulus package. Multiple experts across relevant domains consistently state such admissions lack substantiation.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Donald Trump has not publicly opposed marriage equality. He signed the Don't Ask, Don't Tell Repeal Act of 2010 and supported the Defense of Marriage Act (DOMA) in 2004, which aimed to define marriage as between a man and a woman. However, his stance on LGBTQ+ rights has been inconsistent, with some statements suggesting support for traditional marriage definitions while not explicitly opposing same-sex marriage. No direct evidence shows he wants to 'go back' to pre-marriage-equality policies, and his administration did not actively roll back marriage equality laws. Public records and statements do not confirm a clear opposition to marriage equality as stated in the claim. The claim is ambiguous and lacks sufficient evidence to verify as true. False",False,"The claim that Donald Trump opposes marriage equality is not supported by credible economic or statistical data from BLS, BEA, CBO, JCT, Treasury/IRS, OMB, or international sources like IMF, World Bank, or WTO. These agencies focus on economic indicators, labor statistics, and fiscal policy, not social or political positions. The claim pertains to social policy rather than economic metrics, making it outside the scope of the specified data sources.",False,"There is no credible evidence linking Donald Trump's personal views on marriage equality to any official policy or statement from the CDC, FDA, NIH, CMS, or WHO. Peer-reviewed literature and public records do not support claims that Trump has actively opposed marriage equality through policy or public health initiatives.",False,"The claim lacks direct evidence of Trump opposing marriage equality. Experts note no clear policy actions or statements confirming such opposition, and the claim is ambiguous.",False,"The claim lacks direct evidence of Trump opposing marriage equality. Experts note no clear policy actions or statements confirming such opposition, and the claim is ambiguous."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,Public records and analyses of Hillary Clinton's meetings during her tenure as Secretary of State do not support the claim that over half were with major contributors to the Clinton Foundation. Transparency reports and congressional inquiries have not found evidence of such a pattern.,False,"There is no credible public data from BLS, BEA, CBO, JCT, Treasury/IRS, OMB, IMF, World Bank, or WTO confirming the percentage of Hillary Clinton's meetings related to major contributors to the Clinton Foundation. The claim lacks verifiable metrics and specific time ranges, making it unsubstantiated.",False,"There is no credible evidence or public records supporting this claim about Hillary Clinton's meetings with Clinton Foundation contributors. Multiple investigations have found no conclusive evidence of wrongdoing, and the claim lacks specific data or sources.",False,"Multiple experts across disciplines agree the claim lacks credible evidence, verifiable data, and public records supporting the assertion about Hillary Clinton's meetings with foundation contributors.",False,"Multiple experts across disciplines agree the claim lacks credible evidence, verifiable data, and public records supporting the assertion about Hillary Clinton's meetings with foundation contributors."
