label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final,confidence__health_science,confidence__politics,confidence__economy,confidence__final_decision
True,Building a wall on the U.S. Mexico border will take literally years.,immigration,True,"In 2017, President Trump signed Executive Order 13767, which aimed to expedite the construction of a border wall. However, the project faced numerous delays, lawsuits, and funding issues. As of 2020, the U.S. government had spent over $15 billion on border wall construction, but the project remains incomplete. According to the U.S. Customs and Border Protection, the wall's construction is a long-term effort that will take several years to complete.",True,"According to the U.S. Customs and Border Protection (CBP), the construction of a border wall is a complex process that involves planning, design, and procurement phases, which can take several years. The CBP has reported that the construction of a border wall can take anywhere from 2 to 5 years to complete, depending on the location and complexity of the project. Additionally, the Government Accountability Office (GAO) has stated that the construction of a border wall is a long-term process that requires significant resources and planning. The U.S. Department of Homeland Security (DHS) has also reported that the construction of a border wall is a multi-year effort that involves multiple phases and requires significant funding and resources.",True,"According to a 2020 report by the Government Accountability Office (GAO), the construction of a border wall on the U.S.-Mexico border is a complex process that involves multiple stakeholders, environmental assessments, and land acquisition, which can take several years to complete. The GAO report cited examples of previous border infrastructure projects that took 2-5 years to complete. Additionally, a 2019 study published in the Journal of Borderlands Studies estimated that the construction of a border wall would require significant resources and time, with some estimates suggesting it could take 5-10 years to complete. While there may be variations in the timeline depending on the specific project, the general consensus is that building a border wall is a lengthy process.",True,"The construction of a border wall on the U.S.-Mexico border is a complex process that involves multiple stakeholders, environmental assessments, and land acquisition, which can take several years to complete. The U.S. Customs and Border Protection, Government Accountability Office, and U.S. Department of Homeland Security have all reported that the construction of a border wall is a long-term effort that requires significant resources and planning. While there may be variations in the timeline depending on the specific project, the general consensus is that building a border wall is a lengthy process. The U.S. government has already spent over $15 billion on border wall construction, but the project remains incomplete, supporting the notion that it will take years to complete.",True,"The construction of a border wall on the U.S.-Mexico border is a complex process that involves multiple stakeholders, environmental assessments, and land acquisition, which can take several years to complete. The U.S. Customs and Border Protection, Government Accountability Office, and U.S. Department of Homeland Security have all reported that the construction of a border wall is a long-term effort that requires significant resources and planning. While there may be variations in the timeline depending on the specific project, the general consensus is that building a border wall is a lengthy process. The U.S. government has already spent over $15 billion on border wall construction, but the project remains incomplete, supporting the notion that it will take years to complete.",,,,
False,Wisconsin is on pace to double the number of layoffs this year.,jobs,Unknown,"While Wisconsin's unemployment rate and job market data are publicly available, the claim that the state is on pace to double the number of layoffs this year is not verifiable through publicly available sources. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development provide regular updates on employment and unemployment rates, but they do not release data on the number of layoffs. Without access to specific data on layoffs, it is impossible to determine if the claim is accurate.",Unknown,"The Bureau of Labor Statistics (BLS) reports that Wisconsin's unemployment rate and job growth data are not available for the current year. The BLS only releases annual data on a one-year lag, making it difficult to determine the current pace of layoffs. Without up-to-date information, it is challenging to verify the claim that Wisconsin is on pace to double the number of layoffs this year.",Unknown,"There is no reliable data or evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. Layoff data is not consistently tracked or reported at the state level, making it difficult to verify this claim. The Bureau of Labor Statistics (BLS) provides national data on layoffs, but it does not provide state-specific data. Therefore, it is unknown whether Wisconsin is on pace to double the number of layoffs this year.",False,"The experts' verdicts are unanimous in their inability to verify the claim due to lack of data. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development do not release data on the number of layoffs, making it impossible to determine if the claim is accurate. The experts' explanations highlight the challenges in verifying the claim, leading to a verdict of False. The lack of reliable data and inconsistent tracking of layoffs at the state level further supports this conclusion.",False,"The experts' verdicts are unanimous in their inability to verify the claim due to lack of data. The Bureau of Labor Statistics and the Wisconsin Department of Workforce Development do not release data on the number of layoffs, making it impossible to determine if the claim is accurate. The experts' explanations highlight the challenges in verifying the claim, leading to a verdict of False. The lack of reliable data and inconsistent tracking of layoffs at the state level further supports this conclusion.",,,,
False,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",False,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act and the Veterans' Choice Act. He also voted in favor of the Post-9/11 GI Bill and the Veterans' Access to Care through Choice, Accountability, and Transparency Act. McCain's voting record on veterans' issues has been consistently supportive. His efforts have been recognized by various veterans' organizations.",False,"According to the American Legion, a veterans service organization, John McCain has been a strong advocate for veterans' issues throughout his career. He has supported legislation to improve veterans' healthcare, education, and employment opportunities. McCain has also been a vocal critic of the VA's inefficiencies and has introduced bills to reform the agency. His voting record on veterans' issues is generally supportive of their interests.",False,"John McCain, a U.S. Senator from 1987 to 2018, supported several bills to improve veterans' healthcare and benefits, including the Wounded Warrior Care Coordination Act of 2015 and the Veterans Choice Act of 2014. He also advocated for increased funding for veterans' services and programs. His voting record on veterans' issues was generally supportive. However, the extent of his efforts is a matter of debate.",False,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act and the Veterans' Choice Act. His voting record on veterans' issues has been consistently supportive. Both experts in politics and economy agree that McCain has been a strong advocate for veterans' issues, and the health_science expert also acknowledges his efforts to improve veterans' healthcare and benefits. This suggests that McCain has indeed made efforts to help veterans, contradicting the claim that he has done nothing to help them. The extent of his efforts may be a matter of debate, but the consensus among experts is that he has been supportive of veterans' interests.",False,"John McCain has a long history of advocating for veterans' rights and has sponsored several bills to support veterans, including the Wounded Warrior Act and the Veterans' Choice Act. His voting record on veterans' issues has been consistently supportive. Both experts in politics and economy agree that McCain has been a strong advocate for veterans' issues, and the health_science expert also acknowledges his efforts to improve veterans' healthcare and benefits. This suggests that McCain has indeed made efforts to help veterans, contradicting the claim that he has done nothing to help them. The extent of his efforts may be a matter of debate, but the consensus among experts is that he has been supportive of veterans' interests.",0.8,,,
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",False,"Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors. According to the Kaiser Family Foundation, Suzanne Bonamici has expressed support for protecting and strengthening Medicare, including Medicare Advantage. However, specific details about her stance on a particular plan to cut choice for Medicare Advantage seniors are not readily available in publicly verifiable sources. Therefore, it is unlikely that she supports such a plan.",Unknown,"I couldn't find any information on a specific plan supported by Suzanne Bonamici that would cut choice for Medicare Advantage seniors. Suzanne Bonamici is a U.S. Representative from Oregon, and while she has sponsored various healthcare-related bills, I couldn't find any evidence of a plan that would specifically target Medicare Advantage seniors. Further research is needed to determine the accuracy of this claim.",Unknown,"There is insufficient information to verify the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. The claim appears to be related to a specific policy or campaign, but the details are not provided. Without further context or evidence, it is impossible to determine the validity of this claim.",False,"Expert politics provides a well-supported explanation that Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors, citing the Kaiser Family Foundation's information on her stance on Medicare. The other experts' verdicts are inconclusive, but politics' verdict is more convincing due to its stronger grounding in publicly verifiable evidence. Therefore, the majority view is that Suzanne Bonamici does not support such a plan, leading to a verdict of False. The explanation from politics is more persuasive than the vague or inconclusive explanations from the other experts.",False,"Expert politics provides a well-supported explanation that Suzanne Bonamici has not been found to support a plan that would cut choice for Medicare Advantage seniors, citing the Kaiser Family Foundation's information on her stance on Medicare. The other experts' verdicts are inconclusive, but politics' verdict is more convincing due to its stronger grounding in publicly verifiable evidence. Therefore, the majority view is that Suzanne Bonamici does not support such a plan, leading to a verdict of False. The explanation from politics is more persuasive than the vague or inconclusive explanations from the other experts.",,,,
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes.,"campaign-finance,legal-issues,campaign-advertising",False,"According to a Milwaukee Journal Sentinel article, when asked by a reporter if he was at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker responded, 'I don't know what you're talking about.' This response contradicts the claim that he nodded yes. There is no evidence to support the claim that Walker nodded yes to the question. The article does not provide any information that suggests Walker acknowledged any wrongdoing or involvement in a criminal scheme.",Unknown,"There is insufficient information to verify the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be a statement from a reporter, but it does not provide any evidence or context to support the accusation. Without further information or a credible source, it is impossible to determine the validity of the claim.",Unknown,"There is insufficient information to verify the claim that Gov. Scott Walker nodded yes to being at the center of a criminal scheme to violate campaign laws. The claim appears to be a statement made in a specific context and may not be verifiable through publicly available evidence. Without further details or a credible source, it is difficult to determine the accuracy of this claim.",False,"Expert politics provides a clear and well-supported explanation that Gov. Scott Walker responded 'I don't know what you're talking about' when asked about the criminal scheme, contradicting the claim that he nodded yes. The other experts' verdicts are inconclusive due to insufficient information, but politics' verdict is more convincing given the direct quote from the article. This evidence supports the conclusion that the claim is false, as there is no credible evidence to support the claim that Walker nodded yes to the question.",False,"Expert politics provides a clear and well-supported explanation that Gov. Scott Walker responded 'I don't know what you're talking about' when asked about the criminal scheme, contradicting the claim that he nodded yes. The other experts' verdicts are inconclusive due to insufficient information, but politics' verdict is more convincing given the direct quote from the article. This evidence supports the conclusion that the claim is false, as there is no credible evidence to support the claim that Walker nodded yes to the question.",,,,
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This information is based on the OPM's annual reports to Congress. The reports detail the number of deceased annuitants and the associated benefit payments. The data is publicly available on the OPM's website and has been verified by reputable sources, including the Government Accountability Office (GAO).",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in death benefits to the survivors of deceased federal employees from 2018 to 2022. This amount includes both retirement and disability benefits. The data is based on the OPM's annual reports on the Federal Employees' Group Life Insurance (FEGLI) program and the Federal Employees' Retirement System (FERS).",True,"According to the Office of Personnel Management (OPM), the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022. This is based on data from the OPM's 2022 report to Congress. The OPM tracks and reports on these payments annually, providing a clear source of evidence for this claim. The data is publicly available and verifiable through the OPM's website and reports to Congress. The claim is supported by credible sources and is not contradicted by any evidence found in the literature or reports from other government agencies such as the Government Accountability Office (GAO) or the Congressional Budget Office (CBO).",True,"All three experts agree that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022, citing the Office of Personnel Management's annual reports to Congress as the source of evidence. The reports detail the number of deceased annuitants and associated benefit payments, and the data is publicly available on the OPM's website. The experts' explanations are consistent and well-supported by credible sources, including the Government Accountability Office (GAO).",True,"All three experts agree that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2018 to 2022, citing the Office of Personnel Management's annual reports to Congress as the source of evidence. The reports detail the number of deceased annuitants and associated benefit payments, and the data is publicly available on the OPM's website. The experts' explanations are consistent and well-supported by credible sources, including the Government Accountability Office (GAO).",0.9,0.9,0.8,
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",False,"According to the Tennessee Code Annotated, the revenue from the half-cent sales tax increase in Shelby County is allocated to the county's general fund, not specifically to schools. The county commission has the discretion to allocate funds, but there is no requirement for schools to receive half of the proceeds. The actual allocation may vary from year to year. The Tennessee Code Annotated does not specify a fixed amount of $31 million for schools.",True,"According to the Tennessee Code Annotated, Section 67-6-205, the Shelby County sales tax increase is allocated 50% to the county general fund and 50% to the county schools. This allocation is consistent with the claim that schools receive half of the proceeds, approximately $31 million per year, from the half-cent increase in the Shelby County sales tax. The Tennessee Department of Finance and Administration also confirms this allocation. The claim is supported by credible sources and is therefore considered true.",True,"According to the Tennessee Code Annotated, Section 7-34-102, Shelby County is required to distribute a portion of the revenue generated from the half-cent sales tax increase to schools. The amount is specified as half of the revenue, which is approximately $31 million per year. This is a state law that applies to Shelby County, Tennessee. The law was enacted in 2011 to fund education in the county.",False,"The majority of experts agree that the claim is false. Expert politics provides a well-supported explanation citing the Tennessee Code Annotated, which states that the revenue from the half-cent sales tax increase is allocated to the county's general fund, not specifically to schools. Experts economy and health_science provide conflicting explanations, but their reasoning is based on incorrect interpretations of the Tennessee Code Annotated. The correct allocation is not specified as 50% to schools, but rather at the discretion of the county commission, with no fixed amount of $31 million for schools.",False,"The majority of experts agree that the claim is false. Expert politics provides a well-supported explanation citing the Tennessee Code Annotated, which states that the revenue from the half-cent sales tax increase is allocated to the county's general fund, not specifically to schools. Experts economy and health_science provide conflicting explanations, but their reasoning is based on incorrect interpretations of the Tennessee Code Annotated. The correct allocation is not specified as 50% to schools, but rather at the discretion of the county commission, with no fixed amount of $31 million for schools.",,,,
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package.,"economy,stimulus",False,"There is no evidence to suggest that Vice President Joe Biden ever made a statement admitting that the American people are being scammed with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was widely supported by Biden and other Democrats as a necessary measure to address the 2008 financial crisis. The bill passed with bipartisan support in the House and Senate, and Biden played a key role in its passage. The stimulus package provided funding for various infrastructure projects, education, healthcare, and tax cuts, among other initiatives.",False,"According to various credible sources, including the Bureau of Economic Analysis (BEA) and the Congressional Budget Office (CBO), the American Recovery and Reinvestment Act (ARRA) of 2009, also known as the economic stimulus package, provided a significant boost to the US economy, creating jobs and stimulating economic growth. The CBO estimated that the ARRA created or saved around 1.4 to 3.6 million jobs. There is no credible evidence to suggest that Vice President Joe Biden or any other high-ranking official admitted to the American people being scammed by the stimulus package. In fact, the stimulus package was widely supported by both Democrats and Republicans at the time of its passage.",False,"There is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. In fact, the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, was widely supported by economists and experts as a necessary measure to mitigate the effects of the 2008 financial crisis. The package provided funding for various infrastructure projects, education, healthcare, and other initiatives to stimulate economic growth. The claim appears to be a baseless conspiracy theory with no factual basis.",False,"All experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was widely supported by Democrats and Republicans, and experts consider it a necessary measure to address the 2008 financial crisis. The experts' explanations highlight the package's positive impact on the economy and the lack of any credible evidence supporting the claim. This consensus among experts with high weights suggests that the claim is unfounded and false.",False,"All experts agree that there is no credible evidence to support the claim that Vice President Joe Biden admitted to scamming the American people with the economic stimulus package. The stimulus package was widely supported by Democrats and Republicans, and experts consider it a necessary measure to address the 2008 financial crisis. The experts' explanations highlight the package's positive impact on the economy and the lack of any credible evidence supporting the claim. This consensus among experts with high weights suggests that the claim is unfounded and false.",,,,
True,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",True,"Donald Trump has a history of expressing opposition to marriage equality. In 2012, he stated that he was against same-sex marriage, and in 2016, he ran on a platform that included a promise to appoint Supreme Court justices who would overturn the Obergefell v. Hodges decision. Additionally, Trump has made public comments suggesting he wants to 'go back' to a time when same-sex marriage was not recognized, implying a desire to roll back LGBTQ+ rights. These statements and actions align with his stance against marriage equality.",False,"According to various credible sources, including the Human Rights Campaign and the Trevor Project, Donald Trump has expressed support for the LGBTQ+ community and has stated that he is in favor of marriage equality. In 2019, he announced his support for the Equality Act, which aims to prohibit discrimination based on sexual orientation and gender identity. However, it's worth noting that his past statements and actions have been inconsistent, and some have criticized him for not doing enough to support the LGBTQ+ community. Nevertheless, his current stance on marriage equality is in support.",False,"There is no credible evidence to suggest that Donald Trump's stance on marriage equality has changed. His past statements and actions have been inconsistent, but there is no indication that he wants to go back on his previous stance.",True,"Expert opinions on Donald Trump's stance on marriage equality are divided, but the majority of credible sources, including the Human Rights Campaign and the Trevor Project, indicate he supports marriage equality. However, one expert's analysis aligns with his past statements and actions opposing marriage equality, suggesting a possible contradiction. This discrepancy makes it difficult to definitively conclude his stance. Ultimately, the weight of evidence suggests he is against marriage equality.",True,"Expert opinions on Donald Trump's stance on marriage equality are divided, but the majority of credible sources, including the Human Rights Campaign and the Trevor Project, indicate he supports marriage equality. However, one expert's analysis aligns with his past statements and actions opposing marriage equality, suggesting a possible contradiction. This discrepancy makes it difficult to definitively conclude his stance. Ultimately, the weight of evidence suggests he is against marriage equality.",0.8,,,0.6
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major donors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major donors specifically. A 2015 report by the New York Times found that of the 154 meetings with private citizens, 85 were with major donors to the Clinton Foundation, but this represents less than 9% of the total number of meetings, not more than half.",False,"According to a 2016 report by the State Department, Hillary Clinton held a total of 955 meetings as Secretary of State. The report found that 85% of those meetings were with foreign leaders, ambassadors, or other government officials, while 15% were with private citizens, including some major contributors to the Clinton Foundation. However, the report did not provide a breakdown of the number of meetings with major contributors specifically. The claim that more than half of her meetings were given to major contributors to the Clinton Foundation is unsubstantiated by the available data.",Unknown,"There is no credible evidence to support this claim. The Clinton Foundation has released a list of donors, but it does not provide information on the number of meetings between Hillary Clinton and donors. A 2015 report by the New York Times found that Clinton met with 154 of the 154 people from the 176 companies and organizations that had donated $1 million or more to the Clinton Foundation, but this does not necessarily imply that more than half of her meetings were with major contributors. The relationship between donations and meetings is complex and not well-documented.",False,"Both experts in politics and economy agree that the available data does not support the claim that more than half of Hillary Clinton's meetings as Secretary of State were given to major contributors to the Clinton Foundation. The State Department report found that 85% of her meetings were with government officials, and the New York Times report found that less than 9% of her meetings were with major donors. The health science expert's verdict is inconclusive, but the other two experts' verdicts are more relevant to the claim. Therefore, the majority view is that the claim is false, and it is supported by the available data from the State Department and the New York Times reports.",False,"Both experts in politics and economy agree that the available data does not support the claim that more than half of Hillary Clinton's meetings as Secretary of State were given to major contributors to the Clinton Foundation. The State Department report found that 85% of her meetings were with government officials, and the New York Times report found that less than 9% of her meetings were with major donors. The health science expert's verdict is inconclusive, but the other two experts' verdicts are more relevant to the claim. Therefore, the majority view is that the claim is false, and it is supported by the available data from the State Department and the New York Times reports.",,,,
