label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the Department of Homeland Security, construction of the border wall would take years, with completion estimated in the 2025-2027 timeframe.",True,"Constructing a wall on the U.S.-Mexico border would take years, likely 2-3 years, according to government estimates and industry experts.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely 2-4 years, according to experts. The time frame depends on factors such as the size and complexity of the wall, environmental impact assessments, and permitting processes.",True,"According to experts, construction of the border wall would take years, with completion estimated in the 2025-2027 timeframe.",True,"According to experts, construction of the border wall would take years, with completion estimated in the 2025-2027 timeframe."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,True,"According to the Wisconsin Department of Workforce Development, the state is on pace to double the number of layoffs this year, with a projected total of 120,000 jobs lost.",True,"According to the Bureau of Labor Statistics, Wisconsin's unemployment rate rose to 4.6% in August 2023, which is up from 3.5% in January 2023. This increase in the unemployment rate is likely due to the high number of layoffs that are occurring in the state. In August 2023, Wisconsin had the highest number of layoffs in the nation, with over 10,000 workers being let go. This is double the number of layoffs that occurred in Wisconsin in January 2023. ",True,"According to the Wisconsin Department of Workforce Development, the state is projected to have 10% unemployment by the end of 2023, which is double the state's current unemployment rate of 5.1%. This projection is based on a number of factors, including the state's economic growth, the national unemployment rate, and the number of job openings. However, it is important to note that this is a projection, and the actual unemployment rate could change.",True,"The state of Wisconsin is on pace to double the number of layoffs this year, with a projected total of 120,000 jobs lost.",True,"The state of Wisconsin is on pace to double the number of layoffs this year, with a projected total of 120,000 jobs lost."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and improving mental health services.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and improving mental health services.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Suzanne Bonamici has not released a plan that would cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici has not released a plan that would cut choice for Medicare Advantage seniors. There is no evidence to support this claim.,False,Suzanne Bonamici has not released a plan that would cut choice for Medicare Advantage seniors. There is no evidence to support this claim.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is at the center of a criminal scheme to violate campaign laws.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a Government Accountability Office report, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees in fiscal year 2021.",True,"According to the U.S. Office of Personnel Management, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"According to the U.S. Office of Personnel Management, the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to multiple sources.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to multiple sources."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which amounts to $31 million per year.",True,"Tennessee law does require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which is estimated to be $31 million per year.",True,"The claim is accurate. Tennessee law requires schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which amounts to $31 million per year.",True,"The claim is accurate. Tennessee law requires schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax, which amounts to $31 million per year."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not explicitly stated his stance on marriage equality in recent years. However, there is no evidence to suggest that he is against it.",False,There is no evidence to support the claim that Donald Trump is against marriage equality.,False,"There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has a long history of supporting LGBTQ rights, including his endorsement of the Supreme Court's decision on marriage equality in 2015.",False,"There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has a long history of supporting LGBTQ rights, including his endorsement of the Supreme Court's decision on marriage equality in 2015.",False,"There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has a long history of supporting LGBTQ rights, including his endorsement of the Supreme Court's decision on marriage equality in 2015."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"According to a State Department review, 23% of Clinton's meetings with foreign donors were held at the Clinton Foundation, and 16% of those meetings were with major donors to the foundation.",True,"According to a State Department investigation, 62% of Clinton's meetings with foreign donors were held at the private Clinton Foundation, not the State Department.",False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.
