label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",False,"The wall is already under construction, and the total cost is $21.6 billion.",True,"The wall will take years to build, and the Trump administration has not yet released a plan for how it will be built.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,Wisconsin has not doubled the number of layoffs this year.,True,"Wisconsin has already seen 10,000 more layoffs than in 2020, and the state is on pace to double that number this year.",True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's performance. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",,Error: No JSON object found,False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors when they cannot get an appointment with a VA doctor in a timely manner."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Bonamici voted against the bill, which would have cut Medicare Advantage funding by $100 billion over 10 years.",False,The plan would not cut choice for Medicare Advantage seniors.,True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors,True,"Bonamici voted against the bill, which would have cut Medicare Advantage funding by $100 billion over 10 years.",True,"Bonamici voted against the bill, which would have cut Medicare Advantage funding by $100 billion over 10 years."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"The quote is from a 2016 article in the Milwaukee Journal Sentinel. The article does not say that Walker nodded yes to the question, but rather that he said he was not at the center of a criminal scheme. The article also notes that Walker has denied any wrongdoing and that the investigation is ongoing. ",False,The quote is from a 2015 article in the Milwaukee Journal Sentinel. The reporter asked Walker if he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme. He did not say that he was at the center of a criminal scheme to violate campaign laws. ,True,The reporter asked whether Walker was at the center of a criminal scheme to violate campaign laws. Walker nodded yes.,False,"The quote is from a 2016 article in the Milwaukee Journal Sentinel. The article does not say that Walker nodded yes to the question, but rather that he said he was not at the center of a criminal scheme. The article also notes that Walker has denied any wrongdoing and that the investigation is ongoing.",False,"The quote is from a 2016 article in the Milwaukee Journal Sentinel. The article does not say that Walker nodded yes to the question, but rather that he said he was not at the center of a criminal scheme. The article also notes that Walker has denied any wrongdoing and that the investigation is ongoing."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. This is based on data from the Office of Personnel Management (OPM), which tracks the number of deceased former federal employees who received retirement and disability benefits from the government. The data shows that there were 1,000 deceased former federal employees who received retirement and disability benefits in 2017, 1,100 in 2018, 1,200 in 2019, 1,300 in 2020, and 1,400 in 2021. The total amount paid out in retirement and disability benefits to these deceased former federal employees over the past five years is $601 million.",,Error: No JSON object found,False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million.",False,"The total amount of benefits paid out to deceased former federal employees over the past five years is $1.2 billion, not $601 million."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County Schools budget is not funded by the half-cent sales tax increase. The half-cent sales tax increase is used to fund the Shelby County Schools capital projects fund, which is used to fund capital projects for the Shelby County Schools. The Shelby County Schools budget is funded by the Shelby County Schools general fund, which is funded by the Shelby County Schools property tax, the Shelby County Schools state funding, and the Shelby County Schools federal funding. The Shelby County Schools general fund is not funded by the half-cent sales tax increase.",True,"The Shelby County Schools budget is $1.1 billion, and the sales tax increase is projected to generate $150 million per year. The law requires that half of the proceeds go to the schools, so the schools will receive $75 million per year.",True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden said, ",False,"The quote is from a speech given by Biden in 2009, and he is referring to the fact that the stimulus package was not a scam, but rather a necessary measure to help the economy recover from the recession. The quote is not a direct admission of a scam, but rather a statement about the effectiveness of the stimulus package.",True,Joe Biden admits that the American people are being scammed with the economic stimulus package,False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden said, 'I don't think it's a scam. I think it's a good idea.' The quote is not a direct admission of a scam, but rather a statement about the effectiveness of the stimulus package.",False,"The quote is from a 2009 interview with the Wall Street Journal, where Biden said, 'I don't think it's a scam. I think it's a good idea.' The quote is not a direct admission of a scam, but rather a statement about the effectiveness of the stimulus package."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back.",False,"Trump has not taken any action to roll back marriage equality. He has not made any public statements about marriage equality, and he has not appointed any judges who have expressed opposition to marriage equality.",True,He has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has said he is against marriage equality and wants to go back to the way it was before the Supreme Court's decision in Obergefell v. Hodges.
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.,False,The claim is false. The data is cherry-picked and not comparable.,True,"The Clinton Foundation received $250 million in donations from foreign governments and corporations during Hillary Clintons tenure as secretary of state. The Clinton Foundation also received $145 million in donations from foreign governments and corporations during the time period covered by the State Departments records. The State Departments records show that Hillary Clinton met with 1,378 foreign government officials and 1,023 foreign corporate executives during her tenure as secretary of state. Of these meetings, 689 were with foreign government officials who had donated to the Clinton Foundation, and 511 were with foreign corporate executives who had donated to the Clinton Foundation. This means that more than half of Hillary Clintons meetings with foreign government officials and foreign corporate executives were with individuals who had donated to the Clinton Foundation.",False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.,False,The claim is false. The Clinton Foundation has not been found to have received any donations from foreign governments or foreign entities. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation. The Clinton Foundation has also not been found to have received any donations from individuals who were major contributors to the Clinton Foundation.
