label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"The construction of a wall on the U.S.-Mexico border would take years due to the complex planning, environmental impact assessments, and construction processes involved.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely in the range of 2-4 years, according to experts.",False,There is no evidence to support the claim that building a wall on the U.S.-Mexico border will take years. The construction of a border wall would likely take less time than the years it would take to complete the environmental impact assessment process.,True,"The construction of a wall on the U.S.-Mexico border would take years due to the complex planning, environmental impact assessments, and construction processes involved.",True,"The construction of a wall on the U.S.-Mexico border would take years due to the complex planning, environmental impact assessments, and construction processes involved."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,There has not been any official information released yet regarding the potential doubling of layoffs in Wisconsin this year.,True,"The Wisconsin unemployment rate rose to 4.2% in August, which is up from 3.5% in July. This increase is likely due to the state's high rate of job layoffs, which are expected to double this year.",False,There has not been any evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year.,False,There has not been any official information released yet regarding the potential doubling of layoffs in Wisconsin this year. There has not been any evidence to support the claim.,False,There has not been any official information released yet regarding the potential doubling of layoffs in Wisconsin this year. There has not been any evidence to support the claim.
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He also signed an executive order to improve veterans' access to mental health services.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and improving mental health services.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and improving mental health services.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He also signed an executive order to improve veterans' access to mental health services.",True,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing PTSD. He also signed an executive order to improve veterans' access to mental health services."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Suzanne Bonamici has not released any plans that would cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici has not explicitly stated her stance on cutting choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,Suzanne Bonamici has not released any plans that would cut choice for Medicare Advantage seniors. There is no evidence to support the claim.,False,Suzanne Bonamici has not released any plans that would cut choice for Medicare Advantage seniors. There is no evidence to support the claim.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,Gov. Walker has not been charged with any crime related to campaign finance law violations.,False,"The text does not provide information about the veracity of the claim or the context in which it was made, therefore I cannot determine whether the claim is true or false.",False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,The text does not provide sufficient information to determine the veracity of the claim or the context in which it was made. Therefore I cannot provide a verdict.,False,The text does not provide sufficient information to determine the veracity of the claim or the context in which it was made. Therefore I cannot provide a verdict.
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a report by the Government Accountability Office, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,The federal government has indeed paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. This is accurate according to a report by the Government Accountability Office.,True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to a report by the Government Accountability Office.",True,"The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years, according to a report by the Government Accountability Office."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,This claim is false. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,Trump has not explicitly stated his stance on marriage equality. There is no evidence to suggest he is against it.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality.,False,There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has spoken in favor of marriage equality and has signed legislation to protect LGBTQ rights.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality. Trump has spoken in favor of marriage equality and has signed legislation to protect LGBTQ rights.,False,There has not been any evidence to support the claim that Donald Trump is against marriage equality. Trump has spoken in favor of marriage equality and has signed legislation to protect LGBTQ rights.
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.
