model,model_short,prompt,subjects_mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong
google/gemma-7b-it,gemma-7b-it,P0_basic,human_subjects,0.611681136543015,0.5903685712933904,1267,243,310,182,532,0.9554893294938832,0.9632799899193548,0.9432174558561992
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,human_subjects,0.6101026045777427,0.5905309572408017,1267,248,305,189,525,0.9650796048737175,0.972269667690815,0.9538287575910931
google/gemma-7b-it,gemma-7b-it,P0_basic,ext_domain_top1,0.6077348066298343,0.5857311557375701,1267,239,314,183,531,0.9612581393054459,0.9702351359577922,0.9473501163229376
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,0.606156274664562,0.5912440802340428,1267,263,290,209,505,0.9566131085980663,0.9656620025634766,0.9426861535571143
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,ext_domain_top1,0.6022099447513812,0.5813217938630999,1267,240,313,191,523,0.9613402260507103,0.9709399062090432,0.946807376922123
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,0.601420678768745,0.5993993196797625,1267,336,217,288,426,0.9582382720007893,0.9634807917076772,0.9503277769183168
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,0.49171270718232046,0.44998004702431027,1267,486,67,577,137,0.8729143029794791,0.8753111519361958,0.8705956121409162
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,human_subjects,0.48145224940805054,0.4160565354367165,1267,517,36,621,93,0.876107207601618,0.8859350986168033,0.866982377283105
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,human_subjects,0.47434885556432516,0.41049182618415536,1267,509,44,622,92,0.8805210080406471,0.886666753327787,0.874975072728979
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,ext_domain_top1,0.4711917916337806,0.39754016919320956,1267,520,33,637,77,0.8852018794396211,0.8980440941687605,0.8737588910914179
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,ext_domain_top1,0.46724546172059983,0.3978938164122645,1267,511,42,633,81,0.8814871651785714,0.8903049778293919,0.8737536168981481
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,no_subjects,0.4554064719810576,0.3591666373456247,1267,534,19,671,43,0.9158726476174033,0.9254909892222704,0.9078294836956522
