label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",False,"The wall is 1,954 miles long, and the average construction time for a mile of border wall is 10 months. The total construction time is 1954 * 10 = 19,540 months, or 162 years.",True,"The U.S. government has not yet begun construction on the wall, and it will take years to build it. The wall is estimated to cost $21.6 billion, and it will take at least 3 years to build. The wall is also expected to take years to complete, as it will require extensive planning and construction. Additionally, the wall will need to be maintained and updated over time, which will also take years. Therefore, the wall will take years to build and maintain.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019.",False,"The wall is already under construction, and the first section is expected to be completed by the end of 2019."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"Wisconsin has not doubled the number of layoffs this year. The number of layoffs in Wisconsin has increased by 10.5% from 2020 to 2021, but the number of layoffs in 2021 is still lower than the number of layoffs in 2019.",False,"The number of layoffs in Wisconsin has not doubled this year. The number of layoffs in Wisconsin has increased by 10.5% from 2019 to 2020, but the number of layoffs in Wisconsin has decreased by 1.5% from 2020 to 2021.",True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.,True,Wisconsin is on pace to double the number of layoffs this year.
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans' issues, including his work on the Senate Veterans' Affairs Committee and his support for legislation to improve veterans' access to health care and benefits. He has also been a vocal critic of the Trump administration's policies on veterans' issues, including its efforts to privatize the VA and its failure to adequately address the opioid crisis among veterans.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Bonamici voted against the bill, which would have cut choice for seniors.",False,"Bonamici voted for the Medicare Advantage Payment Modernization Act of 2017, which would increase payments to Medicare Advantage plans, but not cut them. The bill passed the House in 2017, but was not taken up by the Senate.",False,"Bonamici supports a plan that will cut choice for Medicare Advantage seniors, but not cut choice for Medicare Advantage seniors.",False,"Bonamici voted against the bill, which would have cut choice for seniors.",False,"Bonamici voted against the bill, which would have cut choice for seniors."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,"The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker responded by saying that he was not at the center of a criminal scheme to violate campaign laws. The reporter did not ask Walker whether he was at the center of a criminal scheme to violate campaign laws. Therefore, the claim is false.",False,"The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker did not answer the question directly, but instead said that he was not at the center of a criminal scheme to violate campaign laws. This is not a direct answer to the question, and it is not a clear statement that Walker is not at the center of a criminal scheme to violate campaign laws. Therefore, the claim is false.",True,The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker nodded yes.,False,"The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker did not answer the question directly, but instead said that he was not at the center of a criminal scheme to violate campaign laws. This is not a direct answer to the question, and it is not a clear statement that Walker is not at the center of a criminal scheme to violate campaign laws.",False,"The reporter asked Walker whether he was at the center of a criminal scheme to violate campaign laws. Walker did not answer the question directly, but instead said that he was not at the center of a criminal scheme to violate campaign laws. This is not a direct answer to the question, and it is not a clear statement that Walker is not at the center of a criminal scheme to violate campaign laws."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",,Error: No JSON object found,False,"The data is unclear, cherry-picked, or not comparable. The data is unclear because the data is not clear. The data is cherry-picked because the data is cherry-picked. The data is not comparable because the data is not comparable. The data is unclear, cherry-picked, or not comparable.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2016-2020. The data is from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2016-2020.",False,"The data is unclear, cherry-picked, or not comparable. The data is unclear because the data is not clear. The data is cherry-picked because the data is cherry-picked. The data is not comparable because the data is not comparable. The data is unclear, cherry-picked, or not comparable.",False,"The data is unclear, cherry-picked, or not comparable. The data is unclear because the data is not clear. The data is cherry-picked because the data is cherry-picked. The data is not comparable because the data is not comparable. The data is unclear, cherry-picked, or not comparable."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",,Error: No JSON object found,,Error: No JSON object found,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase. The law requires that the school district receive half of the proceeds from the tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase. The law requires that the school district receive half of the proceeds from the tax increase.,True,The Shelby County Schools receives $31 million per year from the half-cent sales tax increase. The law requires that the school district receive half of the proceeds from the tax increase.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,The stimulus package is not a scam. It is a legitimate attempt to stimulate the economy and create jobs.,False,"The video is a compilation of several different clips, and the quote is taken out of context. The full quote is: ",False,"The video is a compilation of several different clips, and the quote is taken out of context. The full quote is: ",False,The stimulus package is not a scam. It is a legitimate attempt to stimulate the economy and create jobs.,False,The stimulus package is not a scam. It is a legitimate attempt to stimulate the economy and create jobs.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back. He has said he supports the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. He has also said he supports the right of states to define marriage as between one man and one woman.",,Error: No JSON object found,False,"Trump has not said anything about marriage equality, and he has not said anything about going back. He has said that he wants to go forward, not back.",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back. He has said he supports the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. He has also said he supports the right of states to define marriage as between one man and one woman.",False,"Trump has not taken a position on marriage equality, and has not said he wants to go back. He has said he supports the Supreme Court's decision in Obergefell v. Hodges, which legalized same-sex marriage nationwide. He has also said he supports the right of states to define marriage as between one man and one woman."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,,Error: No JSON object found,,Error: No JSON object found,True,"The Clinton Foundation has received more than $2 billion in donations since 2001, and Hillary Clinton has met with more than 1,000 donors to the foundation during her time as secretary of state. The foundation has also been accused of using its influence to secure donations from foreign governments and corporations. While it is not clear how many of these meetings were given to major contributors to the foundation, it is likely that a significant number of them were.",True,"The Clinton Foundation has received more than $2 billion in donations since 2001, and Hillary Clinton has met with more than 1,000 donors to the foundation during her time as secretary of state. The foundation has also been accused of using its influence to secure donations from foreign governments and corporations. While it is not clear how many of these meetings were given to major contributors to the foundation, it is likely that a significant number of them were.",True,"The Clinton Foundation has received more than $2 billion in donations since 2001, and Hillary Clinton has met with more than 1,000 donors to the foundation during her time as secretary of state. The foundation has also been accused of using its influence to secure donations from foreign governments and corporations. While it is not clear how many of these meetings were given to major contributors to the foundation, it is likely that a significant number of them were."
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,We know that for a fact.,True,"The 2020 U.S. Census shows that Georgia has 10,655,511 residents, of which 4,771,877 are registered Democrats and 4,683,634 are registered Republicans. The difference is 88,143, which is more than the margin of error of 1.2%.",True,We know that for a fact.,True,We know that for a fact.,True,We know that for a fact.
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",,Error: No JSON object found,False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false. The claim is false because PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,,Error: No JSON object found,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false. The claim is false because PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false. The claim is false because PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.
False,Denali is the Kenyan word for black power .,environment,False,The word denali is the Inuit word for mountain. The word denali is not the Kenyan word for black power.,False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power."
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",False,The 2019 federal budget is $4.7 trillion. The Department of Defense budget is $716 billion. The Department of Agriculture budget is $21 billion. The Department of Agriculture budget is 3.2 percent of the federal budget. The Department of Defense budget is 15.2 percent of the federal budget. The Department of Defense budget is 1.3 times the Department of Agriculture budget.,,Error: No JSON object found,,Error: No JSON object found,False,The Department of Defense budget is 15.2 percent of the federal budget. The Department of Agriculture budget is 3.2 percent of the federal budget. The Department of Defense budget is 1.3 times the Department of Agriculture budget.,False,The Department of Defense budget is 15.2 percent of the federal budget. The Department of Agriculture budget is 3.2 percent of the federal budget. The Department of Defense budget is 1.3 times the Department of Agriculture budget.
