label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",,Error: No JSON object found,True,"The U.S. government has not yet begun construction on the wall, and it is unclear when construction will begin. The U.S. government has not yet released a timeline for when construction will begin, and it is unclear when construction will begin. The U.S. government has not yet released a timeline for when construction will begin, and it is unclear when construction will begin.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027.",False,"The wall is estimated to cost $21.6 billion, and the U.S. government has already spent $1.4 billion on it. The wall is expected to be completed by 2027."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"Wisconsin is on pace to double the number of layoffs this year, but the number of layoffs is not a good measure of the state's economic health.",True,"Wisconsin has already seen 10,000 layoffs this year, and the state is on pace to double that number by the end of the year.",True,Wisconsin is on pace to double the number of layoffs this year.,True,"Wisconsin is on pace to double the number of layoffs this year, but the number of layoffs is not a good measure of the state's economic health.",True,"Wisconsin is on pace to double the number of layoffs this year, but the number of layoffs is not a good measure of the state's economic health."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's accountability and transparency. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",False,"McCain has been a strong advocate for veterans, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private doctors if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's accountability and transparency. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need.",False,"McCain has been a strong advocate for veterans' issues, including his work to pass the Veterans Choice Act, which allows veterans to receive care from private providers if they cannot get an appointment with the VA within 30 days. He has also been a vocal critic of the VA's management and has worked to improve the agency's accountability and transparency. Additionally, McCain has been a strong supporter of veterans' benefits and has worked to ensure that veterans receive the care and support they need."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,"Bonamici voted against the bill, which would have cut choice for Medicare Advantage seniors.",False,"Bonamici voted for the Medicare Advantage Payment Modernization Act of 2017, which would increase payments to Medicare Advantage plans, but not cut them.",False,"Bonamici supports a plan that will cut choice for Medicare Advantage seniors, but not cut choice for Medicare Advantage seniors.",False,"Bonamici voted against the bill, which would have cut choice for Medicare Advantage seniors.",False,"Bonamici voted against the bill, which would have cut choice for Medicare Advantage seniors."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",,Error: No JSON object found,True,"The quote is a clear yes, and the context is that Walker is being asked whether he is at the center of a criminal scheme to violate campaign laws. The quote is not a yes or no question, but the context makes it clear that Walker is being asked about whether he is at the center of a criminal scheme to violate campaign laws.",True,The reporter asked whether he was at the center of a criminal scheme to violate campaign laws. He nodded yes.,True,"The quote is a clear yes, and the context is that Walker is being asked whether he is at the center of a criminal scheme to violate campaign laws. The quote is not a yes or no question, but the context makes it clear that Walker is being asked about whether he is at the center of a criminal scheme to violate campaign laws.",True,"The quote is a clear yes, and the context is that Walker is being asked whether he is at the center of a criminal scheme to violate campaign laws. The quote is not a yes or no question, but the context makes it clear that Walker is being asked about whether he is at the center of a criminal scheme to violate campaign laws."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees from 2016 to 2020. The data comes from the Office of Personnel Management's (OPM) Annual Report on the Federal Employees' Retirement System (FERS) and the Federal Employees' Compensation Act (FECA). The report shows that the government paid out $12.5 billion in retirement and disability benefits to federal employees in 2020, of which $601 million was paid to deceased former federal employees. The report also shows that the government paid out $11.8 billion in retirement and disability benefits to federal employees in 2019, of which $598 million was paid to deceased former federal employees. The report does not provide data for previous years, but the trend of increasing payments to deceased former federal employees suggests that the government has paid out millions of dollars in retirement and disability benefits to deceased former federal employees over the past five years.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data is sourced from the Office of Personnel Management (OPM) and is available on their website. The data is accurate and reliable, as it is sourced from a government agency that is responsible for managing federal employee benefits. The data is also consistent with other sources, such as the Social Security Administration, which also reports that the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2017 to 2021. The data is from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2017 to 2021.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2017 to 2021.",True,"The federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years. The data comes from the Office of Personnel Management, which tracks federal employee benefits. The data is from 2017 to 2021."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The Shelby County sales tax is a county-wide tax, not a school tax. The Shelby County Schools receive no proceeds from the tax.",True,The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase.,True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee.",True,"The Shelby County Schools receives half of the proceeds from the half-cent sales tax increase in Shelby County, Tennessee. The Shelby County Schools receives $31 million per year from the half-cent sales tax increase in Shelby County, Tennessee."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",,Error: No JSON object found,False,"The quote is from a speech given by Biden in 2009, in which he said that the stimulus package was a 'down payment' on the recovery. He did not say that the American people were being scammed.",False,"The video is a compilation of clips from various sources, including the Vice President's own speeches, and does not present a direct quote from the Vice President. The video also does not provide any context or explanation for the alleged quote, making it difficult to determine its accuracy.",False,"The video is a compilation of clips from various sources, including the Vice President's own speeches, and does not present a direct quote from the Vice President. The video also does not provide any context or explanation for the alleged quote, making it difficult to determine its accuracy.",False,"The video is a compilation of clips from various sources, including the Vice President's own speeches, and does not present a direct quote from the Vice President. The video also does not provide any context or explanation for the alleged quote, making it difficult to determine its accuracy."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not taken a position on marriage equality, and has not expressed a desire to go back on marriage equality.",False,"Trump has not taken any action to roll back marriage equality, and has not expressed any opposition to it.",True,He has said he is against marriage equality and wants to go back to the way things were before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has expressed opposition to marriage equality and a desire to go back to the way things were before the Supreme Court's decision in Obergefell v. Hodges.,True,Trump has expressed opposition to marriage equality and a desire to go back to the way things were before the Supreme Court's decision in Obergefell v. Hodges.
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,,Error: No JSON object found,,Error: No JSON object found,True,The claim is true. The Clinton Foundation received $250 million in donations from foreign governments and corporations during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who contributed to the Clinton campaign or the Democratic National Committee. The Clinton Foundation has been criticized for its close ties to the Clinton family and its potential conflicts of interest.,True,The claim is true. The Clinton Foundation received $250 million in donations from foreign governments and corporations during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who contributed to the Clinton campaign or the Democratic National Committee. The Clinton Foundation has been criticized for its close ties to the Clinton family and its potential conflicts of interest.,True,The claim is true. The Clinton Foundation received $250 million in donations from foreign governments and corporations during Hillary Clinton's tenure as secretary of state. The Clinton Foundation also received $145 million in donations from individuals who contributed to the Clinton campaign or the Democratic National Committee. The Clinton Foundation has been criticized for its close ties to the Clinton family and its potential conflicts of interest.
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,True,"The 2020 U.S. Census shows that there are 1,000,000 more Democrats than Republicans in Georgia.",True,We know that for a fact.,True,We know that for a fact.,True,We know that for a fact.
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,True,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,True,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false.,False,Politifact Texas says Congressman Edwards attacks on Bill Flores are false.
False,Denali is the Kenyan word for black power .,environment,False,"Denali is the name of a mountain in Alaska, not a Kenyan word.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inupiaq word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power.",False,"The word denali is the Inuit word for mountain, not the Kenyan word for black power."
