,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,"All three experts with high weights agree that independent public records and reputable analyses support the claim in campaign-finance, legal-issues, campaign-advertising within the stated timeframe and definitions. Their verdicts are consistent and well-justified, making it likely that the claim is true.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in campaign-finance,legal-issues,campaign-advertising within the stated timeframe and definitions.'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"Both Politics&Elections SME and Economy&Taxes SME, with combined weight 2.7, agree that independent public records and reputable analyses support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions. Their verdicts outweigh the Health&Science SME's dissenting opinion, which lacks concrete evidence to refute the claim. The lack of evidence supporting the claim in Health&Science SME's explanation is a weak reason, but the majority of experts provide strong justification for their verdicts.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in federal-budget,pensions,retirement within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,pensions,retirement as stated or omit key context.'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"All three experts with high weights agree that independent public records and reputable analyses support the claim in county-budget, county-government, education, taxes within the stated timeframe and definitions, providing strong evidence for the verdict.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget,county-government,education,taxes within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in county-budget, county-government, education, taxes within the stated timeframe and definitions.'}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in economy,stimulus as stated or omit key context.'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The claim in veterans cannot be verified within the stated timeframe and definitions using reliable sources.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in gays-and-lesbians,marriage within the stated timeframe and definitions.'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"All three experts with high weights agree that independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions, providing strong evidence for the claim.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in energy within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in foreign-policy within the stated timeframe and definitions.'}]"
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,"The majority of experts with higher weights agree that independent public records and reputable analyses support the claim in elections within the stated timeframe and definitions. The SMEs in Politics&Elections and Economy&Taxes provide strong justifications, while the Health&Science SME's verdict is contradicted by the majority. The lack of evidence from the Health&Science SME does not outweigh the collective weight of the other experts.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in elections within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in elections within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in elections as stated or omit key context.'}]"
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",True,"All three experts with high weights agree that independent public records and reputable analyses support the claim in ethics,message-machine within the stated timeframe and definitions. Their verdicts are consistent and well-justified, providing strong evidence for the claim. The lack of dissenting opinions from experts with high weights further reinforces the conclusion.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in ethics,message-machine within the stated timeframe and definitions.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in ethics,message-machine within the stated timeframe and definitions.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in ethics,message-machine within the stated timeframe and definitions.'}]"
False,Denali is the Kenyan word for black power .,environment,False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in environment as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in environment as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in environment as stated or omit key context.'}]"
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",False,No explanation provided.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,military,poverty as stated or omit key context.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records and reliable sources do not support the claim in federal-budget,military,poverty as stated or omit key context.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent public records and reputable analyses support the claim in federal-budget,military,poverty within the stated timeframe and definitions.'}]"
