title,label
World's most popular candy to be removed from shelves by October 2017!,false
Browse Congressional Bills,true
Supreme Court Vacancy Video,true
U.S. Imports & Exports,true
Dying 78 Year Old CIA Agent Admits To Killing Marilyn Monroe,false
PolitiFact’s annotated transcript of the second presidential debate,true
Application for ‘March For Our Lives’ permit was made months before Parkland school shooting,false
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,true
Washington State Legislature votes to change its name because George Washington owned Slaves,false
There’s another choice – Gov. Gary Johnson – Medium,true
American News is under construction,false
BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,false
Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,false
New Regulation Requires 75 MPH Governor On All Motorcycles,false
Philando Castile Had Been Stopped 52 Times By Police,true
UF requests to cancel Rivalry game against FSU,false
Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers,false
US Government Accountability Office Report to Congressional Committees,true
"Whoopi Goldberg Humiliated, Handcuffed And Dragged Out Of The TV Studio",false
Bill Clinton’s Hitman Confesses On His Deathbed (SOURCE: HANNITY),false
CNN To Permanently Close Its Doors As Ratings Plunge 30 Percent,false
Sen. Gregg: President Obama's Budget Proposal Is a 'Disaster',true
comments at the CNN Republican presidential debate in Las Vegas,true
"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",true
 Breaking President Trump makes English the official language of the United States,false
Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,true
Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,false
Sen. Barack Obama's answer to meeting energy demands,true
Transcript: NPR's Full Interview With Sen. Marco Rubio,true
McCain Campaigns In Nashville,true
'This Week' Transcript: Kaine and Steele,true
U.S. Senator Rand Paul of Kentucky,true
Sarah Palin Calls To Boycott Mall Of America Because “Santa Was Always White In The Bible”,false
Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,false
"Somali Immigrant Crashes Car Into Ohio Families Home, Killing The Infant At Home",false
Gross Domestic Product Percent change from preceding period,true
Trump Removing Marines From the Navy,false
CPD: 2008 Debate Transcript,true
'This Week' Transcript: Holder and Giuliani,true
Should ISIS' gains lead to more U.S. troops in Iraq?,true
spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,true
"This Labor Day, we need protests",true
Palin-Huey,true
The page you're looking for may have been moved or renamed,true
