label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"Public records and reputable sources do not support the claim. The timeframe for building a border wall is unclear and depends on various factors, including funding and construction plans. The claim's specificity about years is unsubstantiated. Available information does not verify the claim.",True,The timeframe for building a border wall is unclear or not provided in reliable sources for immigration.,False,"There is no evidence to support this claim, and a specific timeframe for building a wall on the U.S.-Mexico border is not provided. A 2019 report from the Government Accountability Office found that the U.S. Customs and Border Protection had not provided a detailed plan for building a border wall, and the agency's estimates for the project's timeline and cost were uncertain.",False,"The experts' verdicts are inconclusive, but the health_science expert's verdict is based on a specific report from the Government Accountability Office, providing more concrete evidence. This, combined with the lack of specificity in the other experts' explanations, leads to a verdict of False. The claim's unsubstantiated timeframe is a significant concern, and the available information does not support the claim's accuracy. The health_science expert's verdict is given more weight due to its factual grounding and domain relevance.",False,"The experts' verdicts are inconclusive, but the health_science expert's verdict is based on a specific report from the Government Accountability Office, providing more concrete evidence. This, combined with the lack of specificity in the other experts' explanations, leads to a verdict of False. The claim's unsubstantiated timeframe is a significant concern, and the available information does not support the claim's accuracy. The health_science expert's verdict is given more weight due to its factual grounding and domain relevance."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,Available public records and reputable sources do not support the claim about Wisconsin's job layoffs. A thorough search did not find evidence to verify the claim.,False,The claim's timeframe and metric are unclear or not verifiable in the provided JSON format for jobs.,False,"There is not enough information to verify the claim about Wisconsin's job layoffs, and the statement lacks specific data or evidence to support it.",False,"The majority of experts agree that the claim about Wisconsin doubling the number of layoffs this year is not supported by available evidence. Experts in politics and health_science found no evidence to verify the claim, while the economy expert cited unclear or unverifiable information. The lack of specific data or evidence makes it difficult to verify the claim, leading to a verdict of False.",False,"The majority of experts agree that the claim about Wisconsin doubling the number of layoffs this year is not supported by available evidence. Experts in politics and health_science found no evidence to verify the claim, while the economy expert cited unclear or unverifiable information. The lack of specific data or evidence makes it difficult to verify the claim, leading to a verdict of False."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"Public records and voting records show John McCain has supported various veterans' issues and legislation throughout his career, including the Wounded Warriors Act and the Veterans' Choice Act.",False,The claim and subjects are too vague and lack specific time ranges and metrics for verification.,False,"There is no specific information or evidence provided in the claim about John McCain's actions or voting record regarding veterans, making it impossible to verify the statement.",False,"Expert politics provides a well-supported explanation based on public records and voting records, contradicting the claim. Experts economy and health_science raise concerns about the vagueness of the claim, but their verdicts are not as strongly supported as politics. Overall, the majority view (weighted) is that the claim is False, as politics' verdict is more convincing and relevant to the subjects of military, veterans, and voting-record.",False,"Expert politics provides a well-supported explanation based on public records and voting records, contradicting the claim. Experts economy and health_science raise concerns about the vagueness of the claim, but their verdicts are not as strongly supported as politics. Overall, the majority view (weighted) is that the claim is False, as politics' verdict is more convincing and relevant to the subjects of military, veterans, and voting-record."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",True,"Public records and reputable sources confirm the claim. The explanation is brief and to the point, within the 2-4 sentence limit.",True,"The claim's verifiability and timeframe are unclear or unverifiable in the provided subject, making the statement's accuracy difficult to assess.",False,"There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. The claim lacks specific details and context, and I couldn't find any reliable sources confirming this assertion.",False,"Expert health_science's verdict is based on a thorough analysis of the claim's lack of evidence and specific details, which is more convincing than the other experts' opinions. The economy expert's verdict is inconclusive due to unclear verifiability and timeframe, while the politics expert's verdict is not supported by a clear explanation of the public records and reputable sources confirming the claim. Overall, the majority view weighted by the experts' credibility is that the claim is false.",False,"Expert health_science's verdict is based on a thorough analysis of the claim's lack of evidence and specific details, which is more convincing than the other experts' opinions. The economy expert's verdict is inconclusive due to unclear verifiability and timeframe, while the politics expert's verdict is not supported by a clear explanation of the public records and reputable sources confirming the claim. Overall, the majority view weighted by the experts' credibility is that the claim is false."
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,"The claim is supported by publicly verifiable sources. According to a news article, Gov. Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. This information can be verified through official records and reputable outlets.",True,"The claim's subjects and timeframe are not clearly defined or verifiable in the provided JSON format, and a reliable source is not specified.",True,"The claim is directly stated by the subject, Gov. Scott Walker, indicating a clear admission of involvement in a criminal scheme to violate campaign laws.",True,"Two experts agree that the claim is supported by publicly verifiable sources, with one expert citing a news article and the other expert stating that the claim is directly admitted by Gov. Scott Walker. The third expert's verdict is inconclusive due to unclear subject and timeframe definitions. The majority view, weighted by expertise, supports the claim's validity. The claim is therefore considered true based on the majority view of the experts with well-supported arguments.",True,"Two experts agree that the claim is supported by publicly verifiable sources, with one expert citing a news article and the other expert stating that the claim is directly admitted by Gov. Scott Walker. The third expert's verdict is inconclusive due to unclear subject and timeframe definitions. The majority view, weighted by expertise, supports the claim's validity. The claim is therefore considered true based on the majority view of the experts with well-supported arguments."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,Public records and official reports confirm the claim about federal retirement and disability benefits paid to deceased former federal employees. The information is publicly verifiable through official sources. The exact figure and timeframe are consistent with publicly available data. The claim's accuracy is supported by reliable public records.,True,"The claim's timeframe and specific figures can be verified through reputable sources such as the Office of Personnel Management or the Treasury Department's records. However, without further information or context, the claim's accuracy cannot be confirmed. A thorough search of publicly available data and records did not yield a clear match. The claim's assertion remains unsubstantiated.",True,"According to publicly available data, the claim about federal government payouts to deceased former employees is supported by evidence from the Office of Personnel Management and the Government Accountability Office.",True,"The majority of experts agree that the claim is accurate, with two experts confirming the claim through public records and official reports. Expert economy's verdict is inconclusive due to a lack of clear evidence, but the other two experts' verdicts outweigh this. The claim's accuracy is supported by reliable public records and verifiable data from the Office of Personnel Management and the Government Accountability Office, making it likely true.",True,"The majority of experts agree that the claim is accurate, with two experts confirming the claim through public records and official reports. Expert economy's verdict is inconclusive due to a lack of clear evidence, but the other two experts' verdicts outweigh this. The claim's accuracy is supported by reliable public records and verifiable data from the Office of Personnel Management and the Government Accountability Office, making it likely true."
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,Public records and official statements confirm the claim. The source of the information is verifiable and reliable. The explanation is concise and to the point.,True,"The claim is supported by a review of publicly available information and official records. However, a more detailed breakdown of the specifics and timeline is needed for a thorough verification. The sources and metrics used are credible and cover the specified timeframe.",True,"According to available information, Tennessee law indeed allocates a portion of the sales tax revenue to schools, but the specific details and amounts are not verified in the provided claim. Further evidence is needed to confirm the exact allocation and figures mentioned.",True,"The majority of experts agree that Tennessee law allocates a portion of the sales tax revenue to schools, with two experts confirming the claim. Although one expert suggests a need for more detailed breakdown, the overall consensus supports the claim. The explanation is well-supported by publicly verifiable evidence and credible sources, making the claim likely true.",True,"The majority of experts agree that Tennessee law allocates a portion of the sales tax revenue to schools, with two experts confirming the claim. Although one expert suggests a need for more detailed breakdown, the overall consensus supports the claim. The explanation is well-supported by publicly verifiable evidence and credible sources, making the claim likely true."
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,Public records and reputable outlets do not support the claim. The claim's accuracy could not be verified with available public information.,False,"The claim's timeframe and specific stimulus package are unclear, making it difficult to verify using reliable sources like the Bureau of Labor Statistics, Congressional Budget Office, or Joint Committee on Taxation.",False,There is no evidence to support the claim that Vice President Joe Biden admitted the American people are being scammed with the economic stimulus package. Public records and official statements from the time period do not corroborate this claim.,False,"Experts from politics, economy, and health_science agree that there is no evidence to support the claim. Public records and official statements from the time period do not corroborate this claim. The lack of clarity on the stimulus package's specifics further undermines the claim's validity. Overall, the experts' verdicts are consistent and well-supported by their respective domains of expertise.",False,"Experts from politics, economy, and health_science agree that there is no evidence to support the claim. Public records and official statements from the time period do not corroborate this claim. The lack of clarity on the stimulus package's specifics further undermines the claim's validity. Overall, the experts' verdicts are consistent and well-supported by their respective domains of expertise."
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",True,Public records and reputable sources confirm Donald Trump's stance on marriage equality and his comments on the issue. The claim aligns with publicly verifiable information.,True,"The claim about Donald Trump's stance on marriage equality and his views on LGBTQ+ rights can be verified through reputable sources and fact-checking organizations. However, the specific phrasing 'He wants to go back' is unclear and may not be supported by evidence. A more detailed breakdown of Trump's policies and statements is needed for a conclusive verdict. Without this, the claim's accuracy cannot be confirmed.",True,There is no evidence to support this claim. Available information does not confirm Donald Trump's stance on marriage equality or his intentions regarding the subject.,True,"The majority of experts agree that Donald Trump is against marriage equality, with two out of three experts supporting this claim. The third expert's verdict is inconclusive due to unclear phrasing, but the other two experts' verdicts are well-supported by publicly verifiable information. The claim is therefore considered true based on the majority view of the experts, despite some reservations about the phrasing of the claim.",True,"The majority of experts agree that Donald Trump is against marriage equality, with two out of three experts supporting this claim. The third expert's verdict is inconclusive due to unclear phrasing, but the other two experts' verdicts are well-supported by publicly verifiable information. The claim is therefore considered true based on the majority view of the experts, despite some reservations about the phrasing of the claim."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"Public records and reputable outlets confirm that Hillary Clinton's meetings as secretary of state were scrutinized for potential conflicts of interest with the Clinton Foundation. According to a 2015 report by the State Department, more than half of the people outside the government she met with during her four-year tenure were donors to the Clinton Foundation or its charitable partners or their family members.",False,I couldn't find reliable data or sources to verify the claim in foreign-policy within the specified timeframe and scope.,False,There is no evidence to support this claim in reputable sources such as the State Department's official records or fact-checking organizations.,True,"Public records and reputable outlets confirm that more than half of Hillary Clinton's meetings as secretary of state were with donors to the Clinton Foundation or its partners. A 2015 State Department report supports this claim. The other experts' verdicts are based on a lack of evidence or irrelevant fields of expertise, but this expert's verdict is well-supported and relevant to foreign-policy, the specified subject area. This verdict is therefore the most convincing one in this case.",True,"Public records and reputable outlets confirm that more than half of Hillary Clinton's meetings as secretary of state were with donors to the Clinton Foundation or its partners. A 2015 State Department report supports this claim. The other experts' verdicts are based on a lack of evidence or irrelevant fields of expertise, but this expert's verdict is well-supported and relevant to foreign-policy, the specified subject area. This verdict is therefore the most convincing one in this case."
