label_true,statement,subject,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,True,"According to the Department of Homeland Security, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"The construction of a wall on the U.S.-Mexico border would take years, likely 2-3 years, according to experts.",True,"The construction of a wall on the U.S.-Mexico border would take years to complete, according to experts. The exact timeline depends on factors such as the size and complexity of the wall, as well as environmental and permitting challenges.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029.",True,"According to experts, construction of the border wall could take years, with completion estimates ranging from 2024 to 2029."
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,True,"According to the Wisconsin Department of Workforce Development, the state is projected to have 10% more job layoffs in 2023 than in 2022.",True,"According to the Wisconsin Department of Workforce Development, the state is experiencing a surge in layoffs, with the number of layoffs in the first quarter of 2023 already exceeding the number of layoffs in all of 2022. This surge is primarily due to the decline in manufacturing employment, which has been exacerbated by the ongoing global economic downturn.",False,There has not been evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year.,True,"The state is projected to have 10% more job layoffs in 2023 than in 2022, according to the Wisconsin Department of Workforce Development.",True,"The state is projected to have 10% more job layoffs in 2023 than in 2022, according to the Wisconsin Department of Workforce Development."
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing post-traumatic stress disorder.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and providing financial assistance for education and job training.",False,There is no evidence to support the claim that John McCain has not done anything to help veterans.,False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing post-traumatic stress disorder.",False,"McCain has passed legislation to help veterans, including expanding access to healthcare and addressing post-traumatic stress disorder."
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",True,"Bonamici has cosponsored legislation that would impose a $2,500 annual cap on Medicare Advantage premiums, which would disproportionately impact seniors on low-income plans.",False,Suzanne Bonamici has not released a plan that would cut choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,False,There is no evidence to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",True,Gov. Walker admitted to being at the center of a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,False,There has not been any evidence to support the claim that Gov. Scott Walker is involved in a criminal scheme to violate campaign laws.,True,"Gov. Walker admitted to being at the center of a criminal scheme to violate campaign laws, but there has not been any evidence to support the claim that he is involved in a criminal scheme.",True,"Gov. Walker admitted to being at the center of a criminal scheme to violate campaign laws, but there has not been any evidence to support the claim that he is involved in a criminal scheme."
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",True,"According to a report by the Government Accountability Office, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.",True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.,True,The federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees over the past five years.
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",True,"According to a 2022 Tennessee law, schools in Shelby County will receive half of the proceeds from a half-cent sales tax increase, estimated to be $31 million per year.",False,This claim is inaccurate. Tennessee law does not require schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax.,False,This claim is false. There is no such law in Tennessee.,False,The claim that Tennessee law requires schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax is inaccurate. There is no such law in place.,False,The claim that Tennessee law requires schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax is inaccurate. There is no such law in place.
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.,False,There has not been any evidence to support the claim that Vice President Biden has admitted that the American people are being scammed with the economic stimulus package.
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"Trump has not explicitly stated his stance on marriage equality in recent years. However, he has signed legislation that opposes same-sex marriage and has made comments that suggest he may be opposed to it. However, there is no evidence to suggest that he is actively working to overturn marriage equality in the United States.",False,There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has consistently supported marriage equality and has signed legislation to protect LGBTQ rights.,False,There is no evidence to support the claim that Donald Trump is against marriage equality. Trump has not made any official statements on the issue.,False,"Trump has not explicitly stated his stance on marriage equality in recent years, but there is no evidence to suggest that he is actively working to overturn marriage equality in the United States.",False,"Trump has not explicitly stated his stance on marriage equality in recent years, but there is no evidence to suggest that he is actively working to overturn marriage equality in the United States."
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,True,"According to a State Department review, 22% of Clinton's meetings with major donors were held at the foundation, and 19% of those meetings were private. This information is consistent with other sources, such as the FEC filings of the Clinton Foundation and the State Department's own records.",False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,False,There is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation.
