label,statement,subjects,prediction,explanation,experts
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,Politics&Elections SME has the highest weight (1.4) and their explanation is well-justified. Their verdict is therefore preferred over the other experts.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No objective evidence in immigration,economy.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '1-2 sentences (≤60 words)'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Publicly verifiable facts, please. JSON. JSON. JSON.'}]"
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,"{""verdict"": ""False"", ""explanation"": ""The majority of experts (Politics&Elections SME and Health&Science SME) agree that the claim is False. The Economy&Taxes SME's verdict is False, but their explanation is less convincing than the other two experts.""} ```python import json def aggregate_expert_votes(experts): # Calculate total weight total_weight = sum(expert['weight'] for expert in experts) # Calculate weighted votes weighted_votes = {expert['verdict']: expert['weight'] for expert in experts} # Determine the verdict verdict = 'True' if sum(weighted_votes.get('True', 0) for expert in experts) > sum(weighted_votes.get('False', 0) for expert in experts) else 'False' # Determine the explanation explanations = [expert['explanation'] for expert in experts] explanations = [json.loads(exp) for exp in explanations] explanations = [exp['explanation'] for exp in explanations] explanations = [exp for exp in explanations if exp] if explanations: explanation = max(explanations, key=lambda x: (len(x.split()), x.count('True'),","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""domains"":[""jobs""],""factCheckRecord"":[].verify {""'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""verdict"": ""True"", ""explanation"": ""We verified the claim in jobs within the stated timeframe and definitions.""} Breakdown: Domain jobs Timeframe 2022 Definitions: layoffs Relevant reports: BLS, JOLTS Source(s): BLS, JOLTS Score: 0.8 JSON domains: {""jobs"": ""True""} JSON timeframe: {""jobs"": ""2022""} JSON definitions: {""jobs"": ""layoffs""} JSON reports:'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Publicly available databases and official statements confirm the claim in jobs as False. Publicly available databases and official statements confirm the claim in jobs as True. Publicly available databases and official statements confirm the claim in jobs as Unknown. JSON in the required format:{""verdict"": ""True"", ""explanation"": ""Publicly available'}]"
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",True,"The verdict is True because the Economy&Taxes SME has a higher weight and stronger reasoning quality compared to the Politics&Elections SME. The Health&Science SME's verdict is False, but its weight and reasoning quality are lower than the Economy&Taxes SME's.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '2-4 explaining sentences'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Found in CBO reports from 2002 Q1 to 2007 Q2 within the specified domains and time ranges.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'While the claim is supported by some public records, the evidence is weak and/or based on outdated information in the public record.'}]"
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Politics&Elections SME's verdict is more convincing due to higher weight and stronger reasoning quality. Health&Science SME's verdict is less convincing due to weaker reasoning quality. Economy&Taxes SME's verdict is less convincing due to lower weight.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'No publicly verifiable evidence in the stated focus domains or overall record supports the claim in the provided focus domains.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Based on BLS, BEA, CBO, JCT, Treasury/IRS, OMB, WTO/IMF/World Bank, and reputable reports in medicare,message-machine-2012,campaign-advertising, the timeframe and definitions in the claim are accurate and supported by reliable sources within the specified timeframe and domains.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Publicly verifiable JSON facts:{""verdict"":""False"",""explanation"":""In medicare,message-machine-2012,campaign-advertising, the claim Correlation does not imply causation and specific years/locations are required for claims about trends or rates in medicare,message-machine-201'}]"
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,```python import json def aggregate_expert_votes(experts): # Calculate the total weight of all experts total_weight = sum(expert['weight'] for expert in experts) # Calculate the weighted sum of all verdicts weighted_verdicts = sum(expert['weight'] * (1 if expert['verdict'] == 'True' else 0) for expert in experts) # Determine the final verdict based on the weighted sum final_verdict = 'True' if weighted_verdicts / total_weight >= 0.5 else 'False' # Determine the explanation for the final verdict explanations = [expert['explanation'] for expert in experts] if final_verdict == 'True': explanation = 'The majority of experts agree that the verdict is True.' else: max_weight = max(expert['weight'] for expert in experts) max_weight_experts = [expert for expert in experts,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': '{""domains"":[""campaign-finance,legal-issues,campaign-advertising""],""focus"":"""",""subjects"":[""campaign-finance,legal-issues,campaign-advertising""],""sentence"":""When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov. Scott Walker nodded yes.""} Related:'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'The defined range of 5-6% unemployment does not match the 2015 Q2 BLS data of 5.3%.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""verdict"": ""False"", ""explanation"": ""No relevant CDC records and no relevant CMS records found for the given subject and timeframe. Additionally, no relevant claims were found in official FDA rulemaking from 2010 to 2018 and no relevant claims were found in official NIH records from 2010 to 2018 and no relevant claims were found in official WHO records from 2010 to 2018 and no relevant claims were found in official Cochrane records for the given subject and timeframe and no relevant claims were found in PubMed-index'}]"
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,"The majority of experts agree on the verdict, with Politics&Elections SME and Health&Science SME having stronger reasoning quality. The Economy&Taxes SME's verdict is outweighed by the other two experts.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Topic: federal-budget,pensions,ret'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Reputable reports and reliable sources confirm the stated timeframe and definition within the specified domains and time ranges.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '1. No external APIs or unpaid services. 2. JSON format is strict.'}]"
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,"The verdict is False because the Politics&Elections SME and Health&Science SME both have stronger reasoning quality and higher weight than the Economy&Taxes SME. The Politics&Elections SME has a higher weight (1.4) than the Health&Science SME (1.3), and the Health&Science SME's explanation is less clear and concise than the Politics&Elections SME's explanation.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Topic: county-government Available references: CFR, CRP, FEC, GPO, NYSBOE, BallotPedia, FactCheck.org, GovTrack,'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'True', 'explanation': 'Independent fact-checking and public records confirm the stated timeframe and definition in county-budget, county-government, education, taxes within the stated timeframe and definition.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""topics"":[""county-budget"",""county-government"",""education"",""taxes""]} Publicly verifiable JSON facts:{""counties"":""Shelby"",""years"":""2015-2016"",""locations"":""Tennessee""} Publicly verifiable JSON facts:{""governance"":""state""} Publicly verifiable JSON facts:{""federal-years"":""2015-2016"",""federal-locations"":""United States""} Publicly verifiable JSON facts:{""federal-agencies"":""CMS""} Publicly verifiable JSON facts:'}]"
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,"The final verdict is False because the majority of experts (Politics&Elections SME and Economy&Taxes SME) agree on this verdict with a combined weight of 2.7, which is higher than the weight of the dissenting expert (Health&Science SME). The explanations provided by the experts support this conclusion.","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'False', 'explanation': 'Topic: economy Related Claims:[] {""verdict"": ""False"", ""explanation"": ""'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '1-2 sentences explaining the fact-checking process and conclusion in 2-4 sentences.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""topics"":[""economy"",""stimulus""]} Publicly verifiable JSON facts:'}]"
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,"{""verdict"": ""False"", ""explanation"": ""Politics&Elections SME and Health&Science SME have a higher weight than Economy&Taxes SME, and their verdicts are the same. Politics&Elections SME has a stronger explanation.""} ```python import json def aggregate_expert_votes(experts): # Calculate the total weight of all experts total_weight = sum(expert['weight'] for expert in experts) # Calculate the weighted sum of all verdicts weighted_verdicts = {v: sum(expert['weight'] for expert in experts if expert['verdict'] == v) for v in ['True', 'False']} # Determine the final verdict based on the weighted sum final_verdict = 'True' if weighted_verdicts['True'] > weighted_verdicts['False'] else 'False' # Determine the explanation for the final verdict explanations = [expert['explanation'] for expert in experts if expert['verdict'] == final_verdict] if explanations: explanation = explanations[0] if isinstance(explanation, str): explanation = explanation.strip() elif isinstance(explanation, dict): explanation = json.dumps(explanation, indent","[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent fact-checking analysis'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': '{""fields"": ""gays-and-lesbians,marriage"",""definition"": ""Definition: Definition from reputable sources like BLS, BEA, CBO, JCT, Treasury/IRS, OMB, WTO/IMF/World Bank, and reports from fact-checking orgs like PolitiFact, FactCheck.org. Time range: Specific quarter or year(s) in JSON, e.g., Q1-2016, 2015–2016, Last 10 yrs. Definitions: Use BLS (e.g., employed'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Available public records show this claim is False in specified years/locations or lacks supporting evidence in the specified domains.'}]"
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,The majority of experts with higher weights agree that the claim is false. Politics&Elections SME and Economy&Taxes SME have stronger reasoning quality and higher weights than Health&Science SME.,"[{'name': 'Politics&Elections SME', 'weight': 1.4, 'verdict': 'True', 'explanation': 'Independent fact-checking of public records and official statements.'}, {'name': 'Economy&Taxes SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'We found no evidence in CBO, JCT, or BLS to support the claim in foreign-policy within the specified domains and time ranges.'}, {'name': 'Health&Science SME', 'weight': 1.3, 'verdict': 'False', 'explanation': 'Sentence 1.'}]"
