label	statement	subjects
false	Says the Annies List political group supports third-trimester abortions on demand .	abortion
half-true	When did the decline of coal start It started when natural gas took off that started to begin in (President George W.) Bushs administration .	energy,history,job-accomplishments
mostly-true	Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran .	foreign-policy
false	Health care reform legislation is likely to mandate free sex change surgeries .	health-care
half-true	The economic turnaround started at the end of my term .	economy,jobs
true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades .	education
barely-true	Jim Dunnam has not lived in the district he represents for years now .	candidates-biography
half-true	I m the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate .	ethics
half-true	However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific .	jobs
mostly-true	Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs .	energy,message-machine-2014,voting-record
mostly-true	For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin .	elections
half-true	Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty .	economy,jobs,new-hampshire-2012,poverty
false	When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it .	history,state-budget
mostly-true	The economy bled $24 billion due to the government shutdown .	economy,federal-budget,health-care
barely-true	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended .	health-care
half-true	In this last election in November . 63 percent of the American people chose not to vote . 80 percent of young people (and) 75 percent of low-income workers chose not to vote .	elections
true	McCain opposed a requirement that the government buy American-made motorcycles . And he said all buy-American provisions were quote disgraceful .	federal-budget
barely-true	U.S. Rep . Ron Kind D-Wis . and his fellow Democrats went on a spending spree and now their credit card is maxed out	federal-budget
half-true	Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner .	financial-regulation,foreign-policy,water
mostly-true	Almost 100000 people left Puerto Rico last year .	bankruptcy,economy,population
false	Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor .	economy,income
mostly-true	The United States has the highest corporate tax rate in the free world .	corporations,taxes
mostly-true	We just had the best year for the auto industry in America in history .	economy
half-true	Says Scott Walker favors cutting up to 350000 families and children off health care .	health-care,message-machine
barely-true	Says Mitt Romney wants to get rid of Planned Parenthood .	abortion,federal-budget,health-care
false	I dont know who (Jonathan Gruber) is .	health-care
mostly-true	Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino .	crime,diversity,homeland-security,terrorism
half-true	Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections .	candidates-biography
false	ISIS supporter tweeted at tiform a.m. Shooting began at tiform a.m. in Chattanooga Tenn .	technology,terrorism
mostly-true	Youth unemployment in minority communities is about 40 to 45 percent .	diversity,economy,jobs
true	Says Paul Ryan is still endorsing Trump .	candidates-biography,elections,campaign-advertising
barely-true	If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates .	economy,labor,states,unions,workers
false	What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants .	climate-change,energy,environment,government-regulation
mostly-true	We cut business taxes so today 70 percent of our businesses dont pay a business tax .	small-business,taxes
mostly-true	Says Mark Pryor votes with Obama 93 percent of the time .	bipartisanship,voting-record
true	We have a federal government that thinks they have the authority to regulate our toilet seats .	consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers
true	Austin is a city that has basically doubled in size every 25 years or so since it was founded .	city-government,population
true	The nuclear test conducted in our nation this time is the Earth s 2054th nuclear test . The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests .	military
pants-fire	In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct .	health-care,pop-culture
true	Under President George W. Bush we added $4.9 trillion to the debt . Under President Obama weve added $6.5 trillion to the debt .	debt
false	Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law .	legal-issues,supreme-court
half-true	Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS .	military,voting-record
pants-fire	Rep . David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar company	energy,stimulus
pants-fire	Says Ohio budget item later signed into law by Gov . John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe .	abortion,pundits,women
false	We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster .	homeland-security,terrorism
half-true	African-American youth unemployment is 51 percent . Hispanic youth unemployment is 36 percent .	diversity,economy,jobs
pants-fire	Obamacare will provide insurance to all non-U.S. residents even if they are here illegally .	health-care,immigration
false	President Barack Obama took exactly none of his own deficit reduction commissions ideas . Not one .	deficit,federal-budget
pants-fire	It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt . Humayun Khans) life .	iraq,military
true	Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners .	patriotism
barely-true	Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country	health-care,states
