label,statement,subjects,prediction,explanation,decision_constrained
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,Wisconsin is on pace to double the number of layoffs this year .,jobs,False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,Says John McCain has done nothing to help the vets .,"military,veterans,voting-record",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors .,"medicare,message-machine-2012,campaign-advertising",False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws Gov . Scott Walker nodded yes .,"campaign-finance,legal-issues,campaign-advertising",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees .,"federal-budget,pensions,retirement",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Says that Tennessee law requires that schools receive half of proceeds - $31 million per year - from a half-cent increase in the Shelby County sales tax .,"county-budget,county-government,education,taxes",False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,Says Vice President Joe Biden admits that the American people are being scammed with the economic stimulus package .,"economy,stimulus",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Donald Trump is against marriage equality . He wants to go back .,"gays-and-lesbians,marriage",False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation .,foreign-policy,False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,We know there are more Democrats in Georgia than Republicans . We know that for a fact .,elections,True,"The majority of experts agree that there are more registered Republicans in Georgia than Democrats, based on the Georgia Secretary of State's office data. The Health&Science SME's explanation, while partially correct, is inconclusive due to the fluctuating nature of political affiliations. The Politics&Elections SME's explanation is more direct and supported by the data, making it the most convincing argument.",False
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,Denali is the Kenyan word for black power .,environment,True,"The majority of experts agree that Denali is not a Kenyan word, and the term 'black power' is associated with the Black Power movement in the United States. The experts' explanations provide credible evidence to support their verdicts. The majority view is well-supported and domain-relevant, and the experts' weights are reasonable. Therefore, the final verdict is True.",False
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,On residency requirements for public workers,"city-government,county-government,unions",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .,"education,jobs",False,Insufficient justification in model output; defaulting to minimal explanation.,False
False,Unfortunately we have documented instances where people defecated in the (Statehouse) building .,"labor,state-budget",True,"The majority of experts agree that the claim is false, with Politics&Elections SME and Health&Science SME providing the most convincing arguments.",False
True,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government .,"government-efficiency,government-regulation,polls",False,Insufficient justification in model output; defaulting to minimal explanation.,False
True,Each year 18000 people die in America because they don t have health care .,health-care,True,"According to the CDC, in 2020, 43,795 deaths were attributed to lack of health insurance. However, the exact number of 18,000 deaths per year is not found in the CDC data. The CDC does report that uninsured individuals are more likely to die from treatable conditions. Therefore, the claim is likely an underestimate, but the underlying assertion that lack of health insurance causes deaths is supported by the data.",False
False,Ronald Reagan faced an even worse recession than the current one .,"economy,history",False,Insufficient justification in model output; defaulting to minimal explanation.,False
