model,model_short,prompt,mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,with_subjects,0.6148382004735596,0.5862580299785867,1267,223,330,158,556,0.9130331811325326,0.9221521100275629,0.8984765302939494
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,0.611681136543015,0.5832370591444433,1267,222,331,161,553,0.9593415294186562,0.9652081495715725,0.950100410275343
google/gemma-7b-it,gemma-7b-it,P1_fake_news_no_guess,with_subjects,0.6085240726124704,0.5686997963027018,1267,193,360,136,578,0.923257329469604,0.9329077971739218,0.9082563000340615
google/gemma-7b-it,gemma-7b-it,P0_basic,with_subjects,0.6077348066298343,0.5676014373481161,1267,192,361,136,578,0.9400966346216841,0.9508582177100243,0.9234237594143966
google/gemma-7b-it,gemma-7b-it,P1_fake_news_no_guess,no_subjects,0.6069455406471981,0.5734595041858654,1267,207,346,152,562,0.9531242292324388,0.9625477486996099,0.9385726499748996
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,0.5990528808208366,0.5910722000559099,1267,291,262,246,468,0.9459264404489567,0.9552624769047472,0.9319775198388287
google/gemma-7b-it,gemma-7b-it,P3_factcheck_assistant,with_subjects,0.595895816890292,0.5921762702999029,1267,317,236,276,438,0.8466791868115751,0.8690190324720168,0.8137366409646347
google/flan-t5-xl,flan-t5-xl,P1_fake_news_no_guess,with_subjects,0.5951065509076559,0.539003138464812,1267,156,397,116,598,0.5623544777295866,0.5797536063257516,0.5367814895005254
google/gemma-7b-it,gemma-7b-it,P2_one_shot_example,no_subjects,0.5943172849250198,0.578558744654635,1267,254,299,215,499,0.33282853852319455,0.36423727866029676,0.286815345287323
google/gemma-7b-it,gemma-7b-it,P2_one_shot_example,with_subjects,0.5935280189423836,0.5815915813665082,1267,269,284,231,483,0.3154041486738607,0.3337948346867206,0.2885501760880924
google/gemma-7b-it,gemma-7b-it,P3_factcheck_assistant,no_subjects,0.5911602209944752,0.5898723197904325,1267,339,214,304,410,0.8884847375851687,0.9074641181248052,0.8610415792373156
google/flan-t5-xl,flan-t5-xl,P3_factcheck_assistant,no_subjects,0.590370955011839,0.5613293547154028,1267,211,342,177,537,0.49033761297329825,0.51855306893109,0.4496725627682342
google/flan-t5-xl,flan-t5-xl,P3_factcheck_assistant,with_subjects,0.590370955011839,0.548938047087698,1267,182,371,148,566,0.5407262555049364,0.5666521594804876,0.5033609834939299
google/flan-t5-xl,flan-t5-xl,P2_one_shot_example,with_subjects,0.5895816890292028,0.557124035384905,1267,202,351,169,545,0.5194081215756845,0.5498394423539699,0.47569235884226285
google/flan-t5-xl,flan-t5-xl,P2_one_shot_example,no_subjects,0.5887924230465666,0.568617571540694,1267,236,317,204,510,0.47096524214123586,0.5050592818784331,0.4221472888898941
google/flan-t5-xl,flan-t5-xl,P4_subjects_as_context_clues,with_subjects,0.5880031570639306,0.5346526433106679,1267,158,395,127,587,0.5740953010184237,0.5980285567725265,0.5399376850475297
google/flan-t5-xl,flan-t5-xl,P4_subjects_as_context_clues,no_subjects,0.5816890292028414,0.5566677758059746,1267,218,335,195,519,0.4725140098896945,0.5057118611872762,0.4263502053494723
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P1_fake_news_no_guess,with_subjects,0.5785319652722968,0.5785106976790546,1267,362,191,343,371,0.7571938626862175,0.779621951739427,0.7264077404465121
google/flan-t5-xl,flan-t5-xl,P0_basic,no_subjects,0.5785319652722968,0.5705248324192566,1267,280,273,261,453,0.3909959431793526,0.42998284174670626,0.3374802191159252
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P2_one_shot_example,with_subjects,0.5785319652722968,0.41827964755163943,1267,34,519,15,699,0.0033809466915235994,0.0034511912243102775,0.003284524889028028
google/flan-t5-xl,flan-t5-xl,P1_fake_news_no_guess,no_subjects,0.574585635359116,0.5259040038099125,1267,161,392,147,567,0.5464319392462462,0.5764709927223541,0.5058597111746199
google/flan-t5-xl,flan-t5-xl,P0_basic,with_subjects,0.5706393054459353,0.5698286924002536,1267,334,219,325,389,0.3124151901645555,0.35597334396130154,0.25452448208542433
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,with_subjects,0.5682715074980268,0.5677965731747244,1267,381,172,375,339,0.8094123051499605,0.828111097547743,0.7847996350834096
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P2_one_shot_example,no_subjects,0.5682715074980268,0.5308122196835068,1267,181,372,175,539,0.0025961244774316368,0.002711797422832913,0.0024438675840332477
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P3_factcheck_assistant,with_subjects,0.5674822415153907,0.37509810274687694,1267,8,545,3,711,0.0037438916520236886,0.003856328001274353,0.003596370237587142
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P3_factcheck_assistant,no_subjects,0.56353591160221,0.3653667262969588,1267,3,550,3,711,0.003829125823613312,0.003964384062951352,0.0036544886032021714
