label,statement,subjects,superlabel
True,Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran .,foreign-policy,politics
True,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades .,education,politics
False,Jim Dunnam has not lived in the district he represents for years now .,candidates-biography,politics
True,I m the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate .,ethics,politics
True,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs .,"energy,message-machine-2014,voting-record",politics
True,For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin .,elections,politics
True,In this last election in November . 63 percent of the American people chose not to vote . 80 percent of young people (and) 75 percent of low-income workers chose not to vote .,elections,politics
True,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino .,"crime,diversity,homeland-security,terrorism",politics
True,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections .,candidates-biography,politics
True,Says Paul Ryan is still endorsing Trump .,"candidates-biography,elections,campaign-advertising",politics
True,Says Mark Pryor votes with Obama 93 percent of the time .,"bipartisanship,voting-record",politics
True,Austin is a city that has basically doubled in size every 25 years or so since it was founded .,"city-government,population",politics
True,The nuclear test conducted in our nation this time is the Earth s 2054th nuclear test . The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests .,military,politics
False,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law .,"legal-issues,supreme-court",politics
True,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS .,"military,voting-record",politics
False,We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster .,"homeland-security,terrorism",politics
False,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt . Humayun Khans) life .,"iraq,military",politics
True,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners .,patriotism,politics
False,Maggie Hassan raised tuition making it the highest in America .,education,politics
False,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom .,"campaign-finance,ethics,history",politics
True,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time .,immigration,politics
False,They were going to build the wall a while ago not so long ago like in 06 . And they couldnt get environmental impact statements .,immigration,politics
False,Sen . Obama s campaign announced that he s choosing his cabinet .,elections,politics
True,In 2008 only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out .,"elections,population",politics
True,On military recruiters at Harvard Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong .,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",politics
True,There are 321092 public school teachers in Texas . And there are 313850 non-teachers in our public schools .,"education,message-machine,taxes",politics
False,Under Mayor Cicilline [Providence] was a sanctuary city .,"history,homeland-security,immigration,legal-issues,pundits",politics
False,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered .,"corrections-and-updates,crime,criminal-justice,sexuality",politics
False,Says the man who rushed the stage at him in Dayton Ohio had chatter about ISIS or with ISIS in his social media posts .,"civil-rights,elections,terrorism",politics
False,U.S. Rep . Phil Gingrey gave the government the power to electronically spy on Americans without a warrant .,"criminal-justice,terrorism",politics
True,The new Arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person .,"immigration,legal-issues",politics
False,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings .,"kagan-nomination,supreme-court",politics
False,In the past 20 years Egypt has made great strides in political and democratic reform .,"foreign-policy,abc-news-week",politics
True,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders .,"crime,criminal-justice",politics
